goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team
0.0,1.0,0.0,4.0,57.14,2.0,100.0,0.0,0.0,80.39,6.0,66.67,90,1.0,2.0,1.0,1.0,0,0,0,0.0,0.0,0,0,0,0,5.0,0.0,41.0,0.0,1.0,25.0,3.0,60.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Jhon Lerma,Junior Barranquilla
0.0,0.1,0.0,1.77,57.63,1.25,72.73,0.47,0.0,87.87,3.02,63.04,90,0.42,0.83,0.21,1.04,0,0,0,0.83,0.1,0,0,0,0,7.69,0.0,56.1,0.57,0.21,40.0,6.6,64.47,1.61,3.59,0.05,0.0,0.83,0.42,0.1,0.0,0.0,0.1,,0.0,0.0,0.0,William Tesillo,Atlético Nacional
0.19,0.25,0.0,1.69,54.0,1.19,51.35,0.25,0.0,84.89,2.88,52.87,90,0.5,0.75,0.06,1.0,0,0,0,0.31,0.06,0,0,0,0,7.75,0.13,46.69,0.88,0.44,35.0,3.81,50.83,0.88,2.44,0.44,0.0,0.63,0.19,0.13,30.0,0.0,0.0,,0.0,0.0,0.0,Léyser Chaverra,Independiente Medellín
0.04,0.36,0.0,2.58,63.74,1.56,76.09,0.13,0.0,83.96,4.13,67.88,90,0.98,0.58,0.31,1.02,0,0,0,0.4,0.09,0,0,0,0,9.38,0.09,45.38,0.44,0.09,11.11,3.51,42.47,0.76,2.8,0.44,0.04,1.42,0.36,0.22,3.13,0.0,0.0,,0.0,0.0,0.0,Daniel Londoño,Independiente Medellín
0.06,0.28,0.0,2.17,63.93,1.83,70.21,0.06,0.0,84.36,4.0,66.67,90,0.5,0.72,0.11,1.0,0,0,0,0.5,0.06,0,0,0,0,3.17,0.0,31.17,0.5,0.0,0.0,2.39,44.79,1.0,3.61,0.28,0.0,0.56,0.11,0.11,10.0,0.0,0.06,,0.0,0.0,0.0,Andrés Llinás,Millonarios
0.0,0.0,0.17,4.99,69.05,1.2,41.18,1.38,0.17,80.21,6.2,61.02,90,1.38,1.03,0.17,1.38,0,0,0,0.17,0.17,0,0,0,0,4.47,0.0,26.5,0.69,0.69,44.44,1.89,40.74,1.03,1.55,0.0,0.0,1.03,0.0,0.34,0.0,0.0,0.0,,0.0,0.0,0.0,Mateo Castillo Márquez,América de Cali
0.0,0.16,0.0,2.29,60.42,0.4,62.5,0.4,0.08,78.41,2.69,60.71,90,0.55,0.71,0.32,1.19,0,0,0,0.47,0.08,0,0,0,0,8.7,0.16,29.58,1.82,1.5,33.33,2.45,41.89,0.71,2.06,0.24,0.0,0.63,0.16,0.32,0.0,0.0,0.47,,0.0,0.0,0.0,Yerson Candelo,América de Cali
0.0,0.48,0.0,1.8,49.18,1.86,75.61,0.42,0.0,83.46,3.65,59.8,90,0.18,1.26,0.24,1.02,0,0,0,0.42,0.18,0,0,0,0,3.35,0.0,32.91,0.42,0.0,0.0,2.51,46.15,1.32,4.97,0.12,0.0,0.84,0.24,0.12,0.0,0.0,0.06,,0.06,0.0,0.0,Brayan Medina,América de Cali
0.22,0.38,0.0,1.51,58.33,1.41,68.42,0.11,0.0,85.46,2.92,62.79,90,0.32,0.86,0.0,1.03,0,0,0,0.81,0.16,0,0,0,0,1.35,0.0,30.81,0.11,0.0,0.0,4.32,59.26,0.43,5.14,0.22,0.0,0.54,0.22,0.11,40.0,0.0,0.0,,0.0,0.0,0.0,Andrés Alarcón,Deportivo Pasto
0.0,0.32,0.0,1.35,65.63,1.29,60.61,0.06,0.0,83.7,2.65,63.08,90,0.52,0.39,0.13,1.03,0,0,0,0.58,0.0,0,0,0,0,3.55,0.0,31.48,0.58,0.0,0.0,3.87,55.05,0.77,5.42,0.13,0.0,0.26,0.0,0.06,0.0,0.0,0.0,,0.0,0.0,0.0,Jorge Arias,Millonarios
0.05,0.27,0.0,1.46,40.3,2.22,62.12,0.11,0.0,80.13,3.68,51.13,90,0.43,1.57,0.16,1.03,0,0,0,0.97,0.05,0,0,0,0,2.05,0.0,27.24,0.38,0.0,0.0,2.43,38.79,1.24,5.95,0.32,0.0,0.97,0.27,0.27,5.56,0.05,0.05,,0.0,0.0,0.0,José Moya,Deportivo Pereira
0.09,0.35,0.0,2.36,60.0,1.22,48.28,0.0,0.0,80.94,3.58,55.41,90,0.61,1.13,0.09,1.31,0,0,0,0.7,0.17,0,0,0,0,2.88,0.0,28.55,0.26,0.0,0.0,4.45,52.58,1.31,3.93,0.35,0.0,0.79,0.35,0.17,11.11,0.0,0.0,,0.0,0.0,0.0,José Caldera,Deportivo Cali
0.05,0.24,0.0,5.06,58.15,0.66,60.87,1.47,0.09,79.05,5.72,58.45,90,1.28,0.99,0.66,1.04,0,0,0,0.71,0.09,0,0,0,0,6.38,0.05,26.05,0.99,0.52,22.0,1.84,48.75,0.66,2.69,0.61,0.0,0.52,0.14,0.19,9.09,0.0,0.0,,0.0,0.0,0.0,Jhomier Guerrero,Junior Barranquilla
0.0,0.24,0.05,2.0,40.2,1.37,60.87,0.39,0.2,78.43,3.37,46.62,90,0.24,1.32,0.68,1.02,0,0,0,0.54,0.05,0,0,0,0,9.76,0.1,36.0,0.88,0.34,21.88,2.98,45.52,0.93,2.63,0.59,0.0,0.63,0.0,0.05,0.0,0.05,0.05,,0.0,0.0,0.0,Danovis Banguero,Millonarios
0.05,0.15,0.0,1.86,61.67,1.46,69.05,0.0,0.0,83.19,3.32,64.71,90,0.81,0.65,0.05,1.01,0,0,0,0.81,0.2,0,0,0,0,3.27,0.0,29.9,0.2,0.1,22.22,2.47,39.2,1.46,4.63,0.3,0.0,0.76,0.2,0.15,6.67,0.0,0.1,,0.0,0.0,0.0,Joyce Ossa,Deportivo Pasto
0.0,0.24,0.0,1.88,61.54,1.59,56.25,0.18,0.0,85.52,3.47,59.0,90,0.47,0.71,0.35,1.0,0,0,0,0.71,0.29,0,0,0,0,5.59,0.0,40.65,0.29,0.0,0.0,5.24,59.33,0.53,4.29,0.12,0.0,0.24,0.06,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Pedro Franco,Alianza Valledupar FC
0.15,0.1,0.0,2.53,59.04,0.67,50.0,0.21,0.0,77.55,3.2,56.88,90,0.67,0.77,0.31,1.03,0,0,0,0.98,0.1,0,0,0,0,4.65,0.1,23.91,1.03,0.77,27.27,1.91,35.24,0.67,2.69,0.52,0.0,1.03,0.41,0.21,15.0,0.0,0.15,,0.0,0.0,0.0,Jeison Suárez,Deportivo Pereira
0.0,0.29,0.0,1.02,51.85,1.53,58.33,0.0,0.07,83.75,2.55,55.56,90,0.22,0.58,0.15,1.09,0,0,0,0.44,0.07,0,0,0,0,3.2,0.15,36.41,0.29,0.0,0.0,4.08,51.85,0.8,3.64,0.29,0.0,0.15,0.0,0.0,0.0,0.0,0.07,,0.0,0.0,0.0,José Ortiz,Independiente Medellín
0.22,0.55,0.0,1.1,52.63,2.2,74.07,0.0,0.0,80.23,3.3,65.22,90,0.22,0.99,0.0,1.32,0,0,0,0.77,0.11,0,0,0,0,3.3,0.0,30.81,0.11,0.11,100.0,4.07,48.05,0.77,5.94,0.0,0.0,0.99,0.44,0.0,22.22,0.0,0.0,,0.0,0.0,0.0,Julián Quiñones,Deportes Tolima
0.06,0.26,0.0,0.96,42.86,1.03,66.67,0.0,0.06,83.33,1.99,52.54,90,0.39,0.9,0.06,1.09,0,0,0,0.77,0.06,0,0,0,0,4.44,0.0,31.2,0.32,0.0,0.0,3.6,48.7,0.84,3.99,0.32,0.06,0.96,0.39,0.13,6.67,0.0,0.0,,0.0,0.0,0.0,Jerson Malagón,Once Caldas
0.06,0.18,0.0,1.47,59.52,2.12,56.25,0.12,0.0,87.06,3.59,57.55,90,0.59,0.71,0.06,1.06,0,0,0,0.71,0.18,0,0,0,0,1.82,0.0,35.24,0.12,0.06,50.0,3.0,55.43,1.35,5.41,0.29,0.0,0.41,0.12,0.06,14.29,0.0,0.0,,0.0,0.0,0.0,Juan Quintero,Deportivo Cali
0.13,0.38,0.0,1.69,48.21,1.31,60.0,0.0,0.0,87.9,3.0,52.75,90,0.56,1.44,0.13,1.06,0,0,0,0.5,0.06,0,0,0,0,2.5,0.0,34.52,0.19,0.0,0.0,3.19,60.71,0.63,3.19,0.25,0.0,0.38,0.13,0.13,33.33,0.0,0.0,,0.0,0.0,0.0,Jean Carlos Pestaña,América de Cali
0.0,0.0,0.0,2.57,60.0,1.71,50.0,0.43,0.0,68.92,4.29,55.56,90,0.0,0.43,0.0,1.71,0,0,0,0.86,0.0,0,0,0,0,4.29,0.43,21.86,0.86,0.0,0.0,1.29,50.0,0.86,2.57,0.86,0.0,0.43,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Cristian Uribe,Atlético Nacional
0.1,0.51,0.1,2.45,50.0,1.12,68.75,0.2,0.0,80.36,3.57,54.69,90,0.61,1.22,0.41,1.43,0,0,0,0.61,0.2,0,0,0,0,5.3,0.1,27.52,0.61,0.31,42.86,2.04,36.36,1.22,3.16,0.2,0.0,0.51,0.2,0.1,20.0,0.0,0.2,,0.0,0.0,0.0,Sebastian Ramirez,Fortaleza CEIF
0.0,0.18,0.0,1.99,46.58,0.35,35.29,0.29,0.18,82.13,2.35,44.44,90,0.23,0.64,0.23,1.11,0,0,0,0.82,0.12,0,0,0,0,7.8,0.18,28.03,1.41,0.47,14.55,2.4,56.16,0.64,1.82,0.76,0.0,0.7,0.12,0.35,0.0,0.0,0.12,,0.0,0.0,0.0,Camilo Cándido,Atlético Nacional
0.14,0.14,0.0,1.12,34.04,0.35,41.67,0.21,0.14,62.09,1.47,35.59,90,0.42,0.84,0.21,1.05,0,0,0,0.84,0.14,0,0,0,0,4.83,0.14,17.41,1.61,2.03,31.87,2.31,33.67,0.98,1.96,0.7,0.0,1.19,0.35,0.35,11.76,0.0,0.0,,0.0,0.0,0.0,Israel Alba,Deportivo Pasto
0.12,0.37,0.0,1.48,66.67,1.48,70.59,0.25,0.12,77.27,2.97,68.57,90,0.25,0.62,0.0,1.11,0,0,0,1.24,0.0,0,0,0,0,2.23,0.12,29.42,0.12,0.0,0.0,2.84,32.39,0.99,5.44,0.12,0.0,0.62,0.12,0.12,20.0,0.12,0.0,,0.0,0.0,0.0,Jhostin Medranda,Deportivo Pereira
0.0,0.34,0.0,2.34,51.52,0.55,32.0,0.41,0.34,77.56,2.89,46.15,90,0.76,1.03,0.28,1.03,0,0,0,0.48,0.21,0,0,0,0,6.26,0.14,24.0,0.83,0.69,35.71,1.17,38.64,1.51,2.48,0.14,0.0,0.62,0.21,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Marcos Mina,América de Cali
0.0,0.33,0.0,2.16,57.35,1.05,52.78,0.17,0.0,82.7,3.22,55.77,90,0.61,0.78,0.33,1.11,0,0,0,0.83,0.0,0,0,0,0,2.61,0.0,35.29,0.06,0.0,0.0,4.38,50.32,0.89,4.72,0.28,0.0,0.44,0.11,0.06,0.0,0.11,0.06,,0.0,0.0,0.0,Daniel Rivera,Junior Barranquilla
0.11,0.34,0.0,2.95,52.0,1.02,60.0,0.23,0.0,83.82,3.98,53.85,90,1.36,1.14,0.57,1.82,0,0,0,0.45,0.0,0,0,0,0,8.41,0.0,25.91,0.68,0.23,11.76,1.02,52.94,0.68,2.84,0.45,0.0,0.68,0.23,0.0,16.67,0.0,0.11,,0.0,0.0,0.0,Helibelton Palacios,Millonarios
0.27,0.13,0.0,1.86,66.67,1.46,61.11,0.0,0.0,79.93,3.31,64.1,90,0.4,0.8,0.0,1.99,0,0,0,0.8,0.0,0,0,0,0,3.18,0.0,29.03,0.27,0.0,0.0,4.24,49.23,0.93,7.03,0.13,0.0,0.8,0.4,0.13,33.33,0.0,0.13,,0.0,0.0,0.0,Ivan Scarpeta,Independiente Santa Fe
0.0,0.2,0.0,1.65,54.1,1.65,71.74,0.3,0.0,79.48,3.3,61.68,90,0.3,0.85,0.05,1.0,0,0,0,0.9,0.05,0,0,0,0,3.05,0.0,30.6,0.1,0.05,50.0,4.85,53.89,0.9,4.5,0.5,0.0,0.25,0.1,0.1,0.0,0.0,0.0,,0.0,0.0,0.0,Diego Hernández,Rionegro Águilas Doradas
0.0,0.1,0.0,2.12,70.0,1.01,50.0,0.2,0.0,84.59,3.13,62.0,90,0.5,0.5,0.1,1.11,0,0,0,1.31,0.2,0,0,0,0,7.26,0.0,48.73,0.1,0.0,0.0,5.75,54.29,0.81,2.93,0.2,0.0,0.61,0.0,0.1,0.0,0.0,0.0,,0.0,0.0,0.0,Yesid Díaz,Fortaleza CEIF
0.12,0.37,0.12,3.79,68.89,2.44,66.67,0.12,0.0,69.92,6.23,68.0,90,0.49,1.1,0.12,1.47,0,0,0,0.49,0.49,0,0,0,0,1.83,0.0,20.15,0.37,0.0,0.0,2.44,32.79,1.71,5.25,0.49,0.0,0.12,0.12,0.0,100.0,0.0,0.12,,0.0,0.0,0.0,Juan Castaño,Once Caldas
0.18,0.0,0.0,3.3,58.06,1.1,60.0,0.18,0.18,80.45,4.4,58.54,90,0.92,0.92,0.18,1.47,0,0,0,0.73,0.18,0,0,0,0,6.05,0.0,26.4,0.37,0.92,33.33,2.02,55.0,1.28,1.47,0.92,0.0,0.55,0.18,0.0,33.33,0.0,0.18,,0.0,0.0,0.0,Andrés Salazar,Atlético Nacional
