goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team
0.39,0.26,0.06,2.26,44.3,1.16,56.25,0.39,0.39,80.43,3.42,47.75,90,1.16,1.35,0.84,1.29,0,0,0,1.16,0.19,0,0,0,0,10.51,0.19,23.85,1.81,0.0,0.0,2.06,78.05,0.06,0.64,0.26,0.06,4.26,1.61,1.16,9.09,0.0,0.45,,0.0,0,0.0,Alfredo Morelos,Atlético Nacional
0.59,0.24,0.0,1.42,37.66,1.86,44.71,0.34,0.05,68.86,3.27,41.36,90,0.83,0.83,0.88,1.03,0,0,0,0.73,0.15,0,0,0,0,5.28,0.2,13.29,0.78,0.05,50.0,0.64,54.17,0.0,1.07,0.05,0.0,3.66,1.42,0.93,16.0,0.0,0.34,,0.0,0,0.0,Hugo Rodallega,Independiente Santa Fe
0.0,0.15,0.0,4.04,53.4,0.29,33.33,0.66,0.15,77.46,4.33,51.3,90,2.35,1.03,0.73,1.1,0,0,0,0.73,0.07,0,0,0,0,13.87,0.07,30.02,2.72,2.5,29.82,1.32,36.73,0.37,0.88,0.73,0.07,2.5,0.95,0.66,0.0,0.0,0.22,,0.0,0,0.0,Fredy Salazar,Rionegro Águilas Doradas
0.65,0.09,0.0,2.59,48.28,1.02,50.0,0.74,0.18,79.9,3.6,48.75,90,1.11,1.11,0.74,1.48,0,0,0,0.46,0.09,0,0,0,0,6.38,0.09,14.69,1.66,0.0,0.0,0.46,83.33,0.46,0.74,0.18,0.09,2.68,0.83,0.65,24.14,0.0,0.65,,0.0,0,0.0,Rodrigo Holgado,América de Cali
0.56,0.19,0.0,2.43,48.15,0.65,20.59,0.19,0.19,76.19,3.08,37.5,90,1.59,0.84,1.21,1.31,0,0,0,0.93,0.19,0,0,0,0,3.83,0.28,13.46,1.12,0.09,50.0,1.12,85.71,0.0,0.19,0.47,0.28,3.46,1.5,0.56,16.22,0.0,0.47,,0.0,0,0.0,Luciano Pons,Atlético Bucaramanga
0.28,0.0,0.0,4.41,58.18,1.86,55.1,0.96,0.07,79.42,6.27,57.23,90,2.21,1.17,1.1,1.24,0,0,0,0.76,0.07,0,0,0,0,8.75,0.07,18.88,1.1,0.07,3.57,0.76,64.71,0.48,0.96,0.34,0.0,2.41,0.9,0.69,11.43,0.07,0.34,,0.0,0,0.0,Yony González,Rionegro Águilas Doradas
0.47,0.16,0.0,0.98,52.78,0.1,10.0,0.21,0.05,81.58,1.09,37.5,90,0.47,0.21,0.41,1.14,0,0,0,0.88,0.26,0,0,0,0,6.53,0.05,14.46,1.19,0.1,16.67,1.45,75.68,0.26,0.31,0.05,0.16,2.95,1.35,0.36,15.79,0.05,1.09,,0.0,0,0.05,Dayro Moreno,Once Caldas
0.33,0.24,0.08,2.69,40.74,0.73,33.33,1.06,0.33,67.42,3.43,38.89,90,1.22,0.65,1.39,1.31,0,0,0,0.82,0.08,0,0,0,0,10.2,0.33,21.95,2.2,0.73,24.32,1.55,57.58,0.49,0.0,0.49,0.08,2.45,1.06,0.73,13.33,0.08,0.49,,0.0,0,0.0,Darwin Quintero,Deportivo Pereira
0.46,0.12,0.0,3.02,57.14,0.87,38.46,0.29,0.12,69.8,3.89,51.54,90,1.98,1.16,0.7,1.22,0,0,0,0.93,0.17,0,0,0,0,3.95,0.12,10.34,0.7,0.12,28.57,0.23,50.0,0.17,1.39,0.0,0.23,2.73,1.57,0.29,17.02,0.06,0.81,,0.0,0,0.0,Gonzalo Lencina,Deportes Tolima
0.85,0.28,0.0,1.71,42.86,0.71,38.46,0.14,0.0,72.5,2.42,41.46,90,1.28,0.57,1.14,1.42,0,0,0,1.14,0.0,0,0,0,0,3.99,0.0,12.39,0.57,0.0,0.0,0.71,55.56,0.14,0.57,0.0,0.14,2.42,1.14,0.28,35.29,0.14,0.14,,0.0,0,0.0,Leonardo Castro,Millonarios
0.22,0.36,0.0,5.91,57.04,1.02,34.15,0.29,0.07,78.76,6.93,51.91,90,4.16,2.04,1.02,1.31,0,0,0,0.73,0.15,0,0,0,0,8.31,0.22,21.37,1.02,0.58,53.33,1.02,63.64,0.44,0.73,0.29,0.0,1.53,0.73,0.22,14.29,0.0,0.36,,0.0,0,0.0,Andrey Estupiñán,Deportivo Cali
0.15,0.3,0.0,3.4,55.42,0.52,38.89,0.52,0.22,81.74,3.92,52.48,90,1.7,1.04,0.67,1.48,0,0,0,0.89,0.07,0,0,0,0,11.46,0.07,27.14,1.41,0.67,16.67,2.51,51.52,0.52,1.04,0.74,0.0,1.63,0.74,0.37,9.09,0.0,0.37,,0.0,0,0.0,Johan Caballero,Rionegro Águilas Doradas
0.41,0.23,0.06,1.51,44.07,2.5,38.74,0.17,0.06,70.98,4.0,40.59,90,1.28,1.16,0.52,1.04,0,0,0,1.22,0.17,0,0,0,0,2.96,0.0,7.95,0.7,0.06,25.0,0.12,66.67,0.06,1.1,0.17,0.06,2.32,0.87,0.46,17.5,0.0,0.93,,0.0,0,0.0,Jairo Molina,Boyacá Chicó FC
0.45,0.0,0.0,2.31,46.97,0.97,30.95,0.97,0.07,79.61,3.27,40.74,90,0.89,0.52,0.74,1.34,0,0,0,1.26,0.22,0,0,0,0,6.17,0.0,15.1,1.34,0.0,0.0,0.6,66.67,0.37,0.37,0.22,0.15,2.01,1.04,0.3,22.22,0.0,0.22,,0.0,0,0.0,Emilio Aristizábal,Fortaleza CEIF
0.34,0.17,0.09,3.15,45.12,0.34,66.67,1.19,0.34,79.82,3.49,46.59,90,0.94,0.85,0.6,1.62,0,0,0,0.77,0.17,0,0,0,0,8.6,0.43,22.22,1.79,1.36,33.33,0.68,38.1,0.26,0.77,0.6,0.09,2.72,0.85,0.6,12.5,0.0,0.09,,0.0,0,0.0,Bryan Castrillón,Junior Barranquilla
0.19,0.37,0.06,1.98,46.38,0.49,36.36,0.31,0.0,75.05,2.47,43.96,90,1.24,0.74,0.8,1.3,0,0,0,0.37,0.06,0,0,0,0,10.5,0.06,22.86,2.53,0.12,7.14,0.68,45.83,0.19,0.37,0.25,0.12,1.73,0.56,0.56,10.71,0.12,0.25,,0.0,0,0.0,Luis Sandoval,Independiente Medellín
