goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team
0.78,0.35,0.09,2.86,52.38,0.26,42.86,0.52,0.52,80.04,3.12,51.43,90,1.39,1.21,0.69,1.39,0.0,0,0,0.95,0.09,0,0,0,0,16.82,0.35,37.54,3.82,2.43,33.73,5.81,72.83,0.35,0.35,0.26,0.0,3.82,1.65,0.95,20.45,0.0,0.0,,0.0,0.0,0.0,Edwin Cardona,Atlético Nacional
0.3,0.0,0.1,2.21,48.89,0.0,0.0,1.2,0.3,77.33,2.21,48.89,90,0.6,0.4,0.6,1.2,0.0,0,0,0.0,0.0,0,0,0,0,18.36,0.2,42.44,2.31,0.7,15.56,6.42,70.33,0.0,0.1,0.4,0.0,4.11,1.71,1.2,7.32,0.2,0.3,,0.0,0.0,0.0,Juan Fernando Quintero,América de Cali
0.38,0.13,0.0,4.09,58.56,0.25,40.0,1.19,0.13,81.57,4.34,57.02,90,2.26,0.88,0.82,1.19,0.0,0,0,0.31,0.19,0,0,0,0,13.32,0.06,26.15,1.51,1.07,26.98,1.38,56.41,0.44,0.25,0.0,0.13,2.89,1.51,0.38,13.04,0.06,0.31,,0.0,0.0,0.06,Duván Vergara,América de Cali
0.06,0.06,0.0,2.58,58.82,0.65,66.67,0.13,0.32,88.87,3.23,60.24,90,1.03,0.84,0.45,1.1,0.0,0,0,1.03,0.06,0,0,0,0,8.65,0.13,45.39,1.55,1.74,48.21,4.0,67.39,1.74,1.36,0.39,0.0,0.97,0.45,0.19,6.67,0.0,0.0,,0.0,0.0,0.0,Brayan Rovira,Deportes Tolima
0.63,0.13,0.0,3.26,52.0,0.38,27.27,0.63,0.25,84.7,3.64,47.54,90,2.13,0.88,0.63,1.88,0.0,0,0,0.63,0.0,0,0,0,0,9.78,0.25,28.45,2.51,2.38,41.3,2.13,80.95,0.75,0.13,0.38,0.25,2.26,1.25,0.5,27.78,0.0,0.25,,0.0,0.0,0.0,Frank Castañeda,Atlético Bucaramanga
0.18,0.18,0.0,3.59,56.48,0.12,20.0,1.0,0.18,76.05,3.71,53.39,90,1.41,0.12,1.06,1.24,0.0,0,0,0.77,0.0,0,0,0,0,12.77,0.06,28.78,2.24,1.71,32.22,2.53,55.84,0.29,0.12,0.65,0.0,3.24,1.12,1.0,5.45,0.18,0.12,,0.0,0.0,0.0,Daniel Ruiz,Millonarios
0.11,0.53,0.0,4.35,44.09,0.21,28.57,0.64,0.21,76.12,4.56,43.0,90,2.76,2.44,1.38,1.06,0.0,0,0,0.42,0.11,0,0,0,0,12.83,0.11,28.73,2.76,1.06,27.78,2.12,68.97,0.32,0.21,0.42,0.0,1.91,0.64,0.64,5.56,0.0,0.32,,0.0,0.0,0.0,Fabián Sambueza,Atlético Bucaramanga
0.11,0.0,0.0,2.58,56.98,0.26,38.46,0.53,0.32,77.9,2.84,54.55,90,1.58,0.47,0.95,1.05,0.0,0,0,1.26,0.16,0,0,0,0,13.17,0.21,34.7,2.58,1.58,22.56,3.9,54.41,0.16,0.21,0.0,0.05,0.79,0.26,0.11,13.33,0.05,0.11,,0.0,0.0,0.0,Bryan Urueña,Llaneros FC
0.21,0.31,0.0,3.09,42.86,0.31,42.86,0.1,0.0,83.82,3.4,42.86,90,2.47,2.47,1.03,1.44,0.1,0,0,0.51,0.0,0,0,0,0,18.74,0.1,38.41,3.3,1.65,33.33,2.47,63.16,0.21,0.0,0.51,0.0,2.78,0.62,0.93,7.41,0.0,0.21,,0.0,0.0,0.0,Billy Arce,Atlético Nacional
0.0,0.27,0.07,3.92,56.31,0.2,21.43,0.41,0.07,88.01,4.12,52.14,90,1.22,1.22,0.54,1.08,0.0,0,0,0.47,0.0,0,0,0,0,12.24,0.14,42.67,1.76,0.27,22.22,2.77,71.93,0.88,0.81,0.34,0.07,1.35,0.54,0.27,0.0,0.07,0.0,,0.0,0.0,0.0,Nicolas Arevalo,Millonarios
