,player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,xg,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates,xgot,goalType
0,"{'name': 'Alejandro Garnacho', 'firstName': '', 'lastName': '', 'slug': 'alejandro-garnacho', 'shortName': 'A. Garnacho', 'position': 'F', 'jerseyNumber': '17', 'userCount': 157027, 'id': 1135873, 'fieldTranslations': {'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. غارناتشو', 'hi': 'ए. गार्नाचो', 'bn': 'এ. গার্নাচো'}}}",True,miss,assisted,"{'x': 22.5, 'y': 33.6, 'z': 0}",right-foot,left,"{'x': 0, 'y': 59.8, 'z': 8.3}",0.015376196242869,2878120,90,3.0,5574,"{'start': {'x': 33.6, 'y': 22.5}, 'end': {'x': 40.2, 'y': 0}, 'goal': {'x': 40.2, 'y': 91.7}}",1,726,174,shot,,,
1,"{'name': 'Declan Rice', 'slug': 'declan-rice', 'shortName': 'D. Rice', 'position': 'M', 'jerseyNumber': '41', 'userCount': 57196, 'id': 856714, 'fieldTranslations': {'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. رايس', 'hi': 'डी. राइस', 'bn': 'ডি. রাইস'}}}",False,save,corner,"{'x': 23.4, 'y': 38.5, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 47.1, 'z': 11.4}",0.033054675906897,2878044,83,,4935,"{'start': {'x': 38.5, 'y': 23.4}, 'block': {'x': 49.3, 'y': 1.5}, 'end': {'x': 52.9, 'y': 0}, 'goal': {'x': 52.9, 'y': 88.6}}",8,465,2235,shot,"{'x': 1.5, 'y': 49.3, 'z': 0}",0.1173,
2,"{'name': 'Gabriel Martinelli', 'slug': 'gabriel-martinelli', 'shortName': 'G. Martinelli', 'position': 'F', 'jerseyNumber': '11', 'userCount': 82515, 'id': 922573, 'fieldTranslations': {'nameTranslation': {}, 'shortNameTranslation': {'ar': 'غ. مارتينيلي', 'hi': 'जी. मार्टिनेली', 'bn': 'জি. মার্টিনেলি'}}}",False,save,assisted,"{'x': 12.1, 'y': 46.4, 'z': 0}",right-foot,high-centre,"{'x': 0, 'y': 49.7, 'z': 24.1}",0.18473945558071,2878026,79,,4686,"{'start': {'x': 46.4, 'y': 12.1}, 'block': {'x': 49.3, 'y': 1}, 'end': {'x': 50.3, 'y': 0}, 'goal': {'x': 50.3, 'y': 75.9}}",12,714,1986,shot,"{'x': 1, 'y': 49.3, 'z': 0}",0.0419,
3,"{'name': 'Alejandro Garnacho', 'firstName': '', 'lastName': '', 'slug': 'alejandro-garnacho', 'shortName': 'A. Garnacho', 'position': 'F', 'jerseyNumber': '17', 'userCount': 157027, 'id': 1135873, 'fieldTranslations': {'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. غارناتشو', 'hi': 'ए. गार्नाचो', 'bn': 'এ. গার্নাচো'}}}",True,miss,fast-break,"{'x': 9.3, 'y': 32.6, 'z': 0}",left-foot,close-left,"{'x': 0, 'y': 56.6, 'z': 25}",0.05545387417078,2878020,77,,4603,"{'start': {'x': 32.6, 'y': 9.3}, 'end': {'x': 43.4, 'y': 0}, 'goal': {'x': 43.4, 'y': 75}}",14,797,1903,shot,,,
4,"{'name': 'Sofyan Amrabat', 'slug': 'sofyan-amrabat', 'shortName': 'S. Amrabat', 'position': 'M', 'jerseyNumber': '34', 'userCount': 35803, 'id': 359272, 'fieldTranslations': {'nameTranslation': {}, 'shortNameTranslation': {'ar': 'س. أمرابط', 'hi': 'एस. अमराबात', 'bn': 'এস. আমরাবত'}}}",True,block,assisted,"{'x': 27.1, 'y': 60.5, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 46.9, 'z': 19}",0.018405847251415,2878011,74,,4387,"{'start': {'x': 60.5, 'y': 27.1}, 'block': {'x': 59.6, 'y': 23.7}, 'end': {'x': 53.1, 'y': 0}, 'goal': {'x': 53.1, 'y': 81}}",17,1013,1687,shot,"{'x': 23.7, 'y': 59.6, 'z': 0}",,
5,"{'name': 'Antony', 'firstName': '', 'lastName': '', 'slug': 'antony', 'shortName': 'Antony', 'position': 'M', 'jerseyNumber': '7', 'userCount': 188198, 'id': 958380, 'fieldTranslations': {'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أنتوني', 'hi': 'एंटोनी', 'bn': 'অ্যান্টনি'}}}",True,save,regular,"{'x': 17.8, 'y': 42.8, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 51.6, 'z': 5.1}",0.040836479514837,2878004,72,,4290,"{'start': {'x': 42.8, 'y': 17.8}, 'block': {'x': 49.5, 'y': 1.1}, 'end': {'x': 48.4, 'y': 0}, 'goal': {'x': 48.4, 'y': 94.9}}",19,1110,1590,shot,"{'x': 1.1, 'y': 49.5, 'z': 0}",0.0593,
6,"{'name': 'Casemiro', 'firstName': '', 'lastName': '', 'slug': 'casemiro', 'shortName': 'Casemiro', 'position': 'M', 'jerseyNumber': '18', 'userCount': 113111, 'id': 122951, 'fieldTranslations': {'nameTranslation': {}, 'shortNameTranslation': {'ar': 'كاسيميرو', 'hi': 'कैसेमिरो', 'bn': 'ক্যাসেমিরো'}}}",True,save,assisted,"{'x': 28.6, 'y': 67.4, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 51.9, 'z': 15.2}",0.017117731273174,2877961,68,,4051,"{'start': {'x': 67.4, 'y': 28.6}, 'block': {'x': 52.3, 'y': 2.7}, 'end': {'x': 48.1, 'y': 0}, 'goal': {'x': 48.1, 'y': 84.8}}",23,1349,1351,shot,"{'x': 2.7, 'y': 52.3, 'z': 0}",0.0686,
7,"{'name': 'Martin Ødegaard', 'firstName': '', 'lastName': '', 'slug': 'martin-odegaard', 'shortName': 'M. Ødegaard', 'position': 'M', 'jerseyNumber': '8', 'userCount': 95624, 'id': 547410, 'fieldTranslations': {'nameTranslation': {}, 'shortNameTranslation': {'ar': 'م. أوديغارد', 'hi': 'एम. ओडेगार्ड', 'bn': 'এম. ওডেগার্ড'}}}",False,save,assisted,"{'x': 17.9, 'y': 54.8, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 51.8, 'z': 6.3}",0.080921597778797,2877944,65,,3840,"{'start': {'x': 54.8, 'y': 17.9}, 'block': {'x': 49.8, 'y': 1.9}, 'end': {'x': 48.2, 'y': 0}, 'goal': {'x': 48.2, 'y': 93.7}}",26,1560,1140,shot,"{'x': 1.9, 'y': 49.8, 'z': 0}",0.0766,
8,"{'name': 'Alejandro Garnacho', 'firstName': '', 'lastName': '', 'slug': 'alejandro-garnacho', 'shortName': 'A. Garnacho', 'position': 'F', 'jerseyNumber': '17', 'userCount': 157027, 'id': 1135873, 'fieldTranslations': {'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. غارناتشو', 'hi': 'ए. गार्नाचो', 'bn': 'এ. গার্নাচো'}}}",True,miss,assisted,"{'x': 17.8, 'y': 30.1, 'z': 0}",right-foot,high-right,"{'x': 0, 'y': 40.3, 'z': 47.2}",0.041959006339312,2877903,61,,3602,"{'start': {'x': 30.1, 'y': 17.8}, 'end': {'x': 59.7, 'y': 0}, 'goal': {'x': 59.7, 'y': 52.8}}",30,1798,902,shot,,,
9,"{'name': 'William Saliba', 'slug': 'william-saliba', 'shortName': 'W. Saliba', 'position': 'D', 'jerseyNumber': '2', 'userCount': 38470, 'id': 941168, 'fieldTranslations': {'nameTranslation': {}, 'shortNameTranslation': {'ar': 'و. صاليبا', 'hi': 'डब्लू. सलीबा', 'bn': 'ডব্লিউ. সালিবা'}}}",False,miss,corner,"{'x': 4.2, 'y': 60.5, 'z': 0}",head,close-high,"{'x': 0, 'y': 53.8, 'z': 58.3}",0.042066998779774,2877876,57,,3391,"{'start': {'x': 60.5, 'y': 4.2}, 'end': {'x': 46.2, 'y': 0}, 'goal': {'x': 46.2, 'y': 41.7}}",34,2009,691,shot,,,
