fecha,partido,competicion,duracion,equipo,seleccionar_esquema,goles,xg,tiros,tiros_a_la_porteria,%tiros,pases,pases_logrados,%pases,posesion_del_balon_,balones_perdidos,balones_perdidos_bajos,balones_perdidos_medios,balones_perdidos_altos,balones_recuperados,balones_recuperados_bajos,balones_recuperados_medios,balones_recuperados_altos,duelos,duelos_ganados,%duelos,tiros_de_fuera_del_area,tiros_de_fuera_del_area_a_la_porteria,%tiros_de_fuera_del_area,ataques_posicionales,ataques_posicionales_con_remate,%ataques_posicionales,contraataques,contraataques_con_remate,%contraataques,jugadas_a_balon_parado,jugadas_a_balon_parado_con_remate,%jugadas_a_balon_parado,corneres,corneres_con_remate,%corneres,tiros_libres,tiros_libres_con_remate,%tiros_libres,penaltis,penaltis_marcados,%penaltis,centros,centros_precisos,%centros,pases_cruzados_en_profundidad_completados,pases_en_profundidad_completados,entradas_al_area_de_penalti_carreras,entradas_al_area_de_penalti_carreras_pases_cruzados,%entradas_al_area_de_penalti_carreras,toques_en_el_area_de_penalti,duelos_ofensivos,duelos_ofensivos_ganados,%duelos_ofensivos,fuera_de_juego,goles_recibidos,tiros_en_contra,tiros_en_contra_a_la_porteria,%tiros_en_contra,duelos_defensivos,duelos_defensivos_ganados,%duelos_defensivos,duelos_aereos,duelos_aereos_ganados,%duelos_aereos,entradas_a_ras_de_suelo,entradas_a_ras_de_suelo_logradas,%entradas_a_ras_de_suelo,interceptaciones,despejes,faltas,tarjetas_amarillas,tarjetas_rojas,pases_hacia_adelante,pases_hacia_adelante_logrados,%pases_hacia_adelante,pases_hacia_atras,pases_hacia_atras_logrados,%pases_hacia_atras,pases_laterales,pases_laterales_logrados,%pases_laterales,pases_largos,pases_largos_logrados,%pases_largos,pases_en_el_ultimo_tercio,pases_en_el_ultimo_tercio_logrados,%pases_en_el_ultimo_tercio,pases_progresivos,pases_progresivos_precisos,%pases_progresivos,desmarques,desmarques_logrados,%desmarques,saques_laterales,saques_laterales_logrados,%saques_laterales,saques_de_meta,intensidad_de_paso,promedio_pases_por_posesion_del_balon,lanzamiento_largo_,distancia_media_de_tiro,longitud_media_pases,ppda,competicion_contra,duracion_contra,equipo_contra,seleccionar_esquema_contra,goles_contra,xg_contra,tiros_contra,tiros_a_la_porteria_contra,%tiros_contra,pases_contra,pases_logrados_contra,%pases_contra,posesion_del_balon__contra,balones_perdidos_contra,balones_perdidos_bajos_contra,balones_perdidos_medios_contra,balones_perdidos_altos_contra,balones_recuperados_contra,balones_recuperados_bajos_contra,balones_recuperados_medios_contra,balones_recuperados_altos_contra,duelos_contra,duelos_ganados_contra,%duelos_contra,tiros_de_fuera_del_area_contra,tiros_de_fuera_del_area_a_la_porteria_contra,%tiros_de_fuera_del_area_contra,ataques_posicionales_contra,ataques_posicionales_con_remate_contra,%ataques_posicionales_contra,contraataques_contra,contraataques_con_remate_contra,%contraataques_contra,jugadas_a_balon_parado_contra,jugadas_a_balon_parado_con_remate_contra,%jugadas_a_balon_parado_contra,corneres_contra,corneres_con_remate_contra,%corneres_contra,tiros_libres_contra,tiros_libres_con_remate_contra,%tiros_libres_contra,penaltis_contra,penaltis_marcados_contra,%penaltis_contra,centros_contra,centros_precisos_contra,%centros_contra,pases_cruzados_en_profundidad_completados_contra,pases_en_profundidad_completados_contra,entradas_al_area_de_penalti_carreras_contra,entradas_al_area_de_penalti_carreras_pases_cruzados_contra,%entradas_al_area_de_penalti_carreras_contra,toques_en_el_area_de_penalti_contra,duelos_ofensivos_contra,duelos_ofensivos_ganados_contra,%duelos_ofensivos_contra,fuera_de_juego_contra,goles_recibidos_contra,tiros_en_contra_contra,tiros_en_contra_a_la_porteria_contra,%tiros_en_contra_contra,duelos_defensivos_contra,duelos_defensivos_ganados_contra,%duelos_defensivos_contra,duelos_aereos_contra,duelos_aereos_ganados_contra,%duelos_aereos_contra,entradas_a_ras_de_suelo_contra,entradas_a_ras_de_suelo_logradas_contra,%entradas_a_ras_de_suelo_contra,interceptaciones_contra,despejes_contra,faltas_contra,tarjetas_amarillas_contra,tarjetas_rojas_contra,pases_hacia_adelante_contra,pases_hacia_adelante_logrados_contra,%pases_hacia_adelante_contra,pases_hacia_atras_contra,pases_hacia_atras_logrados_contra,%pases_hacia_atras_contra,pases_laterales_contra,pases_laterales_logrados_contra,%pases_laterales_contra,pases_largos_contra,pases_largos_logrados_contra,%pases_largos_contra,pases_en_el_ultimo_tercio_contra,pases_en_el_ultimo_tercio_logrados_contra,%pases_en_el_ultimo_tercio_contra,pases_progresivos_contra,pases_progresivos_precisos_contra,%pases_progresivos_contra,desmarques_contra,desmarques_logrados_contra,%desmarques_contra,saques_laterales_contra,saques_laterales_logrados_contra,%saques_laterales_contra,saques_de_meta_contra,intensidad_de_paso_contra,promedio_pases_por_posesion_del_balon_contra,lanzamiento_largo__contra,distancia_media_de_tiro_contra,longitud_media_pases_contra,ppda_contra,tipo,jornada
2025-02-11,Agropecuario - Chacarita Juniors 0:1,Argentina. Primera Nacional,97.0,Agropecuario,5-3-2 (100.0%),0.0,0.42,9.0,4.0,44.44,514.0,425.0,82.68,58.59,108.0,15.0,34.0,59.0,83.0,44.0,29.0,10.0,199.0,90.0,45.23,6.0,2.0,33.33,33.0,8.0,24.24,1.0,0.0,0.0,19.0,1.0,5.26,1.0,1.0,100.0,4.0,0.0,0.0,0.0,0.0,0.0,22.0,5.0,22.73,2.0,6.0,19.0,1.0,7.0,10.0,61.0,23.0,37.7,0.0,1.0,11.0,5.0,45.45,68.0,40.0,58.82,40.0,16.0,40.0,5.0,1.0,20.0,22.0,11.0,13.0,1.0,0.0,181.0,127.0,70.17,84.0,82.0,97.62,181.0,162.0,89.5,67.0,31.0,46.27,69.0,44.0,63.77,83.0,62.0,74.7,1.0,1.0,100.0,23.0,23.0,100.0,7.0,17.17,5.24,13.04,21.09,21.39,10.22,Argentina. Primera Nacional,97.0,Chacarita Juniors,4-2-3-1 (100.0%),1.0,0.84,11.0,5.0,45.45,285.0,216.0,75.79,41.41,102.0,24.0,25.0,53.0,77.0,39.0,27.0,11.0,199.0,96.0,48.24,7.0,2.0,28.57,29.0,7.0,24.14,0.0,0.0,0.0,22.0,3.0,13.64,4.0,1.0,25.0,3.0,0.0,0.0,0.0,0.0,0.0,14.0,7.0,50.0,6.0,3.0,16.0,0.0,10.0,7.0,68.0,28.0,41.18,2.0,0.0,9.0,4.0,44.44,61.0,38.0,62.3,40.0,18.0,45.0,5.0,3.0,60.0,41.0,23.0,10.0,3.0,0.0,115.0,72.0,62.61,41.0,40.0,97.56,93.0,77.0,82.8,50.0,26.0,52.0,59.0,36.0,61.02,66.0,50.0,75.76,0.0,0.0,0.0,16.0,14.0,87.5,5.0,13.47,2.77,17.54,21.5,22.13,19.35,Local,1
2025-02-17,Defensores de Belgrano - Agropecuario 1:1,Argentina. Primera Nacional,97.0,Agropecuario,5-3-2 (100.0%),1.0,0.35,6.0,2.0,33.33,353.0,251.0,71.1,46.5,146.0,26.0,50.0,70.0,89.0,48.0,34.0,7.0,212.0,93.0,43.87,3.0,1.0,33.33,23.0,2.0,8.7,2.0,0.0,0.0,27.0,3.0,11.11,3.0,1.0,33.33,2.0,1.0,50.0,0.0,0.0,0.0,10.0,1.0,10.0,1.0,4.0,19.0,4.0,6.0,7.0,62.0,19.0,30.65,0.0,1.0,12.0,4.0,33.33,70.0,38.0,54.29,42.0,19.0,45.24,4.0,2.0,50.0,43.0,25.0,18.0,3.0,0.0,150.0,92.0,61.33,51.0,41.0,80.39,101.0,81.0,80.2,65.0,30.0,46.15,62.0,35.0,56.45,77.0,50.0,64.94,1.0,0.0,0.0,28.0,26.0,92.86,9.0,15.25,2.99,18.41,23.63,20.11,9.36,Argentina. Primera Nacional,97.0,Defensores de Belgrano,4-4-2 (100.0%),1.0,1.05,12.0,4.0,33.33,437.0,338.0,77.35,53.5,124.0,9.0,56.0,59.0,90.0,45.0,37.0,8.0,212.0,107.0,50.47,6.0,2.0,33.33,33.0,6.0,18.18,1.0,0.0,0.0,28.0,6.0,21.43,6.0,3.0,50.0,3.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,33.33,4.0,4.0,19.0,1.0,8.0,15.0,70.0,32.0,45.71,3.0,1.0,6.0,2.0,33.33,62.0,43.0,69.35,42.0,18.0,42.86,8.0,2.0,25.0,45.0,16.0,12.0,2.0,0.0,181.0,123.0,67.96,54.0,49.0,90.74,119.0,102.0,85.71,48.0,29.0,60.42,60.0,38.0,63.33,85.0,56.0,65.88,3.0,1.0,33.33,24.0,24.0,100.0,4.0,16.41,3.61,10.98,20.25,19.05,8.3,Visitante,2
2025-02-24,Agropecuario - Estudiantes Río Cuarto 2:1,Argentina. Primera Nacional,98.0,Agropecuario,4-4-2 (100.0%),2.0,0.78,8.0,5.0,62.5,354.0,264.0,74.58,48.98,128.0,20.0,59.0,49.0,79.0,41.0,29.0,9.0,198.0,80.0,40.4,7.0,4.0,57.14,25.0,2.0,8.0,3.0,1.0,33.33,28.0,4.0,14.29,4.0,1.0,25.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,50.0,4.0,2.0,13.0,1.0,5.0,6.0,73.0,17.0,23.29,4.0,1.0,13.0,4.0,30.77,70.0,40.0,57.14,30.0,17.0,56.67,5.0,2.0,40.0,47.0,11.0,9.0,1.0,0.0,143.0,81.0,56.64,50.0,45.0,90.0,118.0,107.0,90.68,77.0,30.0,38.96,49.0,27.0,55.1,81.0,50.0,61.73,0.0,0.0,0.0,33.0,29.0,87.88,10.0,14.53,3.0,21.75,27.18,21.92,10.34,Argentina. Primera Nacional,98.0,Estudiantes Río Cuarto,4-4-2 (100.0%),1.0,1.43,13.0,4.0,30.77,410.0,320.0,78.05,51.02,115.0,17.0,37.0,61.0,90.0,40.0,44.0,6.0,198.0,110.0,55.56,8.0,1.0,12.5,34.0,8.0,23.53,0.0,0.0,0.0,17.0,4.0,23.53,3.0,1.0,33.33,2.0,1.0,50.0,0.0,0.0,0.0,27.0,11.0,40.74,10.0,4.0,26.0,1.0,19.0,12.0,70.0,30.0,42.86,1.0,2.0,8.0,5.0,62.5,73.0,56.0,76.71,30.0,11.0,36.67,6.0,2.0,33.33,34.0,15.0,14.0,2.0,0.0,169.0,123.0,72.78,50.0,47.0,94.0,137.0,102.0,74.45,53.0,23.0,43.4,72.0,46.0,63.89,84.0,69.0,82.14,0.0,0.0,0.0,23.0,20.0,86.96,1.0,16.16,3.76,12.93,20.59,19.95,6.98,Local,3
2025-03-01,Talleres Remedios - Agropecuario 2:0,Argentina. Primera Nacional,97.0,Agropecuario,4-4-2 (100.0%),0.0,0.2,8.0,2.0,25.0,424.0,337.0,79.48,58.7,121.0,15.0,48.0,58.0,85.0,48.0,28.0,9.0,208.0,97.0,46.63,5.0,0.0,0.0,29.0,4.0,13.79,0.0,0.0,0.0,32.0,3.0,9.38,6.0,2.0,33.33,3.0,0.0,0.0,0.0,0.0,0.0,21.0,10.0,47.62,8.0,3.0,24.0,1.0,13.0,11.0,67.0,25.0,37.31,4.0,2.0,11.0,4.0,36.36,64.0,42.0,65.63,46.0,20.0,43.48,3.0,1.0,33.33,44.0,16.0,9.0,1.0,0.0,180.0,123.0,68.33,54.0,48.0,88.89,148.0,134.0,90.54,58.0,32.0,55.17,61.0,36.0,59.02,82.0,61.0,74.39,0.0,0.0,0.0,28.0,25.0,89.29,10.0,16.81,3.37,13.68,21.85,21.41,7.83,Argentina. Primera Nacional,97.0,Talleres Remedios,4-1-3-2 (80.78%),2.0,1.86,11.0,4.0,36.36,278.0,200.0,71.94,41.3,122.0,23.0,38.0,61.0,78.0,40.0,29.0,9.0,208.0,102.0,49.04,6.0,2.0,33.33,35.0,4.0,11.43,0.0,0.0,0.0,26.0,5.0,19.23,3.0,2.0,66.67,4.0,1.0,25.0,0.0,0.0,0.0,24.0,5.0,20.83,6.0,3.0,26.0,1.0,16.0,13.0,64.0,22.0,34.38,0.0,0.0,8.0,4.0,50.0,67.0,42.0,62.69,46.0,26.0,56.52,4.0,1.0,25.0,40.0,17.0,16.0,2.0,1.0,129.0,92.0,71.32,30.0,29.0,96.67,82.0,60.0,73.17,39.0,22.0,56.41,62.0,47.0,75.81,74.0,57.0,77.03,0.0,0.0,0.0,29.0,28.0,96.55,10.0,15.66,2.34,14.03,18.47,23.01,12.22,Visitante,4
2025-03-09,Agropecuario - Deportivo Morón 1:0,Argentina. Primera Nacional,96.0,Agropecuario,5-4-1 (100.0%),1.0,2.44,13.0,4.0,30.77,359.0,273.0,76.04,55.01,110.0,17.0,37.0,56.0,92.0,49.0,31.0,12.0,184.0,93.0,50.54,2.0,1.0,50.0,28.0,5.0,17.86,4.0,3.0,75.0,27.0,3.0,11.11,5.0,1.0,20.0,5.0,0.0,0.0,2.0,1.0,50.0,20.0,6.0,30.0,8.0,4.0,28.0,5.0,13.0,20.0,58.0,30.0,51.72,7.0,0.0,12.0,4.0,33.33,60.0,32.0,53.33,40.0,19.0,47.5,11.0,7.0,63.64,58.0,11.0,16.0,3.0,0.0,161.0,107.0,66.46,44.0,41.0,93.18,105.0,85.0,80.95,58.0,29.0,50.0,56.0,33.0,58.93,81.0,53.0,65.43,4.0,1.0,25.0,18.0,14.0,77.78,5.0,16.05,3.23,16.16,17.56,21.54,5.4,Argentina. Primera Nacional,96.0,Deportivo Morón,4-1-3-2 (79.95%),0.0,0.6,12.0,4.0,33.33,266.0,188.0,70.68,44.99,121.0,22.0,32.0,67.0,74.0,31.0,32.0,11.0,184.0,90.0,48.91,5.0,1.0,20.0,29.0,4.0,13.79,2.0,2.0,100.0,32.0,4.0,12.5,4.0,2.0,50.0,6.0,2.0,33.33,0.0,0.0,0.0,14.0,4.0,28.57,4.0,3.0,17.0,0.0,7.0,12.0,60.0,28.0,46.67,1.0,1.0,13.0,4.0,30.77,58.0,28.0,48.28,40.0,21.0,52.5,2.0,1.0,50.0,41.0,15.0,19.0,3.0,1.0,116.0,70.0,60.34,29.0,27.0,93.1,88.0,67.0,76.14,62.0,29.0,46.77,68.0,40.0,58.82,56.0,46.0,82.14,0.0,0.0,0.0,23.0,20.0,86.96,6.0,14.54,2.44,23.31,19.96,22.26,9.96,Local,5
2025-03-15,Estudiantes Caseros - Agropecuario 2:1,Argentina. Primera Nacional,97.0,Agropecuario,4-3-3 (100.0%),1.0,0.46,9.0,4.0,44.44,305.0,222.0,72.79,39.72,106.0,19.0,43.0,44.0,78.0,42.0,28.0,8.0,203.0,93.0,45.81,2.0,1.0,50.0,17.0,5.0,29.41,0.0,0.0,0.0,23.0,4.0,17.39,3.0,3.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,36.36,3.0,3.0,15.0,1.0,8.0,11.0,64.0,23.0,35.94,1.0,2.0,11.0,7.0,63.64,81.0,50.0,61.73,23.0,8.0,34.78,3.0,1.0,33.33,32.0,11.0,15.0,3.0,0.0,126.0,75.0,59.52,36.0,29.0,80.56,98.0,80.0,81.63,43.0,15.0,34.88,43.0,23.0,53.49,68.0,43.0,63.24,0.0,0.0,0.0,21.0,17.0,80.95,10.0,17.48,2.93,14.1,17.83,21.59,14.35,Argentina. Primera Nacional,97.0,Estudiantes Caseros,4-2-3-1 (100.0%),2.0,1.74,11.0,4.0,36.36,438.0,360.0,82.19,60.28,114.0,11.0,35.0,68.0,76.0,31.0,37.0,8.0,203.0,100.0,49.26,4.0,1.0,25.0,33.0,7.0,21.21,0.0,0.0,0.0,26.0,3.0,11.54,4.0,3.0,75.0,5.0,1.0,20.0,1.0,1.0,100.0,17.0,4.0,23.53,4.0,8.0,23.0,4.0,9.0,19.0,81.0,31.0,38.27,1.0,1.0,9.0,4.0,44.44,64.0,41.0,64.06,23.0,12.0,52.17,1.0,0.0,0.0,35.0,8.0,11.0,4.0,0.0,158.0,115.0,72.78,55.0,49.0,89.09,174.0,156.0,89.66,49.0,23.0,46.94,68.0,40.0,58.82,76.0,63.0,82.89,1.0,0.0,0.0,28.0,24.0,85.71,6.0,16.54,3.81,11.19,18.74,20.84,7.45,Visitante,6
2025-03-22,Agropecuario - Defensores Unidos 3:0,Argentina. Primera Nacional,91.0,Agropecuario,3-5-2 (100.0%),3.0,1.98,16.0,5.0,31.25,557.0,469.0,84.2,63.21,98.0,8.0,35.0,55.0,90.0,36.0,39.0,15.0,187.0,103.0,55.08,5.0,0.0,0.0,29.0,11.0,37.93,0.0,0.0,0.0,27.0,5.0,18.52,8.0,2.0,25.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,17.65,4.0,8.0,31.0,7.0,11.0,26.0,79.0,43.0,54.43,4.0,0.0,6.0,3.0,50.0,68.0,44.0,64.71,20.0,9.0,45.0,4.0,2.0,50.0,25.0,9.0,7.0,0.0,0.0,192.0,142.0,73.96,82.0,77.0,93.9,232.0,209.0,90.09,61.0,35.0,57.38,72.0,49.0,68.06,96.0,69.0,71.88,0.0,0.0,0.0,14.0,14.0,100.0,8.0,15.99,5.36,10.95,16.24,21.19,8.41,Argentina. Primera Nacional,91.0,Defensores Unidos,4-4-2 (92.16%),0.0,0.3,6.0,3.0,50.0,302.0,237.0,78.48,36.79,118.0,28.0,43.0,47.0,71.0,40.0,23.0,8.0,187.0,81.0,43.32,4.0,2.0,50.0,23.0,3.0,13.04,0.0,0.0,0.0,19.0,3.0,15.79,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,11.0,4.0,36.36,4.0,3.0,16.0,1.0,8.0,4.0,68.0,24.0,35.29,0.0,3.0,16.0,5.0,31.25,79.0,36.0,45.57,20.0,9.0,45.0,6.0,2.0,33.33,43.0,14.0,12.0,2.0,1.0,127.0,95.0,74.8,37.0,31.0,83.78,104.0,87.0,83.65,42.0,17.0,40.48,46.0,33.0,71.74,64.0,44.0,68.75,0.0,0.0,0.0,21.0,20.0,95.24,9.0,14.9,3.25,13.91,27.71,20.22,14.17,Local,7
2025-03-29,Temperley - Agropecuario 1:0,Argentina. Primera Nacional,99.0,Agropecuario,5-4-1 (86.14%),0.0,0.61,14.0,1.0,7.14,363.0,279.0,76.86,50.61,117.0,21.0,35.0,61.0,89.0,39.0,35.0,15.0,214.0,104.0,48.6,9.0,0.0,0.0,28.0,10.0,35.71,0.0,0.0,0.0,24.0,3.0,12.5,2.0,1.0,50.0,3.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,15.38,2.0,5.0,22.0,2.0,8.0,11.0,75.0,29.0,38.67,2.0,1.0,6.0,2.0,33.33,57.0,38.0,66.67,46.0,17.0,36.96,3.0,1.0,33.33,41.0,20.0,9.0,3.0,0.0,130.0,82.0,63.08,51.0,47.0,92.16,120.0,106.0,88.33,61.0,34.0,55.74,54.0,35.0,64.81,78.0,52.0,66.67,0.0,0.0,0.0,19.0,19.0,100.0,9.0,15.77,3.63,16.8,22.48,20.57,8.63,Argentina. Primera Nacional,99.0,Temperley,5-3-2 (76.85%),1.0,0.81,6.0,2.0,33.33,354.0,276.0,77.97,49.39,120.0,28.0,38.0,54.0,79.0,42.0,24.0,13.0,214.0,99.0,46.26,2.0,0.0,0.0,33.0,5.0,15.15,0.0,0.0,0.0,19.0,1.0,5.26,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,5.0,31.25,5.0,8.0,21.0,0.0,10.0,18.0,57.0,19.0,33.33,4.0,0.0,14.0,1.0,7.14,75.0,46.0,61.33,46.0,24.0,52.17,2.0,1.0,50.0,44.0,5.0,10.0,2.0,1.0,128.0,85.0,66.41,45.0,43.0,95.56,133.0,112.0,84.21,63.0,40.0,63.49,56.0,37.0,66.07,95.0,64.0,67.37,1.0,0.0,0.0,26.0,23.0,88.46,9.0,15.76,3.65,17.8,14.32,21.98,7.88,Visitante,8
2025-04-07,Agropecuario - Colón 2:1,Argentina. Primera Nacional,95.0,Agropecuario,5-4-1 (68.47%),2.0,1.14,11.0,5.0,45.45,307.0,212.0,69.06,41.29,131.0,21.0,59.0,51.0,90.0,44.0,39.0,7.0,184.0,93.0,50.54,4.0,2.0,50.0,24.0,5.0,20.83,3.0,2.0,66.67,25.0,3.0,12.0,3.0,2.0,66.67,4.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,28.57,4.0,5.0,19.0,2.0,10.0,13.0,66.0,29.0,43.94,2.0,1.0,13.0,7.0,53.85,68.0,38.0,55.88,32.0,19.0,59.38,9.0,4.0,44.44,38.0,12.0,14.0,4.0,0.0,125.0,71.0,56.8,57.0,50.0,87.72,72.0,56.0,77.78,62.0,29.0,46.77,43.0,24.0,55.81,67.0,35.0,52.24,1.0,0.0,0.0,21.0,19.0,90.48,11.0,15.86,2.74,20.2,17.63,21.03,9.06,Argentina. Primera Nacional,95.0,Colón,3-5-2 (100.0%),1.0,1.66,13.0,7.0,53.85,450.0,355.0,78.89,58.71,127.0,18.0,47.0,62.0,99.0,36.0,44.0,19.0,184.0,90.0,48.91,5.0,1.0,20.0,34.0,9.0,26.47,0.0,0.0,0.0,29.0,3.0,10.34,9.0,1.0,11.11,2.0,0.0,0.0,0.0,0.0,0.0,11.0,5.0,45.45,3.0,11.0,26.0,3.0,4.0,23.0,68.0,30.0,44.12,2.0,2.0,11.0,5.0,45.45,66.0,37.0,56.06,32.0,13.0,40.63,3.0,1.0,33.33,45.0,8.0,14.0,3.0,0.0,183.0,129.0,70.49,61.0,49.0,80.33,125.0,117.0,93.6,49.0,25.0,51.02,61.0,41.0,67.21,94.0,69.0,73.4,0.0,0.0,0.0,18.0,18.0,100.0,4.0,16.35,3.95,10.89,19.88,18.77,6.86,Local,9
2025-04-13,Club Atlético Mitre - Agropecuario 3:0,Argentina. Primera Nacional,91.0,Agropecuario,4-4-2 (100.0%),0.0,0.89,4.0,2.0,50.0,326.0,233.0,71.47,42.3,132.0,24.0,61.0,47.0,74.0,43.0,27.0,4.0,177.0,79.0,44.63,3.0,1.0,33.33,20.0,2.0,10.0,1.0,1.0,100.0,22.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,1.0,11.11,3.0,0.0,13.0,0.0,7.0,0.0,61.0,21.0,34.43,0.0,3.0,15.0,8.0,53.33,56.0,31.0,55.36,31.0,12.0,38.71,3.0,2.0,66.67,32.0,8.0,14.0,2.0,0.0,149.0,90.0,60.4,33.0,29.0,87.88,104.0,87.0,83.65,54.0,29.0,53.7,42.0,24.0,57.14,76.0,42.0,55.26,1.0,1.0,100.0,24.0,18.0,75.0,7.0,17.42,3.33,16.56,23.04,19.84,13.19,Argentina. Primera Nacional,91.0,Club Atlético Mitre,4-3-3 (100.0%),3.0,0.98,15.0,6.0,40.0,389.0,318.0,81.75,57.7,107.0,8.0,35.0,64.0,89.0,28.0,50.0,11.0,177.0,96.0,54.24,8.0,4.0,50.0,25.0,9.0,36.0,3.0,2.0,66.67,24.0,4.0,16.67,6.0,3.0,50.0,3.0,0.0,0.0,0.0,0.0,0.0,14.0,7.0,50.0,6.0,4.0,20.0,0.0,10.0,12.0,56.0,25.0,44.64,1.0,0.0,4.0,2.0,50.0,61.0,40.0,65.57,31.0,19.0,61.29,7.0,5.0,71.43,41.0,14.0,13.0,2.0,0.0,148.0,103.0,69.59,46.0,45.0,97.83,141.0,124.0,87.94,50.0,30.0,60.0,64.0,43.0,67.19,82.0,67.0,81.71,4.0,3.0,75.0,18.0,17.0,94.44,4.0,15.24,3.6,12.85,19.84,19.72,6.79,Visitante,10
