fecha,partido,competicion,duracion,equipo,seleccionar_esquema,goles,xg,tiros,tiros_a_la_porteria,%tiros,pases,pases_logrados,%pases,posesion_del_balon_,balones_perdidos,balones_perdidos_bajos,balones_perdidos_medios,balones_perdidos_altos,balones_recuperados,balones_recuperados_bajos,balones_recuperados_medios,balones_recuperados_altos,duelos,duelos_ganados,%duelos,tiros_de_fuera_del_area,tiros_de_fuera_del_area_a_la_porteria,%tiros_de_fuera_del_area,ataques_posicionales,ataques_posicionales_con_remate,%ataques_posicionales,contraataques,contraataques_con_remate,%contraataques,jugadas_a_balon_parado,jugadas_a_balon_parado_con_remate,%jugadas_a_balon_parado,corneres,corneres_con_remate,%corneres,tiros_libres,tiros_libres_con_remate,%tiros_libres,penaltis,penaltis_marcados,%penaltis,centros,centros_precisos,%centros,pases_cruzados_en_profundidad_completados,pases_en_profundidad_completados,entradas_al_area_de_penalti_carreras,entradas_al_area_de_penalti_carreras_pases_cruzados,%entradas_al_area_de_penalti_carreras,toques_en_el_area_de_penalti,duelos_ofensivos,duelos_ofensivos_ganados,%duelos_ofensivos,fuera_de_juego,goles_recibidos,tiros_en_contra,tiros_en_contra_a_la_porteria,%tiros_en_contra,duelos_defensivos,duelos_defensivos_ganados,%duelos_defensivos,duelos_aereos,duelos_aereos_ganados,%duelos_aereos,entradas_a_ras_de_suelo,entradas_a_ras_de_suelo_logradas,%entradas_a_ras_de_suelo,interceptaciones,despejes,faltas,tarjetas_amarillas,tarjetas_rojas,pases_hacia_adelante,pases_hacia_adelante_logrados,%pases_hacia_adelante,pases_hacia_atras,pases_hacia_atras_logrados,%pases_hacia_atras,pases_laterales,pases_laterales_logrados,%pases_laterales,pases_largos,pases_largos_logrados,%pases_largos,pases_en_el_ultimo_tercio,pases_en_el_ultimo_tercio_logrados,%pases_en_el_ultimo_tercio,pases_progresivos,pases_progresivos_precisos,%pases_progresivos,desmarques,desmarques_logrados,%desmarques,saques_laterales,saques_laterales_logrados,%saques_laterales,saques_de_meta,intensidad_de_paso,promedio_pases_por_posesion_del_balon,lanzamiento_largo_,distancia_media_de_tiro,longitud_media_pases,ppda,competicion_contra,duracion_contra,equipo_contra,seleccionar_esquema_contra,goles_contra,xg_contra,tiros_contra,tiros_a_la_porteria_contra,%tiros_contra,pases_contra,pases_logrados_contra,%pases_contra,posesion_del_balon__contra,balones_perdidos_contra,balones_perdidos_bajos_contra,balones_perdidos_medios_contra,balones_perdidos_altos_contra,balones_recuperados_contra,balones_recuperados_bajos_contra,balones_recuperados_medios_contra,balones_recuperados_altos_contra,duelos_contra,duelos_ganados_contra,%duelos_contra,tiros_de_fuera_del_area_contra,tiros_de_fuera_del_area_a_la_porteria_contra,%tiros_de_fuera_del_area_contra,ataques_posicionales_contra,ataques_posicionales_con_remate_contra,%ataques_posicionales_contra,contraataques_contra,contraataques_con_remate_contra,%contraataques_contra,jugadas_a_balon_parado_contra,jugadas_a_balon_parado_con_remate_contra,%jugadas_a_balon_parado_contra,corneres_contra,corneres_con_remate_contra,%corneres_contra,tiros_libres_contra,tiros_libres_con_remate_contra,%tiros_libres_contra,penaltis_contra,penaltis_marcados_contra,%penaltis_contra,centros_contra,centros_precisos_contra,%centros_contra,pases_cruzados_en_profundidad_completados_contra,pases_en_profundidad_completados_contra,entradas_al_area_de_penalti_carreras_contra,entradas_al_area_de_penalti_carreras_pases_cruzados_contra,%entradas_al_area_de_penalti_carreras_contra,toques_en_el_area_de_penalti_contra,duelos_ofensivos_contra,duelos_ofensivos_ganados_contra,%duelos_ofensivos_contra,fuera_de_juego_contra,goles_recibidos_contra,tiros_en_contra_contra,tiros_en_contra_a_la_porteria_contra,%tiros_en_contra_contra,duelos_defensivos_contra,duelos_defensivos_ganados_contra,%duelos_defensivos_contra,duelos_aereos_contra,duelos_aereos_ganados_contra,%duelos_aereos_contra,entradas_a_ras_de_suelo_contra,entradas_a_ras_de_suelo_logradas_contra,%entradas_a_ras_de_suelo_contra,interceptaciones_contra,despejes_contra,faltas_contra,tarjetas_amarillas_contra,tarjetas_rojas_contra,pases_hacia_adelante_contra,pases_hacia_adelante_logrados_contra,%pases_hacia_adelante_contra,pases_hacia_atras_contra,pases_hacia_atras_logrados_contra,%pases_hacia_atras_contra,pases_laterales_contra,pases_laterales_logrados_contra,%pases_laterales_contra,pases_largos_contra,pases_largos_logrados_contra,%pases_largos_contra,pases_en_el_ultimo_tercio_contra,pases_en_el_ultimo_tercio_logrados_contra,%pases_en_el_ultimo_tercio_contra,pases_progresivos_contra,pases_progresivos_precisos_contra,%pases_progresivos_contra,desmarques_contra,desmarques_logrados_contra,%desmarques_contra,saques_laterales_contra,saques_laterales_logrados_contra,%saques_laterales_contra,saques_de_meta_contra,intensidad_de_paso_contra,promedio_pases_por_posesion_del_balon_contra,lanzamiento_largo__contra,distancia_media_de_tiro_contra,longitud_media_pases_contra,ppda_contra,tipo,jornada
2025-02-15,Aucas - Técnico Universitario 4:1,Ecuador. Liga Pro,102.0,Aucas,4-4-2 (100.0%),4.0,1.21,8.0,4.0,50.0,280.0,222.0,79.29,51.16,98.0,16.0,33.0,49.0,67.0,27.0,25.0,15.0,227.0,109.0,48.02,3.0,0.0,0.0,26.0,5.0,19.23,0.0,0.0,0.0,24.0,3.0,12.5,2.0,0.0,0.0,5.0,3.0,60.0,0.0,0.0,0.0,15.0,4.0,26.67,4.0,6.0,19.0,2.0,11.0,16.0,66.0,22.0,33.33,3.0,1.0,11.0,3.0,27.27,83.0,54.0,65.06,49.0,20.0,40.82,2.0,2.0,100.0,45.0,24.0,17.0,3.0,0.0,97.0,72.0,74.23,43.0,39.0,90.7,94.0,76.0,80.85,39.0,21.0,53.85,31.0,15.0,48.39,46.0,33.0,71.74,1.0,0.0,0.0,20.0,17.0,85.0,11.0,15.49,3.04,13.93,17.5,20.52,4.5,Ecuador. Liga Pro,102.0,Técnico Universitario,4-4-2 (100.0%),1.0,0.4,11.0,2.0,18.18,265.0,198.0,74.72,48.84,101.0,19.0,46.0,36.0,68.0,35.0,25.0,8.0,227.0,108.0,47.58,5.0,1.0,20.0,23.0,5.0,21.74,0.0,0.0,0.0,29.0,6.0,20.69,5.0,2.0,40.0,5.0,4.0,80.0,0.0,0.0,0.0,12.0,4.0,33.33,4.0,1.0,11.0,1.0,8.0,8.0,83.0,29.0,34.94,1.0,4.0,8.0,4.0,50.0,66.0,44.0,66.67,49.0,25.0,51.02,5.0,3.0,60.0,32.0,5.0,12.0,2.0,0.0,97.0,59.0,60.82,32.0,26.0,81.25,85.0,73.0,85.88,43.0,21.0,48.84,25.0,18.0,72.0,55.0,28.0,50.91,0.0,0.0,0.0,34.0,27.0,79.41,5.0,15.35,2.45,16.23,19.35,18.69,9.14,Local,1
2025-02-22,Deportivo Cuenca - Aucas 2:0,Ecuador. Liga Pro,97.0,Aucas,4-1-3-2 (100.0%),0.0,1.05,15.0,2.0,13.33,415.0,341.0,82.17,59.71,98.0,8.0,27.0,63.0,77.0,26.0,34.0,17.0,183.0,84.0,45.9,10.0,2.0,20.0,53.0,11.0,20.75,0.0,0.0,0.0,28.0,2.0,7.14,4.0,1.0,25.0,7.0,2.0,28.57,0.0,0.0,0.0,15.0,4.0,26.67,4.0,4.0,25.0,0.0,12.0,10.0,78.0,26.0,33.33,1.0,2.0,10.0,6.0,60.0,44.0,32.0,72.73,35.0,15.0,42.86,2.0,1.0,50.0,23.0,5.0,6.0,3.0,0.0,132.0,91.0,68.94,45.0,45.0,100.0,194.0,168.0,86.6,53.0,29.0,54.72,77.0,49.0,63.64,68.0,57.0,83.82,0.0,0.0,0.0,26.0,25.0,96.15,5.0,15.94,3.67,12.77,24.26,21.49,7.11,Ecuador. Liga Pro,97.0,Deportivo Cuenca,4-2-3-1 (100.0%),2.0,1.41,10.0,6.0,60.0,248.0,192.0,77.42,40.29,96.0,26.0,38.0,32.0,64.0,43.0,18.0,3.0,183.0,94.0,51.37,4.0,3.0,75.0,21.0,8.0,38.1,0.0,0.0,0.0,17.0,1.0,5.88,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,4.0,57.14,4.0,3.0,14.0,5.0,7.0,9.0,44.0,12.0,27.27,1.0,0.0,15.0,4.0,26.67,78.0,52.0,66.67,35.0,17.0,48.57,4.0,2.0,50.0,28.0,23.0,19.0,3.0,0.0,103.0,67.0,65.05,33.0,31.0,93.94,81.0,71.0,87.65,56.0,35.0,62.5,36.0,21.0,58.33,62.0,42.0,67.74,0.0,0.0,0.0,24.0,20.0,83.33,10.0,14.12,2.43,22.58,19.83,22.57,14.16,Visitante,2
2025-03-02,Aucas - Vinotinto de Ecuador 2:2,Ecuador. Liga Pro,98.0,Aucas,4-4-2 (64.23%),2.0,1.0,14.0,6.0,42.86,397.0,323.0,81.36,56.22,92.0,12.0,26.0,54.0,71.0,26.0,35.0,10.0,166.0,74.0,44.58,8.0,3.0,37.5,38.0,11.0,28.95,0.0,0.0,0.0,28.0,3.0,10.71,9.0,4.0,44.44,1.0,0.0,0.0,0.0,0.0,0.0,33.0,6.0,18.18,8.0,6.0,35.0,4.0,19.0,16.0,57.0,11.0,19.3,4.0,2.0,10.0,3.0,30.0,57.0,41.0,71.93,31.0,9.0,29.03,5.0,2.0,40.0,28.0,4.0,7.0,1.0,0.0,136.0,112.0,82.35,33.0,31.0,93.94,180.0,151.0,83.89,46.0,32.0,69.57,67.0,53.0,79.1,92.0,79.0,85.87,0.0,0.0,0.0,16.0,15.0,93.75,9.0,15.71,4.05,11.59,21.18,23.45,8.76,Ecuador. Liga Pro,98.0,Vinotinto de Ecuador,5-3-2 (100.0%),2.0,0.73,10.0,3.0,30.0,308.0,249.0,80.84,43.78,96.0,25.0,34.0,37.0,67.0,40.0,24.0,3.0,166.0,82.0,49.4,3.0,1.0,33.33,16.0,4.0,25.0,0.0,0.0,0.0,30.0,5.0,16.67,5.0,1.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,5.0,35.71,6.0,8.0,19.0,1.0,8.0,14.0,57.0,16.0,28.07,2.0,2.0,14.0,7.0,50.0,57.0,46.0,80.7,31.0,14.0,45.16,6.0,4.0,66.67,38.0,13.0,7.0,4.0,0.0,120.0,86.0,71.67,45.0,43.0,95.56,114.0,98.0,85.96,59.0,30.0,50.85,41.0,24.0,58.54,69.0,48.0,69.57,0.0,0.0,0.0,16.0,14.0,87.5,15.0,15.65,3.05,19.16,19.31,23.28,19.0,Local,3
2025-03-09,Macará - Aucas 1:1,Ecuador. Liga Pro,98.0,Aucas,4-2-3-1 (100.0%),1.0,1.88,15.0,6.0,40.0,342.0,273.0,79.82,49.05,90.0,21.0,24.0,45.0,65.0,39.0,21.0,5.0,213.0,103.0,48.36,6.0,2.0,33.33,39.0,14.0,35.9,0.0,0.0,0.0,23.0,1.0,4.35,5.0,1.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0,46.15,6.0,5.0,25.0,5.0,9.0,16.0,79.0,29.0,36.71,0.0,1.0,16.0,5.0,31.25,76.0,53.0,69.74,34.0,13.0,38.24,1.0,0.0,0.0,28.0,0.0,17.0,4.0,0.0,143.0,100.0,69.93,32.0,30.0,93.75,113.0,100.0,88.5,46.0,23.0,50.0,57.0,37.0,64.91,79.0,53.0,67.09,0.0,0.0,0.0,19.0,19.0,100.0,9.0,14.91,3.11,13.45,19.9,20.21,11.45,Ecuador. Liga Pro,98.0,Macará,4-4-2 (61.37%),1.0,2.65,16.0,5.0,31.25,339.0,285.0,84.07,50.95,94.0,17.0,20.0,57.0,81.0,38.0,25.0,18.0,213.0,97.0,45.54,6.0,1.0,16.67,37.0,11.0,29.73,0.0,0.0,0.0,27.0,3.0,11.11,1.0,0.0,0.0,4.0,2.0,50.0,0.0,0.0,0.0,29.0,11.0,37.93,12.0,10.0,32.0,2.0,19.0,19.0,76.0,23.0,30.26,0.0,1.0,15.0,7.0,46.67,79.0,50.0,63.29,34.0,14.0,41.18,7.0,3.0,42.86,30.0,10.0,10.0,2.0,0.0,131.0,100.0,76.34,31.0,31.0,100.0,148.0,130.0,87.84,49.0,31.0,63.27,61.0,49.0,80.33,91.0,76.0,83.52,0.0,0.0,0.0,10.0,10.0,100.0,11.0,14.23,3.32,14.45,18.1,23.93,9.36,Visitante,4
2025-03-16,El Nacional - Aucas 0:1,Ecuador. Liga Pro,97.0,Aucas,4-4-2 (73.0%),1.0,1.63,14.0,2.0,14.29,281.0,226.0,80.43,50.39,119.0,26.0,36.0,57.0,86.0,41.0,33.0,12.0,195.0,78.0,40.0,5.0,0.0,0.0,28.0,9.0,32.14,5.0,1.0,20.0,22.0,3.0,13.64,7.0,2.0,28.57,4.0,0.0,0.0,0.0,0.0,0.0,11.0,6.0,54.55,6.0,6.0,18.0,1.0,5.0,18.0,61.0,17.0,27.87,0.0,0.0,11.0,3.0,27.27,57.0,30.0,52.63,40.0,18.0,45.0,8.0,2.0,25.0,48.0,20.0,21.0,2.0,0.0,113.0,82.0,72.57,23.0,21.0,91.3,106.0,94.0,88.68,51.0,33.0,64.71,43.0,30.0,69.77,65.0,58.0,89.23,5.0,2.0,40.0,34.0,24.0,70.59,7.0,12.8,2.3,18.15,17.23,21.74,5.51,Ecuador. Liga Pro,97.0,El Nacional,4-4-2 (64.98%),0.0,1.57,11.0,3.0,27.27,309.0,240.0,77.67,49.61,110.0,16.0,39.0,55.0,84.0,44.0,31.0,9.0,195.0,108.0,55.38,4.0,1.0,25.0,22.0,6.0,27.27,1.0,0.0,0.0,32.0,4.0,12.5,3.0,1.0,33.33,9.0,4.0,44.44,0.0,0.0,0.0,17.0,3.0,17.65,5.0,4.0,19.0,1.0,11.0,17.0,57.0,27.0,47.37,1.0,1.0,14.0,2.0,14.29,61.0,44.0,72.13,40.0,19.0,47.5,4.0,1.0,25.0,40.0,21.0,10.0,2.0,0.0,129.0,95.0,73.64,35.0,32.0,91.43,99.0,82.0,82.83,37.0,19.0,51.35,46.0,28.0,60.87,66.0,49.0,74.24,1.0,1.0,100.0,17.0,14.0,82.35,11.0,14.29,2.73,11.97,17.68,20.51,8.74,Visitante,5
2025-03-28,Aucas - Independiente del Valle 1:2,Ecuador. Liga Pro,102.0,Aucas,4-4-1-1 (100.0%),1.0,1.19,12.0,3.0,25.0,379.0,302.0,79.68,53.71,105.0,10.0,38.0,57.0,78.0,31.0,39.0,8.0,179.0,90.0,50.28,6.0,1.0,16.67,36.0,9.0,25.0,0.0,0.0,0.0,20.0,3.0,15.0,3.0,3.0,100.0,5.0,1.0,20.0,0.0,0.0,0.0,24.0,7.0,29.17,8.0,4.0,26.0,0.0,15.0,17.0,59.0,23.0,38.98,2.0,2.0,11.0,8.0,72.73,70.0,44.0,62.86,28.0,16.0,57.14,6.0,4.0,66.67,32.0,7.0,15.0,2.0,0.0,130.0,91.0,70.0,41.0,37.0,90.24,156.0,134.0,85.9,51.0,29.0,56.86,70.0,53.0,75.71,78.0,60.0,76.92,3.0,0.0,0.0,24.0,21.0,87.5,11.0,15.77,3.64,13.46,18.76,21.53,7.43,Ecuador. Liga Pro,102.0,Independiente del Valle,5-3-2 (100.0%),2.0,1.52,11.0,6.0,54.55,366.0,294.0,80.33,46.29,108.0,28.0,35.0,45.0,84.0,41.0,35.0,8.0,179.0,81.0,45.25,3.0,2.0,66.67,23.0,9.0,39.13,1.0,0.0,0.0,28.0,2.0,7.14,2.0,1.0,50.0,3.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,33.33,5.0,7.0,25.0,6.0,11.0,20.0,70.0,26.0,37.14,0.0,1.0,12.0,3.0,25.0,59.0,36.0,61.02,28.0,8.0,28.57,2.0,1.0,50.0,56.0,18.0,7.0,5.0,0.0,142.0,107.0,75.35,58.0,53.0,91.38,108.0,87.0,80.56,42.0,23.0,54.76,43.0,27.0,62.79,64.0,47.0,73.44,0.0,0.0,0.0,15.0,15.0,100.0,12.0,17.67,3.36,11.48,16.26,18.68,8.43,Local,6
2025-04-05,Delfin - Aucas 1:1,Ecuador. Liga Pro,101.0,Aucas,4-4-2 (47.48%),1.0,1.29,10.0,6.0,60.0,354.0,263.0,74.29,51.22,137.0,17.0,52.0,68.0,104.0,57.0,33.0,14.0,249.0,125.0,50.2,2.0,0.0,0.0,36.0,7.0,19.44,1.0,0.0,0.0,29.0,3.0,10.34,6.0,1.0,16.67,3.0,1.0,33.33,0.0,0.0,0.0,20.0,8.0,40.0,7.0,11.0,32.0,5.0,10.0,20.0,88.0,32.0,36.36,0.0,1.0,14.0,3.0,21.43,84.0,56.0,66.67,44.0,24.0,54.55,2.0,1.0,50.0,41.0,12.0,15.0,2.0,0.0,159.0,106.0,66.67,36.0,34.0,94.44,106.0,86.0,81.13,64.0,32.0,50.0,53.0,32.0,60.38,78.0,56.0,71.79,3.0,1.0,33.33,26.0,22.0,84.62,7.0,15.2,2.95,18.08,15.79,20.32,9.41,Ecuador. Liga Pro,101.0,Delfin,4-1-4-1 (64.06%),1.0,1.63,14.0,3.0,21.43,349.0,272.0,77.94,48.78,130.0,20.0,45.0,65.0,101.0,49.0,44.0,8.0,249.0,115.0,46.18,8.0,2.0,25.0,26.0,9.0,34.62,3.0,1.0,33.33,27.0,3.0,11.11,6.0,2.0,33.33,2.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,20.0,2.0,5.0,21.0,5.0,7.0,13.0,84.0,28.0,33.33,2.0,1.0,10.0,6.0,60.0,88.0,56.0,63.64,44.0,17.0,38.64,2.0,2.0,100.0,61.0,24.0,14.0,1.0,0.0,142.0,101.0,71.13,41.0,41.0,100.0,107.0,83.0,77.57,63.0,37.0,58.73,58.0,41.0,70.69,75.0,55.0,73.33,1.0,1.0,100.0,19.0,18.0,94.74,7.0,15.73,3.09,18.05,20.6,20.08,8.1,Visitante,7
2025-04-05,Delfin - Aucas 1:1,Ecuador. Liga Pro,101.0,Aucas,4-4-2 (47.48%),1.0,1.29,10.0,6.0,60.0,354.0,263.0,74.29,51.22,137.0,17.0,52.0,68.0,104.0,57.0,33.0,14.0,249.0,125.0,50.2,2.0,0.0,0.0,36.0,7.0,19.44,1.0,0.0,0.0,29.0,3.0,10.34,6.0,1.0,16.67,3.0,1.0,33.33,0.0,0.0,0.0,20.0,8.0,40.0,7.0,11.0,32.0,5.0,10.0,20.0,88.0,32.0,36.36,0.0,1.0,14.0,3.0,21.43,84.0,56.0,66.67,44.0,24.0,54.55,2.0,1.0,50.0,41.0,12.0,15.0,2.0,0.0,159.0,106.0,66.67,36.0,34.0,94.44,106.0,86.0,81.13,64.0,32.0,50.0,53.0,32.0,60.38,78.0,56.0,71.79,3.0,1.0,33.33,26.0,22.0,84.62,7.0,15.2,2.95,18.08,15.79,20.32,9.41,Ecuador. Liga Pro,101.0,Delfin,4-1-4-1 (64.06%),1.0,1.63,14.0,3.0,21.43,349.0,272.0,77.94,48.78,130.0,20.0,45.0,65.0,101.0,49.0,44.0,8.0,249.0,115.0,46.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Visitante,8
2025-04-05,Delfin - Aucas 1:1,Ecuador. Liga Pro,101.0,Aucas,4-4-2 (47.48%),1.0,1.29,10.0,6.0,60.0,354.0,263.0,74.29,51.22,137.0,17.0,52.0,68.0,104.0,57.0,33.0,14.0,249.0,125.0,50.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ecuador. Liga Pro,101.0,Delfin,4-1-4-1 (64.06%),1.0,1.63,14.0,3.0,21.43,349.0,272.0,77.94,48.78,130.0,20.0,45.0,65.0,101.0,49.0,44.0,8.0,249.0,115.0,46.18,8.0,2.0,25.0,26.0,9.0,34.62,3.0,1.0,33.33,27.0,3.0,11.11,6.0,2.0,33.33,2.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,20.0,2.0,5.0,21.0,5.0,7.0,13.0,84.0,28.0,33.33,2.0,1.0,10.0,6.0,60.0,88.0,56.0,63.64,44.0,17.0,38.64,2.0,2.0,100.0,61.0,24.0,14.0,1.0,0.0,142.0,101.0,71.13,41.0,41.0,100.0,107.0,83.0,77.57,63.0,37.0,58.73,58.0,41.0,70.69,75.0,55.0,73.33,1.0,1.0,100.0,19.0,18.0,94.74,7.0,15.73,3.09,18.05,20.6,20.08,8.1,Visitante,9
2025-04-05,Delfin - Aucas 1:1,Ecuador. Liga Pro,101.0,Aucas,4-4-2 (47.48%),1.0,1.29,10.0,6.0,60.0,354.0,263.0,74.29,51.22,137.0,17.0,52.0,68.0,104.0,57.0,33.0,14.0,249.0,125.0,50.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ecuador. Liga Pro,101.0,Delfin,4-1-4-1 (64.06%),1.0,1.63,14.0,3.0,21.43,349.0,272.0,77.94,48.78,130.0,20.0,45.0,65.0,101.0,49.0,44.0,8.0,249.0,115.0,46.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Visitante,10
