goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team
0.12,0.06,0.0,0.18,75.0,0.18,75.0,0.0,0.0,74.73,0.36,75.0,90,0.24,0.06,0.0,1.03,4.0,2.0,2.0,0.91,0.06,0.24,0.0,0.48,0.0,1.33,0.06,21.33,0.06,0,0,6.42,47.53,0.0,1.09,0.0,0,0.24,0.18,0.0,50,0.06,0,,0.0,0.06,0,José Chunga,Alianza Petrolera
0.0,0.13,0.0,0.34,100.0,0.3,87.5,0.09,0.0,70.48,0.64,93.75,90,0.21,0.0,0.0,1.02,3.66,1.96,1.7,0.43,0.21,0.64,0.21,0.55,0.21,1.06,0.0,22.04,0.0,0,0,6.85,43.16,0.04,0.81,0.0,0,0.0,0.0,0.0,0,0.0,0,,0.04,0.0,0,Kevin Mier,Atlético Nacional
0.0,0.4,0.0,0.0,0.0,0.6,100.0,0.0,0.0,45.3,0.6,100.0,90,0.0,0.0,0.0,1.0,4.0,1.4,2.6,0.6,0.0,1.0,0.0,0.8,0.0,1.0,0.0,10.6,0.0,0,0,5.6,30.43,0.2,1.2,0.0,0,0.0,0.0,0.0,0,0.0,0,,0.0,0.0,0,Ederson Cabezas,Deportivo Pasto
0.0,0.33,0.0,0.0,0.0,0.33,100.0,0.0,0.0,71.58,0.33,100.0,90,0.0,0.0,0.0,1.33,3.32,2.32,1.0,0.66,0.33,0.33,0.0,0.33,0.0,2.66,0.0,22.58,0.0,0,0,5.65,40.48,0.33,0.33,0.0,0,0.0,0.0,0.0,0,0.0,0,,0.0,0.0,0,Guillermo Gómez,Internacional de Palmira
0.0,0.31,0.0,0.46,85.71,0.31,100.0,0.0,0.08,57.77,0.77,90.91,90,0.46,0.08,0.0,1.0,4.06,2.99,1.07,1.15,0.0,0.31,0.31,0.08,0.31,2.14,0.08,16.24,0.08,0,0,7.89,40.23,0.0,0.54,0.0,0,0.0,0.0,0.0,0,0.0,0,,0.0,0.15,0,Ramiro Sánchez,Unión Magdalena
0.0,0.05,0.0,0.16,75.0,0.21,100.0,0.0,0.0,59.3,0.37,87.5,90,0.16,0.05,0.0,1.0,3.26,1.32,1.95,0.53,0.11,0.74,0.11,0.42,0.11,0.89,0.0,10.74,0.0,0,0,3.58,33.01,0.0,0.84,0.0,0,0.0,0.0,0.0,0,0.0,0,,0.0,0.05,0,William Cuesta,Deportes Tolima
0.0,0.1,0.0,0.3,75.0,0.6,100.0,0.0,0.0,56.57,0.9,90.0,90,0.3,0.1,0.0,0.99,3.58,1.59,1.89,0.99,0.0,1.89,0.1,0.6,0.1,1.19,0.0,14.12,0.0,0,0,5.87,35.33,0.0,1.19,0.0,0,0.1,0.0,0.0,0,0.0,0,,0.0,0.0,0,Joel Graterol,América de Cali
0.0,0.12,0.0,0.04,50.0,0.32,88.89,0.0,0.0,70.36,0.36,81.82,90,0.12,0.04,0.0,1.0,2.2,1.24,0.92,0.6,0.04,0.52,0.28,0.32,0.28,1.16,0.04,16.52,0.16,0,0,4.48,40.43,0.0,0.96,0.0,0,0.0,0.0,0.0,0,0.0,0,,0.0,0.0,0,Álvaro Montero,Millonarios
0.0,0.05,0.0,0.37,87.5,0.21,80.0,0.0,0.0,65.29,0.58,84.62,90,0.37,0.0,0.0,1.0,3.32,1.47,1.84,0.95,0.11,0.16,0.05,0.63,0.05,0.95,0.0,12.47,0.05,0,0,3.63,35.57,0.0,1.11,0.05,0,0.0,0.0,0.0,0,0.0,0,,0.0,0.0,0,Carlos Mosquera,Patriotas Boyacá
0.0,0.0,0.0,0.11,50.0,0.67,100.0,0.0,0.0,36.9,0.78,87.5,90,0.11,0.0,0.0,1.0,3.67,2.56,1.11,1.11,0.22,1.22,0.11,1.0,0.11,1.11,0.0,7.67,0.0,0,0,4.67,26.25,0.0,1.11,0.0,0,0.0,0.0,0.0,0,0.0,0,,0.0,0.0,0,Jorge Soto,Jaguares de Córdoba
0.0,0.0,0.0,0.38,100.0,0.54,100.0,0.0,0.0,65.6,0.92,100.0,90,0.46,0.0,0.0,1.0,3.92,1.46,2.46,1.08,0.38,0.69,0.23,0.85,0.23,1.46,0.0,20.54,0.31,0,0,7.0,39.74,0.0,1.31,0.0,0,0.0,0.0,0.0,0,0.0,0,,0.0,0.0,0,Harlen Castillo,Deportivo Pereira
0.0,0.13,0.0,0.25,75.0,0.42,100.0,0.04,0.0,57.4,0.67,88.89,90,0.21,0.04,0.0,1.0,3.58,1.67,1.92,1.17,0.08,0.79,0.13,0.54,0.13,1.17,0.0,16.96,0.0,0,0,5.79,31.81,0.0,0.75,0.04,0,0.0,0.0,0.0,0,0.0,0,,0.0,0.0,0,Juan Camilo Chaverra,Atlético Bucaramanga
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.82,0.0,0.0,90,0.0,0.0,0.0,1.0,3.33,1.0,2.22,0.78,0.11,0.67,0.22,0.33,0.22,0.67,0.0,11.56,0.0,0,0,4.33,36.79,0.0,0.33,0.0,0,0.0,0.0,0.0,0,0.0,0,,0.11,0.0,0,Alexander Domínguez,Deportes Tolima
0.0,0.17,0.0,0.08,50.0,0.17,100.0,0.0,0.0,73.74,0.25,75.0,90,0.0,0.08,0.0,1.0,3.33,2.08,1.25,1.08,0.08,0.42,0.08,0.08,0.08,1.33,0.0,18.25,0.0,0,0,6.17,48.68,0.0,0.33,0.0,0,0.0,0.0,0.0,0,0.0,0,,0.0,0.0,0,Humberto Acevedo,Deportivo Cali
0.0,0.28,0.0,0.14,66.67,0.14,66.67,0.0,0.0,53.89,0.28,66.67,90,0.14,0.07,0.0,1.03,3.38,1.93,1.45,0.83,0.28,0.21,0.28,0.48,0.28,0.9,0.0,11.93,0.0,0,0,5.03,33.49,0.14,0.76,0.0,0,0.0,0.0,0.0,0,0.0,0,,0.0,0.0,0,Diego Martínez,Deportivo Pasto
0.0,0.34,0.0,0.34,40.0,0.17,25.0,0.0,0.0,60.93,0.51,33.33,90,0.34,0.17,0.0,1.01,3.03,1.35,1.69,1.35,0.0,0.34,0.51,0.0,0.51,2.36,0.0,15.51,0.51,0,0,6.74,40.4,0.0,0.17,0.17,0,0.0,0.0,0.0,0,0.0,0,,0.17,0.0,0,Sergio Román,Deportivo La Equidad
0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.35,0.0,0.0,90,0.0,0.0,0.0,1.0,2.43,1.14,1.29,1.0,0.0,0.57,0.14,0.29,0.14,1.14,0.0,14.57,0.0,0,0,6.0,41.58,0.0,0.86,0.0,0,0.0,0.0,0.0,0,0.0,0,,0.0,0.0,0,Santiago Castano,Deportivo Pereira
0.0,0.15,0.05,0.2,80.0,0.25,83.33,0.0,0.0,65.34,0.45,81.82,90,0.15,0.05,0.0,1.05,2.89,1.7,1.2,0.7,0.1,0.65,0.2,0.15,0.2,1.2,0.0,13.92,0.0,0,0,5.64,43.46,0.0,0.45,0.05,0,0.0,0.0,0.0,0,0.0,0,,0.05,0.0,0,Washington Ortega,Deportivo La Equidad
0.0,0.0,0.0,0.17,60.0,0.06,100.0,0.06,0.0,61.11,0.22,66.67,90,0.11,0.0,0.06,1.0,2.33,0.94,1.39,0.78,0.11,0.56,0.39,0.22,0.39,1.28,0.0,13.44,0.11,0,0,4.89,36.67,0.06,0.56,0.06,0,0.0,0.0,0.0,0,0.0,0,,0.06,0.0,0,Gerardo Ortiz,Once Caldas
0.0,0.2,0.0,0.1,100.0,0.31,100.0,0.1,0.0,55.45,0.41,100.0,90,0.1,0.0,0.0,1.02,2.14,1.22,0.92,0.82,0.1,1.02,0.0,0.41,0.0,1.53,0.0,11.94,0.2,0,0,6.02,39.33,0.0,0.51,0.0,0,0.0,0.0,0.0,0,0.0,0,,0.1,0.0,0,Luis Vásquez,Independiente Medellín
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.11,0.0,0.0,90,0.0,0.0,0.0,1.0,4.0,1.5,2.5,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,16.0,0.0,0,0,4.0,40.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,,0.5,0.0,0,Eder Chaux,Once Caldas
0.0,0.29,0.0,0.86,100.0,0.0,0.0,0.0,0.0,70.42,0.86,100.0,90,0.57,0.0,0.0,1.14,2.0,1.14,0.86,1.14,0.0,0.29,0.29,1.14,0.29,1.71,0.0,14.29,0.0,0,0,3.43,36.36,0.29,1.43,0.0,0,0.0,0.0,0.0,0,0.0,0,,0.0,0.0,0,Pier Graziani,Alianza Petrolera
0.0,0.2,0.0,0.0,0.0,0.27,100.0,0.0,0.0,50.66,0.27,80.0,90,0.0,0.0,0.0,1.0,2.33,1.47,0.87,1.0,0.13,0.2,0.07,0.33,0.07,2.73,0.0,15.33,0.07,0,0,6.73,31.37,0.0,1.07,0.07,0,0.0,0.0,0.0,0,0.0,0,,0.07,0.0,0,Felipe Parra,Envigado FC
