goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team
0.22,0.28,0.06,4.32,49.37,0.39,41.18,2.27,0.44,72.33,4.71,48.57,90,1.27,0.5,2.16,1.16,0,0,0,0.94,0.11,0,0,0,0,16.5,0.44,29.24,3.49,1.05,26.76,2.94,63.1,0.28,0.06,0.55,0.17,2.33,0.94,0.72,9.52,0.0,0.33,,0.0,0.0,0.06,Darwin Quintero,América de Cali
0.64,0.34,0.0,0.79,45.71,1.33,51.92,0.25,0.05,69.88,2.11,49.43,90,0.34,0.25,0.44,1.13,0,0,0,1.18,0.15,0,0,0,0,4.47,0.05,11.05,1.13,0.15,17.65,0.83,58.62,0.05,1.47,0.1,0.2,3.0,1.23,0.54,21.31,0.1,0.29,,0.0,0.0,0.0,Marco Pérez,Rionegro Águilas Doradas
1.32,0.0,0.0,7.94,100.0,1.32,33.33,1.32,0.0,68.75,9.26,77.78,90,3.97,1.32,0.0,2.65,0,0,0,2.65,0.0,0,0,0,0,3.97,0.0,14.56,1.32,0.0,0.0,0.0,0.0,0.0,1.32,0.0,0.0,3.97,1.32,1.32,33.33,0.0,0.0,,0.0,0.0,0.0,Jeinner Fuentes,Deportes Tolima
0.47,0.23,0.0,2.88,50.68,1.94,41.67,0.78,0.0,73.55,4.82,46.62,90,1.87,0.93,1.24,1.4,0,0,0,1.01,0.16,0,0,0,0,6.92,0.16,15.78,1.48,0.0,0.0,0.85,50.0,0.62,1.4,0.23,0.23,5.36,2.02,1.01,8.7,0.08,0.31,,0.0,0.0,0.0,Hugo Rodallega,Independiente Santa Fe
0.48,0.21,0.0,0.8,48.39,0.85,42.11,0.11,0.05,76.52,1.64,44.93,90,0.58,0.27,0.27,1.06,0,0,0,1.06,0.16,0,0,0,0,4.93,0.21,13.31,1.11,0.16,14.29,0.85,94.12,0.16,0.05,0.16,0.21,3.39,1.54,0.42,14.06,0.11,1.54,,0.0,0.0,0.0,Dayro Moreno,Once Caldas
0.34,0.11,0.0,4.8,47.73,0.8,50.0,2.52,0.11,77.04,5.6,48.04,90,1.37,1.49,1.72,1.03,0,0,0,0.69,0.23,0,0,0,0,7.66,0.11,17.27,1.49,0.34,21.43,0.8,58.33,0.23,0.11,0.34,0.11,2.17,0.69,0.69,15.79,0.11,0.0,,0.0,0.0,0.0,Henry Mosquera,Envigado FC
0.2,0.0,0.0,5.35,57.71,0.41,38.46,1.43,0.08,84.49,5.76,55.73,90,2.53,0.82,2.04,1.06,0,0,0,0.69,0.25,0,0,0,0,11.69,0.12,29.39,1.1,0.53,27.08,1.84,69.23,0.57,0.37,0.2,0.04,1.8,0.69,0.41,11.36,0.0,0.16,,0.0,0.0,0.04,Geimer Balanta,Boyacá Chicó FC
0.5,0.11,0.06,4.51,48.8,1.56,38.89,0.5,0.0,64.19,6.07,45.8,90,3.12,1.95,1.67,1.06,0,0,0,0.78,0.06,0,0,0,0,3.84,0.06,10.58,1.11,0.0,0.0,0.45,42.11,0.06,0.89,0.56,0.06,2.12,0.95,0.39,23.68,0.06,1.0,,0.0,0.0,0.0,Gonzalo Lencina,Atlético Bucaramanga
1.45,0.0,0.0,2.9,100.0,2.9,100.0,1.45,0.0,80.0,5.81,100.0,90,1.45,1.45,0.0,2.9,0,0,0,0.0,0.0,0,0,0,0,4.35,0.0,17.42,1.45,0.0,0.0,1.45,100.0,0.0,0.0,0.0,0.0,1.45,1.45,0.0,100.0,0.0,1.45,,0.0,0.0,0.0,Andrés Rentería,Deportes Tolima
0.35,0.22,0.0,3.1,42.94,2.83,47.06,0.44,0.09,66.17,5.94,44.82,90,2.21,1.11,1.73,1.11,0,0,0,0.97,0.18,0,0,0,0,5.23,0.04,11.78,0.75,0.13,33.33,0.27,50.0,0.35,0.8,0.44,0.31,3.85,1.2,0.53,9.2,0.13,0.4,,0.0,0.0,0.0,Facundo Suárez,América de Cali
