goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team
0.25,0.25,0.0,1.25,50.0,3.5,73.68,0.5,0.25,76.56,4.75,65.52,90,0.0,0.5,0.0,1.0,0,0,0,0.5,0.0,0,0,0,0,3.0,0.25,24.5,0.5,0.0,0.0,3.0,34.29,1.75,4.75,0.5,0.25,1.0,0.5,0.25,25.0,0.0,0.0,,0.0,0.0,0.0,José Caldera,Deportivo Cali
0.0,0.0,0.0,7.01,61.9,0.0,0.0,0.54,0.0,76.09,7.01,56.52,90,1.08,1.62,0.54,1.08,0,0,0,0.0,0.0,0,0,0,0,3.23,0.0,18.86,1.62,0.0,0.0,1.08,40.0,0.54,1.62,2.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Cristian Hurtado,Alianza Valledupar FC
0.19,0.19,0.0,4.49,58.06,1.19,47.5,1.56,0.06,79.91,5.68,55.49,90,1.44,0.94,1.0,1.19,0,0,0,0.81,0.12,0,0,0,0,7.36,0.12,22.09,1.69,0.56,20.93,0.94,57.69,0.44,1.37,0.25,0.0,1.5,0.81,0.12,12.5,0.12,0.19,,0.0,0.0,0.0,Édier Ocampo,Atlético Nacional
0.11,0.11,0.0,4.02,72.0,1.0,69.23,0.33,0.22,70.05,5.02,71.43,90,1.67,0.89,0.11,1.0,0,0,0,0.78,0.22,0,0,0,0,4.35,0.11,16.19,0.45,0.56,27.78,1.9,39.53,1.0,2.12,0.56,0.0,0.56,0.33,0.0,20.0,0.0,0.33,,0.0,0.0,0.0,Christian Mafla,Deportivo Pasto
0.16,0.11,0.0,2.14,62.9,2.41,70.97,0.33,0.05,80.87,4.55,66.94,90,0.22,0.33,0.16,1.04,0,0,0,1.1,0.0,0,0,0,0,3.35,0.0,36.86,0.33,0.0,0.0,4.17,46.63,1.15,3.07,0.71,0.0,1.21,0.49,0.22,13.64,0.05,0.0,,0.0,0.0,0.0,Juan Pablo Vargas,Millonarios
0.21,0.21,0.0,1.66,55.17,2.08,58.82,0.21,0.0,82.95,3.74,57.14,90,0.21,0.62,0.1,1.14,0,0,0,0.83,0.0,0,0,0,0,3.32,0.0,37.89,0.31,0.1,50.0,5.29,53.13,0.62,3.74,0.52,0.0,1.14,0.42,0.21,18.18,0.0,0.1,,0.0,0.0,0.0,Daniel Rivera,Fortaleza CEIF
0.05,0.3,0.0,3.68,52.48,0.75,78.95,0.55,0.1,83.73,4.43,55.63,90,1.14,0.9,0.75,1.04,0,0,0,0.9,0.1,0,0,0,0,8.36,0.3,33.03,1.09,0.75,30.0,1.89,57.58,1.39,1.0,0.9,0.05,0.75,0.5,0.15,6.67,0.05,0.15,,0.0,0.0,0.0,Gabriel Fuentes,Junior Barranquilla
0.05,0.21,0.0,3.03,60.2,0.67,43.33,0.41,0.0,82.06,3.7,56.25,90,1.18,0.77,0.46,1.03,0,0,0,0.87,0.1,0,0,0,0,6.83,0.1,32.65,0.72,0.62,30.0,3.29,62.75,1.28,2.36,0.46,0.0,0.98,0.26,0.21,5.26,0.0,0.26,,0.0,0.0,0.0,Yhorman Hurtado,Deportes Tolima
0.21,0.41,0.0,3.01,59.46,1.64,55.81,0.75,0.07,79.65,4.65,58.12,90,1.09,0.89,0.62,1.16,0,0,0,0.68,0.14,0,0,0,0,4.38,0.07,24.62,0.82,0.34,29.41,1.85,51.92,1.44,1.3,0.21,0.07,1.57,0.48,0.55,13.04,0.0,0.14,,0.0,0.0,0.0,Álvaro Angulo,Atlético Nacional
0.23,0.3,0.08,1.28,44.74,3.02,58.82,0.0,0.0,85.61,4.3,53.77,90,0.38,1.28,0.08,1.06,0,0,0,0.45,0.08,0,0,0,0,2.26,0.0,36.78,0.08,0.0,0.0,3.17,57.53,0.45,5.35,0.23,0.08,0.75,0.38,0.15,30.0,0.0,0.08,,0.0,0.0,0.0,Juan Felipe Aguirre,Atlético Nacional
