goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team
4.15,1.38,0.0,4.15,50.0,0.0,0.0,2.77,0.0,80.0,4.15,50.0,90,0.0,1.38,1.38,1.38,0,0,0,0.0,0.0,0,0,0,0,2.77,0.0,11.08,1.38,0.0,0.0,1.38,100.0,1.38,0.0,0.0,0.0,4.15,4.15,0.0,100.0,0.0,0.0,,0.0,0.0,0,Edgar Guerra,Millonarios
0.68,0.14,0.0,3.4,51.02,0.14,20.0,0.88,0.27,83.78,3.53,48.15,90,1.77,0.48,1.22,1.09,0,0,0,0.75,0.0,0,0,0,0,16.1,0.48,46.66,3.19,2.11,44.29,3.4,58.14,0.2,0.07,0.61,0.14,2.72,1.29,0.34,25.0,0.0,0.07,,0.0,0.0,0,Yeison Guzmán,Deportes Tolima
0.09,0.31,0.04,3.69,53.25,0.22,33.33,1.8,0.31,76.81,3.91,51.48,90,0.54,1.03,0.76,1.03,0,0,0,0.72,0.13,0,0,0,0,13.17,0.36,29.63,3.01,1.98,29.93,3.46,55.8,0.13,0.18,0.67,0.04,3.51,0.94,1.17,2.56,0.0,0.31,,0.0,0.0,0,Johan Rojas,Deportivo La Equidad
0.27,0.32,0.0,5.45,53.13,0.11,18.18,1.18,0.11,81.32,5.56,51.23,90,3.1,1.28,1.71,1.18,0,0,0,0.86,0.05,0,0,0,0,15.61,0.43,36.29,2.51,1.39,22.41,2.4,48.39,0.37,0.27,0.69,0.0,2.51,0.91,0.69,10.64,0.05,0.05,,0.0,0.0,0,Billy Arce,Once Caldas
0.16,0.32,0.0,2.49,49.21,0.56,33.33,0.24,0.32,79.15,3.05,45.24,90,1.36,0.8,0.64,1.12,0,0,0,0.8,0.16,0,0,0,0,16.86,0.48,38.7,3.45,2.57,33.68,2.57,47.76,0.64,0.32,0.96,0.16,1.36,0.48,0.56,11.76,0.08,0.08,,0.0,0.0,0,Pablo Ceppelini,Atlético Nacional
0.08,0.24,0.0,3.77,47.96,0.4,55.56,1.52,0.0,80.77,4.17,48.6,90,1.36,0.72,1.6,1.2,0,0,0,0.96,0.0,0,0,0,0,18.05,0.16,40.43,2.25,0.32,25.0,3.21,65.57,0.48,0.24,0.88,0.16,1.76,0.8,0.16,4.55,0.16,0.16,,0.0,0.0,0,David Macalister Silva,Millonarios
0.18,0.09,0.04,4.34,55.68,0.89,47.62,0.8,0.09,74.36,5.23,54.13,90,1.86,1.15,0.89,1.06,0,0,0,0.58,0.04,0,0,0,0,5.81,0.09,19.29,1.46,1.68,27.54,1.82,46.59,0.35,0.98,1.06,0.0,2.08,0.58,0.53,8.51,0.0,0.09,,0.0,0.0,0,Francisco Chaverra,Independiente Santa Fe
0.17,0.28,0.0,3.79,58.12,1.9,57.63,0.33,0.0,84.39,5.69,57.95,90,1.23,1.45,0.5,1.06,0,0,0,1.06,0.0,0,0,0,0,7.37,0.0,41.01,0.45,0.0,0.0,1.73,49.21,1.67,3.07,0.67,0.0,0.89,0.28,0.17,18.75,0.06,0.11,,0.0,0.0,0,Didier Moreno,Junior Barranquilla
0.0,1.17,0.0,7.01,60.0,1.17,100.0,3.51,0.0,80.36,8.18,63.64,90,2.34,2.34,0.0,1.17,0,0,0,0.0,0.0,0,0,0,0,17.53,0.0,52.6,2.34,0.0,0.0,5.84,62.5,1.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,Edgard Camargo,Atlético Bucaramanga
0.0,0.25,0.0,4.14,65.66,0.89,56.0,0.51,0.0,88.2,5.04,63.71,90,1.91,0.57,0.45,1.15,0,0,0,0.51,0.13,0,0,0,0,17.4,0.13,60.49,0.38,0.06,50.0,5.35,65.12,1.72,1.08,0.7,0.0,0.96,0.25,0.38,0.0,0.0,0.0,,0.0,0.0,0,Víctor Cantillo,Junior Barranquilla
0.21,0.48,0.0,4.45,50.3,0.69,41.94,0.64,0.26,74.74,5.14,48.99,90,2.38,1.27,1.43,1.38,0,0,0,0.48,0.05,0,0,0,0,10.38,0.48,26.96,2.81,1.59,32.97,1.7,55.17,0.64,0.16,0.53,0.05,1.48,0.79,0.26,14.29,0.11,0.21,,0.0,0.0,0,Fabián Sambueza,Atlético Bucaramanga
0.12,0.37,0.0,4.97,45.45,1.12,52.94,1.86,0.12,80.3,6.08,46.67,90,1.24,2.11,1.74,1.37,0,0,0,0.74,0.12,0,0,0,0,9.19,0.62,33.39,2.11,0.62,18.52,2.61,50.0,0.87,0.87,1.49,0.0,1.86,0.5,0.62,6.67,0.12,0.12,,0.0,0.12,0,Felix Charrupí,Envigado FC
0.34,0.34,0.0,1.35,40.0,0.0,0.0,0.34,0.0,73.39,1.35,28.57,90,0.68,0.68,0.68,1.35,0,0,0,1.35,0.34,0,0,0,0,11.5,0.34,30.79,2.71,1.69,38.46,4.4,56.52,0.34,0.34,0.68,0.0,3.72,1.35,0.68,9.09,0.0,0.0,,0.0,0.0,0,Dorlan Pabón,Atlético Nacional
0.27,0.07,0.0,4.33,60.19,0.33,31.25,1.73,0.07,84.38,4.66,56.45,90,1.73,0.67,1.13,1.26,0,0,0,0.93,0.07,0,0,0,0,11.72,0.13,32.35,1.73,0.6,27.27,1.26,57.58,0.53,0.33,0.47,0.2,1.6,0.8,0.27,16.67,0.07,0.0,,0.0,0.0,0,Yimmi Chará,Junior Barranquilla
0.06,0.17,0.0,2.76,43.64,0.58,34.48,0.23,0.23,77.73,3.34,41.73,90,1.61,1.21,0.46,1.09,0,0,0,1.44,0.23,0,0,0,0,14.21,0.17,34.76,2.76,1.73,25.64,3.51,57.01,0.69,0.46,1.32,0.0,0.86,0.29,0.23,6.67,0.0,0.06,,0.0,0.0,0,Sebastián Tamara,Boyacá Chicó FC
0.0,0.1,0.0,2.7,35.44,0.58,85.71,0.48,0.19,75.22,3.28,39.53,90,1.25,1.54,1.25,1.45,0,0,0,0.87,0.19,0,0,0,0,14.55,0.39,33.05,3.57,3.18,37.08,4.24,57.89,0.77,0.19,0.87,0.0,2.12,0.77,0.19,0.0,0.1,0.29,,0.0,0.0,0,Edwin Cardona,América de Cali
0.27,0.27,0.0,8.0,55.14,1.08,53.33,2.58,0.0,77.53,9.08,54.92,90,3.12,0.95,2.44,1.22,0,0,0,1.22,0.14,0,0,0,0,8.27,0.0,28.06,1.36,0.95,35.0,2.44,62.07,0.41,0.68,1.22,0.27,2.3,1.22,0.54,11.76,0.14,0.0,,0.0,0.0,0,Yairo Moreno,Independiente Medellín
0.12,0.3,0.06,4.5,55.64,0.43,35.0,0.3,0.0,86.09,4.92,52.94,90,2.13,1.09,0.61,1.03,0,0,0,0.91,0.12,0,0,0,0,8.75,0.0,44.0,0.91,0.3,35.71,4.38,70.59,1.4,0.91,1.09,0.0,1.28,0.49,0.18,9.52,0.06,0.0,,0.0,0.0,0,Robert Mejía,Atlético Nacional
0.14,0.14,0.07,4.27,48.06,0.07,12.5,1.44,0.14,82.6,4.33,45.99,90,1.44,1.1,1.86,1.24,0,0,0,0.96,0.14,0,0,0,0,11.63,0.21,29.72,2.0,1.79,37.14,2.0,54.72,0.41,0.14,0.89,0.14,1.65,0.89,0.48,8.33,0.0,0.14,,0.0,0.0,0,Javier Reina,Deportivo Cali
0.48,0.0,0.0,6.22,81.25,0.0,0.0,2.87,0.0,85.0,6.22,81.25,90,1.91,0.0,0.0,2.39,0,0,0,0.96,0.0,0,0,0,0,15.8,0.0,32.55,1.91,0.96,20.0,1.91,44.44,1.91,0.0,0.96,0.0,1.91,0.96,0.48,25.0,0.0,0.0,,0.0,0.0,0,Duvan Rodríguez,Jaguares de Córdoba
0.12,0.23,0.0,3.9,55.25,0.94,33.8,0.39,0.08,76.9,4.84,49.21,90,1.52,1.29,0.74,1.01,0,0,0,0.55,0.04,0,0,0,0,9.76,0.08,30.79,1.09,0.27,26.92,1.83,40.52,0.82,1.13,0.59,0.0,0.74,0.23,0.12,15.79,0.04,0.08,,0.0,0.0,0,Daniel Torres,Independiente Santa Fe
0.06,0.12,0.0,4.07,46.48,0.06,6.25,1.23,0.25,78.58,4.14,42.41,90,1.85,0.43,1.3,1.3,0,0,0,1.05,0.0,0,0,0,0,12.72,0.19,33.52,2.72,2.22,29.75,1.54,40.32,0.68,0.0,1.48,0.06,2.04,0.74,0.25,3.03,0.06,0.06,,0.0,0.0,0,Daniel Ruiz,Millonarios
0.12,0.18,0.0,5.17,54.32,1.88,52.46,0.41,0.0,82.93,7.05,53.81,90,1.47,1.88,0.59,1.12,0,0,0,1.06,0.06,0,0,0,0,4.05,0.06,35.93,0.41,0.0,0.0,1.64,48.28,1.12,2.23,1.35,0.0,1.06,0.23,0.06,11.11,0.06,0.06,,0.0,0.0,0,Enrique Serje,Jaguares de Córdoba
0.15,0.23,0.0,5.83,58.46,0.31,25.0,2.84,0.38,74.43,6.13,54.79,90,2.22,0.69,1.46,1.23,0,0,0,1.46,0.15,0,0,0,0,6.59,0.23,17.63,1.61,1.23,38.1,0.92,36.36,0.23,0.15,0.46,0.08,2.07,0.77,0.46,7.41,0.0,0.08,,0.0,0.0,0,Emerson Batalla,Alianza Valledupar FC
0.09,0.09,0.0,3.49,56.16,1.62,57.58,0.51,0.26,79.2,5.11,56.6,90,1.19,1.28,0.17,1.11,0,0,0,1.19,0.09,0,0,0,0,6.22,0.17,28.55,1.02,0.34,25.0,2.05,50.0,1.45,1.62,1.02,0.17,1.11,0.51,0.09,7.69,0.0,0.09,,0.0,0.0,0,Kelvin Osorio,Deportivo Cali
0.36,0.09,0.0,2.77,54.39,1.16,48.15,0.54,0.09,85.32,3.92,52.38,90,0.36,0.27,0.71,1.52,0,0,0,1.07,0.0,0,0,0,0,8.83,0.0,36.3,1.07,0.0,0.0,3.21,64.29,1.25,1.52,0.71,0.09,1.61,0.54,0.27,22.22,0.0,0.18,,0.0,0.0,0,Juan Pereira,Millonarios
0.0,0.22,0.0,2.81,57.35,0.58,34.78,0.65,0.22,83.86,3.39,51.65,90,1.37,1.08,0.36,1.3,0,0,0,1.08,0.14,0,0,0,0,8.88,0.22,30.38,2.24,1.37,34.55,2.53,61.4,0.29,0.72,0.51,0.07,1.44,0.43,0.29,0.0,0.07,0.29,,0.0,0.0,0,Sebastián Navarro,Fortaleza CEIF
0.08,0.16,0.0,3.35,54.55,0.88,52.38,0.72,0.08,77.42,4.22,54.08,90,1.99,0.72,0.96,1.28,0,0,0,1.04,0.0,0,0,0,0,9.41,0.24,24.87,1.59,0.88,21.15,1.83,51.11,0.56,2.39,0.32,0.0,1.36,0.48,0.08,5.88,0.08,0.08,,0.08,0.0,0,Pablo Rojas,Jaguares de Córdoba
0.0,0.29,0.0,3.96,62.5,1.73,70.59,0.86,0.14,86.37,5.69,64.75,90,1.44,0.86,0.22,1.15,0,0,0,1.08,0.22,0,0,0,0,6.63,0.29,35.16,0.79,0.43,42.86,1.51,60.0,0.94,2.09,0.43,0.0,0.43,0.14,0.07,0.0,0.07,0.0,,0.0,0.0,0,Cristian Arrieta,Deportivo Pasto
0.14,0.34,0.0,3.56,45.61,0.21,15.79,0.82,0.0,79.76,3.76,41.35,90,1.09,0.96,1.57,1.16,0,0,0,0.68,0.14,0,0,0,0,11.49,0.21,36.11,1.5,0.82,23.53,2.74,48.78,0.14,0.48,0.89,0.0,1.98,0.75,0.55,6.9,0.07,0.0,,0.0,0.0,0,Diego Chávez,Deportivo Pasto
0.37,0.12,0.0,3.97,51.59,0.92,41.67,1.04,0.18,77.6,4.88,49.38,90,2.56,0.85,1.16,1.28,0,0,0,0.79,0.12,0,0,0,0,6.65,0.12,15.01,1.1,0.43,11.48,0.49,53.33,0.31,0.24,0.24,0.18,1.77,0.85,0.37,20.69,0.0,0.31,,0.0,0.0,0,Faber Andrés Gil,Deportivo Pereira
