name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,duelLost,duelWon,dispossessed,blockedScoringAttempt,totalTackle,wasFouled,fouls,keyPass,aerialWon,totalContest,interceptionWon,outfielderBlock,shotOffTarget,wonContest,onTargetScoringAttempt,challengeLost,totalOffside,captain,team,teamType,goodHighClaim
Salvador Ichazo,salvador-ichazo,S. Ichazo,G,1,185.0,63,158605,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,696384000.0,"{'value': 360000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'س. إشازو', 'hi': 'एस. इचाज़ो', 'bn': 'এস. ইচাজো'}}",,,1,False,26.0,16.0,17.0,9.0,0.0,1.0,2.0,3.0,90.0,35.0,7.3,12.0,"{'original': 7.3, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,home,
Walmer Pacheco,walmer-pacheco,W. Pacheco,D,21,172.0,52,819169,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,790214400.0,"{'value': 700000, 'currency': 'EUR'}",,,,21,False,34.0,25.0,3.0,,0.0,3.0,,,90.0,58.0,7.1,16.0,"{'original': 7.1, 'alternative': None}",4.0,1.0,1.0,5.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,,,,,,,,,,,Deportivo Pereira,home,
Santiago Aguilar,santiago-aguilar,S. Aguilar,D,15,188.0,12,1478346,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,901756800.0,"{'value': 215000, 'currency': 'EUR'}",,Santiago Aguilar,,15,False,29.0,19.0,5.0,1.0,0.0,6.0,,,90.0,42.0,6.9,12.0,"{'original': 6.9, 'alternative': None}",1.0,1.0,3.0,5.0,4.0,,,1.0,,1.0,,3.0,1.0,1.0,,,,,,,,Deportivo Pereira,home,
José Moya,jose-moya,J. Moya,D,3,184.0,24,285501,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,713145600.0,"{'value': 410000, 'currency': 'EUR'}",,,,3,False,39.0,31.0,5.0,1.0,0.0,9.0,,,90.0,58.0,7.0,12.0,"{'original': 7, 'alternative': None}",,,3.0,8.0,7.0,1.0,,1.0,1.0,3.0,1.0,5.0,1.0,1.0,1.0,,,,,,,Deportivo Pereira,home,
Jeison Suárez,jeison-suarez,J. Suárez,D,26,174.0,33,819096,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,868320000.0,"{'value': 500000, 'currency': 'EUR'}",,,,26,False,23.0,17.0,4.0,,0.0,1.0,,,88.0,42.0,6.7,11.0,"{'original': 6.7, 'alternative': None}",3.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,,1.0,,1.0,,,,,,Deportivo Pereira,home,
Yuber Quiñones,yuber-quinones,Y. Quiñones,M,13,173.0,96,1111115,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1034035200.0,"{'value': 385000, 'currency': 'EUR'}",,Yuber Quiñones,,13,False,19.0,13.0,1.0,1.0,0.0,,,,90.0,44.0,7.2,20.0,"{'original': 7.2, 'alternative': None}",8.0,1.0,1.0,4.0,4.0,3.0,,1.0,1.0,,,,2.0,,,1.0,2.0,2.0,,,,Deportivo Pereira,home,
Juan David Ríos,juan-david-rios,J. D. Ríos,M,14,173.0,30,829864,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,686793600.0,"{'value': 470000, 'currency': 'EUR'}",,,,14,False,30.0,27.0,2.0,2.0,0.0,1.0,,,90.0,40.0,7.2,4.0,"{'original': 7.2, 'alternative': None}",,,1.0,4.0,6.0,,,4.0,1.0,3.0,1.0,,1.0,1.0,,,1.0,,,,,Deportivo Pereira,home,
Jorge Bermúdez,jorge-bermudez,J. Bermúdez,M,5,166.0,12,1016202,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,981331200.0,"{'value': 360000, 'currency': 'EUR'}",,,,5,False,10.0,10.0,1.0,1.0,0.0,1.0,,,45.0,16.0,6.9,,"{'original': 6.9, 'alternative': None}",,,,2.0,1.0,,,1.0,,2.0,,,,,1.0,,,1.0,,,,Deportivo Pereira,home,
Eduar Arízalas,eduar-arizalas,E. Arízalas,M,22,,7,1478209,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1006646400.0,"{'value': 52000, 'currency': 'EUR'}",,Eduar Arízalas,,22,False,9.0,8.0,,,0.0,,,,45.0,21.0,6.7,8.0,"{'original': 6.7, 'alternative': None}",1.0,,1.0,4.0,3.0,1.0,,2.0,1.0,,,,2.0,,,2.0,,,,,,Deportivo Pereira,home,
Darwin Quintero,darwin-quintero,D. Quintero,F,7,166.0,706,787564,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,559008000.0,"{'value': 90000, 'currency': 'EUR'}",,,,7,False,26.0,16.0,1.0,1.0,0.0,,,,90.0,40.0,6.7,17.0,"{'original': 6.7, 'alternative': None}",4.0,1.0,2.0,6.0,3.0,1.0,,,3.0,,2.0,,2.0,,,1.0,,,1.0,1.0,True,Deportivo Pereira,home,
