name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,duelLost,duelWon,totalContest,onTargetScoringAttempt,blockedScoringAttempt,interceptionWon,totalTackle,fouls,keyPass,aerialLost,aerialWon,shotOffTarget,totalClearance,dispossessed,wasFouled,accurateCross,wonContest,challengeLost,outfielderBlock,totalOffside,bigChanceMissed,bigChanceCreated,captain,team,teamType,goodHighClaim,savedShotsFromInsideTheBox,saves
Juan Camilo Chaverra,,,juan-camilo-chaverra,J. C. Chaverra,G,12,185.0,17,870005,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,724118400.0,"{'value': 190000, 'currency': 'EUR'}",12,False,19.0,16.0,6.0,3.0,0.0,90.0,23.0,6.7,4.0,"{'original': 6.7, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,True,Alianza Valledupar FC,home,,,
Yilson Rosales,,,yilson-rosales,Y. Rosales,D,3,183.0,7,941638,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,976320000.0,"{'value': 260000, 'currency': 'EUR'}",60,False,57.0,47.0,8.0,5.0,0.0,90.0,86.0,7.5,22.0,"{'original': 7.5, 'alternative': None}",1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,Alianza Valledupar FC,home,,,
Jesús Figueroa,,,jesus-figueroa,J. Figueroa,D,6,180.0,11,947323,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,824169600.0,"{'value': 230000, 'currency': 'EUR'}",6,False,35.0,28.0,6.0,1.0,0.0,90.0,50.0,7.7,8.0,"{'original': 7.7, 'alternative': None}",1.0,2.0,7.0,,1.0,,,2.0,,,2.0,5.0,2.0,9.0,,,,,,,,,,,Alianza Valledupar FC,home,,,
Kevin Moreno,,,kevin-moreno,K. Moreno,D,3,187.0,13,940994,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,964310400.0,"{'value': 260000, 'currency': 'EUR'}",3,False,36.0,32.0,6.0,3.0,0.0,90.0,55.0,7.5,5.0,"{'original': 7.5, 'alternative': None}",,4.0,3.0,,1.0,,3.0,1.0,1.0,,2.0,1.0,2.0,9.0,1.0,1.0,,,,,,,,,Alianza Valledupar FC,home,,,
Kalazan Suárez,Kalazan Suárez,,kalazan-suarez,K. Suárez,D,22,175.0,20,1179173,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1015286400.0,"{'value': 245000, 'currency': 'EUR'}",22,False,29.0,27.0,2.0,1.0,0.0,90.0,58.0,7.8,7.0,"{'original': 7.8, 'alternative': None}",9.0,3.0,3.0,2.0,,1.0,1.0,1.0,,5.0,3.0,,,7.0,,,6.0,2.0,,,,,,,Alianza Valledupar FC,home,,,
Jair Castillo,,,jair-castillo,J. Castillo,M,7,175.0,10,1014497,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,861580800.0,"{'value': 360000, 'currency': 'EUR'}",7,False,55.0,44.0,5.0,3.0,0.0,90.0,67.0,6.8,13.0,"{'original': 6.8, 'alternative': None}",1.0,4.0,4.0,,,1.0,,2.0,2.0,,,1.0,,2.0,1.0,1.0,1.0,,1.0,1.0,,,,,Alianza Valledupar FC,home,,,
Diego Mendoza,Diego Mendoza,,diego-mendoza,D. Mendoza,M,23,177.0,15,1174860,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1002672000.0,"{'value': 325000, 'currency': 'EUR'}",23,False,37.0,34.0,4.0,3.0,0.0,67.0,41.0,6.8,4.0,"{'original': 6.8, 'alternative': None}",,2.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,Alianza Valledupar FC,home,,,
Edwin Torres,,,edwin-torres,E. Torres,M,22,183.0,43,855966,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,879033600.0,"{'value': 580000, 'currency': 'EUR'}",29,False,11.0,9.0,,,0.0,67.0,31.0,6.9,15.0,"{'original': 6.9, 'alternative': None}",9.0,3.0,2.0,1.0,1.0,2.0,,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,,1.0,,,,Alianza Valledupar FC,home,,,
Wiston Fernández,,,wiston-fernandez,W. Fernández,M,33,182.0,27,931581,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,883872000.0,"{'value': 365000, 'currency': 'EUR'}",33,False,19.0,14.0,1.0,,0.0,74.0,38.0,6.6,13.0,"{'original': 6.6, 'alternative': None}",3.0,8.0,4.0,,,1.0,,2.0,2.0,2.0,,,2.0,,5.0,2.0,1.0,,1.0,,,,,,Alianza Valledupar FC,home,,,
Jesús Muñoz,Jesús Muñoz,,jesus-munoz,J. Muñoz,M,24,,21,1189991,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1011312000.0,"{'value': 375000, 'currency': 'EUR'}",24,False,11.0,10.0,,,0.0,45.0,22.0,7.2,2.0,"{'original': 7.2, 'alternative': None}",1.0,,4.0,2.0,,,1.0,,,1.0,,,1.0,,,2.0,1.0,2.0,,,,,,,Alianza Valledupar FC,home,,,
Misael Martínez,,,misael-martinez,M. Martínez,F,77,175.0,36,998425,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,890784000.0,"{'value': 405000, 'currency': 'EUR'}",77,False,9.0,6.0,,,0.0,67.0,14.0,6.7,5.0,"{'original': 6.7, 'alternative': None}",1.0,1.0,3.0,,,,,2.0,,1.0,,1.0,,,1.0,,,,,,1.0,,,,Alianza Valledupar FC,home,,,
Felipe Pardo,,,felipe-pardo,F. Pardo,F,11,178.0,155,107603,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,650851200.0,"{'value': 210000, 'currency': 'EUR'}",17,True,7.0,6.0,,,0.0,45.0,17.0,6.5,7.0,"{'original': 6.5, 'alternative': None}",,4.0,2.0,2.0,3.0,,,1.0,1.0,,,1.0,,,1.0,,,,,,1.0,1.0,,,Alianza Valledupar FC,home,,,
Sergio Aponzá,,,sergio-aponza,S. Aponzá,M,77,178.0,56,1938902,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1122508800.0,,11,True,9.0,7.0,,,0.0,23.0,16.0,6.7,6.0,"{'original': 6.7, 'alternative': None}",4.0,2.0,1.0,2.0,,,,,1.0,1.0,,,,,,,1.0,1.0,,,,,,,Alianza Valledupar FC,home,,,
Ruben Manjarres,Ruben Manjarres,,ruben-manjarres,R. Manjarres,M,8,184.0,22,1098315,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,950832000.0,"{'value': 315000, 'currency': 'EUR'}",21,True,21.0,18.0,3.0,2.0,0.0,23.0,23.0,6.5,4.0,"{'original': 6.5, 'alternative': None}",,3.0,,1.0,,,,,2.0,,,,,,,,,,,,,,,,Alianza Valledupar FC,home,,,
Junior Jiménez,Junior Jiménez,,junior-jimenez,J. Jiménez,F,20,,4,1908103,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,974505600.0,,20,True,9.0,5.0,,,0.0,23.0,17.0,6.7,9.0,"{'original': 6.7, 'alternative': None}",2.0,3.0,,3.0,,1.0,1.0,,,2.0,,,,,,,1.0,,,,,,1.0,,Alianza Valledupar FC,home,,,
Royscer Colpa,,,royscer-colpa,R. Colpa,M,8,181.0,8,927547,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,801187200.0,"{'value': 225000, 'currency': 'EUR'}",8,True,12.0,12.0,,,0.0,16.0,15.0,6.9,,"{'original': 6.9, 'alternative': None}",,1.0,2.0,,,,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,Alianza Valledupar FC,home,,,
Johan Wallens,,,johan-wallens,J. Wallens,G,1,188.0,10,72857,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,712800000.0,"{'value': 97000, 'currency': 'EUR'}",1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alianza Valledupar FC,home,,,
