name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,totalClearance,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,duelLost,totalContest,wonContest,onTargetScoringAttempt,outfielderBlock,totalTackle,fouls,keyPass,dispossessed,shotOffTarget,clearanceOffLine,interceptionWon,accurateCross,wasFouled,goals,captain,team,teamType,challengeLost,blockedScoringAttempt,totalOffside
Darío Denis,dario-denis,D. Denis,G,23,186.0,13,820358,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,692841600.0,"{'value': 105000, 'currency': 'EUR'}",,,,12,False,28.0,14.0,25.0,11.0,0.0,1.0,1.0,1.0,3.0,5.0,1.0,90.0,35.0,7.9,14.0,"{'original': 7.9, 'alternative': None}",,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,home,,,
Yael López,yael-lopez,Y. López,D,22,178.0,33,971249,"{'alpha2': 'CR', 'alpha3': 'CRI', 'name': 'Costa Rica', 'slug': 'costa-rica'}",EUR,913852800.0,"{'value': 205000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ي. لوبيز', 'hi': 'वाए. लोपेज़', 'bn': 'ওয়াই. লোপেজ'}}",,,22,False,16.0,12.0,,,0.0,1.0,5.0,6.0,,,,51.0,39.0,6.3,5.0,"{'original': 6.3, 'alternative': None}",1.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0,3.0,,,,,,,,,,Boyacá Chicó FC,home,,,
Kevin Riascos,kevin-riascos,K. Riascos,D,2,188.0,16,986979,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,803692800.0,"{'value': 140000, 'currency': 'EUR'}",,,,2,False,29.0,22.0,9.0,5.0,0.0,,,10.0,,,,90.0,41.0,7.1,7.0,"{'original': 7.1, 'alternative': None}",,1.0,3.0,,,,,,2.0,1.0,,,,,,,,,Boyacá Chicó FC,home,,,
Frank Lozano,frank-lozano,F. Lozano,M,19,175.0,19,1015686,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745977600.0,"{'value': 340000, 'currency': 'EUR'}",,,,19,False,30.0,28.0,1.0,1.0,0.0,5.0,5.0,2.0,,,,90.0,43.0,7.9,5.0,"{'original': 7.9, 'alternative': None}",1.0,2.0,3.0,,,1.0,2.0,,,,1.0,1.0,1.0,1.0,,,,True,Boyacá Chicó FC,home,,,
Jonathan Herrera,jonathan-herrera,J. Herrera,D,18,177.0,9,819185,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,825120000.0,"{'value': 220000, 'currency': 'EUR'}",,,,18,False,18.0,15.0,3.0,,0.0,,3.0,3.0,,,,90.0,43.0,6.8,12.0,"{'original': 6.8, 'alternative': None}",3.0,2.0,5.0,2.0,1.0,,,1.0,,,2.0,,,1.0,1.0,1.0,,,Boyacá Chicó FC,home,,,
Ronald Valencia,ronald-valencia,R. Valencia,F,77,180.0,9,1154914,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,983577600.0,"{'value': 135000, 'currency': 'EUR'}",,Ronald Valencia,,16,False,11.0,5.0,1.0,,0.0,,1.0,,,,,82.0,22.0,6.6,11.0,"{'original': 6.6, 'alternative': None}",3.0,,3.0,4.0,1.0,,,,,2.0,,1.0,,,3.0,,,,Boyacá Chicó FC,home,,,
Kevin Londoño,kevin-londono,K. Londoño,M,27,180.0,14,1100037,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963100800.0,"{'value': 440000, 'currency': 'EUR'}",,Kevin Londoño,,27,False,38.0,28.0,7.0,,0.0,,1.0,2.0,,,,90.0,43.0,6.6,10.0,"{'original': 6.6, 'alternative': None}",,2.0,5.0,1.0,1.0,,1.0,,3.0,1.0,,1.0,,,,,,,Boyacá Chicó FC,home,,,
Sebastian Salazar,sebastian-salazar,S. Salazar,M,8,180.0,8,789908,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,812419200.0,"{'value': 215000, 'currency': 'EUR'}",,,,8,False,31.0,28.0,2.0,,0.0,,4.0,2.0,,,,90.0,40.0,7.1,4.0,"{'original': 7.1, 'alternative': None}",,,,1.0,1.0,,2.0,1.0,,,,,,,,2.0,,,Boyacá Chicó FC,home,,,
Eduardo Banguero,eduardo-banguero,E. Banguero,D,22,177.0,14,963284,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,981244800.0,"{'value': 410000, 'currency': 'EUR'}",,,,14,False,20.0,15.0,1.0,,0.0,3.0,5.0,4.0,,,,90.0,38.0,6.6,15.0,"{'original': 6.6, 'alternative': None}",1.0,,4.0,2.0,,,,,,,2.0,,,,,2.0,,,Boyacá Chicó FC,home,,,
Jairo Molina,jairo-molina,J. Molina,F,9,183.0,67,247931,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,735955200.0,"{'value': 49000, 'currency': 'EUR'}",,,,9,False,12.0,8.0,,,0.0,4.0,6.0,4.0,,,,89.0,29.0,7.8,8.0,"{'original': 7.8, 'alternative': None}",,4.0,5.0,,,2.0,2.0,,,,1.0,,,,,2.0,1.0,,Boyacá Chicó FC,home,,,
