name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,duelLost,duelWon,challengeLost,totalContest,totalClearance,totalTackle,wasFouled,fouls,aerialWon,outfielderBlock,interceptionWon,keyPass,totalOffside,dispossessed,shotOffTarget,onTargetScoringAttempt,blockedScoringAttempt,bigChanceMissed,wonContest,bigChanceCreated,captain,team,teamType,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,aerialLost
William Cuesta,william-cuesta,W. Cuesta,G,1,195.0,24,339369,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,730080000.0,"{'value': 270000, 'currency': 'EUR'}",,,,1,False,15.0,14.0,8.0,7.0,0.0,90.0,24.0,7.0,2.0,"{'original': 7, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,home,,,,,,
Cristian Arrieta,cristian-arrieta,C. Arrieta,M,71,170.0,27,819133,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,820627200.0,"{'value': 605000, 'currency': 'EUR'}",,,,71,False,23.0,21.0,1.0,1.0,0.0,67.0,36.0,6.7,5.0,"{'original': 6.7, 'alternative': None}",2.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,Deportes Tolima,home,,,,,,
Marlon Torres,marlon-torres,M. Torres,D,17,180.0,44,869990,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,829699200.0,"{'value': 590000, 'currency': 'EUR'}",,,,17,False,45.0,40.0,8.0,5.0,0.0,90.0,56.0,7.7,5.0,"{'original': 7.7, 'alternative': None}",,,2.0,2.0,,,4.0,,1.0,2.0,1.0,2.0,4.0,2.0,,,,,,,,,,Deportes Tolima,home,,,,,,
Jhon Quiñónes,jhon-quinones,J. Quiñónes,D,4,188.0,13,1494091,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1082073600.0,,Jhon Quiñónes,,,4,False,24.0,22.0,2.0,,0.0,78.0,31.0,7.1,3.0,"{'original': 7.1, 'alternative': None}",,,1.0,,,,2.0,,,1.0,,3.0,1.0,,1.0,,,,,,,,,Deportes Tolima,home,,,,,,
Samuel Velásquez,samuel-velasquez,S. Velásquez,D,33,174.0,130,1185987,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1054166400.0,"{'value': 770000, 'currency': 'EUR'}",Samuel Velásquez,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ص. فيلاسكيز', 'hi': 'एस. वेलास्केज़', 'bn': 'এস. ভেলাস্কেজ'}}",33,False,34.0,28.0,5.0,,0.0,90.0,43.0,6.3,11.0,"{'original': 6.3, 'alternative': None}",1.0,,5.0,,2.0,2.0,2.0,,,,,,1.0,,,1.0,,,,,,,,Deportes Tolima,home,,,,,,
Cristian Trujillo,cristian-trujillo,C. Trujillo,M,6,174.0,23,931707,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,902620800.0,"{'value': 580000, 'currency': 'EUR'}",,,,6,False,46.0,39.0,3.0,1.0,0.0,90.0,60.0,7.3,10.0,"{'original': 7.3, 'alternative': None}",1.0,,2.0,7.0,,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,True,Deportes Tolima,home,,,,,,
Fabián Mosquera,fabian-mosquera,F. Mosquera,M,19,177.0,13,870084,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,794188800.0,"{'value': 235000, 'currency': 'EUR'}",,,,19,False,40.0,33.0,2.0,2.0,0.0,76.0,46.0,6.7,8.0,"{'original': 6.7, 'alternative': None}",,,2.0,2.0,,,,,1.0,1.0,1.0,,1.0,,,1.0,1.0,,1.0,,,,,Deportes Tolima,home,,,,,,
Jersson González,jersson-gonzalez,J. González,M,7,172.0,89,1014824,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1000512000.0,"{'value': 955000, 'currency': 'EUR'}",,,,7,False,22.0,16.0,2.0,1.0,0.0,77.0,40.0,6.8,12.0,"{'original': 6.8, 'alternative': None}",1.0,1.0,7.0,5.0,2.0,2.0,,2.0,3.0,2.0,,,,1.0,,1.0,1.0,2.0,,1.0,,,,Deportes Tolima,home,,,,,,
Andrés Arroyo,andres-arroyo,A. Arroyo,M,25,171.0,136,978706,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1011484800.0,"{'value': 370000, 'currency': 'EUR'}",,,,25,False,34.0,25.0,3.0,2.0,0.0,90.0,55.0,6.8,19.0,"{'original': 6.8, 'alternative': None}",5.0,3.0,5.0,3.0,,2.0,,2.0,1.0,1.0,,1.0,1.0,,1.0,2.0,,,2.0,,,,,Deportes Tolima,home,,,,,,
Ever Valencia,ever-valencia,E. Valencia,M,8,175.0,55,819152,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,853977600.0,"{'value': 410000, 'currency': 'EUR'}",,,,8,False,29.0,28.0,2.0,2.0,0.0,66.0,45.0,8.0,4.0,"{'original': 8, 'alternative': None}",2.0,2.0,2.0,9.0,,4.0,,4.0,3.0,,,,1.0,3.0,,,,,,,2.0,1.0,,Deportes Tolima,home,,,,,,
Adrián Parra,adrian-parra,A. Parra,F,24,178.0,85,830255,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,853372800.0,"{'value': 535000, 'currency': 'EUR'}",,,,24,False,16.0,11.0,1.0,,0.0,90.0,22.0,6.8,8.0,"{'original': 6.8, 'alternative': None}",1.0,,1.0,2.0,,1.0,,,1.0,,1.0,,,1.0,,,,1.0,,,,,,Deportes Tolima,home,,,,,,
Luis Miranda,luis-miranda,L. Miranda,F,28,180.0,33,891115,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,872640000.0,"{'value': 290000, 'currency': 'EUR'}",,,,28,True,5.0,4.0,,,0.0,24.0,6.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,,1.0,,,,,,,,,,,Deportes Tolima,home,,,,,,
Yhorman Hurtado,hurtado-yhorman,Y. Hurtado,D,26,170.0,31,1100500,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,850521600.0,"{'value': 535000, 'currency': 'EUR'}",,,,26,True,12.0,10.0,1.0,,0.0,23.0,22.0,6.8,7.0,"{'original': 6.8, 'alternative': None}",5.0,1.0,,1.0,,,,,,,1.0,,,,,,,1.0,,,,,,Deportes Tolima,home,,,,,,
Juan Pablo Nieto,juan-pablo-nieto,J. P. Nieto,M,15,178.0,40,338861,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,730598400.0,"{'value': 470000, 'currency': 'EUR'}",,,,15,True,12.0,11.0,2.0,1.0,0.0,14.0,13.0,6.8,1.0,"{'original': 6.8, 'alternative': None}",,,,,,,,,,,,,,,,,,1.0,,,,,,Deportes Tolima,home,,,,,,
