name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,dispossessed,totalContest,wonContest,shotOffTarget,totalTackle,fouls,outfielderBlock,accurateCross,interceptionWon,wasFouled,keyPass,blockedScoringAttempt,onTargetScoringAttempt,totalOffside,captain,team,teamType,totalKeeperSweeper,accurateKeeperSweeper,bigChanceCreated,goals
Cristopher Varela,cristopher-varela,C. Varela,G,1,189.0,59,868776,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,943660800,"{'value': 400000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. فاريلّا', 'hi': 'सी. वेरेला', 'bn': 'সি. ভারেলা'}}",,,1,False,29.0,20.0,14.0,6.0,0.0,1.0,2.0,2.0,1.0,90.0,35.0,6.8,9.0,"{'original': 6.8, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,home,,,,
Leider Riascos,leider-riascos,L. Riascos,D,29,160.0,37,1084156,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,962668800,"{'value': 580000, 'currency': 'EUR'}",,,,29,False,28.0,20.0,3.0,1.0,0.0,,,,,90.0,56.0,6.5,17.0,"{'original': 6.5, 'alternative': None}",3.0,1.0,1.0,5.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,,,,,,,,,Deportivo La Equidad,home,,,,
Guillermo Tegüe,guillermo-tegue,G. Tegüe,D,4,186.0,8,906007,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,949795200,"{'value': 315000, 'currency': 'EUR'}",,,,4,False,28.0,22.0,5.0,,0.0,4.0,,,,90.0,34.0,6.6,6.0,"{'original': 6.6, 'alternative': None}",,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,Deportivo La Equidad,home,,,,
Brayan Montaño,brayan-montano,B. Montaño,D,24,176.0,25,1003376,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1020297600,"{'value': 340000, 'currency': 'EUR'}",,,,24,False,39.0,33.0,12.0,6.0,0.0,2.0,,,,90.0,42.0,6.3,6.0,"{'original': 6.3, 'alternative': None}",,,,1.0,,,,,,,,1.0,,,,,,,,,,Deportivo La Equidad,home,,,,
Andres Correa,andres-correa,A. Correa,D,3,174.0,10,329607,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,759801600,"{'value': 380000, 'currency': 'EUR'}",,,,3,False,16.0,10.0,5.0,2.0,0.0,2.0,,,,90.0,36.0,6.8,11.0,"{'original': 6.8, 'alternative': None}",2.0,1.0,,2.0,2.0,,1.0,,,,1.0,,,1.0,2.0,1.0,1.0,,,,True,Deportivo La Equidad,home,,,,
Elan Ricardo,ricardo-elan,E. Ricardo,M,77,184.0,1235,1388631,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1077235200,"{'value': 2000000, 'currency': 'EUR'}",,Elan Ricardo,,17,False,32.0,28.0,7.0,5.0,0.0,1.0,,,,90.0,47.0,7.1,8.0,"{'original': 7.1, 'alternative': None}",,,1.0,2.0,6.0,,2.0,,,1.0,3.0,1.0,,,2.0,2.0,1.0,1.0,,,,Deportivo La Equidad,home,,,,
Felipe Acosta,felipe-acosta,F. Acosta,M,14,190.0,15,924302,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,769824000,"{'value': 580000, 'currency': 'EUR'}",,,,14,False,17.0,12.0,3.0,1.0,0.0,,,,,56.0,22.0,6.8,6.0,"{'original': 6.8, 'alternative': None}",,1.0,1.0,3.0,2.0,,,,,,1.0,2.0,,,1.0,,2.0,,1.0,,,Deportivo La Equidad,home,,,,
Santiago Orozco,santiago-orozco,S. Orozco,M,6,172.0,8,1016205,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,826934400,"{'value': 270000, 'currency': 'EUR'}",,,,6,False,10.0,5.0,4.0,2.0,0.0,1.0,,,,45.0,17.0,6.7,7.0,"{'original': 6.7, 'alternative': None}",1.0,,,2.0,2.0,,,,,,,2.0,1.0,,,2.0,,,,,,Deportivo La Equidad,home,,,,
Wilmar Cruz,wilmar-cruz,W. Cruz,F,10,171.0,31,925131,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,743731200,"{'value': 260000, 'currency': 'EUR'}",,,,10,False,6.0,4.0,,,0.0,,,,,45.0,10.0,6.6,4.0,"{'original': 6.6, 'alternative': None}",1.0,,2.0,2.0,3.0,,,1.0,,,,1.0,,,,1.0,1.0,,,,,Deportivo La Equidad,home,,,,
Renan Oliveira,renan-oliveira,R. Oliveira,F,9,186.0,263,888598,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,863049600,"{'value': 575000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ر. أوليفيرا', 'hi': 'आर. ओलिवेरा', 'bn': 'আর. অলিভেইরা'}}",,,9,False,15.0,11.0,1.0,,0.0,,,,,90.0,24.0,6.8,7.0,"{'original': 6.8, 'alternative': None}",,1.0,,3.0,2.0,1.0,1.0,,,2.0,2.0,,,,,,,,,,,Deportivo La Equidad,home,,,,
Beckham Castro,beckham-castro,B. Castro,F,11,176.0,129,1173560,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1063324800,"{'value': 760000, 'currency': 'EUR'}",,Beckham Castro,,11,False,14.0,11.0,,,0.0,,,,,83.0,35.0,6.5,15.0,"{'original': 6.5, 'alternative': None}",3.0,,,11.0,3.0,,3.0,8.0,3.0,,,3.0,,1.0,,,,2.0,2.0,1.0,,Deportivo La Equidad,home,,,,
Santiago Gómez,santiago-gomez,S. Gómez,D,21,180.0,3,929690,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,896227200,"{'value': 205000, 'currency': 'EUR'}",,,,21,True,9.0,5.0,2.0,1.0,0.0,,,,,45.0,18.0,7.0,6.0,"{'original': 7, 'alternative': None}",1.0,,1.0,,3.0,,,1.0,1.0,2.0,,,,1.0,,1.0,,,,,,Deportivo La Equidad,home,,,,
Sebastián Tamara,sebastian-tamara,S. Tamara,M,8,173.0,15,825757,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,831686400,"{'value': 365000, 'currency': 'EUR'}",,,,8,True,31.0,26.0,4.0,4.0,0.0,,,,,45.0,39.0,7.1,9.0,"{'original': 7.1, 'alternative': None}",3.0,1.0,,2.0,1.0,1.0,,,,,1.0,,,1.0,1.0,,3.0,,,,,Deportivo La Equidad,home,,,,
Deyson Copete,deyson-david-copete-cuesta,D. Copete,M,33,187.0,7,1901819,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,998438400,"{'value': 145000, 'currency': 'EUR'}",,Deyson David,Copete Cuesta,5,True,19.0,17.0,5.0,4.0,0.0,1.0,,,,43.0,24.0,6.8,2.0,"{'original': 6.8, 'alternative': None}",,,,1.0,4.0,,,,,,4.0,1.0,,,,,,,,,,Deportivo La Equidad,home,,,,
Ayron Del Valle,ayron-del-valle,A. D. Valle,F,7,178.0,97,47735,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,601862400,"{'value': 160000, 'currency': 'EUR'}",,,,7,True,1.0,1.0,,,0.0,,,,,18.0,1.0,6.5,,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,home,,,,
Andres Perez,andres-perez,A. Perez,G,12,180.0,5,1177555,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,926035200,"{'value': 49000, 'currency': 'EUR'}",,,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,home,,,,
Daniel Polanco,daniel-polanco,D. Polanco,D,2,,5,1170892,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,911174400,,,Daniel Polanco,,2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,home,,,,
Amaury Torralvo,torralvo-amaury,A. Torralvo,F,36,169.0,11,821915,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,758332800,"{'value': 260000, 'currency': 'EUR'}",,,,26,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,home,,,,
Luis Marquinez,luis-marquinez,L. Marquinez,G,25,193.0,237,1106564,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1049932800,"{'value': 655000, 'currency': 'EUR'}",,Luis Marquines,,25,False,29.0,23.0,7.0,1.0,0.0,2.0,1.0,2.0,,69.0,39.0,6.2,6.0,"{'original': 6.2, 'alternative': None}",,,,2.0,1.0,1.0,,,,,,1.0,,,,1.0,,,,,,Atlético Nacional,away,2.0,2.0,,
Andrés Román,andres-roman,A. Román,D,6,183.0,376,870013,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,812851200,"{'value': 1600000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. رومان', 'hi': 'ए. रोमान', 'bn': 'এ. রোমান'}}",,,6,False,15.0,6.0,2.0,,0.0,1.0,,,,57.0,26.0,6.5,13.0,"{'original': 6.5, 'alternative': None}",1.0,1.0,1.0,2.0,1.0,,1.0,,,1.0,,,,,,,,,,,,Atlético Nacional,away,,,,
Juan Arias,arias-juan,J. Arias,D,23,184.0,73,1187272,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1073520000,,,,,23,False,41.0,37.0,6.0,5.0,0.0,1.0,,,,90.0,51.0,7.0,7.0,"{'original': 7, 'alternative': None}",,,,4.0,4.0,3.0,1.0,1.0,1.0,,2.0,,,,1.0,1.0,,,,,,Atlético Nacional,away,,,,
Royer Caicedo,royer-caicedo,R. Caicedo,D,33,193.0,70,1994822,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1146787200,,,Royer Caicedo,,33,False,44.0,36.0,8.0,3.0,0.0,3.0,,,,90.0,55.0,7.4,8.0,"{'original': 7.4, 'alternative': None}",,1.0,1.0,2.0,5.0,,,,,,4.0,1.0,2.0,,1.0,,,,,,,Atlético Nacional,away,,,,
Camilo Cándido,camilo-candido,C. Cándido,D,13,174.0,281,924073,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,802051200,"{'value': 1100000, 'currency': 'EUR'}",,,,13,False,18.0,14.0,2.0,1.0,1.0,3.0,,,,90.0,36.0,7.6,7.0,"{'original': 7.6, 'alternative': None}",,3.0,,3.0,2.0,,,,,,2.0,,,,1.0,,1.0,,,,,Atlético Nacional,away,,,1.0,
Sebastián Guzmán,sebastian-guzman,S. Guzmán,M,32,177.0,110,924567,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,864604800,"{'value': 720000, 'currency': 'EUR'}",,,,32,False,45.0,36.0,4.0,3.0,0.0,,,,,90.0,53.0,6.7,13.0,"{'original': 6.7, 'alternative': None}",1.0,,1.0,3.0,3.0,,2.0,2.0,1.0,,,,,,1.0,1.0,,,,,True,Atlético Nacional,away,,,,
Kilian Toscano,kilian-toscano,K. Toscano,M,5,180.0,110,1185985,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1078185600,"{'value': 330000, 'currency': 'EUR'}",,Kilian Toscano,,5,False,11.0,9.0,,,0.0,,,,,83.0,17.0,6.7,4.0,"{'original': 6.7, 'alternative': None}",,,,2.0,3.0,,1.0,,,,3.0,2.0,,,,,,1.0,,,,Atlético Nacional,away,,,,
Faber Andrés Gil,faber-andres-gil,F. A. Gil,M,7,178.0,148,831377,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,796003200,"{'value': 665000, 'currency': 'EUR'}",,,,7,False,10.0,8.0,1.0,,0.0,,,,,72.0,17.0,6.4,6.0,"{'original': 6.4, 'alternative': None}",,,1.0,2.0,2.0,,1.0,,,,,1.0,,,,1.0,1.0,1.0,,1.0,,Atlético Nacional,away,,,,
Billy Arce,billy-arce,B. Arce,M,11,177.0,503,868746,"{'alpha2': 'EC', 'alpha3': 'ECU', 'name': 'Ecuador', 'slug': 'ecuador'}",EUR,900201600,"{'value': 680000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ب. ارس'}}",,,11,False,31.0,27.0,2.0,,0.0,,,,,83.0,44.0,6.8,12.0,"{'original': 6.8, 'alternative': None}",4.0,,,4.0,2.0,1.0,1.0,,,,,2.0,,,1.0,2.0,3.0,,,1.0,,Atlético Nacional,away,,,,
Marino Hinestroza,marino-hinestroza,M. Hinestroza,M,18,170.0,3082,972587,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1026086400,"{'value': 4099999, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'م. هينستروزا', 'hi': 'एम. हिनेस्ट्रोज़ा', 'bn': 'এম. হিনেস্ট্রোজা'}}",,,18,False,20.0,17.0,1.0,1.0,0.0,,,,,90.0,33.0,7.0,8.0,"{'original': 7, 'alternative': None}",1.0,,,2.0,6.0,,2.0,1.0,1.0,1.0,,,,,1.0,5.0,,,,,,Atlético Nacional,away,,,,
