name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialWon,duelLost,duelWon,totalContest,shotOffTarget,totalTackle,onTargetScoringAttempt,keyPass,aerialLost,dispossessed,wasFouled,interceptionWon,fouls,totalOffside,accurateCross,blockedScoringAttempt,challengeLost,captain,team,teamType,savedShotsFromInsideTheBox,outfielderBlock,hitWoodwork,wonContest,goals
Cristopher Varela,cristopher-varela,C. Varela,G,1,189.0,59,868776,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,943660800,"{'value': 400000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. فاريلّا', 'hi': 'सी. वेरेला', 'bn': 'সি. ভারেলা'}}",,,1,False,37.0,24.0,18.0,7.0,0.0,1.0,2.0,1.0,1.0,90.0,45.0,6.6,13.0,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,home,,,,,
Leider Riascos,leider-riascos,L. Riascos,D,29,160.0,37,1084156,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,962668800,"{'value': 580000, 'currency': 'EUR'}",,,,29,False,20.0,18.0,4.0,3.0,0.0,2.0,,,,45.0,42.0,7.0,10.0,"{'original': 7, 'alternative': None}",4.0,1.0,1.0,3.0,1.0,1.0,2.0,,,,,,,,,,,,,Deportivo La Equidad,home,,,,,
Guillermo Tegüe,guillermo-tegue,G. Tegüe,D,4,186.0,8,906007,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,949795200,"{'value': 315000, 'currency': 'EUR'}",,,,4,False,72.0,59.0,15.0,6.0,0.0,5.0,,,,90.0,80.0,7.1,13.0,"{'original': 7.1, 'alternative': None}",,4.0,,4.0,,1.0,,1.0,,,,,,,,,,,,Deportivo La Equidad,home,,,,,
Brayan Montaño,brayan-montano,B. Montaño,D,24,176.0,25,1003376,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1020297600,"{'value': 340000, 'currency': 'EUR'}",,,,24,False,64.0,53.0,13.0,7.0,0.0,3.0,,,,90.0,72.0,6.8,12.0,"{'original': 6.8, 'alternative': None}",,2.0,,2.0,,,,,1.0,,,,,,,,,,,Deportivo La Equidad,home,,,,,
Andres Correa,andres-correa,A. Correa,D,3,174.0,10,329607,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,759801600,"{'value': 380000, 'currency': 'EUR'}",,,,3,False,29.0,23.0,6.0,2.0,0.0,1.0,,,,90.0,58.0,7.3,18.0,"{'original': 7.3, 'alternative': None}",4.0,3.0,2.0,6.0,1.0,,3.0,1.0,2.0,1.0,,,,,,,,,True,Deportivo La Equidad,home,,,,,
Samir Mayo,mayo-samir,S. Mayo,M,16,,19,1476921,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1043884800,"{'value': 335000, 'currency': 'EUR'}",,,,16,False,40.0,30.0,8.0,2.0,0.0,,,,,90.0,51.0,6.6,15.0,"{'original': 6.6, 'alternative': None}",1.0,2.0,2.0,4.0,,1.0,,,,1.0,1.0,2.0,,,,,,,,Deportivo La Equidad,home,,,,,
Felipe Acosta,felipe-acosta,F. Acosta,M,14,190.0,15,924302,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,769824000,"{'value': 580000, 'currency': 'EUR'}",,,,14,False,61.0,45.0,11.0,4.0,0.0,1.0,,,,90.0,77.0,7.0,18.0,"{'original': 7, 'alternative': None}",1.0,2.0,1.0,7.0,,,2.0,,,,,3.0,2.0,1.0,,,,,,Deportivo La Equidad,home,,,,,
Wilmar Cruz,wilmar-cruz,W. Cruz,F,10,171.0,31,925131,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,743731200,"{'value': 260000, 'currency': 'EUR'}",,,,10,False,8.0,7.0,,,0.0,,,,,45.0,13.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",,3.0,3.0,4.0,,,,,1.0,1.0,,1.0,,2.0,1.0,,,,,Deportivo La Equidad,home,,,,,
Beckham Castro,beckham-castro,B. Castro,F,11,176.0,129,1173560,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1063324800,"{'value': 760000, 'currency': 'EUR'}",,Beckham Castro,,11,False,27.0,20.0,1.0,,0.0,,,,,90.0,45.0,6.8,19.0,"{'original': 6.8, 'alternative': None}",7.0,,3.0,2.0,1.0,1.0,2.0,1.0,,1.0,1.0,,,,1.0,1.0,1.0,,,Deportivo La Equidad,home,,,,,
Renan Oliveira,renan-oliveira,R. Oliveira,F,9,186.0,263,888598,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,863049600,"{'value': 575000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ر. أوليفيرا', 'hi': 'आर. ओलिवेरा', 'bn': 'আর. অলিভেইরা'}}",,,9,False,36.0,23.0,3.0,,0.0,,,,,90.0,45.0,7.1,16.0,"{'original': 7.1, 'alternative': None}",,4.0,6.0,7.0,,,2.0,1.0,2.0,4.0,1.0,1.0,,1.0,,,,,,Deportivo La Equidad,home,,,,,
