name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelLost,challengeLost,totalClearance,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,duelWon,bigChanceCreated,shotOffTarget,interceptionWon,totalTackle,keyPass,wasFouled,fouls,aerialWon,dispossessed,blockedScoringAttempt,totalOffside,totalContest,hitWoodwork,outfielderBlock,wonContest,onTargetScoringAttempt,goals,bigChanceMissed,errorLeadToAGoal,captain,team,teamType,savedShotsFromInsideTheBox,saves
Cristopher Varela,cristopher-varela,C. Varela,G,1,189.0,59,868776,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,943660800.0,"{'value': 400000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. فاريلّا', 'hi': 'सी. वेरेला', 'bn': 'সি. ভারেলা'}}",,,1,False,30.0,23.0,15.0,8.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,90.0,38.0,6.0,7.0,"{'original': 6, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,home,,
Leider Riascos,leider-riascos,L. Riascos,D,29,160.0,37,1084156,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,962668800.0,"{'value': 580000, 'currency': 'EUR'}",,,,29,False,21.0,18.0,3.0,1.0,1.0,2.0,,,,,,56.0,36.0,7.2,7.0,"{'original': 7.2, 'alternative': None}",2.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,Deportivo La Equidad,home,,
Daniel Polanco,daniel-polanco,D. Polanco,D,2,,5,1170892,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,911174400.0,,,Daniel Polanco,,2,False,46.0,40.0,12.0,7.0,0.0,2.0,1.0,3.0,,,,90.0,54.0,6.4,7.0,"{'original': 6.4, 'alternative': None}",,,,3.0,,,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,Deportivo La Equidad,home,,
Bleiner Agrón,bleiner-agron,B. Agrón,D,30,185.0,27,1066910,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,982972800.0,"{'value': 260000, 'currency': 'EUR'}",,Bleiner Agrón,,30,False,54.0,48.0,6.0,3.0,0.0,,,3.0,,,,90.0,63.0,6.6,6.0,"{'original': 6.6, 'alternative': None}",,,,4.0,,,,2.0,,1.0,,1.0,,,,,,,,,,,,,Deportivo La Equidad,home,,
Andres Correa,andres-correa,A. Correa,D,3,174.0,10,329607,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,759801600.0,"{'value': 380000, 'currency': 'EUR'}",,,,3,False,42.0,32.0,7.0,3.0,0.0,3.0,,,,,,90.0,70.0,7.1,16.0,"{'original': 7.1, 'alternative': None}",7.0,2.0,1.0,1.0,,1.0,1.0,1.0,5.0,,1.0,,1.0,3.0,1.0,,,,,,,,,True,Deportivo La Equidad,home,,
Yair Joao Abonia Vasquez,yair-abonia,J. Abonia,D,13,170.0,9,1175080,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,949968000.0,"{'value': 310000, 'currency': 'EUR'}",,Yair Joao,Abonia Vásquez,13,False,26.0,23.0,3.0,2.0,0.0,3.0,,2.0,,,,83.0,45.0,6.8,11.0,"{'original': 6.8, 'alternative': None}",7.0,4.0,2.0,,,,1.0,,3.0,,,,,,,1.0,,,,,,,,,Deportivo La Equidad,home,,
Felipe Acosta,felipe-acosta,F. Acosta,M,14,190.0,15,924302,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,769824000.0,"{'value': 580000, 'currency': 'EUR'}",,,,14,False,57.0,48.0,7.0,5.0,0.0,4.0,,1.0,,,,90.0,71.0,7.4,12.0,"{'original': 7.4, 'alternative': None}",2.0,1.0,1.0,6.0,,2.0,,3.0,1.0,1.0,2.0,2.0,1.0,,,,1.0,1.0,,,,,,,Deportivo La Equidad,home,,
Santiago Orozco,santiago-orozco,S. Orozco,M,6,172.0,8,1016205,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,826934400.0,"{'value': 270000, 'currency': 'EUR'}",,,,6,False,39.0,31.0,13.0,10.0,0.0,4.0,,,,,,56.0,44.0,6.8,10.0,"{'original': 6.8, 'alternative': None}",,,,3.0,,,1.0,1.0,,1.0,4.0,1.0,,,,,,,,,,,,,Deportivo La Equidad,home,,
Sebastián Tamara,sebastian-tamara,S. Tamara,M,8,173.0,15,825757,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,831686400.0,"{'value': 365000, 'currency': 'EUR'}",,,,8,False,23.0,19.0,1.0,,0.0,2.0,,,,,,55.0,34.0,6.5,10.0,"{'original': 6.5, 'alternative': None}",5.0,2.0,,1.0,,,,1.0,,,,,1.0,1.0,,1.0,,,,,,,,,Deportivo La Equidad,home,,
Renan Oliveira,renan-oliveira,R. Oliveira,F,9,186.0,263,888598,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,863049600.0,"{'value': 575000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ر. أوليفيرا', 'hi': 'आर. ओलिवेरा', 'bn': 'আর. অলিভেইরা'}}",,,9,False,23.0,17.0,2.0,1.0,0.0,3.0,,,,,,90.0,34.0,8.1,9.0,"{'original': 8.1, 'alternative': None}",1.0,,2.0,4.0,,1.0,,,1.0,,1.0,3.0,,3.0,,1.0,,,1.0,3.0,1.0,,,,Deportivo La Equidad,home,,
