name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,totalClearance,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,duelLost,blockedScoringAttempt,totalTackle,fouls,totalOffside,keyPass,challengeLost,outfielderBlock,interceptionWon,wasFouled,dispossessed,bigChanceCreated,shotOffTarget,accurateCross,totalContest,onTargetScoringAttempt,wonContest,goals,captain,team,teamType,errorLeadToAGoal
Álvaro Montero,alvaro-montero,Á. Montero,G,31,195.0,590,926238,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,796435200,"{'value': 1600000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. مونتيرو', 'hi': 'ए. मोंटेरो', 'bn': 'এ. মন্টেরো'}}",,,31,False,17.0,16.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,90.0,24.0,6.6,2.0,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,Millonarios,home,
Delvin Alfonzo,alfonzo-delvin,D. Alfonzo,D,22,178.0,318,1015685,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,968025600,"{'value': 745000, 'currency': 'EUR'}",,,,22,False,37.0,30.0,2.0,,0.0,1.0,3.0,2.0,,,,90.0,51.0,6.7,10.0,"{'original': 6.7, 'alternative': None}",1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,Millonarios,home,
Sergio Mosquera,sergio-mosquera,S. Mosquera,D,6,185.0,73,351426,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,760752000,"{'value': 405000, 'currency': 'EUR'}",,,,6,False,68.0,61.0,4.0,,0.0,3.0,4.0,1.0,,,,90.0,74.0,6.6,7.0,"{'original': 6.6, 'alternative': None}",,3.0,4.0,,1.0,,,,1.0,1.0,,,,,,,,,,,,Millonarios,home,
Juan Pablo Vargas,juan-pablo-vargas,J. P. Vargas,D,4,192.0,653,865783,"{'alpha2': 'CR', 'alpha3': 'CRI', 'name': 'Costa Rica', 'slug': 'costa-rica'}",EUR,802396800,"{'value': 1500000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'خ. فارغاس', 'hi': 'जे.पी. वर्गास', 'bn': 'জে. পি. ভার্গাস'}}",,,4,False,63.0,57.0,12.0,7.0,0.0,3.0,7.0,4.0,,,,90.0,75.0,7.0,7.0,"{'original': 7, 'alternative': None}",,2.0,3.0,,2.0,,,1.0,1.0,,1.0,2.0,,,,,,,,,True,Millonarios,home,
Danovis Banguero,danovis-banguero,D. Banguero,D,20,185.0,94,34090,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,625449600,"{'value': 320000, 'currency': 'EUR'}",,,,20,False,49.0,42.0,6.0,5.0,1.0,2.0,4.0,2.0,,,,90.0,72.0,7.2,12.0,"{'original': 7.2, 'alternative': None}",2.0,3.0,7.0,,1.0,1.0,,1.0,1.0,,2.0,1.0,2.0,1.0,2.0,,,,,,,Millonarios,home,
Daniel Ruiz,daniel-ruiz,D. Ruiz,M,18,171.0,1027,1098305,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,996451200,"{'value': 1300000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. رويز', 'hi': 'डी. रुइज़', 'bn': 'ডি. রুইজ'}}",Daniel Ruiz,,18,False,35.0,24.0,4.0,1.0,0.0,1.0,3.0,,,,,62.0,53.0,6.8,19.0,"{'original': 6.8, 'alternative': None}",4.0,,4.0,1.0,,,,2.0,,,1.0,2.0,2.0,,1.0,1.0,2.0,1.0,,,,Millonarios,home,
Juan Pereira,juan-pereira,J. Pereira,M,21,182.0,102,974041,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,729129600,"{'value': 470000, 'currency': 'EUR'}",,,,21,False,69.0,60.0,2.0,,0.0,1.0,3.0,1.0,,,,90.0,76.0,7.3,9.0,"{'original': 7.3, 'alternative': None}",,,2.0,,2.0,2.0,,1.0,,,,,,,1.0,,,1.0,,,,Millonarios,home,
Stiven Vega,stiven-vega,S. Vega,M,28,175.0,125,590354,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895795200,"{'value': 630000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'س. فيغا', 'hi': 'एस. वेगा', 'bn': 'এস. ভেগা'}}",,,28,False,59.0,51.0,2.0,1.0,0.0,,5.0,,,,,90.0,68.0,7.4,10.0,"{'original': 7.4, 'alternative': None}",,1.0,2.0,,3.0,1.0,,3.0,,,1.0,2.0,,,,,,,,,,Millonarios,home,
Daniel Mantilla,daniel-mantilla,D. Mantilla,M,11,173.0,119,924552,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,851472000,"{'value': 550000, 'currency': 'EUR'}",,,,11,False,21.0,20.0,2.0,1.0,0.0,,1.0,,,,,90.0,28.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",,2.0,4.0,,,,1.0,1.0,1.0,,,1.0,1.0,,1.0,,,,,,,Millonarios,home,
Daniel Cataño,daniel-catano,D. Cataño,M,10,174.0,259,829884,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,695606400,"{'value': 415000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. كاتانيو', 'hi': 'डी. कैटानो', 'bn': 'ডি. কাটানো'}}",,,10,False,49.0,40.0,2.0,2.0,0.0,,8.0,,,,,63.0,63.0,7.8,14.0,"{'original': 7.8, 'alternative': None}",3.0,,1.0,,3.0,,,2.0,,,,4.0,1.0,,1.0,,1.0,,1.0,,,Millonarios,home,
Leonardo Castro,leonardo-castro,L. Castro,F,23,174.0,1091,827806,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,708480000,"{'value': 975000, 'currency': 'EUR'}",,,,23,False,21.0,15.0,1.0,,0.0,1.0,3.0,1.0,,,,63.0,36.0,7.5,14.0,"{'original': 7.5, 'alternative': None}",,,4.0,,1.0,,1.0,,,,,1.0,4.0,,1.0,,,2.0,,1.0,,Millonarios,home,
Santiago Giordana,santiago-giordana,S. Giordana,F,32,181.0,249,789880,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,799459200,"{'value': 550000, 'currency': 'EUR'}",,,,32,True,4.0,2.0,,,0.0,,,,,,,28.0,12.0,7.4,4.0,"{'original': 7.4, 'alternative': None}",1.0,,,1.0,,,,,,,,,,,,,,2.0,,1.0,,Millonarios,home,
David Macalister Silva,david-macalister-silva,D. M. Silva,M,14,175.0,371,822108,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,534816000,"{'value': 215000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. م. سيلفا', 'hi': 'डी.एम. सिल्वा', 'bn': 'ডি. এম. সিলভা'}}",,,14,True,15.0,12.0,,,0.0,,1.0,,,,,27.0,22.0,6.8,5.0,"{'original': 6.8, 'alternative': None}",1.0,1.0,3.0,,1.0,2.0,,1.0,,,,,,,,,,,,,,Millonarios,home,
Radamel Falcao,radamel-falcao,R. Falcao,F,9,177.0,12659,25682,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,508377600,"{'value': 260000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ر. فالكاو', 'hi': 'आर. फाल्काओ', 'bn': 'আর. ফ্যালকাও'}}",,,9,True,5.0,4.0,,,0.0,,2.0,,,,,27.0,14.0,6.7,7.0,"{'original': 6.7, 'alternative': None}",,,3.0,,,1.0,,,,,,,2.0,,1.0,,2.0,,2.0,,,Millonarios,home,
Diego Novoa,diego-novoa,D. Novoa,G,12,186.0,65,248983,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,612576000,"{'value': 185000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. نوفوا', 'hi': 'डी. नोवोआ', 'bn': 'ডি. নোভোয়া'}}",,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Millonarios,home,
Andrés Llinás,andres-llinas,A. Llinás,D,26,188.0,286,982821,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,859248000,"{'value': 1200000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. ليناس', 'hi': 'ए. लिनास', 'bn': 'এ. লিনাস'}}",,,26,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Millonarios,home,
Nicolás Giraldo,nicolas-giraldo,N. Giraldo,D,27,174.0,30,924581,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,733363200,"{'value': 310000, 'currency': 'EUR'}",,,,27,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Millonarios,home,
Nicolas Arevalo,arevalo-nicolas,N. Arévalo,M,5,176.0,99,1466638,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1047513600,"{'value': 340000, 'currency': 'EUR'}",,,,5,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Millonarios,home,
Cristopher Varela,cristopher-varela,C. Varela,G,1,189.0,59,868776,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,943660800,"{'value': 400000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. فاريلّا', 'hi': 'सी. वेरेला', 'bn': 'সি. ভারেলা'}}",,,1,False,47.0,24.0,29.0,6.0,0.0,,,,2.0,4.0,,90.0,58.0,6.7,23.0,"{'original': 6.7, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,away,
Leider Riascos,leider-riascos,L. Riascos,D,29,160.0,37,1084156,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,962668800,"{'value': 580000, 'currency': 'EUR'}",,,,29,False,16.0,8.0,,,0.0,3.0,4.0,1.0,,,,90.0,33.0,6.2,13.0,"{'original': 6.2, 'alternative': None}",1.0,2.0,8.0,,,2.0,,1.0,1.0,,2.0,,2.0,,,1.0,2.0,,1.0,,,Deportivo La Equidad,away,
Guillermo Tegüe,guillermo-tegue,G. Tegüe,D,4,186.0,8,906007,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,949795200,"{'value': 315000, 'currency': 'EUR'}",,,,4,False,3.0,3.0,,,0.0,,,1.0,,,,3.0,4.0,3.0,,"{'original': 3, 'alternative': None}",,,1.0,,,1.0,,,,,,,,,,,,,,,,Deportivo La Equidad,away,
