name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,duelLost,onTargetScoringAttempt,goals,interceptionWon,fouls,aerialWon,duelWon,wasFouled,shotOffTarget,totalContest,keyPass,totalTackle,bigChanceCreated,wonContest,blockedScoringAttempt,bigChanceMissed,outfielderBlock,totalOffside,captain,team,teamType,savedShotsFromInsideTheBox,saves,dispossessed,challengeLost,penaltyConceded
Eder Chaux,eder-chaux,E. Chaux,G,25,189.0,33,312338,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,693187200.0,"{'value': 335000, 'currency': 'EUR'}",,,,25,False,10.0,9.0,1.0,1.0,0.0,1.0,1.0,90.0,13.0,6.8,1.0,"{'original': 6.8, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,home,,,,,
Léyser Chaverra,leyser-chaverra-renteria,L. Chaverra,D,2,175.0,89,947332,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,859852800.0,"{'value': 875000, 'currency': 'EUR'}",,,,2,False,68.0,56.0,12.0,7.0,0.0,,,90.0,85.0,7.6,15.0,"{'original': 7.6, 'alternative': None}",2.0,1.0,2.0,4.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,True,Independiente Medellín,home,,,,,
Luis Escorcia,luis-escorcia,L. Escorcia,D,39,185.0,14,1470059,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1073433600.0,"{'value': 260000, 'currency': 'EUR'}",Luis Escorcia,,,39,False,37.0,31.0,6.0,2.0,0.0,,,45.0,41.0,6.7,6.0,"{'original': 6.7, 'alternative': None}",,,,1.0,,,,1.0,1.0,3.0,2.0,,,,,,,,,,,,Independiente Medellín,home,,,,,
Daniel Londoño,daniel-londono,D. Londoño,D,33,185.0,22,796506,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,788918400.0,"{'value': 545000, 'currency': 'EUR'}",,,,33,False,62.0,54.0,11.0,9.0,0.0,3.0,,90.0,69.0,7.3,9.0,"{'original': 7.3, 'alternative': None}",,,,,,,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,Independiente Medellín,home,,,,,
Mender García,mender-garcia,M. García,F,8,180.0,100,909606,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,909532800.0,"{'value': 830000, 'currency': 'EUR'}",,,,8,False,32.0,25.0,3.0,1.0,0.0,1.0,,90.0,44.0,6.8,12.0,"{'original': 6.8, 'alternative': None}",4.0,1.0,,1.0,,,,,2.0,4.0,2.0,,1.0,1.0,,,,,,,,,Independiente Medellín,home,,,,,
Homer Martinez,homer-martinez,H. Martinez,M,18,186.0,58,846432,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,876096000.0,"{'value': 670000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ه. مارتينيز', 'hi': 'एच. मार्टिनेज', 'bn': 'এইচ. মার্টিনেজ'}}",18,False,51.0,41.0,14.0,8.0,0.0,,,90.0,55.0,6.9,12.0,"{'original': 6.9, 'alternative': None}",,,,,,,,,1.0,2.0,,,,,1.0,,,,,,,,Independiente Medellín,home,,,,,
Baldomero Perlaza,baldomero-perlaza,B. Perlaza,M,14,188.0,82,285611,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,707702400.0,"{'value': 420000, 'currency': 'EUR'}",,,,14,False,11.0,6.0,2.0,,0.0,,,45.0,14.0,6.7,5.0,"{'original': 6.7, 'alternative': None}",,,2.0,3.0,,,,2.0,1.0,3.0,1.0,1.0,,2.0,1.0,,,,,,,,Independiente Medellín,home,,,,,
Francisco Chaverra,francisco-chaverra,F. Chaverra,M,13,172.0,246,977812,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,952905600.0,"{'value': 1500000, 'currency': 'EUR'}",,,,13,False,39.0,27.0,5.0,2.0,1.0,,,90.0,63.0,7.5,19.0,"{'original': 7.5, 'alternative': None}",5.0,3.0,,,,,,,1.0,5.0,1.0,1.0,,1.0,3.0,1.0,,,,,,,Independiente Medellín,home,,,,,
Léider Berrío,leider-berrio,L. Berrío,M,7,175.0,196,1170682,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,897177600.0,"{'value': 595000, 'currency': 'EUR'}",Léider Berrío,,,7,False,24.0,19.0,1.0,,0.0,,,74.0,31.0,6.9,6.0,"{'original': 6.9, 'alternative': None}",2.0,1.0,,4.0,,,,4.0,,1.0,,2.0,1.0,1.0,,,1.0,1.0,,,,,Independiente Medellín,home,,,,,
Francisco Fydriszewski,francisco-fydriszewski,F. Fydriszewski,F,19,186.0,567,594430,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,729561600.0,"{'value': 540000, 'currency': 'EUR'}",,,,19,False,10.0,5.0,1.0,,0.0,3.0,,68.0,24.0,7.0,8.0,"{'original': 7, 'alternative': None}",,,2.0,3.0,1.0,,1.0,2.0,2.0,5.0,2.0,2.0,,1.0,1.0,,,,1.0,1.0,1.0,,Independiente Medellín,home,,,,,
