name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,aerialLost,duelLost,duelWon,outfielderBlock,interceptionWon,totalTackle,keyPass,aerialWon,challengeLost,bigChanceCreated,totalOffside,totalContest,wonContest,wasFouled,totalCross,accurateCross,dispossessed,shotOffTarget,blockedScoringAttempt,fouls,onTargetScoringAttempt,goals,hitWoodwork,captain,team,teamType,goodHighClaim,savedShotsFromInsideTheBox
Washington Aguerre,,,washington-aguerre,W. Aguerre,G,29,187.0,279,311402,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,735523200.0,"{'value': 870000, 'currency': 'EUR'}",,29,False,12.0,9.0,10.0,7.0,0.0,1.0,2.0,90.0,20.0,7.2,4.0,"{'original': 7.2, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,home,,
Jhon Palacios,Jhon Palacios,,jhon-palacios,J. Palacios,D,3,188.0,17,1130027,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,938822400.0,"{'value': 360000, 'currency': 'EUR'}",,3,False,21.0,18.0,5.0,2.0,0.0,9.0,,76.0,38.0,7.2,4.0,"{'original': 7.2, 'alternative': None}",2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,Independiente Medellín,home,,
José Ortiz,,,jose-ortiz,J. Ortiz,D,24,181.0,43,905614,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,911174400.0,"{'value': 700000, 'currency': 'EUR'}",,24,False,35.0,25.0,12.0,6.0,1.0,2.0,,90.0,41.0,7.7,10.0,"{'original': 7.7, 'alternative': None}",2.0,3.0,6.0,1.0,,2.0,1.0,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,Independiente Medellín,home,,
Daniel Londoño,,,daniel-londono,D. Londoño,D,33,185.0,22,796506,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,788918400.0,"{'value': 545000, 'currency': 'EUR'}",,33,False,44.0,31.0,16.0,5.0,0.0,7.0,,90.0,58.0,7.3,13.0,"{'original': 7.3, 'alternative': None}",1.0,1.0,9.0,,1.0,2.0,,5.0,,,,1.0,1.0,1.0,,,,,,,,,,,Independiente Medellín,home,,
Francisco Chaverra,,,francisco-chaverra,F. Chaverra,M,13,172.0,246,977812,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,952905600.0,"{'value': 1500000, 'currency': 'EUR'}",,13,False,33.0,20.0,12.0,4.0,0.0,,,87.0,62.0,6.2,25.0,"{'original': 6.2, 'alternative': None}",1.0,9.0,1.0,1.0,,1.0,2.0,,,,,4.0,,,5.0,2.0,2.0,1.0,1.0,2.0,,,,,Independiente Medellín,home,,
Homer Martinez,,,homer-martinez,H. Martinez,M,18,186.0,58,846432,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,876096000.0,"{'value': 670000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ه. مارتينيز', 'hi': 'एच. मार्टिनेज', 'bn': 'এইচ. মার্টিনেজ'}}",18,False,30.0,26.0,6.0,5.0,0.0,,,90.0,35.0,6.8,6.0,"{'original': 6.8, 'alternative': None}",,3.0,2.0,,,2.0,1.0,,,,,1.0,,,,,1.0,,,1.0,,,,True,Independiente Medellín,home,,
Baldomero Perlaza,,,baldomero-perlaza,B. Perlaza,M,14,188.0,82,285611,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,707702400.0,"{'value': 420000, 'currency': 'EUR'}",,14,False,35.0,30.0,4.0,3.0,0.0,4.0,,90.0,51.0,7.0,9.0,"{'original': 7, 'alternative': None}",3.0,8.0,4.0,,,1.0,3.0,2.0,1.0,,,3.0,,1.0,,,,1.0,,1.0,1.0,,,,Independiente Medellín,home,,
Yeferson Rodallega,,,yeferson-rodallega,Y. Rodallega,D,17,178.0,51,1017363,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,974937600.0,"{'value': 670000, 'currency': 'EUR'}",,17,False,12.0,8.0,2.0,1.0,0.0,1.0,,76.0,28.0,6.7,12.0,"{'original': 6.7, 'alternative': None}",,1.0,4.0,,,1.0,,2.0,,,,,,1.0,4.0,1.0,,,,1.0,,,,,Independiente Medellín,home,,
Brayan Léon Muñiz,Brayan Léon Muñiz,,brayan-leon-muniz,B. L. Muñiz,F,27,175.0,358,1102252,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,971913600.0,"{'value': 1300000, 'currency': 'EUR'}",,27,False,15.0,9.0,2.0,1.0,0.0,1.0,,87.0,37.0,7.5,15.0,"{'original': 7.5, 'alternative': None}",,9.0,3.0,,,1.0,1.0,,,,2.0,3.0,,2.0,1.0,,4.0,2.0,1.0,2.0,3.0,1.0,,,Independiente Medellín,home,,
Léider Berrío,Léider Berrío,,leider-berrio,L. Berrío,M,7,175.0,196,1170682,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,897177600.0,"{'value': 595000, 'currency': 'EUR'}",,7,False,15.0,11.0,,,0.0,,,66.0,33.0,6.5,14.0,"{'original': 6.5, 'alternative': None}",1.0,7.0,1.0,,,,,,2.0,,,1.0,,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,,Independiente Medellín,home,,
