name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,duelLost,duelWon,dispossessed,blockedScoringAttempt,outfielderBlock,interceptionWon,totalTackle,aerialWon,totalContest,wonContest,shotOffTarget,wasFouled,fouls,totalOffside,keyPass,onTargetScoringAttempt,hitWoodwork,challengeLost,clearanceOffLine,bigChanceCreated,goals,bigChanceMissed,captain,team,teamType
Harlen Castillo,harlen-castillo,H. Castillo,G,15,188.0,130,924907,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745545600,"{'value': 330000, 'currency': 'EUR'}",,,,15,False,24.0,20.0,12.0,8.0,0.0,2.0,2.0,3.0,5.0,2.0,2.0,90.0,38.0,7.5,5.0,"{'original': 7.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,home
Joan Castro,joan-castro,J. Castro,D,20,176.0,119,819186,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,853113600,"{'value': 680000, 'currency': 'EUR'}",,,,20,False,44.0,34.0,4.0,1.0,0.0,1.0,,,,,,90.0,63.0,6.3,18.0,"{'original': 6.3, 'alternative': None}",6.0,1.0,3.0,6.0,1.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,Atlético Nacional,home
Juan Arias,arias-juan,J. Arias,D,23,184.0,73,1187272,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1073520000,,,,,23,False,54.0,50.0,5.0,5.0,0.0,2.0,,,,,,90.0,62.0,6.8,6.0,"{'original': 6.8, 'alternative': None}",,,2.0,3.0,5.0,1.0,,,1.0,,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,Atlético Nacional,home
William Tesillo,william-tesillo,W. Tesillo,D,16,184.0,317,794087,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,633916800,"{'value': 520000, 'currency': 'EUR'}",,,,16,False,56.0,49.0,16.0,9.0,0.0,2.0,,,,,,90.0,69.0,6.9,10.0,"{'original': 6.9, 'alternative': None}",,,,4.0,5.0,,,1.0,1.0,,3.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,Atlético Nacional,home
Camilo Cándido,camilo-candido,C. Cándido,D,13,174.0,281,924073,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,802051200,"{'value': 1100000, 'currency': 'EUR'}",,,,13,False,35.0,30.0,4.0,2.0,1.0,2.0,,,,,,90.0,50.0,7.0,11.0,"{'original': 7, 'alternative': None}",4.0,1.0,1.0,2.0,,,,,,,,,,,,1.0,,2.0,1.0,,,,,,,,Atlético Nacional,home
Juan Zapata,juan-zapata,J. Zapata,M,80,178.0,218,983231,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,958694400,"{'value': 1500000, 'currency': 'EUR'}",,,,80,False,55.0,48.0,7.0,2.0,0.0,,,,,,,89.0,64.0,6.8,9.0,"{'original': 6.8, 'alternative': None}",,,,2.0,1.0,,1.0,,,1.0,,,,2.0,,2.0,,2.0,,1.0,,,,,,,Atlético Nacional,home
Jorman Campuzano,jorman-campuzano,J. Campuzano,M,21,175.0,706,924420,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,830822400,"{'value': 1500000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. كامبوزانو', 'hi': 'जे. कैम्पुज़ानो', 'bn': 'জে. ক্যাম্পুজানো'}}",,,21,False,67.0,53.0,5.0,2.0,0.0,1.0,,,,,,90.0,74.0,7.0,14.0,"{'original': 7, 'alternative': None}",,,,2.0,7.0,,,,1.0,1.0,4.0,,,1.0,3.0,1.0,,1.0,,,1.0,,,,,,Atlético Nacional,home
Billy Arce,billy-arce,B. Arce,M,11,177.0,503,868746,"{'alpha2': 'EC', 'alpha3': 'ECU', 'name': 'Ecuador', 'slug': 'ecuador'}",EUR,900201600,"{'value': 680000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ب. ارس'}}",,,11,False,19.0,16.0,1.0,1.0,0.0,,,,,,,74.0,30.0,7.0,6.0,"{'original': 7, 'alternative': None}",1.0,1.0,,1.0,3.0,,,,,,,,,2.0,3.0,2.0,,2.0,,,,,,,,,Atlético Nacional,home
Alfredo Morelos,alfredo-morelos,A. Morelos,F,9,177.0,2269,831085,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,835315200,"{'value': 2100000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. موريلوس', 'hi': 'ए. मोरेलोस', 'bn': 'এ. মোরেলোস'}}",,,9,False,33.0,26.0,1.0,1.0,0.0,1.0,,,,,,90.0,40.0,7.6,7.0,"{'original': 7.6, 'alternative': None}",,,1.0,1.0,3.0,,,1.0,,1.0,1.0,,,1.0,1.0,,,1.0,1.0,,,1.0,,,,,Atlético Nacional,home
Edwin Cardona,edwin-cardona,E. Cardona,M,10,183.0,2260,153793,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,723772800,"{'value': 960000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'إ. كاردونا', 'hi': 'ई. कार्डोना', 'bn': 'ই. কার্ডোনা'}}",,,10,False,26.0,23.0,4.0,3.0,0.0,,,,,,,45.0,32.0,8.0,4.0,"{'original': 8, 'alternative': None}",4.0,3.0,,,,,,,,,,,,1.0,,,,4.0,1.0,,,,1.0,1.0,,True,Atlético Nacional,home
Kevin Viveros,kevin-viveros,K. Viveros,F,19,180.0,692,925124,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,954806400,"{'value': 1400000, 'currency': 'EUR'}",,,,19,False,11.0,9.0,,,0.0,,,,,,,90.0,25.0,6.5,10.0,"{'original': 6.5, 'alternative': None}",1.0,,1.0,6.0,2.0,1.0,1.0,,,,,2.0,,2.0,2.0,2.0,1.0,,1.0,,,,,,1.0,,Atlético Nacional,home
Andrés Sarmiento,andres-sarmiento,A. Sarmiento,M,29,170.0,200,842663,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,884822400,"{'value': 720000, 'currency': 'EUR'}",,,,29,True,10.0,8.0,,,0.0,,,,,,,45.0,20.0,6.5,7.0,"{'original': 6.5, 'alternative': None}",4.0,1.0,,2.0,,,,,,,,1.0,,1.0,,1.0,,1.0,,,,,,,,,Atlético Nacional,home
Faber Andrés Gil,faber-andres-gil,F. A. Gil,M,7,178.0,148,831377,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,796003200,"{'value': 665000, 'currency': 'EUR'}",,,,7,True,5.0,5.0,,,0.0,,,,,,,16.0,10.0,6.4,3.0,"{'original': 6.4, 'alternative': None}",2.0,,,1.0,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,Atlético Nacional,home
Dairon Asprilla,dairon-asprilla,D. Asprilla,F,27,178.0,283,790161,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,706752000,"{'value': 720000, 'currency': 'EUR'}",,,,27,True,,,,,0.0,,,,,,,9.0,1.0,6.6,,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,,,1.0,,,,,,,,,,,,,Atlético Nacional,home
Luis Marquinez,luis-marquinez,L. Marquinez,G,25,193.0,237,1106564,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1049932800,"{'value': 655000, 'currency': 'EUR'}",,Luis Marquines,,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,home
Andrés Salazar,andres-salazar,A. Salazar,D,17,182.0,251,1174790,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1042588800,"{'value': 580000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. سالازار', 'hi': 'ए. सालाज़ार', 'bn': 'এ. সালাজার'}}",Andrés Salazar,,17,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,home
Juan Felipe Aguirre,juan-felipe-aguirre,J. F. Aguirre,D,3,186.0,135,925173,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,841276800,"{'value': 825000, 'currency': 'EUR'}",,,,3,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,home
