name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,errorLeadToAGoal,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,duelLost,duelWon,totalContest,wonContest,interceptionWon,wasFouled,fouls,totalOffside,aerialLost,aerialWon,shotOffTarget,totalClearance,totalTackle,dispossessed,blockedScoringAttempt,outfielderBlock,ownGoals,keyPass,accurateCross,bigChanceCreated,onTargetScoringAttempt,challengeLost,goals,captain,team,teamType,goodHighClaim,savedShotsFromInsideTheBox,punches,bigChanceMissed,hitWoodwork
Santiago Silva,,,silva-santiago,S. Silva,G,27,190.0,102,1002740,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,926380800.0,"{'value': 570000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'S. I. S. Azambuja'}}",27,False,20.0,13.0,10.0,3.0,0.0,1.0,1.0,90.0,29.0,5.3,8.0,"{'original': 5.3, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,home,,,,,
Yerson Candelo,,,yerson-candelo,Y. Candelo,D,92,172.0,144,158593,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,698889600.0,"{'value': 525000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ي. كانديلو', 'hi': 'वाई. कैंडेलो', 'bn': 'ওয়াই. ক্যান্ডেলো'}}",92,False,33.0,23.0,7.0,3.0,0.0,,,45.0,50.0,6.5,18.0,"{'original': 6.5, 'alternative': None}",8.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,América de Cali,home,,,,,
Cristian Tovar,,,cristian-tovar,C. Tovar,D,6,182.0,69,873180,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,894412800.0,"{'value': 470000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. توفار', 'hi': 'सी. तोवर', 'bn': 'সি. টোভার'}}",6,False,58.0,51.0,8.0,4.0,0.0,,,90.0,63.0,6.6,7.0,"{'original': 6.6, 'alternative': None}",,4.0,8.0,,,,,,,4.0,7.0,1.0,3.0,1.0,,,,,,,,,,,,América de Cali,home,,,,,
Brayan Medina,,,medina-brayan,B. Medina,D,23,195.0,106,1187281,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1015200000.0,"{'value': 910000, 'currency': 'EUR'}",,23,False,60.0,57.0,2.0,,0.0,,,90.0,71.0,6.9,6.0,"{'original': 6.9, 'alternative': None}",,1.0,2.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,América de Cali,home,,,,,
Marcos Mina,,,marcos-mina,M. Mina,D,14,163.0,81,1098198,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,923875200.0,"{'value': 580000, 'currency': 'EUR'}",,14,False,29.0,25.0,,,2.0,,,90.0,47.0,6.6,11.0,"{'original': 6.6, 'alternative': None}",1.0,3.0,3.0,3.0,1.0,1.0,1.0,,,1.0,1.0,,2.0,,,,,,3.0,1.0,1.0,1.0,,,,América de Cali,home,,,,,
Sebastián Navarro,,,sebastian-navarro,S. Navarro,M,21,186.0,124,1018517,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963619200.0,"{'value': 840000, 'currency': 'EUR'}",,8,False,40.0,37.0,2.0,2.0,1.0,,,80.0,45.0,7.4,4.0,"{'original': 7.4, 'alternative': None}",,2.0,4.0,1.0,1.0,1.0,,2.0,1.0,,2.0,,,1.0,,1.0,,,3.0,,1.0,,,,,América de Cali,home,,,,,
Franco Leys,,,franco-leys,F. Leys,M,32,180.0,53,333807,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,750902400.0,"{'value': 360000, 'currency': 'EUR'}",,32,False,25.0,23.0,2.0,1.0,0.0,,,45.0,30.0,6.4,4.0,"{'original': 6.4, 'alternative': None}",,2.0,1.0,,,,1.0,,,1.0,,1.0,,,,,,,,,,,1.0,,,América de Cali,home,,,,,
Éder Balanta,,,eder-balanta,É. Balanta,M,3,181.0,494,322529,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,730857600.0,"{'value': 760000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'إ. بالانتا', 'hi': 'ई. बलंता', 'bn': 'ই. বালান্টা'}}",3,False,57.0,47.0,5.0,1.0,0.0,,,90.0,66.0,7.3,11.0,"{'original': 7.3, 'alternative': None}",,7.0,1.0,1.0,,1.0,,2.0,,3.0,1.0,,2.0,,,,1.0,,3.0,,,2.0,1.0,1.0,,América de Cali,home,,,,,
Duván Vergara,,,duvan-vergara,D. Vergara,M,11,173.0,931,819149,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,842227200.0,"{'value': 2900000, 'currency': 'EUR'}",,11,False,26.0,23.0,,,0.0,,,88.0,58.0,7.5,18.0,"{'original': 7.5, 'alternative': None}",10.0,4.0,8.0,8.0,4.0,,4.0,,,,,2.0,,,,3.0,,,5.0,3.0,,,,,True,América de Cali,home,,,,,
Luis Gómez,,,luis-gomez,L. Gómez,F,16,173.0,75,958592,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,939600000.0,"{'value': 490000, 'currency': 'EUR'}",,16,False,12.0,8.0,1.0,,0.0,,,45.0,20.0,7.0,5.0,"{'original': 7, 'alternative': None}",,1.0,5.0,1.0,1.0,1.0,1.0,1.0,,,2.0,,,1.0,,1.0,,,,,,1.0,,,,América de Cali,home,,,,,
