name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelLost,penaltyConceded,fouls,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,duelWon,dispossessed,shotOffTarget,blockedScoringAttempt,totalClearance,totalTackle,wasFouled,aerialWon,challengeLost,onTargetScoringAttempt,aerialLost,outfielderBlock,totalContest,wonContest,keyPass,interceptionWon,totalOffside,captain,team,teamType,savedShotsFromInsideTheBox,goals,penaltyWon
Álvaro Montero,alvaro-montero,Á. Montero,G,31,195,590,926238,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,796435200,"{'value': 1600000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. مونتيرو', 'hi': 'ए. मोंटेरो', 'bn': 'এ. মন্টেরো'}}",,,31,False,21.0,13.0,10.0,2.0,0.0,1.0,1.0,1.0,2.0,90.0,28.0,6.3,9.0,"{'original': 6.3, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,Millonarios,home,,,
Delvin Alfonzo,alfonzo-delvin,D. Alfonzo,D,22,178,318,1015685,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,968025600,"{'value': 745000, 'currency': 'EUR'}",,,,22,False,15.0,13.0,3.0,1.0,0.0,1.0,,,,45.0,32.0,6.8,6.0,"{'original': 6.8, 'alternative': None}",2.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,Millonarios,home,,,
Sergio Mosquera,sergio-mosquera,S. Mosquera,D,6,185,73,351426,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,760752000,"{'value': 405000, 'currency': 'EUR'}",,,,6,False,56.0,47.0,11.0,6.0,0.0,2.0,,1.0,,90.0,62.0,7.0,9.0,"{'original': 7, 'alternative': None}",,,7.0,,1.0,,1.0,2.0,1.0,4.0,1.0,1.0,,,,,,,,,Millonarios,home,,,
Juan Pablo Vargas,juan-pablo-vargas,J. P. Vargas,D,4,192,653,865783,"{'alpha2': 'CR', 'alpha3': 'CRI', 'name': 'Costa Rica', 'slug': 'costa-rica'}",EUR,802396800,"{'value': 1500000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'خ. فارغاس', 'hi': 'जे.पी. वर्गास', 'bn': 'জে. পি. ভার্গাস'}}",,,4,False,56.0,44.0,9.0,5.0,0.0,4.0,,,,90.0,62.0,7.0,13.0,"{'original': 7, 'alternative': None}",,,9.0,,,,2.0,2.0,,7.0,,,4.0,1.0,,,,,,,Millonarios,home,,,
Danovis Banguero,danovis-banguero,D. Banguero,D,20,185,94,34090,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,625449600,"{'value': 320000, 'currency': 'EUR'}",,,,20,False,69.0,55.0,13.0,4.0,0.0,4.0,,,,90.0,95.0,6.7,24.0,"{'original': 6.7, 'alternative': None}",5.0,1.0,6.0,,,,2.0,1.0,,4.0,1.0,,,,4.0,1.0,2.0,,,,Millonarios,home,,,
Daniel Cataño,daniel-catano,D. Cataño,M,10,174,259,829884,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,695606400,"{'value': 415000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. كاتانيو', 'hi': 'डी. कैटानो', 'bn': 'ডি. কাটানো'}}",,,10,False,30.0,26.0,5.0,2.0,0.0,1.0,,,,67.0,53.0,7.4,11.0,"{'original': 7.4, 'alternative': None}",6.0,2.0,7.0,,2.0,,,2.0,2.0,1.0,,,,,3.0,2.0,2.0,1.0,,,Millonarios,home,,,
Juan Pereira,juan-pereira,J. Pereira,M,21,182,102,974041,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,729129600,"{'value': 470000, 'currency': 'EUR'}",,,,21,False,52.0,46.0,10.0,6.0,0.0,2.0,,1.0,,90.0,60.0,7.1,7.0,"{'original': 7.1, 'alternative': None}",1.0,1.0,2.0,,1.0,,,1.0,,1.0,,,,,1.0,,2.0,1.0,,,Millonarios,home,,,
Stiven Vega,stiven-vega,S. Vega,M,28,175,125,590354,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895795200,"{'value': 630000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'س. فيغا', 'hi': 'एस. वेगा', 'bn': 'এস. ভেগা'}}",,,28,False,62.0,53.0,10.0,5.0,0.0,3.0,,1.0,,90.0,76.0,7.1,12.0,"{'original': 7.1, 'alternative': None}",1.0,,8.0,1.0,,,,4.0,2.0,2.0,,,1.0,,,,,1.0,,,Millonarios,home,,,
Daniel Mantilla,daniel-mantilla,D. Mantilla,M,11,173,119,924552,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,851472000,"{'value': 550000, 'currency': 'EUR'}",,,,11,False,15.0,13.0,,,0.0,1.0,,1.0,,67.0,26.0,6.7,5.0,"{'original': 6.7, 'alternative': None}",1.0,,3.0,,1.0,,1.0,1.0,2.0,,,,,,,,,,,,Millonarios,home,,,
Radamel Falcao,radamel-falcao,R. Falcao,F,9,177,12659,25682,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,508377600,"{'value': 260000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ر. فالكاو', 'hi': 'आर. फाल्काओ', 'bn': 'আর. ফ্যালকাও'}}",,,9,False,33.0,28.0,3.0,2.0,0.0,4.0,,,,90.0,42.0,7.1,7.0,"{'original': 7.1, 'alternative': None}",,,2.0,1.0,,,1.0,1.0,,1.0,,1.0,3.0,,,,1.0,2.0,3.0,True,Millonarios,home,,,
Leonardo Castro,leonardo-castro,L. Castro,F,23,174,1091,827806,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,708480000,"{'value': 975000, 'currency': 'EUR'}",,,,23,False,21.0,15.0,2.0,1.0,0.0,1.0,,,,76.0,27.0,6.7,8.0,"{'original': 6.7, 'alternative': None}",1.0,,2.0,,1.0,,,,2.0,,,,1.0,,,,,,,,Millonarios,home,,,
Helibelton Palacios,helibelton-palacios,H. Palacios,D,28,181,419,329597,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,739584000,"{'value': 635000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'هيبيلتون بالاسيوس', 'hi': 'हेलीबेल्टन पालासिओस', 'bn': 'হেলিবেল্টন পালাসিওস'}}",,,13,True,26.0,24.0,4.0,2.0,0.0,2.0,,1.0,,45.0,47.0,7.1,7.0,"{'original': 7.1, 'alternative': None}",3.0,1.0,4.0,,,,,1.0,3.0,,,1.0,1.0,,,,1.0,1.0,,,Millonarios,home,,,
Daniel Ruiz,daniel-ruiz,D. Ruiz,M,18,171,1027,1098305,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,996451200,"{'value': 1300000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. رويز', 'hi': 'डी. रुइज़', 'bn': 'ডি. রুইজ'}}",Daniel Ruiz,,18,True,18.0,15.0,4.0,2.0,0.0,3.0,,,,23.0,31.0,6.9,9.0,"{'original': 6.9, 'alternative': None}",6.0,2.0,1.0,1.0,,,,,,,,,1.0,,2.0,1.0,2.0,1.0,,,Millonarios,home,,,
