name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,totalContest,onTargetScoringAttempt,goals,interceptionWon,wasFouled,fouls,shotOffTarget,totalClearance,totalTackle,keyPass,challengeLost,dispossessed,outfielderBlock,bigChanceCreated,wonContest,captain,team,teamType,blockedScoringAttempt,totalOffside
David Ospina,,,david-ospina,D. Ospina,G,1,183.0,5692,33596,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,588988800,"{'value': 655000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. أوسبينا', 'hi': 'डी. ओस्पिना', 'bn': 'ডি. ওসপিনা'}}",1,False,55.0,50.0,11.0,6.0,0.0,1.0,4.0,1.0,1.0,90.0,66.0,7.7,6.0,"{'original': 7.7, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,True,Atlético Nacional,home,,
Joan Castro,,,joan-castro,J. Castro,D,20,176.0,120,819186,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,853113600,"{'value': 680000, 'currency': 'EUR'}",,20,False,18.0,15.0,2.0,1.0,0.0,,,,,75.0,35.0,8.2,7.0,"{'original': 8.2, 'alternative': None}",2.0,1.0,1.0,1.0,7.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,,,,,,,,,,,Atlético Nacional,home,,
Juan Felipe Aguirre,,,juan-felipe-aguirre,J. F. Aguirre,D,3,186.0,135,925173,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,841276800,"{'value': 825000, 'currency': 'EUR'}",,3,False,76.0,63.0,10.0,4.0,0.0,,,,,90.0,82.0,7.1,13.0,"{'original': 7.1, 'alternative': None}",,,1.0,2.0,2.0,3.0,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,Atlético Nacional,home,,
William Tesillo,,,william-tesillo,W. Tesillo,D,16,184.0,317,794087,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,633916800,"{'value': 520000, 'currency': 'EUR'}",,16,False,67.0,62.0,11.0,7.0,0.0,,,,,90.0,77.0,7.3,7.0,"{'original': 7.3, 'alternative': None}",,,,,2.0,3.0,,,,2.0,,,,2.0,3.0,1.0,1.0,1.0,,,,,Atlético Nacional,home,,
Andrés Salazar,Andrés Salazar,,andres-salazar,A. Salazar,D,17,182.0,252,1174790,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1042588800,"{'value': 580000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. سالازار', 'hi': 'ए. सालाज़ार', 'bn': 'এ. সালাজার'}}",17,False,45.0,34.0,7.0,3.0,0.0,,,,,90.0,66.0,7.0,17.0,"{'original': 7, 'alternative': None}",1.0,,2.0,3.0,5.0,6.0,1.0,,,3.0,,1.0,,2.0,3.0,,1.0,,,,,,Atlético Nacional,home,,
Matheus Uribe,,,mateus-uribe,M. Uribe,M,8,182.0,1810,247773,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,669513600,"{'value': 1500000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'م. أوريبي', 'hi': 'एम. उरीबे', 'bn': 'এম. উরিবে'}}",8,False,21.0,21.0,4.0,4.0,1.0,,,,,45.0,27.0,7.3,3.0,"{'original': 7.3, 'alternative': None}",,,,,2.0,2.0,,,,1.0,2.0,,,,,2.0,,2.0,,,,,Atlético Nacional,home,,
Jorman Campuzano,,,jorman-campuzano,J. Campuzano,M,21,175.0,707,924420,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,830822400,"{'value': 1500000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. كامبوزانو', 'hi': 'जे. कैम्पुज़ानो', 'bn': 'জে. ক্যাম্পুজানো'}}",21,False,41.0,36.0,6.0,6.0,0.0,,,,,61.0,50.0,7.3,6.0,"{'original': 7.3, 'alternative': None}",,,,,,6.0,,,,,2.0,,,,4.0,,,,1.0,,,,Atlético Nacional,home,,
Dairon Asprilla,,,dairon-asprilla,D. Asprilla,F,27,178.0,283,790161,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,706752000,"{'value': 720000, 'currency': 'EUR'}",,27,False,29.0,22.0,2.0,2.0,1.0,,,,,90.0,41.0,7.3,14.0,"{'original': 7.3, 'alternative': None}",1.0,,,1.0,,1.0,,,,1.0,,,1.0,,,2.0,,,,1.0,,,Atlético Nacional,home,,
Edwin Cardona,,,edwin-cardona,E. Cardona,M,10,183.0,2248,153793,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,723772800,"{'value': 960000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'إ. كاردونا', 'hi': 'ई. कार्डोना', 'bn': 'ই. কার্ডোনা'}}",10,False,27.0,20.0,5.0,3.0,0.0,,,,,61.0,38.0,7.4,11.0,"{'original': 7.4, 'alternative': None}",3.0,2.0,1.0,,5.0,1.0,1.0,1.0,1.0,,,2.0,1.0,2.0,,1.0,,2.0,,,1.0,,Atlético Nacional,home,,
Andrés Sarmiento,,,andres-sarmiento,A. Sarmiento,M,29,170.0,201,842663,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,884822400,"{'value': 720000, 'currency': 'EUR'}",,29,False,18.0,17.0,1.0,1.0,1.0,,,,,71.0,29.0,6.8,6.0,"{'original': 6.8, 'alternative': None}",,,,,5.0,2.0,,,,,1.0,3.0,1.0,1.0,1.0,1.0,,2.0,,,,,Atlético Nacional,home,,
Kevin Viveros,,,kevin-viveros,K. Viveros,F,19,180.0,690,925124,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,954806400,"{'value': 1400000, 'currency': 'EUR'}",,19,False,14.0,10.0,1.0,,1.0,,,,,90.0,25.0,7.3,9.0,"{'original': 7.3, 'alternative': None}",1.0,,2.0,1.0,4.0,2.0,1.0,1.0,,,1.0,2.0,1.0,2.0,,2.0,,,,1.0,,,Atlético Nacional,home,,
Juan Zapata,,,juan-zapata,J. Zapata,M,80,178.0,219,983231,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,958694400,"{'value': 1500000, 'currency': 'EUR'}",,80,True,8.0,8.0,1.0,1.0,0.0,,,,,45.0,11.0,7.2,,"{'original': 7.2, 'alternative': None}",,,,,1.0,,,1.0,1.0,,,2.0,1.0,,,,,,,,,,Atlético Nacional,home,,
Billy Arce,,,billy-arce,B. Arce,M,11,177.0,499,868746,"{'alpha2': 'EC', 'alpha3': 'ECU', 'name': 'Ecuador', 'slug': 'ecuador'}",EUR,900201600,"{'value': 680000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ب. ارس'}}",11,True,6.0,5.0,,,0.0,,,,,29.0,8.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",,,,,3.0,1.0,,,,,1.0,3.0,,,,1.0,,,,,,,Atlético Nacional,home,,
Sebastián Guzmán,,,sebastian-guzman,S. Guzmán,M,32,177.0,110,924567,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,864604800,"{'value': 720000, 'currency': 'EUR'}",,32,True,25.0,25.0,2.0,2.0,0.0,,,,,29.0,25.0,6.6,,"{'original': 6.6, 'alternative': None}",,,,,1.0,,,,,,,1.0,,,,,,,,,,,Atlético Nacional,home,,
Faber Andrés Gil,,,faber-andres-gil,F. A. Gil,M,7,178.0,148,831377,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,796003200,"{'value': 665000, 'currency': 'EUR'}",,7,True,2.0,2.0,,,0.0,,,,,19.0,4.0,6.3,2.0,"{'original': 6.3, 'alternative': None}",,,,,2.0,,1.0,,,,,,,,,,,1.0,,,,,Atlético Nacional,home,,
