name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,wasFouled,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,aerialWon,duelLost,dispossessed,totalContest,wonContest,shotOffTarget,totalClearance,interceptionWon,totalTackle,fouls,onTargetScoringAttempt,outfielderBlock,keyPass,accurateCross,goals,totalOffside,challengeLost,captain,team,teamType,savedShotsFromInsideTheBox,blockedScoringAttempt,bigChanceMissed,bigChanceCreated
Geovanni Banguera,geovanni-banguera,G. Banguera,G,12,187.0,22,823233,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,818985600,"{'value': 385000, 'currency': 'EUR'}",,,,12,False,30.0,19.0,16.0,5.0,0.0,1.0,1.0,1.0,90.0,36.0,6.3,11.0,"{'original': 6.3, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,home,,,,
Dylan Lozano,dylan-lozano,D. Lozano,D,26,,9,1139988,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1026691200,"{'value': 270000, 'currency': 'EUR'}",Dylan Lozano,,,26,False,11.0,7.0,2.0,,0.0,4.0,,,90.0,34.0,6.6,12.0,"{'original': 6.6, 'alternative': None}",1.0,1.0,1.0,4.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,Rionegro Águilas Doradas,home,,,,
Diego Hernández,diego-hernandez,D. Hernández,D,5,190.0,24,980391,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,957398400,"{'value': 370000, 'currency': 'EUR'}",,,,5,False,64.0,55.0,16.0,10.0,0.0,4.0,,,90.0,75.0,6.9,11.0,"{'original': 6.9, 'alternative': None}",,2.0,3.0,3.0,,1.0,,,3.0,,1.0,,1.0,,,,,,,,Rionegro Águilas Doradas,home,,,,
Sebastián Rodríguez,sebastian-rodriguez,S. Rodríguez,D,2,185.0,11,931697,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,975801600,"{'value': 245000, 'currency': 'EUR'}",,,,2,False,60.0,43.0,16.0,3.0,0.0,4.0,,,90.0,69.0,6.5,19.0,"{'original': 6.5, 'alternative': None}",,,3.0,,,,,,5.0,,1.0,,,1.0,,,,,,,Rionegro Águilas Doradas,home,,,,
Javier Alexander Mena,mena-javier-alexander,J. A. Mena,D,32,,8,1544743,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1102032000,,,,,32,False,29.0,21.0,2.0,,0.0,7.0,1.0,,90.0,60.0,6.3,21.0,"{'original': 6.3, 'alternative': None}",,3.0,2.0,9.0,1.0,3.0,,1.0,1.0,,4.0,2.0,,,,,,,,,Rionegro Águilas Doradas,home,,,,
Jaen Pineda,jaen-pineda,J. Pineda,M,16,180.0,52,935690,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,874454400,"{'value': 620000, 'currency': 'EUR'}",,,,16,False,45.0,38.0,12.0,10.0,0.0,3.0,,,66.0,54.0,7.1,11.0,"{'original': 7.1, 'alternative': None}",1.0,,2.0,1.0,,1.0,,,,2.0,1.0,,,,,,,,,,Rionegro Águilas Doradas,home,,,,
Guillermo Celis,guillermo-celis,G. Celis,M,28,177.0,89,329583,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,736819200,"{'value': 470000, 'currency': 'EUR'}",,,,28,False,52.0,45.0,5.0,3.0,0.0,1.0,,,90.0,62.0,6.4,12.0,"{'original': 6.4, 'alternative': None}",,,,7.0,2.0,1.0,,,,,1.0,4.0,,1.0,1.0,,,,,True,Rionegro Águilas Doradas,home,,,,
Auli Oliveros,auli-oliveros,A. Oliveros,M,33,175.0,43,1015631,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,996624000,"{'value': 230000, 'currency': 'EUR'}",,,,33,False,34.0,31.0,3.0,2.0,0.0,1.0,1.0,,45.0,43.0,6.3,8.0,"{'original': 6.3, 'alternative': None}",1.0,,,5.0,1.0,3.0,,,,,,1.0,,,,,,,,,Rionegro Águilas Doradas,home,,,,
Fredy Salazar,fredy-salazar,F. Salazar,F,20,178.0,86,822092,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,796694400,"{'value': 855000, 'currency': 'EUR'}",,,,20,False,26.0,21.0,1.0,,0.0,3.0,2.0,,45.0,42.0,7.0,14.0,"{'original': 7, 'alternative': None}",6.0,,,2.0,,1.0,,,,,1.0,1.0,1.0,,2.0,2.0,,,,,Rionegro Águilas Doradas,home,,,,
Cristian Borja,borja-cristian,C. Martínez,F,,184.0,114,312194,"{'alpha2': 'SV', 'alpha3': 'SLV', 'name': 'El Salvador', 'slug': 'el-salvador'}",EUR,567993600,"{'value': 105000, 'currency': 'EUR'}",,,,17,False,15.0,10.0,2.0,,0.0,1.0,,,80.0,24.0,6.7,9.0,"{'original': 6.7, 'alternative': None}",1.0,2.0,,5.0,2.0,,,1.0,,,1.0,1.0,,,2.0,1.0,,,,,Rionegro Águilas Doradas,home,,,,
Johan Caballero,johan-caballero,J. Caballero,F,23,185.0,32,925252,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895190400,"{'value': 340000, 'currency': 'EUR'}",,,,23,False,33.0,21.0,5.0,2.0,0.0,3.0,1.0,,88.0,49.0,7.5,20.0,"{'original': 7.5, 'alternative': None}",3.0,3.0,1.0,5.0,,2.0,,1.0,1.0,,1.0,,2.0,,1.0,,1.0,1.0,,,Rionegro Águilas Doradas,home,,,,
Anderson Plata,anderson-plata,A. Plata,M,7,172.0,69,590374,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,658022400,"{'value': 235000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. بلاتا', 'hi': 'ए. प्लाटा', 'bn': 'এ. প্লাটা'}}",7,True,8.0,4.0,1.0,,0.0,1.0,,,45.0,11.0,6.5,5.0,"{'original': 6.5, 'alternative': None}",,,,4.0,,,,,,,1.0,2.0,,,,,,,2.0,,Rionegro Águilas Doradas,home,,,,
Harrinson Mancilla,harrinson-mancilla,H. Mancilla,M,27,174.0,27,869952,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,693360000,"{'value': 49000, 'currency': 'EUR'}",,,,27,True,19.0,13.0,6.0,2.0,0.0,1.0,1.0,,45.0,23.0,6.4,6.0,"{'original': 6.4, 'alternative': None}",,1.0,,3.0,,,,,,1.0,,2.0,,1.0,,,,,,,Rionegro Águilas Doradas,home,,,,
