name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,duelLost,duelWon,dispossessed,onTargetScoringAttempt,blockedScoringAttempt,interceptionWon,totalTackle,wasFouled,fouls,keyPass,aerialWon,shotOffTarget,outfielderBlock,challengeLost,accurateCross,aerialLost,totalContest,wonContest,totalOffside,captain,team,teamType,fieldTranslations,bigChanceCreated,goals
Geovanni Banguera,geovanni-banguera,G. Banguera,G,12,187.0,22,823233,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,818985600,"{'value': 385000, 'currency': 'EUR'}",,,12,False,17.0,15.0,8.0,6.0,0.0,1.0,1.0,5.0,1.0,90.0,30.0,7.4,2.0,"{'original': 7.4, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,home,,,
Dylan Lozano,dylan-lozano,D. Lozano,D,26,,9,1139988,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1026691200,"{'value': 270000, 'currency': 'EUR'}",Dylan Lozano,,26,False,28.0,25.0,,,0.0,,,,,90.0,49.0,7.1,10.0,"{'original': 7.1, 'alternative': None}",4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,Rionegro Águilas Doradas,home,,,
Felipe Aguilar,felipe-aguilar,F. Aguilar,D,3,190.0,171,329577,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,727488000,"{'value': 310000, 'currency': 'EUR'}",,,3,False,35.0,32.0,5.0,3.0,0.0,1.0,,,,90.0,42.0,7.1,4.0,"{'original': 7.1, 'alternative': None}",,,4.0,,,,,2.0,1.0,,,1.0,1.0,1.0,,,,,,,,Rionegro Águilas Doradas,home,,,
Diego Hernández,diego-hernandez,D. Hernández,D,5,190.0,24,980391,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,957398400,"{'value': 370000, 'currency': 'EUR'}",,,5,False,55.0,45.0,10.0,3.0,0.0,,,,,90.0,58.0,6.4,10.0,"{'original': 6.4, 'alternative': None}",,3.0,,,,,,,,1.0,,,1.0,,2.0,,,,,,,Rionegro Águilas Doradas,home,,,
Javier Alexander Mena,mena-javier-alexander,J. A. Mena,D,32,,8,1544743,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1102032000,,,,32,False,34.0,26.0,5.0,3.0,0.0,,,,,90.0,54.0,6.9,13.0,"{'original': 6.9, 'alternative': None}",4.0,4.0,6.0,,,,1.0,4.0,,2.0,1.0,2.0,1.0,,,3.0,1.0,1.0,,,,Rionegro Águilas Doradas,home,,,
Jesús Rivas,jesus-rivas,J. Rivas,M,22,175.0,56,882616,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,860284800,"{'value': 820000, 'currency': 'EUR'}",,,22,False,48.0,41.0,5.0,4.0,0.0,,,,,72.0,62.0,7.2,12.0,"{'original': 7.2, 'alternative': None}",1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,2.0,,1.0,,,2.0,1.0,,,Rionegro Águilas Doradas,home,,,
Guillermo Celis,guillermo-celis,G. Celis,M,28,177.0,89,329583,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,736819200,"{'value': 470000, 'currency': 'EUR'}",,,28,False,71.0,66.0,4.0,3.0,0.0,,,,,90.0,75.0,6.6,7.0,"{'original': 6.6, 'alternative': None}",,5.0,1.0,2.0,,,,1.0,,1.0,,,,,2.0,,,,,,True,Rionegro Águilas Doradas,home,,,
Royner Benitez,benitez-royner,R. Benitez,M,90,173.0,75,1466673,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1119312000,"{'value': 53000, 'currency': 'EUR'}",Royner Benitez,,90,False,18.0,16.0,1.0,1.0,0.0,,,,,45.0,23.0,6.6,5.0,"{'original': 6.6, 'alternative': None}",,4.0,1.0,3.0,,,,,1.0,,,,1.0,,,,1.0,,,,,Rionegro Águilas Doradas,home,,,
Yony González,yony-gonzalez,Y. González,F,11,182.0,356,351432,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,773884800,"{'value': 545000, 'currency': 'EUR'}",,,11,False,25.0,20.0,3.0,2.0,0.0,,,,,72.0,39.0,6.8,11.0,"{'original': 6.8, 'alternative': None}",3.0,3.0,4.0,2.0,,1.0,,2.0,2.0,,1.0,,,,,,1.0,,,,,Rionegro Águilas Doradas,home,,,
Cristian Borja,borja-cristian,C. Martínez,F,,184.0,115,312194,"{'alpha2': 'SV', 'alpha3': 'SLV', 'name': 'El Salvador', 'slug': 'el-salvador'}",EUR,567993600,"{'value': 105000, 'currency': 'EUR'}",,,17,False,13.0,12.0,,,0.0,,,,,61.0,14.0,6.7,2.0,"{'original': 6.7, 'alternative': None}",,,,,,,,,,,2.0,,,,,,,,,,,Rionegro Águilas Doradas,home,,,
Jhojan Escobar,jhojan-escobar,J. Escobar,D,6,175.0,4,1174885,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,947894400,"{'value': 140000, 'currency': 'EUR'}",Jhojan Escobar,,6,False,11.0,9.0,,,0.0,,,,,45.0,24.0,6.5,9.0,"{'original': 6.5, 'alternative': None}",3.0,6.0,1.0,1.0,,,2.0,,1.0,1.0,1.0,,1.0,,,1.0,2.0,2.0,,1.0,,Rionegro Águilas Doradas,home,,,
Jaen Pineda,jaen-pineda,J. Pineda,M,16,180.0,52,935690,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,874454400,"{'value': 620000, 'currency': 'EUR'}",,,16,True,44.0,36.0,10.0,7.0,0.0,,,,,45.0,57.0,7.2,16.0,"{'original': 7.2, 'alternative': None}",8.0,1.0,2.0,,,,,2.0,,,2.0,,,,,1.0,,1.0,,1.0,,Rionegro Águilas Doradas,home,,,
Johan Caballero,johan-caballero,J. Caballero,F,23,185.0,31,925252,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895190400,"{'value': 340000, 'currency': 'EUR'}",,,23,True,27.0,21.0,4.0,2.0,0.0,,,,,45.0,55.0,7.1,21.0,"{'original': 7.1, 'alternative': None}",15.0,6.0,4.0,3.0,,,1.0,,4.0,,3.0,,,,3.0,5.0,,,,,,Rionegro Águilas Doradas,home,,,
Wilson Morelo,wilson-morelo,W. Morelo,F,19,170.0,128,47286,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,548553600,"{'value': 53000, 'currency': 'EUR'}",,,19,True,12.0,11.0,1.0,1.0,0.0,,,,,29.0,18.0,6.4,6.0,"{'original': 6.4, 'alternative': None}",,3.0,1.0,2.0,,,,1.0,,,,,,,,,,1.0,,,,Rionegro Águilas Doradas,home,,,
Tomás Salazar,tomas-salazar,T. Salazar,M,8,178.0,8,979933,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,960508800,"{'value': 52000, 'currency': 'EUR'}",,,8,True,10.0,9.0,,,0.0,,,,,18.0,13.0,6.6,2.0,"{'original': 6.6, 'alternative': None}",,2.0,2.0,1.0,,,,2.0,,1.0,,,,,,,,,,,,Rionegro Águilas Doradas,home,,,
David Lemos,david-lemos,D. Lemos,F,47,175.0,20,830005,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,799632000,"{'value': 280000, 'currency': 'EUR'}",,,47,True,9.0,7.0,3.0,3.0,0.0,,,,,18.0,14.0,7.1,3.0,"{'original': 7.1, 'alternative': None}",,,,,2.0,,1.0,,,,,,,,,,,,,,,Rionegro Águilas Doradas,home,,,
Sebastián Guerra,sebastian-guerra,S. Guerra,G,34,183.0,33,931709,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,978912000,"{'value': 52000, 'currency': 'EUR'}",,,34,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,home,,,
Nicolás Lara,nicolas-lara,N. Lara,D,30,184.0,16,1173828,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1045958400,"{'value': 160000, 'currency': 'EUR'}",Nicolás Lara,,30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,home,,,
James Aguirre,james-aguirre,J. Aguirre,G,12,181.0,64,829877,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,706406400,"{'value': 290000, 'currency': 'EUR'}",,,12,False,27.0,16.0,19.0,8.0,0.0,3.0,3.0,4.0,1.0,90.0,39.0,7.7,11.0,"{'original': 7.7, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,Once Caldas,away,,,
Juan David Cuesta,juan-david-cuesta,J. D. Cuesta,D,22,174.0,31,1188964,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,880070400,"{'value': 630000, 'currency': 'EUR'}",Juan David Cuesta,,22,False,30.0,21.0,5.0,,0.0,3.0,,,,90.0,52.0,7.1,13.0,"{'original': 7.1, 'alternative': None}",1.0,3.0,6.0,,,,1.0,5.0,,3.0,,1.0,,,,,,,,,,Once Caldas,away,,,
Jorge Cardona,cardona-jorge,J. Cardona,D,34,184.0,16,960094,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,919728000,"{'value': 515000, 'currency': 'EUR'}",,,34,False,20.0,16.0,4.0,2.0,0.0,8.0,,,,90.0,31.0,7.3,4.0,"{'original': 7.3, 'alternative': None}",,,3.0,,,,1.0,1.0,,,,2.0,,1.0,,,,,,,,Once Caldas,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'J. L. C. Gutierrez'}}",,
Jerson Malagón,jerson-malagon,J. Malagón,D,3,185.0,30,339393,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,741052800,"{'value': 380000, 'currency': 'EUR'}",,,3,False,25.0,18.0,9.0,2.0,0.0,13.0,,,,90.0,42.0,7.4,7.0,"{'original': 7.4, 'alternative': None}",,1.0,2.0,,,,,2.0,,,1.0,,,1.0,,,1.0,,,,,Once Caldas,away,,,
Juan Patiño,juan-patino,J. Patiño,D,33,184.0,31,973722,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,905385600,"{'value': 605000, 'currency': 'EUR'}",,,33,False,25.0,17.0,7.0,2.0,0.0,2.0,,,,90.0,43.0,6.6,14.0,"{'original': 6.6, 'alternative': None}",2.0,4.0,4.0,2.0,,,,2.0,,1.0,,1.0,,,,,,2.0,1.0,,,Once Caldas,away,,,
