name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,aerialWon,duelLost,duelWon,dispossessed,totalContest,interceptionWon,totalTackle,wasFouled,fouls,keyPass,wonContest,shotOffTarget,blockedScoringAttempt,accurateCross,onTargetScoringAttempt,challengeLost,totalOffside,captain,team,teamType,goodHighClaim,savedShotsFromInsideTheBox,punches,outfielderBlock
Aldair Quintana,aldair-quintana,A. Quintana,G,1,194.0,154,844584,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,773884800,"{'value': 930000, 'currency': 'EUR'}",,,,1,False,23.0,20.0,7.0,4.0,0.0,1.0,1.0,1.0,1.0,90.0,27.0,6.9,3.0,"{'original': 6.9, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,home,,,,
Aldair Gutiérrez,aldair-gutierrez,A. Gutiérrez,D,19,176.0,66,857498,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,898041600,"{'value': 490000, 'currency': 'EUR'}",,,,19,False,31.0,24.0,5.0,2.0,0.0,,,,,64.0,51.0,6.8,17.0,"{'original': 6.8, 'alternative': None}",6.0,1.0,1.0,5.0,4.0,1.0,1.0,2.0,2.0,1.0,2.0,,,,,,,,,,Atlético Bucaramanga,home,,,,
Carlos Romaña,carlos-romana,C. Romaña,D,23,187.0,42,933442,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,942192000,"{'value': 475000, 'currency': 'EUR'}",,,,23,False,58.0,53.0,6.0,4.0,0.0,5.0,,,,90.0,70.0,7.4,10.0,"{'original': 7.4, 'alternative': None}",3.0,2.0,,3.0,2.0,1.0,,,2.0,,,1.0,,,,,,,,,Atlético Bucaramanga,home,,,,
Jefferson Mena,jefferson-mena,J. Mena,D,2,183.0,66,355850,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,613872000,"{'value': 97000, 'currency': 'EUR'}",,,,2,False,46.0,41.0,6.0,5.0,0.0,6.0,,,,90.0,63.0,7.5,8.0,"{'original': 7.5, 'alternative': None}",1.0,1.0,4.0,3.0,6.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,,,,,True,Atlético Bucaramanga,home,,,,
Carlos Henao,carlos-henao,C. Henao,D,29,187.0,65,822085,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,597110400,"{'value': 105000, 'currency': 'EUR'}",,,,29,False,25.0,20.0,5.0,1.0,0.0,3.0,,,,45.0,35.0,6.7,7.0,"{'original': 6.7, 'alternative': None}",1.0,1.0,2.0,2.0,2.0,,,2.0,,,1.0,,,,1.0,1.0,,,,,Atlético Bucaramanga,home,,,,
Fredy Hinestroza,fredy-hinestroza,F. Hinestroza,D,8,178.0,94,249075,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,639273600,"{'value': 360000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ف. هينستروزا', 'hi': 'एफ. हिनेस्ट्रोज़ा', 'bn': 'এফ. হিনেস্ট্রোজা'}}",8,False,53.0,46.0,4.0,4.0,0.0,3.0,,,,90.0,81.0,7.9,17.0,"{'original': 7.9, 'alternative': None}",8.0,,3.0,1.0,6.0,,1.0,1.0,2.0,,1.0,2.0,1.0,1.0,,1.0,,,,,Atlético Bucaramanga,home,,,,
Aldair Zárate,zarate-aldair,A. Zárate,M,20,177.0,30,1174928,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,919641600,"{'value': 465000, 'currency': 'EUR'}",Aldair Zárate,,,20,False,42.0,35.0,6.0,6.0,0.0,,,,,75.0,53.0,7.5,10.0,"{'original': 7.5, 'alternative': None}",3.0,1.0,1.0,4.0,2.0,,1.0,,1.0,,2.0,3.0,,1.0,1.0,2.0,1.0,,,,Atlético Bucaramanga,home,,,,
Edwin Castro,edwin-castro,E. Castro,M,22,183.0,86,339719,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,698630400,"{'value': 210000, 'currency': 'EUR'}",,,,22,False,43.0,34.0,9.0,7.0,0.0,1.0,,,,90.0,48.0,6.9,9.0,"{'original': 6.9, 'alternative': None}",1.0,1.0,2.0,3.0,2.0,,,,,,1.0,,,1.0,,1.0,,1.0,,,Atlético Bucaramanga,home,,,,
Fabián Sambueza,fabian-sambueza,F. Sambueza,M,10,173.0,211,789379,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,586396800,"{'value': 230000, 'currency': 'EUR'}",,,,10,False,53.0,41.0,4.0,4.0,0.0,,,,,90.0,81.0,7.0,27.0,"{'original': 7, 'alternative': None}",9.0,,,9.0,3.0,4.0,3.0,,1.0,2.0,1.0,3.0,,1.0,,3.0,,1.0,,,Atlético Bucaramanga,home,,,,
Luciano Pons,luciano-pons,L. Pons,F,27,180.0,1312,940264,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,640396800,"{'value': 315000, 'currency': 'EUR'}",,,,27,False,6.0,4.0,,,0.0,,,,,22.0,8.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",,,,,1.0,,1.0,,,,,,1.0,,,,,,,,Atlético Bucaramanga,home,,,,
Jean Carlos Blanco,jean-carlos-blanco,J. C. Blanco,F,18,185.0,94,1199361,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,702518400,"{'value': 370000, 'currency': 'EUR'}",,,,18,False,11.0,7.0,,,0.0,,,,,90.0,24.0,7.3,6.0,"{'original': 7.3, 'alternative': None}",,4.0,5.0,6.0,7.0,1.0,1.0,,1.0,,1.0,,1.0,2.0,1.0,,2.0,,,,Atlético Bucaramanga,home,,,,
Jhon Vásquez,jhon-vasquez,Jhon Vásquez,F,11,176.0,98,805288,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,792547200,"{'value': 580000, 'currency': 'EUR'}",,,,11,True,17.0,16.0,,,0.0,1.0,,,,68.0,39.0,6.8,15.0,"{'original': 6.8, 'alternative': None}",8.0,1.0,2.0,5.0,5.0,2.0,1.0,,1.0,2.0,,,,,1.0,,,1.0,1.0,,Atlético Bucaramanga,home,,,,
Diego Chávez,diego-chavez,D. Chávez,M,15,180.0,55,1169585,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,875059200,"{'value': 585000, 'currency': 'EUR'}",Diego Chavez,,,15,True,41.0,34.0,5.0,4.0,0.0,,,,,45.0,48.0,7.1,7.0,"{'original': 7.1, 'alternative': None}",,1.0,,4.0,1.0,,,1.0,1.0,,1.0,1.0,,,1.0,,1.0,2.0,,,Atlético Bucaramanga,home,,,,
Frank Castañeda,frank-castaneda,F. Castañeda,M,70,171.0,241,923112,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,774403200,"{'value': 465000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ف. كاستانيدا', 'hi': 'एफ. कास्टेनेडा', 'bn': 'এফ. কাস্টেনেডা'}}",70,True,20.0,19.0,1.0,1.0,0.0,,,,,26.0,29.0,6.8,7.0,"{'original': 6.8, 'alternative': None}",5.0,,,2.0,,,,,,,1.0,2.0,,,,1.0,,1.0,,,Atlético Bucaramanga,home,,,,
Kevin Londoño,kevin-londono,K. Londoño,F,7,180.0,142,1104827,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,754012800,"{'value': 420000, 'currency': 'EUR'}",,,,7,True,11.0,9.0,,,0.0,,,,,15.0,18.0,6.7,7.0,"{'original': 6.7, 'alternative': None}",3.0,,1.0,,1.0,,,,,,,,,,,,,,,,Atlético Bucaramanga,home,,,,
