name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,aerialLost,duelLost,outfielderBlock,totalTackle,wasFouled,totalClearance,interceptionWon,fouls,shotOffTarget,totalContest,keyPass,totalCross,accurateCross,challengeLost,dispossessed,onTargetScoringAttempt,goals,blockedScoringAttempt,wonContest,penaltyWon,totalOffside,captain,team,teamType,penaltyConceded
Darío Denis,dario-denis,D. Denis,G,23,186.0,13,820358,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,692841600.0,"{'value': 105000, 'currency': 'EUR'}",,,,23,False,23.0,15.0,18.0,10.0,0.0,1.0,1.0,1.0,1.0,1.0,90.0,25.0,6.7,8.0,"{'original': 6.7, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,home,
José Ampudia,jose-ampudia,J. Ampudia,D,17,175.0,1,1065364,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,954288000.0,"{'value': 52000, 'currency': 'EUR'}",José Ampudia,,,17,False,14.0,10.0,2.0,,0.0,1.0,4.0,,,,90.0,25.0,6.6,7.0,"{'original': 6.6, 'alternative': None}",2.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,home,
Elian Peralta,elian-peralta,E. Peralta,D,4,,3,1066612,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,981590400.0,,Elian Peralta,,,4,False,15.0,10.0,9.0,4.0,0.0,2.0,2.0,,,,90.0,24.0,6.7,5.0,"{'original': 6.7, 'alternative': None}",,1.0,,,,6.0,2.0,1.0,,,,,,,,,,,,,,,Boyacá Chicó FC,home,
Arlen Banguero,arlen-banguero,A. Banguero,D,26,,3,2035889,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,953856000.0,,Arlen Banguero,,,26,False,25.0,21.0,5.0,3.0,0.0,1.0,2.0,,,,90.0,35.0,6.6,4.0,"{'original': 6.6, 'alternative': None}",1.0,2.0,,1.0,,6.0,1.0,1.0,1.0,,,,,,,,,,,,,,Boyacá Chicó FC,home,
Yael López,yael-lopez,Y. López,D,22,178.0,33,971249,"{'alpha2': 'CR', 'alpha3': 'CRI', 'name': 'Costa Rica', 'slug': 'costa-rica'}",EUR,913852800.0,"{'value': 205000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ي. لوبيز', 'hi': 'वाए. लोपेज़', 'bn': 'ওয়াই. লোপেজ'}}",22,False,9.0,6.0,2.0,1.0,0.0,1.0,4.0,,,,45.0,21.0,6.5,6.0,"{'original': 6.5, 'alternative': None}",,4.0,,3.0,,2.0,,2.0,,2.0,,,,,,,,,,,,,Boyacá Chicó FC,home,
Frank Lozano,frank-lozano,F. Lozano,M,19,175.0,19,1015686,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745977600.0,"{'value': 340000, 'currency': 'EUR'}",,,,19,False,20.0,14.0,8.0,4.0,0.0,1.0,2.0,,,,90.0,31.0,6.8,9.0,"{'original': 6.8, 'alternative': None}",,1.0,,1.0,,4.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,True,Boyacá Chicó FC,home,
Estefáno Arango,estefano-arango,E. Arango,M,24,170.0,35,819034,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,758851200.0,"{'value': 195000, 'currency': 'EUR'}",,,,24,False,26.0,20.0,3.0,1.0,0.0,,1.0,,,,90.0,51.0,7.4,21.0,"{'original': 7.4, 'alternative': None}",,7.0,,1.0,,,3.0,3.0,2.0,2.0,2.0,10.0,2.0,1.0,1.0,1.0,1.0,,,,,,Boyacá Chicó FC,home,
Kevin Londoño,kevin-londono,K. Londoño,M,27,180.0,14,1100037,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963100800.0,"{'value': 440000, 'currency': 'EUR'}",Kevin Londoño,,,30,False,17.0,16.0,1.0,1.0,0.0,,,,,,67.0,26.0,7.0,4.0,"{'original': 7, 'alternative': None}",,,,,,2.0,2.0,,,,1.0,2.0,,,,1.0,,,,,,,Boyacá Chicó FC,home,
Edgard Camargo,edgard-camargo,E. Camargo,M,28,181.0,29,1108692,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1010102400.0,"{'value': 140000, 'currency': 'EUR'}",Edgard Camargo,,,28,False,18.0,17.0,1.0,,0.0,,2.0,,,,67.0,24.0,6.8,2.0,"{'original': 6.8, 'alternative': None}",,2.0,1.0,2.0,,,,2.0,,,,,,,,,,1.0,,,,,Boyacá Chicó FC,home,
Delio Ramírez,delio-ramirez,D. Ramírez,M,10,160.0,11,1015661,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,975110400.0,"{'value': 53000, 'currency': 'EUR'}",,,,10,False,15.0,11.0,,,1.0,,4.0,,,,89.0,30.0,6.8,12.0,"{'original': 6.8, 'alternative': None}",2.0,7.0,,,2.0,1.0,,1.0,1.0,4.0,1.0,3.0,,2.0,,,,,2.0,,,,Boyacá Chicó FC,home,
