name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,errorLeadToAGoal,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,duelLost,duelWon,totalClearance,interceptionWon,totalTackle,fouls,aerialWon,shotOffTarget,wasFouled,outfielderBlock,accurateCross,challengeLost,totalContest,wonContest,blockedScoringAttempt,totalOffside,keyPass,dispossessed,onTargetScoringAttempt,goals,captain,team,teamType,punches,penaltyConceded
Cristopher Fiermarín,,,cristopher-fiermarin,C. Fiermarín,G,22,189.0,105,881111,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,883612800,"{'value': 1400000, 'currency': 'EUR'}",,22,False,27.0,14.0,18.0,5.0,0.0,1.0,1.0,5.0,90.0,35.0,6.5,13.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,home,,
Yhorman Hurtado,,,hurtado-yhorman,Y. Hurtado,D,26,170.0,31,1100500,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,850521600,"{'value': 535000, 'currency': 'EUR'}",,26,False,17.0,15.0,,,0.0,,,,45.0,27.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,Deportes Tolima,home,,
Julián Quiñones,,,julian-quinones,J. Quiñones,D,3,198.0,32,125910,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,626227200,"{'value': 160000, 'currency': 'EUR'}",,3,False,31.0,24.0,9.0,6.0,0.0,,,,90.0,47.0,7.0,8.0,"{'original': 7, 'alternative': None}",,2.0,3.0,4.0,10.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,True,Deportes Tolima,home,,
Anderson Angulo,,,anderson-angulo,A. Angulo,D,2,187.0,24,925127,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,828316800,"{'value': 570000, 'currency': 'EUR'}",,2,False,40.0,36.0,9.0,7.0,0.0,,,,90.0,47.0,7.0,4.0,"{'original': 7, 'alternative': None}",,,1.0,2.0,5.0,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,Deportes Tolima,home,,
Samuel Velásquez,Samuel Velásquez,,samuel-velasquez,S. Velásquez,D,33,174.0,130,1185987,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1054166400,"{'value': 770000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ص. فيلاسكيز', 'hi': 'एस. वेलास्केज़', 'bn': 'এস. ভেলাস্কেজ'}}",33,False,34.0,27.0,4.0,,1.0,,,,90.0,56.0,6.7,13.0,"{'original': 6.7, 'alternative': None}",5.0,,4.0,2.0,2.0,1.0,,1.0,1.0,1.0,,,2.0,2.0,2.0,1.0,1.0,1.0,2.0,,,,,Deportes Tolima,home,,
Luis Miranda,,,luis-miranda,L. Miranda,F,28,180.0,33,891115,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,872640000,"{'value': 290000, 'currency': 'EUR'}",,28,False,27.0,24.0,1.0,,0.0,,,,90.0,44.0,7.2,11.0,"{'original': 7.2, 'alternative': None}",3.0,3.0,8.0,5.0,1.0,1.0,3.0,,1.0,,,,,,3.0,1.0,,,,3.0,1.0,1.0,,Deportes Tolima,home,,
Brayan Rovira,,,brayan-rovira,B. Rovira,M,80,177.0,90,818941,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,849484800,"{'value': 640000, 'currency': 'EUR'}",,80,False,46.0,42.0,4.0,2.0,1.0,,,,90.0,59.0,7.6,7.0,"{'original': 7.6, 'alternative': None}",5.0,1.0,1.0,2.0,,1.0,2.0,,,,,,4.0,,,,,,2.0,,,,,Deportes Tolima,home,,
Juan Pablo Nieto,,,juan-pablo-nieto,J. P. Nieto,M,15,178.0,40,338861,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,730598400,"{'value': 470000, 'currency': 'EUR'}",,15,False,27.0,23.0,4.0,2.0,0.0,,,,78.0,38.0,6.6,7.0,"{'original': 6.6, 'alternative': None}",1.0,,4.0,2.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,2.0,1.0,,,,,1.0,,,,Deportes Tolima,home,,
Kevin Pérez,,,kevin-perez,K. Pérez,M,18,170.0,39,991859,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869184000,"{'value': 605000, 'currency': 'EUR'}",,18,False,35.0,30.0,1.0,1.0,0.0,,,,78.0,49.0,7.0,9.0,"{'original': 7, 'alternative': None}",,1.0,4.0,4.0,3.0,,,,,1.0,2.0,,,1.0,2.0,2.0,1.0,,,2.0,,,,Deportes Tolima,home,,
Gustavo Ramírez,,,gustavo-ramirez,G. Ramírez,F,27,181.0,86,827792,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,642556800,"{'value': 145000, 'currency': 'EUR'}",,27,False,9.0,8.0,,,0.0,,,,67.0,20.0,6.6,4.0,"{'original': 6.6, 'alternative': None}",2.0,,2.0,1.0,3.0,1.0,,,,,1.0,1.0,1.0,,1.0,,,1.0,,1.0,,,,Deportes Tolima,home,,
