name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,totalClearance,wasFouled,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,duelLost,challengeLost,totalTackle,fouls,keyPass,aerialLost,shotOffTarget,outfielderBlock,interceptionWon,dispossessed,totalContest,onTargetScoringAttempt,goals,blockedScoringAttempt,captain,team,teamType,wonContest
Johan Wallens,johan-wallens,J. Wallens,G,1,188.0,10,72857,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,712800000.0,"{'value': 97000, 'currency': 'EUR'}",,,,1,False,12.0,9.0,6.0,3.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,5.0,1.0,90.0,26.0,8.0,3.0,"{'original': 8, 'alternative': None}",,,,,,,,,,,,,,,,,,Alianza Valledupar FC,home,
Efraín Navarro,efrain-navarro,E. Navarro,D,2,177.0,12,925250,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,934416000.0,"{'value': 365000, 'currency': 'EUR'}",,,,2,False,55.0,48.0,4.0,1.0,1.0,,2.0,1.0,,,,,,90.0,72.0,7.3,14.0,"{'original': 7.3, 'alternative': None}",8.0,2.0,3.0,1.0,2.0,2.0,2.0,,,,,,,,,,,Alianza Valledupar FC,home,
John García,john-garcia,J. García,D,6,186.0,17,819028,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,612921600.0,"{'value': 93000, 'currency': 'EUR'}",,,,18,False,45.0,42.0,7.0,6.0,0.0,2.0,5.0,5.0,2.0,,,,,90.0,58.0,7.9,3.0,"{'original': 7.9, 'alternative': None}",,,1.0,,1.0,,1.0,1.0,1.0,3.0,1.0,,,,,,,Alianza Valledupar FC,home,
Pedro Franco,pedro-franco,P. Franco,D,23,183.0,51,158581,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,672364800.0,"{'value': 270000, 'currency': 'EUR'}",,,,5,False,59.0,54.0,11.0,9.0,0.0,2.0,2.0,3.0,,,,,,90.0,67.0,7.3,6.0,"{'original': 7.3, 'alternative': None}",,,4.0,,,2.0,,1.0,,1.0,,1.0,,,,,True,Alianza Valledupar FC,home,
Leonardo Saldaña,leonardo-saldana,L. Saldaña,D,16,170.0,16,819197,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,629078400.0,"{'value': 225000, 'currency': 'EUR'}",,,,16,False,35.0,28.0,2.0,,0.0,2.0,8.0,4.0,3.0,,,,,90.0,65.0,7.9,15.0,"{'original': 7.9, 'alternative': None}",9.0,3.0,1.0,,3.0,,3.0,,,,,,1.0,,,,,Alianza Valledupar FC,home,
Jair Castillo,jair-castillo,J. Castillo,M,7,175.0,10,1014497,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,861580800.0,"{'value': 360000, 'currency': 'EUR'}",,,,7,False,54.0,47.0,8.0,5.0,0.0,,,4.0,,,,,,90.0,66.0,6.7,12.0,"{'original': 6.7, 'alternative': None}",2.0,,5.0,1.0,,2.0,1.0,,,1.0,1.0,1.0,1.0,,,,,Alianza Valledupar FC,home,
Diego Mendoza,diego-mendoza,D. Mendoza,M,23,177.0,15,1174860,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1002672000.0,"{'value': 325000, 'currency': 'EUR'}",Diego Mendoza,,,23,False,36.0,30.0,1.0,1.0,0.0,1.0,1.0,,,,,,,55.0,38.0,6.4,7.0,"{'original': 6.4, 'alternative': None}",,,3.0,1.0,,1.0,,,,,,,1.0,,,,,Alianza Valledupar FC,home,
Mayer Gil,gil-mayer,M. Gil,M,14,175.0,83,1093944,"{'alpha2': 'SV', 'alpha3': 'SLV', 'name': 'El Salvador', 'slug': 'el-salvador'}",EUR,1062892800.0,"{'value': 430000, 'currency': 'EUR'}",Mayer Gil,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. ماير', 'hi': 'एम. गिल', 'bn': 'এম. গিল'}}",99,False,13.0,13.0,,,0.0,,,,,,,,,62.0,15.0,7.2,1.0,"{'original': 7.2, 'alternative': None}",1.0,,1.0,,,1.0,,,,,,,,1.0,1.0,,,Alianza Valledupar FC,home,
Wiston Fernández,wiston-fernandez,W. Fernández,M,33,182.0,27,931581,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,883872000.0,"{'value': 365000, 'currency': 'EUR'}",,,,33,False,26.0,20.0,3.0,1.0,0.0,2.0,3.0,,,,,,,55.0,34.0,6.9,10.0,"{'original': 6.9, 'alternative': None}",3.0,1.0,2.0,,1.0,1.0,2.0,,1.0,,,1.0,1.0,,,,,Alianza Valledupar FC,home,
Felipe Pardo,felipe-pardo,F. Pardo,F,11,178.0,155,107603,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,650851200.0,"{'value': 210000, 'currency': 'EUR'}",,,,17,False,32.0,25.0,2.0,1.0,0.0,,1.0,1.0,,,,,,81.0,47.0,7.1,12.0,"{'original': 7.1, 'alternative': None}",5.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,3.0,,1.0,1.0,1.0,1.0,,,,Alianza Valledupar FC,home,
