name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalClearance,wasFouled,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialWon,duelLost,dispossessed,totalContest,shotOffTarget,interceptionWon,totalTackle,aerialLost,challengeLost,outfielderBlock,fouls,keyPass,hitWoodwork,onTargetScoringAttempt,blockedScoringAttempt,goals,totalOffside,wonContest,captain,team,teamType,fieldTranslations,bigChanceCreated,accurateCross
Juan Camilo Chaverra,,,juan-camilo-chaverra,J. C. Chaverra,G,12,185.0,17,870005,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,724118400,"{'value': 190000, 'currency': 'EUR'}",12,False,15.0,6.0,12.0,3.0,0.0,1.0,1.0,1.0,1.0,3.0,90.0,24.0,6.7,9.0,"{'original': 6.7, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,Alianza Valledupar FC,home,,,
Yilson Rosales,,,yilson-rosales,Y. Rosales,D,3,183.0,7,941638,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,976320000,"{'value': 260000, 'currency': 'EUR'}",60,False,44.0,23.0,8.0,2.0,0.0,6.0,1.0,,,,90.0,71.0,6.5,35.0,"{'original': 6.5, 'alternative': None}",2.0,4.0,3.0,2.0,1.0,2.0,2.0,2.0,,,,,,,,,,,,,Alianza Valledupar FC,home,,,
John García,,,john-garcia,J. García,D,6,186.0,17,819028,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,612921600,"{'value': 93000, 'currency': 'EUR'}",18,False,15.0,10.0,4.0,1.0,0.0,2.0,2.0,,,,90.0,21.0,6.5,5.0,"{'original': 6.5, 'alternative': None}",,2.0,3.0,,,,1.0,,2.0,1.0,1.0,,,,,,,,,,Alianza Valledupar FC,home,,,
Pedro Franco,,,pedro-franco,P. Franco,D,23,183.0,51,158581,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,672364800,"{'value': 270000, 'currency': 'EUR'}",5,False,37.0,28.0,12.0,7.0,0.0,6.0,6.0,1.0,,,90.0,50.0,7.1,10.0,"{'original': 7.1, 'alternative': None}",,3.0,2.0,,,,,2.0,1.0,,1.0,1.0,,,,,,,,True,Alianza Valledupar FC,home,,,
Kalazan Suárez,Kalazan Suárez,,kalazan-suarez,K. Suárez,D,22,175.0,20,1179173,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1015286400,"{'value': 245000, 'currency': 'EUR'}",22,False,20.0,14.0,5.0,2.0,0.0,3.0,1.0,,,,90.0,37.0,6.7,14.0,"{'original': 6.7, 'alternative': None}",3.0,1.0,4.0,,2.0,,2.0,2.0,2.0,,,,1.0,,,,,,,,Alianza Valledupar FC,home,,,
Diego Mendoza,Diego Mendoza,,diego-mendoza,D. Mendoza,M,23,177.0,15,1174860,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1002672000,"{'value': 325000, 'currency': 'EUR'}",23,False,26.0,14.0,4.0,1.0,0.0,2.0,2.0,1.0,,,71.0,38.0,6.7,14.0,"{'original': 6.7, 'alternative': None}",1.0,,3.0,,,,2.0,1.0,,,1.0,3.0,,,,,,,,,Alianza Valledupar FC,home,,,
Luis Pérez,Luis Pérez,,luis-perez,L. Pérez,M,19,176.0,12,1098312,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,833241600,"{'value': 340000, 'currency': 'EUR'}",19,False,42.0,33.0,4.0,1.0,0.0,1.0,6.0,,,,90.0,62.0,7.4,12.0,"{'original': 7.4, 'alternative': None}",1.0,1.0,2.0,,,,3.0,,1.0,,,1.0,1.0,1.0,,,,,,,Alianza Valledupar FC,home,,,
Edwin Torres,,,edwin-torres,E. Torres,M,22,183.0,43,855966,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,879033600,"{'value': 580000, 'currency': 'EUR'}",29,False,16.0,11.0,2.0,1.0,0.0,2.0,,,,,90.0,27.0,6.9,13.0,"{'original': 6.9, 'alternative': None}",3.0,1.0,10.0,,1.0,,,1.0,4.0,1.0,1.0,4.0,,,1.0,1.0,1.0,1.0,,,Alianza Valledupar FC,home,,,
Wiston Fernández,,,wiston-fernandez,W. Fernández,M,33,182.0,27,931581,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,883872000,"{'value': 365000, 'currency': 'EUR'}",33,False,14.0,11.0,,,0.0,1.0,1.0,,,,71.0,24.0,6.4,12.0,"{'original': 6.4, 'alternative': None}",2.0,1.0,4.0,1.0,,,,,1.0,,,2.0,,,,,,,,,Alianza Valledupar FC,home,,,
Jesús Muñoz,Jesús Muñoz,,jesus-munoz,J. Muñoz,M,24,,21,1189991,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1011312000,"{'value': 375000, 'currency': 'EUR'}",24,False,12.0,7.0,,,0.0,6.0,1.0,3.0,,,87.0,24.0,6.5,11.0,"{'original': 6.5, 'alternative': None}",,2.0,6.0,2.0,3.0,1.0,,,1.0,1.0,,,,,,,,,1.0,,Alianza Valledupar FC,home,,,
