name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,totalClearance,goodHighClaim,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,duelLost,shotOffTarget,onTargetScoringAttempt,goals,totalTackle,fouls,aerialLost,challengeLost,wasFouled,totalCross,accurateCross,totalContest,wonContest,bigChanceCreated,interceptionWon,keyPass,dispossessed,blockedScoringAttempt,totalOffside,captain,team,teamType,totalKeeperSweeper,accurateKeeperSweeper,errorLeadToAGoal,outfielderBlock,ownGoals
Juan Camilo Chaverra,,,juan-camilo-chaverra,J. C. Chaverra,G,12,185.0,17,870005,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,724118400.0,"{'value': 190000, 'currency': 'EUR'}",,12,False,25.0,16.0,13.0,5.0,0.0,2.0,3.0,1.0,3.0,1.0,90.0,35.0,6.9,9.0,"{'original': 6.9, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,Alianza Valledupar FC,home,,,,,
Royscer Colpa,,,royscer-colpa,R. Colpa,M,8,181.0,8,927547,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,801187200.0,"{'value': 225000, 'currency': 'EUR'}",,8,False,44.0,34.0,5.0,1.0,0.0,1.0,3.0,3.0,,,90.0,52.0,7.3,11.0,"{'original': 7.3, 'alternative': None}",3.0,1.0,1.0,1.0,2.0,3.0,,,,,,,,,,,,,,,Alianza Valledupar FC,home,,,,,
Pedro Franco,,,pedro-franco,P. Franco,D,23,183.0,51,158581,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,672364800.0,"{'value': 270000, 'currency': 'EUR'}",,5,False,56.0,48.0,13.0,6.0,0.0,1.0,3.0,3.0,,,90.0,61.0,6.6,8.0,"{'original': 6.6, 'alternative': None}",2.0,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,True,Alianza Valledupar FC,home,,,,,
John García,,,john-garcia,J. García,D,6,186.0,17,819028,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,612921600.0,"{'value': 93000, 'currency': 'EUR'}",,18,False,29.0,26.0,4.0,2.0,0.0,,,2.0,,,80.0,32.0,6.4,4.0,"{'original': 6.4, 'alternative': None}",2.0,,,,,,2.0,,,,,,,,,,,,,,Alianza Valledupar FC,home,,,,,
Kalazan Suárez,Kalazan Suárez,,kalazan-suarez,K. Suárez,D,22,175.0,20,1179173,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1015286400.0,"{'value': 245000, 'currency': 'EUR'}",,22,False,35.0,28.0,5.0,1.0,1.0,,5.0,,,,90.0,52.0,7.4,12.0,"{'original': 7.4, 'alternative': None}",2.0,,,,3.0,,1.0,,,5.0,2.0,3.0,2.0,1.0,1.0,2.0,,,,,Alianza Valledupar FC,home,,,,,
Wiston Fernández,,,wiston-fernandez,W. Fernández,M,33,182.0,27,931581,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,883872000.0,"{'value': 365000, 'currency': 'EUR'}",,33,False,35.0,29.0,2.0,,1.0,,3.0,2.0,,,89.0,46.0,7.3,9.0,"{'original': 7.3, 'alternative': None}",5.0,,,,,3.0,1.0,,3.0,1.0,1.0,,,1.0,,4.0,1.0,1.0,,,Alianza Valledupar FC,home,,,,,
Yilson Rosales,,,yilson-rosales,Y. Rosales,D,3,183.0,7,941638,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,976320000.0,"{'value': 260000, 'currency': 'EUR'}",,60,False,27.0,22.0,4.0,2.0,0.0,,5.0,,,,90.0,43.0,7.1,8.0,"{'original': 7.1, 'alternative': None}",1.0,1.0,,,2.0,,,,2.0,,,1.0,1.0,,1.0,,1.0,,,,Alianza Valledupar FC,home,,,,,
Luis Pérez,Luis Pérez,,luis-perez,L. Pérez,M,19,176.0,11,1098312,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,833241600.0,"{'value': 340000, 'currency': 'EUR'}",,19,False,41.0,37.0,6.0,5.0,0.0,,3.0,1.0,,,90.0,47.0,6.9,5.0,"{'original': 6.9, 'alternative': None}",3.0,,,,2.0,1.0,1.0,2.0,1.0,,,,,,,,,1.0,,,Alianza Valledupar FC,home,,,,,
Edwin Torres,,,edwin-torres,E. Torres,M,22,183.0,43,855966,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,879033600.0,"{'value': 580000, 'currency': 'EUR'}",,29,False,14.0,14.0,,,2.0,,1.0,,,,79.0,30.0,8.4,9.0,"{'original': 8.4, 'alternative': None}",3.0,1.0,,,,3.0,,,1.0,7.0,1.0,,,1.0,,3.0,1.0,,1.0,,Alianza Valledupar FC,home,,,,,
Cristian Andres Vergara Rivas,Cristian Vergara,,cristian-vergara,C. Vergara,F,15,184.0,18,1478278,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,945043200.0,"{'value': 160000, 'currency': 'EUR'}",,15,False,15.0,11.0,1.0,,0.0,2.0,4.0,1.0,,,80.0,26.0,7.2,9.0,"{'original': 7.2, 'alternative': None}",6.0,1.0,1.0,1.0,1.0,1.0,2.0,,1.0,,,,,,,,3.0,,1.0,,Alianza Valledupar FC,home,,,,,
