name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,duelLost,duelWon,totalContest,wonContest,onTargetScoringAttempt,totalOffside,keyPass,aerialWon,blockedScoringAttempt,interceptionWon,totalTackle,fouls,wasFouled,penaltyWon,dispossessed,bigChanceCreated,shotOffTarget,bigChanceMissed,challengeLost,goals,penaltyMiss,captain,team,teamType,savedShotsFromInsideTheBox,penaltySave,outfielderBlock,penaltyConceded
Álvaro Montero,alvaro-montero,Á. Montero,G,31,195.0,590,926238,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,796435200,"{'value': 1600000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. مونتيرو', 'hi': 'ए. मोंटेरो', 'bn': 'এ. মন্টেরো'}}",,,31,False,13.0,11.0,5.0,3.0,0.0,2.0,1.0,1.0,90.0,19.0,7.0,2.0,"{'original': 7, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,True,Millonarios,home,,,,
Sander Navarro,navarro-sander,S. Navarro,D,34,,72,1512475,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1058832000,"{'value': 370000, 'currency': 'EUR'}",,,,34,False,15.0,14.0,1.0,1.0,0.0,1.0,,,60.0,28.0,6.9,8.0,"{'original': 6.9, 'alternative': None}",4.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,Millonarios,home,,,,
Andrés Llinás,andres-llinas,A. Llinás,D,26,188.0,286,982821,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,859248000,"{'value': 1200000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. ليناس', 'hi': 'ए. लिनास', 'bn': 'এ. লিনাস'}}",,,26,False,58.0,51.0,6.0,3.0,0.0,2.0,,,90.0,65.0,7.6,7.0,"{'original': 7.6, 'alternative': None}",,,,1.0,6.0,,,,,2.0,5.0,1.0,2.0,1.0,1.0,,,,,,,,,,,Millonarios,home,,,,
Jorge Arias,jorge-arias,J. Arias,D,17,184.0,98,355842,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,721612800,"{'value': 370000, 'currency': 'EUR'}",,,,17,False,52.0,45.0,8.0,6.0,0.0,1.0,,,90.0,56.0,7.9,8.0,"{'original': 7.9, 'alternative': None}",,,2.0,2.0,5.0,,,,,3.0,3.0,,,1.0,,1.0,1.0,,,,,,,,,Millonarios,home,,,,
Danovis Banguero,danovis-banguero,D. Banguero,D,20,185.0,94,34090,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,625449600,"{'value': 320000, 'currency': 'EUR'}",,,,20,False,83.0,70.0,3.0,1.0,0.0,1.0,,,90.0,103.0,8.1,17.0,"{'original': 8.1, 'alternative': None}",1.0,,1.0,4.0,6.0,,,,,4.0,2.0,,,4.0,2.0,,,1.0,1.0,2.0,,,,,,Millonarios,home,,,,
Néyser Villarreal,neyser-villareal,N. Villarreal,F,88,186.0,1053,1539599,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1114300800,"{'value': 1200000, 'currency': 'EUR'}",,Néyser Villarreal,,88,False,22.0,18.0,2.0,1.0,1.0,,,,90.0,33.0,7.8,8.0,"{'original': 7.8, 'alternative': None}",,,1.0,2.0,1.0,,,1.0,,3.0,,1.0,,,,1.0,1.0,1.0,1.0,2.0,1.0,,,,,Millonarios,home,,,,
Nicolas Arevalo,arevalo-nicolas,N. Arévalo,M,5,176.0,99,1466638,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1047513600,"{'value': 340000, 'currency': 'EUR'}",,,,5,False,55.0,51.0,1.0,1.0,0.0,1.0,,,80.0,68.0,7.6,9.0,"{'original': 7.6, 'alternative': None}",3.0,,,2.0,5.0,1.0,,,,1.0,1.0,,1.0,4.0,1.0,,,,,1.0,,,,,,Millonarios,home,,,,
Dewar Victoria,dewar-victoria,D. Victoria,M,8,176.0,50,1164480,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,984960000,"{'value': 290000, 'currency': 'EUR'}",,Dewar Victoria,,8,False,65.0,59.0,5.0,4.0,0.0,,,,90.0,76.0,7.5,8.0,"{'original': 7.5, 'alternative': None}",,,1.0,4.0,6.0,,,,,1.0,1.0,2.0,1.0,4.0,2.0,1.0,,1.0,,,,,,,,Millonarios,home,,,,
Kevin Palacios,kevin-palacios,K. Palacios,M,77,173.0,96,1131653,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,949276800,"{'value': 375000, 'currency': 'EUR'}",,Kevin Palacios,,77,False,41.0,35.0,1.0,,0.0,,,,81.0,61.0,6.9,15.0,"{'original': 6.9, 'alternative': None}",1.0,,,7.0,5.0,7.0,3.0,,,1.0,,,3.0,1.0,2.0,1.0,,,,1.0,,1.0,,,,Millonarios,home,,,,
Luis Marimón,luis-marimon,L. Marimón,F,43,,116,1835656,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1079568000,,,Luis Marimón,,43,False,18.0,17.0,1.0,,0.0,1.0,,,90.0,30.0,7.6,3.0,"{'original': 7.6, 'alternative': None}",1.0,1.0,,3.0,2.0,1.0,,1.0,1.0,1.0,,,1.0,2.0,1.0,,,1.0,,2.0,,,1.0,,,Millonarios,home,,,,
Leonardo Castro,leonardo-castro,L. Castro,F,23,174.0,1091,827806,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,708480000,"{'value': 975000, 'currency': 'EUR'}",,,,23,False,6.0,4.0,,,0.0,1.0,,,43.0,10.0,6.5,2.0,"{'original': 6.5, 'alternative': None}",,,,,,,,2.0,,,,1.0,,,,,,,,,1.0,,1.0,1.0,,Millonarios,home,,,,
Daniel Ruiz,daniel-ruiz,D. Ruiz,M,18,171.0,1027,1098305,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,996451200,"{'value': 1300000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. رويز', 'hi': 'डी. रुइज़', 'bn': 'ডি. রুইজ'}}",Daniel Ruiz,,18,True,36.0,33.0,5.0,4.0,0.0,,,,47.0,51.0,7.5,8.0,"{'original': 7.5, 'alternative': None}",3.0,1.0,1.0,2.0,,1.0,,2.0,,2.0,,2.0,,,,,,,,2.0,,,,,,Millonarios,home,,,,
