name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,totalContest,outfielderBlock,totalTackle,fouls,keyPass,blockedScoringAttempt,wasFouled,challengeLost,onTargetScoringAttempt,wonContest,interceptionWon,shotOffTarget,dispossessed,totalOffside,captain,team,teamType,goodHighClaim
Johan Wallens,johan-wallens,J. Wallens,G,1,188.0,10,72857,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,712800000.0,"{'value': 97000, 'currency': 'EUR'}",,,,1,False,10.0,7.0,6.0,3.0,0.0,2.0,1.0,1.0,90.0,16.0,6.9,3.0,"{'original': 6.9, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,Alianza Valledupar FC,home,
Yilson Rosales,yilson-rosales,Y. Rosales,D,3,183.0,7,941638,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,976320000.0,"{'value': 260000, 'currency': 'EUR'}",,,,60,False,41.0,34.0,5.0,3.0,0.0,4.0,,,90.0,62.0,7.5,15.0,"{'original': 7.5, 'alternative': None}",4.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,Alianza Valledupar FC,home,
John García,john-garcia,J. García,D,6,186.0,17,819028,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,612921600.0,"{'value': 93000, 'currency': 'EUR'}",,,,18,False,29.0,27.0,4.0,3.0,0.0,2.0,,,90.0,33.0,6.8,2.0,"{'original': 6.8, 'alternative': None}",,,1.0,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,Alianza Valledupar FC,home,
Pedro Franco,pedro-franco,P. Franco,D,23,183.0,51,158581,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,672364800.0,"{'value': 270000, 'currency': 'EUR'}",,,,5,False,43.0,35.0,7.0,4.0,0.0,7.0,,,90.0,55.0,7.4,9.0,"{'original': 7.4, 'alternative': None}",,,1.0,,2.0,,,1.0,,,1.0,,,1.0,1.0,,,,,,True,Alianza Valledupar FC,home,
Kalazan Suárez,kalazan-suarez,K. Suárez,D,22,175.0,20,1179173,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1015286400.0,"{'value': 245000, 'currency': 'EUR'}",Kalazan Suárez,,,22,False,35.0,26.0,5.0,2.0,0.0,1.0,,,90.0,47.0,7.1,12.0,"{'original': 7.1, 'alternative': None}",3.0,,,1.0,3.0,4.0,1.0,1.0,,3.0,,,2.0,,,1.0,1.0,,,,,Alianza Valledupar FC,home,
Jair Castillo,jair-castillo,J. Castillo,M,7,175.0,10,1014497,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,861580800.0,"{'value': 360000, 'currency': 'EUR'}",,,,7,False,42.0,39.0,3.0,1.0,0.0,1.0,,,82.0,52.0,7.1,5.0,"{'original': 7.1, 'alternative': None}",,,1.0,,3.0,2.0,,,2.0,2.0,,,,,1.0,,2.0,1.0,,,,Alianza Valledupar FC,home,
Ruben Manjarres,ruben-manjarres,R. Manjarres,M,8,184.0,22,1098315,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,950832000.0,"{'value': 315000, 'currency': 'EUR'}",Ruben Manjarres,,,21,False,45.0,33.0,4.0,2.0,0.0,,,,90.0,62.0,7.4,15.0,"{'original': 7.4, 'alternative': None}",1.0,,,1.0,4.0,8.0,3.0,,2.0,2.0,1.0,1.0,3.0,1.0,,2.0,1.0,2.0,,,,Alianza Valledupar FC,home,
Sergio Aponzá,sergio-aponza,S. Aponzá,M,77,178.0,56,1938902,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1122508800.0,,,,,11,False,17.0,14.0,1.0,,0.0,1.0,,,68.0,34.0,6.5,14.0,"{'original': 6.5, 'alternative': None}",3.0,1.0,1.0,,9.0,3.0,3.0,,2.0,1.0,1.0,,1.0,2.0,,,,1.0,2.0,,,Alianza Valledupar FC,home,
Wiston Fernández,wiston-fernandez,W. Fernández,M,33,182.0,27,931581,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,883872000.0,"{'value': 365000, 'currency': 'EUR'}",,,,33,False,22.0,16.0,1.0,1.0,0.0,1.0,,,83.0,36.0,7.1,12.0,"{'original': 7.1, 'alternative': None}",3.0,,,1.0,3.0,4.0,,,1.0,3.0,1.0,1.0,2.0,,,,1.0,1.0,,,,Alianza Valledupar FC,home,
Mayer Gil,gil-mayer,M. Gil,M,14,175.0,83,1093944,"{'alpha2': 'SV', 'alpha3': 'SLV', 'name': 'El Salvador', 'slug': 'el-salvador'}",EUR,1062892800.0,"{'value': 430000, 'currency': 'EUR'}",Mayer Gil,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. ماير', 'hi': 'एम. गिल', 'bn': 'এম. গিল'}}",99,False,15.0,12.0,2.0,1.0,0.0,,,,57.0,24.0,6.9,7.0,"{'original': 6.9, 'alternative': None}",,,1.0,2.0,4.0,4.0,3.0,,1.0,,1.0,,,,,1.0,,3.0,1.0,,,Alianza Valledupar FC,home,
