name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,aerialWon,duelLost,duelWon,challengeLost,dispossessed,totalContest,wonContest,onTargetScoringAttempt,blockedScoringAttempt,interceptionWon,totalTackle,fouls,keyPass,aerialLost,bigChanceCreated,shotOffTarget,wasFouled,outfielderBlock,totalCross,accurateCross,goals,captain,team,teamType,savedShotsFromInsideTheBox,totalOffside
Juan Camilo Chaverra,,,juan-camilo-chaverra,J. C. Chaverra,G,12,185.0,17,870005,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,724118400,"{'value': 190000, 'currency': 'EUR'}",12,False,28.0,26.0,7.0,5.0,0.0,1.0,3.0,1.0,90.0,36.0,7.3,2.0,"{'original': 7.3, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,Alianza Valledupar FC,home,,
Yilson Rosales,,,yilson-rosales,Y. Rosales,D,3,183.0,7,941638,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,976320000,"{'value': 260000, 'currency': 'EUR'}",60,False,53.0,44.0,5.0,2.0,0.0,1.0,,,90.0,76.0,7.5,14.0,"{'original': 7.5, 'alternative': None}",2.0,4.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,Alianza Valledupar FC,home,,
John García,,,john-garcia,J. García,D,6,186.0,17,819028,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,612921600,"{'value': 93000, 'currency': 'EUR'}",18,False,51.0,47.0,6.0,4.0,1.0,5.0,,,90.0,67.0,8.4,5.0,"{'original': 8.4, 'alternative': None}",6.0,3.0,7.0,,1.0,,,3.0,2.0,1.0,,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,Alianza Valledupar FC,home,,
Pedro Franco,,,pedro-franco,P. Franco,D,23,183.0,51,158581,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,672364800,"{'value': 270000, 'currency': 'EUR'}",5,False,63.0,57.0,10.0,6.0,0.0,4.0,,,90.0,74.0,7.7,6.0,"{'original': 7.7, 'alternative': None}",2.0,1.0,6.0,,,1.0,1.0,,,1.0,3.0,1.0,1.0,1.0,,1.0,,1.0,,,,True,Alianza Valledupar FC,home,,
Leonardo Saldaña,,,leonardo-saldana,L. Saldaña,D,16,170.0,16,819197,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,629078400,"{'value': 225000, 'currency': 'EUR'}",16,False,39.0,25.0,9.0,4.0,0.0,1.0,,,90.0,59.0,7.2,18.0,"{'original': 7.2, 'alternative': None}",2.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,2.0,,,1.0,,2.0,,,,Alianza Valledupar FC,home,,
Luis Pérez,Luis Pérez,,luis-perez,L. Pérez,M,19,176.0,11,1098312,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,833241600,"{'value': 340000, 'currency': 'EUR'}",19,False,45.0,37.0,2.0,1.0,0.0,,,,74.0,55.0,7.7,10.0,"{'original': 7.7, 'alternative': None}",2.0,3.0,7.0,,1.0,1.0,1.0,,,2.0,4.0,,3.0,2.0,,1.0,,,,,,,Alianza Valledupar FC,home,,
Diego Mendoza,Diego Mendoza,,diego-mendoza,D. Mendoza,M,23,177.0,15,1174860,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1002672000,"{'value': 325000, 'currency': 'EUR'}",23,False,59.0,52.0,5.0,3.0,0.0,1.0,,,90.0,75.0,6.6,13.0,"{'original': 6.6, 'alternative': None}",,11.0,5.0,2.0,2.0,5.0,1.0,,,3.0,3.0,2.0,1.0,1.0,,,1.0,,1.0,1.0,,,Alianza Valledupar FC,home,,
Edwin Torres,,,edwin-torres,E. Torres,M,22,183.0,43,855966,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,879033600,"{'value': 580000, 'currency': 'EUR'}",29,False,6.0,3.0,1.0,1.0,0.0,,,,62.0,24.0,7.0,13.0,"{'original': 7, 'alternative': None}",,4.0,2.0,,1.0,2.0,1.0,,,,,1.0,2.0,1.0,,1.0,1.0,2.0,7.0,1.0,,,Alianza Valledupar FC,home,,
Wiston Fernández,,,wiston-fernandez,W. Fernández,M,33,182.0,27,931581,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,883872000,"{'value': 365000, 'currency': 'EUR'}",33,False,36.0,29.0,5.0,3.0,0.0,,,,81.0,55.0,7.7,14.0,"{'original': 7.7, 'alternative': None}",,2.0,2.0,,1.0,1.0,,,1.0,3.0,1.0,,6.0,,,2.0,1.0,,7.0,4.0,,,Alianza Valledupar FC,home,,
Jesús Muñoz,Jesús Muñoz,,jesus-munoz,J. Muñoz,M,24,,21,1189991,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1011312000,"{'value': 375000, 'currency': 'EUR'}",24,False,10.0,7.0,1.0,1.0,0.0,,,,62.0,31.0,6.1,15.0,"{'original': 6.1, 'alternative': None}",1.0,11.0,5.0,,6.0,4.0,1.0,,,1.0,1.0,2.0,,,,1.0,2.0,,3.0,,,,Alianza Valledupar FC,home,,
