name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,totalClearance,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,duelLost,challengeLost,dispossessed,totalContest,onTargetScoringAttempt,totalTackle,ownGoals,wasFouled,fouls,keyPass,shotOffTarget,interceptionWon,outfielderBlock,blockedScoringAttempt,wonContest,bigChanceMissed,penaltyMiss,captain,team,teamType,goodHighClaim,penaltySave,punches,penaltyConceded,goals,totalOffside,bigChanceCreated
Aldair Quintana,aldair-quintana,A. Quintana,G,1,194.0,153,844584,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,773884800,"{'value': 930000, 'currency': 'EUR'}",,,,1,False,21.0,15.0,8.0,4.0,0.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,90.0,30.0,5.9,6.0,"{'original': 5.9, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,True,Atlético Bucaramanga,home,,,,,,,
Santiago Jiménez,santiago-jimenez,S. Jiménez,D,6,180.0,36,830070,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,888710400,"{'value': 440000, 'currency': 'EUR'}",,,,6,False,25.0,16.0,3.0,,0.0,1.0,5.0,,,,,,90.0,55.0,5.8,19.0,"{'original': 5.8, 'alternative': None}",4.0,2.0,1.0,9.0,2.0,1.0,3.0,1.0,3.0,1.0,1.0,2.0,2.0,,,,,,,,,Atlético Bucaramanga,home,,,,,,,
Carlos Romaña,carlos-romana,C. Romaña,D,23,187.0,40,933442,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,942192000,"{'value': 475000, 'currency': 'EUR'}",,,,23,False,50.0,33.0,13.0,4.0,0.0,5.0,6.0,3.0,,,,,90.0,60.0,6.1,19.0,"{'original': 6.1, 'alternative': None}",,,,3.0,2.0,1.0,,1.0,1.0,,,,,1.0,1.0,,,,,,,Atlético Bucaramanga,home,,,,,,,
Cristián Zapata,cristian-zapata,C. Zapata,D,25,187.0,594,12673,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,528422400,"{'value': 54000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. زاباتا', 'hi': 'सी. ज़ापाटा', 'bn': 'সি. জাপাটা'}}",,,25,False,53.0,48.0,9.0,6.0,0.0,4.0,4.0,2.0,,,,,90.0,58.0,6.5,5.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,Atlético Bucaramanga,home,,,,,,,
Carlos Henao,carlos-henao,C. Henao,D,29,187.0,64,822085,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,597110400,"{'value': 105000, 'currency': 'EUR'}",,,,29,False,56.0,39.0,15.0,3.0,0.0,1.0,1.0,,,,,,90.0,66.0,6.0,21.0,"{'original': 6, 'alternative': None}",1.0,,1.0,2.0,,,,,,,,1.0,1.0,2.0,1.0,,1.0,,,,,Atlético Bucaramanga,home,,,,,,,
Fredy Hinestroza,fredy-hinestroza,F. Hinestroza,D,8,178.0,93,249075,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,639273600,"{'value': 360000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ف. هينستروزا', 'hi': 'एफ. हिनेस्ट्रोज़ा', 'bn': 'এফ. হিনেস্ট্রোজা'}}",,,8,False,46.0,35.0,4.0,,0.0,,2.0,1.0,,,,,90.0,62.0,5.9,15.0,"{'original': 5.9, 'alternative': None}",4.0,1.0,,1.0,1.0,,,,,,2.0,,,,1.0,,,,,,,Atlético Bucaramanga,home,,,,,,,
Larry Vásquez,larry-vasquez,L. Vásquez,M,5,186.0,87,820057,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,716860800,"{'value': 385000, 'currency': 'EUR'}",,,,5,False,54.0,47.0,4.0,3.0,0.0,2.0,4.0,,,,,,71.0,60.0,7.1,8.0,"{'original': 7.1, 'alternative': None}",,,,1.0,,,1.0,,2.0,,,,1.0,3.0,,,,,,,,Atlético Bucaramanga,home,,,,,,,
Diego Chávez,diego-chavez,D. Chávez,M,15,180.0,55,1169585,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,875059200,"{'value': 585000, 'currency': 'EUR'}",,Diego Chavez,,15,False,24.0,22.0,2.0,2.0,0.0,,2.0,1.0,,,,,45.0,32.0,6.7,6.0,"{'original': 6.7, 'alternative': None}",3.0,1.0,1.0,5.0,2.0,,1.0,,1.0,,,2.0,1.0,,,,,1.0,,,,Atlético Bucaramanga,home,,,,,,,
Aldair Zárate,zarate-aldair,A. Zárate,M,20,177.0,29,1174928,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,919641600,"{'value': 465000, 'currency': 'EUR'}",,Aldair Zárate,,20,False,18.0,17.0,3.0,3.0,0.0,,3.0,,,,,,60.0,31.0,7.1,5.0,"{'original': 7.1, 'alternative': None}",5.0,3.0,,3.0,,,2.0,,2.0,,,3.0,3.0,,,,,1.0,,,,Atlético Bucaramanga,home,,,,,,,
Luciano Pons,luciano-pons,L. Pons,F,27,180.0,1319,940264,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,640396800,"{'value': 315000, 'currency': 'EUR'}",,,,27,False,23.0,16.0,,,0.0,1.0,7.0,,,,,,90.0,41.0,7.2,9.0,"{'original': 7.2, 'alternative': None}",,,7.0,11.0,2.0,,,4.0,1.0,,5.0,2.0,2.0,,,1.0,1.0,,1.0,1.0,,Atlético Bucaramanga,home,,,,,,,
