name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialWon,duelLost,duelWon,challengeLost,bigChanceCreated,onTargetScoringAttempt,totalClearance,totalTackle,keyPass,outfielderBlock,fouls,aerialLost,dispossessed,totalContest,bigChanceMissed,interceptionWon,wasFouled,shotOffTarget,wonContest,blockedScoringAttempt,penaltyWon,goals,totalOffside,captain,team,teamType,penaltyConceded
Jorge Soto,jorge-soto,J. Soto,G,12,187.0,147,819127,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,744249600.0,"{'value': 410000, 'currency': 'EUR'}",,,,12,False,30.0,24.0,13.0,8.0,0.0,3.0,3.0,90.0,35.0,7.4,6.0,"{'original': 7.4, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,home,
Yerson Candelo,yerson-candelo,Y. Candelo,D,92,172.0,144,158593,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,698889600.0,"{'value': 525000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ي. كانديلو', 'hi': 'वाई. कैंडेलो', 'bn': 'ওয়াই. ক্যান্ডেলো'}}",,,92,False,39.0,32.0,1.0,1.0,1.0,,,90.0,63.0,7.9,11.0,"{'original': 7.9, 'alternative': None}",3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,3.0,,,,,,,,,,,,,,,,América de Cali,home,
Jean Carlos Pestaña,jean-carlos-pestana,J. C. Pestaña,D,24,186.0,73,882658,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,872467200.0,"{'value': 825000, 'currency': 'EUR'}",,,,24,False,39.0,35.0,5.0,4.0,0.0,,,90.0,46.0,7.4,4.0,"{'original': 7.4, 'alternative': None}",,,1.0,1.0,4.0,,,,3.0,3.0,,1.0,1.0,,,,,,,,,,,,,,América de Cali,home,
Éder Balanta,eder-balanta,É. Balanta,M,3,181.0,493,322529,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,730857600.0,"{'value': 760000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'إ. بالانتا', 'hi': 'ई. बलंता', 'bn': 'ই. বালান্টা'}}",,,3,False,50.0,45.0,9.0,6.0,0.0,,,86.0,66.0,7.1,8.0,"{'original': 7.1, 'alternative': None}",,,2.0,5.0,5.0,,,1.0,7.0,1.0,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,América de Cali,home,
Marcos Mina,marcos-mina,M. Mina,D,14,163.0,80,1098198,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,923875200.0,"{'value': 580000, 'currency': 'EUR'}",,,,14,False,28.0,23.0,1.0,1.0,1.0,,,90.0,38.0,7.0,8.0,"{'original': 7, 'alternative': None}",1.0,1.0,,4.0,1.0,1.0,,,,1.0,1.0,,3.0,,,,,,,1.0,,,,,,,América de Cali,home,
José Cavadia,cavadia,J. Cavadia,M,29,177.0,70,2034583,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1127260800.0,"{'value': 310000, 'currency': 'EUR'}",,,,29,False,31.0,29.0,1.0,1.0,0.0,,,73.0,42.0,7.3,5.0,"{'original': 7.3, 'alternative': None}",,,1.0,4.0,4.0,,,2.0,1.0,1.0,1.0,,3.0,,1.0,,,,2.0,,,,,,,,América de Cali,home,
Rafael Carrascal,rafael-carrascal,R. Carrascal,M,15,173.0,256,818936,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,722736000.0,"{'value': 325000, 'currency': 'EUR'}",,,,15,False,67.0,58.0,5.0,4.0,0.0,,,90.0,76.0,7.2,12.0,"{'original': 7.2, 'alternative': None}",,,1.0,2.0,6.0,,,,,4.0,1.0,,1.0,,,1.0,,1.0,1.0,,,,,,,,América de Cali,home,
Cristian Barrios,cristian-barrios,C. Barrios,M,7,163.0,267,910158,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895536000.0,"{'value': 1200000, 'currency': 'EUR'}",,,,7,False,25.0,19.0,2.0,1.0,0.0,,,90.0,46.0,7.3,15.0,"{'original': 7.3, 'alternative': None}",1.0,,,5.0,5.0,,,,1.0,,1.0,1.0,2.0,,1.0,4.0,,,3.0,,2.0,3.0,1.0,,,,América de Cali,home,
Juan Fernando Quintero,juan-quintero,J. F. Quintero,M,8,168.0,9629,221162,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,727315200.0,"{'value': 2600000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'خ. كوينتيرو', 'hi': 'जुआन क्विंटेरो', 'bn': 'জুয়ান কুইন্টেরো'}}",,,8,False,56.0,41.0,5.0,3.0,0.0,,,86.0,68.0,8.0,20.0,"{'original': 8, 'alternative': None}",4.0,1.0,,,1.0,,1.0,1.0,,,1.0,,,,,1.0,,,,1.0,1.0,2.0,,1.0,1.0,,América de Cali,home,
Duván Vergara,duvan-vergara,D. Vergara,M,11,173.0,932,819149,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,842227200.0,"{'value': 2900000, 'currency': 'EUR'}",,,,11,False,30.0,28.0,2.0,2.0,0.0,,,86.0,40.0,7.4,7.0,"{'original': 7.4, 'alternative': None}",1.0,,1.0,6.0,3.0,,,1.0,,,2.0,,4.0,1.0,,3.0,,,,,2.0,,,1.0,1.0,True,América de Cali,home,
