name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelLost,totalClearance,penaltyConceded,fouls,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,duelWon,challengeLost,blockedScoringAttempt,interceptionWon,totalTackle,keyPass,aerialWon,dispossessed,totalContest,outfielderBlock,wonContest,wasFouled,accurateCross,shotOffTarget,onTargetScoringAttempt,goals,totalOffside,captain,team,teamType,goodHighClaim,bigChanceCreated,penaltyWon,bigChanceMissed
William Cuesta,william-cuesta,W. Cuesta,G,1,195.0,23,339369,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,730080000.0,"{'value': 270000, 'currency': 'EUR'}",,,,1,False,19.0,9.0,13.0,3.0,0.0,1.0,3.0,1.0,1.0,3.0,5.0,1.0,2.0,2.0,90.0,30.0,7.1,11.0,"{'original': 7.1, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,Deportes Tolima,home,,,,
Yhorman Hurtado,hurtado-yhorman,Y. Hurtado,D,26,170.0,31,1100500,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,850521600.0,"{'value': 535000, 'currency': 'EUR'}",,,,26,False,25.0,19.0,5.0,3.0,0.0,3.0,,,1.0,,,,,,90.0,44.0,6.8,13.0,"{'original': 6.8, 'alternative': None}",3.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,Deportes Tolima,home,,,,
Marlon Torres,marlon-torres,M. Torres,D,17,180.0,43,869990,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,829699200.0,"{'value': 590000, 'currency': 'EUR'}",,,,17,False,33.0,23.0,10.0,3.0,0.0,2.0,5.0,,,,,,,,90.0,43.0,6.6,12.0,"{'original': 6.6, 'alternative': None}",,,4.0,,,,2.0,,2.0,1.0,1.0,1.0,,,,,,,,,Deportes Tolima,home,,,,
Anderson Angulo,anderson-angulo,A. Angulo,D,2,187.0,24,925127,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,828316800.0,"{'value': 570000, 'currency': 'EUR'}",,,,2,False,24.0,22.0,4.0,3.0,0.0,1.0,3.0,,1.0,,,,,,90.0,31.0,6.9,3.0,"{'original': 6.9, 'alternative': None}",1.0,,4.0,,,1.0,,,3.0,,1.0,1.0,1.0,,,,,,,,Deportes Tolima,home,,,,
Junior Hernández,junior-hernandez,J. Hernández,D,20,172.0,78,973723,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,923270400.0,"{'value': 1200000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. هيرنانديز', 'hi': 'जे. हर्नांडेज़', 'bn': 'জে হার্নান্দেজ'}}",,,20,False,33.0,20.0,14.0,3.0,0.0,8.0,,,1.0,,,,,,90.0,59.0,6.5,20.0,"{'original': 6.5, 'alternative': None}",,2.0,7.0,1.0,,1.0,2.0,,3.0,2.0,3.0,1.0,1.0,1.0,,,,,,,Deportes Tolima,home,,,,
Juan Pablo Nieto,juan-pablo-nieto,J. P. Nieto,M,15,178.0,40,338861,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,730598400.0,"{'value': 470000, 'currency': 'EUR'}",,,,15,False,24.0,20.0,3.0,2.0,0.0,2.0,,,1.0,,,,,,67.0,34.0,7.1,5.0,"{'original': 7.1, 'alternative': None}",,,4.0,,1.0,,2.0,,,1.0,,2.0,,2.0,,,,,,True,Deportes Tolima,home,,,,
Brayan Rovira,brayan-rovira,B. Rovira,M,80,177.0,90,818941,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,849484800.0,"{'value': 640000, 'currency': 'EUR'}",,,,80,False,25.0,21.0,3.0,3.0,0.0,2.0,2.0,,1.0,,,,,,90.0,42.0,7.3,9.0,"{'original': 7.3, 'alternative': None}",3.0,,6.0,,,1.0,2.0,,2.0,1.0,1.0,,1.0,1.0,2.0,2.0,,,,,Deportes Tolima,home,,,,
Kevin Pérez,kevin-perez,K. Pérez,M,18,170.0,39,991859,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869184000.0,"{'value': 605000, 'currency': 'EUR'}",,,,18,False,18.0,16.0,2.0,1.0,1.0,3.0,,,,,,,,,68.0,26.0,7.0,6.0,"{'original': 7, 'alternative': None}",,2.0,3.0,,,1.0,,1.0,2.0,,2.0,,1.0,,,1.0,,,,,Deportes Tolima,home,,,,
Andrés Arroyo,andres-arroyo,A. Arroyo,M,25,171.0,135,978706,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1011484800.0,"{'value': 370000, 'currency': 'EUR'}",,,,25,False,18.0,15.0,3.0,2.0,0.0,6.0,,,3.0,,,,,,76.0,25.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",,3.0,5.0,,,,2.0,,1.0,,1.0,,1.0,1.0,,1.0,,,,,Deportes Tolima,home,,,,
Alex Castro,alex-castro,A. Castro,M,23,170.0,75,818930,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,763084800.0,"{'value': 535000, 'currency': 'EUR'}",,,,23,False,26.0,16.0,2.0,,0.0,7.0,1.0,,1.0,,,,,,90.0,43.0,6.8,21.0,"{'original': 6.8, 'alternative': None}",5.0,2.0,4.0,1.0,,,1.0,1.0,2.0,1.0,2.0,,,1.0,1.0,,1.0,1.0,,,Deportes Tolima,home,,,,
