name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,duelLost,duelWon,totalContest,wonContest,blockedScoringAttempt,totalTackle,fouls,aerialLost,aerialWon,interceptionWon,ownGoals,wasFouled,keyPass,outfielderBlock,accurateCross,challengeLost,dispossessed,shotOffTarget,totalOffside,onTargetScoringAttempt,hitWoodwork,goals,captain,team,teamType,punches,bigChanceCreated
Jorge Soto,jorge-soto,J. Soto,G,12,187,146,819127,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,744249600,"{'value': 410000, 'currency': 'EUR'}",,,,12,False,16.0,14.0,6.0,4.0,0.0,1.0,4.0,6.0,90.0,28.0,7.2,3.0,"{'original': 7.2, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,home,,
Mateo Castillo Márquez,mateo-castillo-marquez,M. C. Márquez,D,13,181,68,1904862,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1047686400,"{'value': 410000, 'currency': 'EUR'}",Mateo,Castillo Márquez,,13,False,34.0,29.0,,,0.0,,,,51.0,47.0,6.8,11.0,"{'original': 6.8, 'alternative': None}",5.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,América de Cali,home,,
Daniel Bocanegra,daniel-bocanegra,D. Bocanegra,D,2,182,142,123272,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,546134400,"{'value': 46000, 'currency': 'EUR'}",,,,2,False,51.0,47.0,4.0,2.0,0.0,3.0,,,78.0,60.0,6.1,6.0,"{'original': 6.1, 'alternative': None}",1.0,4.0,3.0,,,,,3.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,América de Cali,home,,
Jean Carlos Pestaña,jean-carlos-pestana,J. C. Pestaña,D,24,186,73,882658,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,872467200,"{'value': 825000, 'currency': 'EUR'}",,,,24,False,53.0,51.0,5.0,4.0,0.0,3.0,,,90.0,59.0,6.8,3.0,"{'original': 6.8, 'alternative': None}",,1.0,2.0,,,,,2.0,,2.0,,,,1.0,2.0,,,,,,,,,,América de Cali,home,,
Marcos Mina,marcos-mina,M. Mina,D,14,163,80,1098198,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,923875200,"{'value': 580000, 'currency': 'EUR'}",,,,14,False,34.0,30.0,3.0,2.0,0.0,1.0,,,90.0,47.0,6.5,7.0,"{'original': 6.5, 'alternative': None}",3.0,5.0,2.0,,,,1.0,3.0,,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,América de Cali,home,,
Rafael Carrascal,rafael-carrascal,R. Carrascal,M,15,173,255,818936,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,722736000,"{'value': 325000, 'currency': 'EUR'}",,,,15,False,86.0,76.0,7.0,6.0,0.0,,,,90.0,99.0,7.9,12.0,"{'original': 7.9, 'alternative': None}",1.0,2.0,8.0,,,,6.0,1.0,,,,,2.0,2.0,,,,1.0,1.0,,,,,,América de Cali,home,,
Sebastián Navarro,sebastian-navarro,S. Navarro,M,21,186,122,1018517,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963619200,"{'value': 840000, 'currency': 'EUR'}",,,,21,False,40.0,36.0,1.0,,1.0,2.0,,,65.0,46.0,7.0,5.0,"{'original': 7, 'alternative': None}",1.0,,,,,,,,,,1.0,,,1.0,,,,,1.0,,,,,,América de Cali,home,,
Esneyder Mena,esneyder-mena,E. Mena,M,26,177,57,875765,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,878515200,"{'value': 380000, 'currency': 'EUR'}",,,,26,False,43.0,40.0,1.0,,0.0,1.0,,,90.0,67.0,7.8,14.0,"{'original': 7.8, 'alternative': None}",11.0,2.0,5.0,,,,4.0,,,1.0,,,,8.0,,4.0,1.0,1.0,,1.0,1.0,,,,América de Cali,home,,
Juan Fernando Quintero,juan-quintero,J. F. Quintero,M,8,168,9715,221162,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,727315200,"{'value': 2600000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'خ. كوينتيرو', 'hi': 'जुआन क्विंटेरो', 'bn': 'জুয়ান কুইন্টেরো'}}",8,False,61.0,52.0,3.0,1.0,0.0,1.0,,,90.0,88.0,7.5,19.0,"{'original': 7.5, 'alternative': None}",3.0,5.0,9.0,6.0,3.0,2.0,1.0,,,,,,5.0,3.0,,,,2.0,2.0,,,,,,América de Cali,home,,
Duván Vergara,duvan-vergara,D. Vergara,M,11,173,943,819149,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,842227200,"{'value': 2900000, 'currency': 'EUR'}",,,,11,False,25.0,18.0,2.0,1.0,0.0,,,,90.0,53.0,8.1,18.0,"{'original': 8.1, 'alternative': None}",5.0,2.0,5.0,1.0,,1.0,2.0,,,,,,3.0,1.0,,1.0,,1.0,3.0,,4.0,1.0,1.0,True,América de Cali,home,,
Luis Ramos,luis-ramos,L. Ramos,F,9,175,1221,984107,"{'alpha2': 'PE', 'alpha3': 'PER', 'name': 'Peru', 'slug': 'peru'}",EUR,945043200,"{'value': 730000, 'currency': 'EUR'}",,,,9,False,8.0,6.0,,,0.0,,,,45.0,12.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",,2.0,2.0,,,1.0,1.0,,,1.0,,,,,,,1.0,1.0,,,1.0,,,,América de Cali,home,,
Rodrigo Holgado,rodrigo-holgado,R. Holgado,F,22,179,1195,889043,"{'alpha2': 'MY', 'alpha3': 'MYS', 'name': 'Malaysia', 'slug': 'malaysia'}",EUR,804297600,"{'value': 775000, 'currency': 'EUR'}",,,,22,True,16.0,13.0,,,0.0,1.0,,,45.0,27.0,7.2,5.0,"{'original': 7.2, 'alternative': None}",,2.0,4.0,2.0,1.0,,3.0,1.0,,,1.0,,,2.0,,,,,1.0,,1.0,,,,América de Cali,home,,
Kevin Angulo,kevin-angulo,K. Angulo,F,35,187,53,2039311,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1215129600,,Kevin Angulo,,,35,True,3.0,2.0,,,0.0,,,,39.0,6.0,6.8,2.0,"{'original': 6.8, 'alternative': None}",,1.0,,,,,,,,,,,,,,,1.0,,,,2.0,,,,América de Cali,home,,
Joel Romero,joel-romero,J. Romero,M,33,174,27,2037820,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1149120000,,Joel Romero,,,33,True,17.0,16.0,2.0,1.0,0.0,,,,25.0,22.0,6.5,3.0,"{'original': 6.5, 'alternative': None}",,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,América de Cali,home,,
Cristian Tovar,cristian-tovar,C. Tovar,D,6,182,68,873180,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,894412800,"{'value': 470000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. توفار', 'hi': 'सी. तोवर', 'bn': 'সি. টোভার'}}",6,True,5.0,3.0,1.0,,0.0,1.0,,,12.0,7.0,6.7,2.0,"{'original': 6.7, 'alternative': None}",,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,América de Cali,home,,
