name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,goodHighClaim,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,totalContest,bigChanceCreated,shotOffTarget,interceptionWon,totalTackle,wasFouled,fouls,keyPass,bigChanceMissed,totalClearance,outfielderBlock,dispossessed,onTargetScoringAttempt,wonContest,goals,blockedScoringAttempt,hitWoodwork,challengeLost,captain,team,teamType,savedShotsFromInsideTheBox,saves
Cristopher Fiermarín,,,cristopher-fiermarin,C. Fiermarín,G,22,189.0,104,881111,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,883612800,"{'value': 1400000, 'currency': 'EUR'}",,22,False,30.0,18.0,16.0,5.0,0.0,1.0,90.0,33.0,6.4,12.0,"{'original': 6.4, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,home,,
Yhorman Hurtado,,,hurtado-yhorman,Y. Hurtado,D,26,170.0,31,1100500,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,850521600,"{'value': 535000, 'currency': 'EUR'}",,26,False,37.0,34.0,1.0,1.0,1.0,,90.0,54.0,7.3,4.0,"{'original': 7.3, 'alternative': None}",2.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,Deportes Tolima,home,,
Marlon Torres,,,marlon-torres,M. Torres,D,17,180.0,44,869990,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,829699200,"{'value': 590000, 'currency': 'EUR'}",,17,False,40.0,34.0,3.0,1.0,0.0,,90.0,50.0,6.9,7.0,"{'original': 6.9, 'alternative': None}",,,1.0,1.0,3.0,4.0,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,1.0,4.0,1.0,,,,,,,,,Deportes Tolima,home,,
Fabián Mosquera,,,fabian-mosquera,F. Mosquera,M,19,177.0,13,870084,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,794188800,"{'value': 235000, 'currency': 'EUR'}",,19,False,45.0,39.0,7.0,4.0,0.0,,90.0,52.0,6.7,6.0,"{'original': 6.7, 'alternative': None}",,,,1.0,,1.0,,,,,,,,,,7.0,,,,,,,,,,Deportes Tolima,home,,
Samuel Velásquez,Samuel Velásquez,,samuel-velasquez,S. Velásquez,D,33,174.0,130,1185987,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1054166400,"{'value': 770000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ص. فيلاسكيز', 'hi': 'एस. वेलास्केज़', 'bn': 'এস. ভেলাস্কেজ'}}",33,False,31.0,24.0,2.0,1.0,0.0,,90.0,53.0,6.8,9.0,"{'original': 6.8, 'alternative': None}",1.0,1.0,,,1.0,2.0,1.0,,,1.0,2.0,,,1.0,,,,,,,,,,,,Deportes Tolima,home,,
Cristian Trujillo,,,cristian-trujillo,C. Trujillo,M,6,174.0,23,931707,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,902620800,"{'value': 580000, 'currency': 'EUR'}",,6,False,31.0,27.0,2.0,1.0,0.0,,90.0,44.0,6.7,7.0,"{'original': 6.7, 'alternative': None}",,,1.0,,6.0,1.0,1.0,,1.0,2.0,1.0,,3.0,,,2.0,1.0,1.0,1.0,,,,,,,Deportes Tolima,home,,
Juan Pablo Nieto,,,juan-pablo-nieto,J. P. Nieto,M,15,178.0,40,338861,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,730598400,"{'value': 470000, 'currency': 'EUR'}",,15,False,47.0,38.0,6.0,3.0,0.0,,90.0,53.0,7.1,11.0,"{'original': 7.1, 'alternative': None}",1.0,,,1.0,1.0,4.0,,,,,2.0,1.0,1.0,3.0,,,,,,,,,,,True,Deportes Tolima,home,,
Ever Valencia,,,ever-valencia,E. Valencia,M,8,175.0,55,819152,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,853977600,"{'value': 410000, 'currency': 'EUR'}",,8,False,11.0,9.0,,,0.0,,45.0,21.0,6.4,10.0,"{'original': 6.4, 'alternative': None}",2.0,,,,3.0,1.0,2.0,,,,1.0,,1.0,1.0,,,,,,,,,,,,Deportes Tolima,home,,
Andrés Arroyo,,,andres-arroyo,A. Arroyo,M,25,171.0,136,978706,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1011484800,"{'value': 370000, 'currency': 'EUR'}",,25,False,24.0,21.0,1.0,,0.0,,79.0,34.0,7.3,6.0,"{'original': 7.3, 'alternative': None}",,,,,4.0,2.0,3.0,1.0,,2.0,,1.0,2.0,1.0,,1.0,,,1.0,1.0,1.0,,,,,Deportes Tolima,home,,
Kevin Pérez,,,kevin-perez,K. Pérez,M,18,170.0,40,991859,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869184000,"{'value': 605000, 'currency': 'EUR'}",,18,False,18.0,12.0,,,0.0,,75.0,34.0,6.6,13.0,"{'original': 6.6, 'alternative': None}",,,,,5.0,4.0,5.0,,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,2.0,,1.0,,,,Deportes Tolima,home,,
Gonzalo Lencina,,,gonzalo-lencina,G. Lencina,F,11,178.0,503,974691,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,877132800,"{'value': 825000, 'currency': 'EUR'}",,11,False,5.0,3.0,,,1.0,,67.0,18.0,7.2,6.0,"{'original': 7.2, 'alternative': None}",,,,,,3.0,1.0,,2.0,,1.0,1.0,,1.0,1.0,1.0,,,2.0,1.0,,,1.0,,,Deportes Tolima,home,,
Jersson González,,,jersson-gonzalez,J. González,M,7,172.0,89,1014824,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1000512000,"{'value': 955000, 'currency': 'EUR'}",,7,True,7.0,1.0,1.0,,0.0,,45.0,18.0,6.4,9.0,"{'original': 6.4, 'alternative': None}",,,3.0,,7.0,3.0,3.0,,,,2.0,1.0,1.0,,,,,,,,,,,,,Deportes Tolima,home,,
