name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,errorLeadToAGoal,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,duelLost,duelWon,dispossessed,totalClearance,totalTackle,aerialLost,shotOffTarget,wasFouled,challengeLost,interceptionWon,aerialWon,totalContest,wonContest,fouls,onTargetScoringAttempt,keyPass,accurateCross,blockedScoringAttempt,goals,totalOffside,captain,team,teamType,goodHighClaim,savedShotsFromInsideTheBox,outfielderBlock,bigChanceCreated,bigChanceMissed,hitWoodwork
Rogerio Caicedo,rogerio-caicedo,R. Caicedo,G,1,187,3,942347,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,729993600,"{'value': 97000, 'currency': 'EUR'}",,,,1,False,26.0,22.0,8.0,4.0,0.0,1.0,2.0,90.0,33.0,5.5,5.0,"{'original': 5.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,home,,,,,,
José Ampudia,jose-ampudia,J. Ampudia,D,17,175,1,1065364,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,954288000,"{'value': 52000, 'currency': 'EUR'}",José Ampudia,,,17,False,32.0,30.0,3.0,2.0,0.0,,,68.0,44.0,6.4,9.0,"{'original': 6.4, 'alternative': None}",3.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,Boyacá Chicó FC,home,,,,,,
Kevin Riascos,kevin-riascos,K. Riascos,D,2,188,16,986979,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,803692800,"{'value': 140000, 'currency': 'EUR'}",,,,2,False,69.0,64.0,11.0,8.0,0.0,,,90.0,76.0,6.4,8.0,"{'original': 6.4, 'alternative': None}",,2.0,3.0,1.0,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,Boyacá Chicó FC,home,,,,,,
Juan Ojeda,juan-ojeda,J. Ojeda,D,30,188,9,822796,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,891648000,"{'value': 110000, 'currency': 'EUR'}",,,,30,False,51.0,46.0,5.0,2.0,0.0,,,76.0,57.0,6.4,7.0,"{'original': 6.4, 'alternative': None}",,3.0,3.0,,,1.0,2.0,,2.0,1.0,1.0,,,,,,,,,,,,Boyacá Chicó FC,home,,,,,,
Jonathan Herrera,jonathan-herrera,J. Herrera,D,18,177,9,819185,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,825120000,"{'value': 220000, 'currency': 'EUR'}",,,,18,False,41.0,35.0,4.0,2.0,0.0,,,90.0,61.0,6.2,16.0,"{'original': 6.2, 'alternative': None}",6.0,5.0,5.0,,1.0,1.0,1.0,,1.0,1.0,,2.0,3.0,1.0,1.0,,,,,,,,Boyacá Chicó FC,home,,,,,,
Andres Aedo,aedo-andres,A. Aedo,M,6,183,8,1427849,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1077494400,"{'value': 145000, 'currency': 'EUR'}",Andres Aedo,,,6,False,26.0,22.0,,,0.0,,,45.0,29.0,6.4,6.0,"{'original': 6.4, 'alternative': None}",1.0,2.0,,1.0,,,1.0,,,,,,,,,,,,,,,,Boyacá Chicó FC,home,,,,,,
Frank Lozano,frank-lozano,F. Lozano,M,19,175,19,1015686,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745977600,"{'value': 340000, 'currency': 'EUR'}",,,,19,False,39.0,35.0,4.0,3.0,0.0,,,90.0,49.0,7.1,7.0,"{'original': 7.1, 'alternative': None}",2.0,,2.0,,1.0,,,,1.0,,1.0,,1.0,1.0,,1.0,2.0,,,,,True,Boyacá Chicó FC,home,,,,,,
Estefáno Arango,estefano-arango,E. Arango,M,24,170,35,819034,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,758851200,"{'value': 195000, 'currency': 'EUR'}",,,,24,False,41.0,38.0,3.0,2.0,0.0,,,90.0,73.0,7.2,25.0,"{'original': 7.2, 'alternative': None}",12.0,5.0,3.0,2.0,,,1.0,,1.0,,,,4.0,2.0,,1.0,2.0,2.0,2.0,1.0,,,Boyacá Chicó FC,home,,,,,,
Wilmar Arango,wilmar-arango,W. Arango,M,20,170,1,1174981,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,887328000,"{'value': 185000, 'currency': 'EUR'}",Wilmar Arango,,,20,False,48.0,41.0,8.0,6.0,0.0,,,68.0,57.0,6.8,14.0,"{'original': 6.8, 'alternative': None}",4.0,3.0,1.0,,,,,,1.0,1.0,1.0,,1.0,,1.0,,2.0,,,,,,Boyacá Chicó FC,home,,,,,,
Jacobo Pimentel,jacobo-pimentel,J. Pimentel,F,21,176,12,1017237,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1010880000,"{'value': 140000, 'currency': 'EUR'}",,,,21,False,12.0,12.0,,,0.0,,,45.0,23.0,6.5,6.0,"{'original': 6.5, 'alternative': None}",2.0,5.0,2.0,,,,,1.0,1.0,2.0,,,4.0,1.0,,1.0,,,,,,,Boyacá Chicó FC,home,,,,,,
Jairo Molina,jairo-molina,J. Molina,F,9,183,66,247931,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,735955200,"{'value': 49000, 'currency': 'EUR'}",,,,9,False,9.0,6.0,2.0,1.0,0.0,,,90.0,16.0,6.6,6.0,"{'original': 6.6, 'alternative': None}",,2.0,3.0,,,,,2.0,1.0,,,2.0,,,2.0,,,,1.0,,1.0,,Boyacá Chicó FC,home,,,,,,
John Sánchez,john-sanchez,J. Sánchez,M,77,168,6,829865,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,800496000,"{'value': 48000, 'currency': 'EUR'}",,,,11,True,7.0,6.0,,,0.0,,,45.0,17.0,6.3,6.0,"{'original': 6.3, 'alternative': None}",3.0,3.0,3.0,1.0,,1.0,1.0,,2.0,,,,1.0,,,,,1.0,,,,,Boyacá Chicó FC,home,,,,,,
Delio Ramírez,delio-ramirez,D. Ramírez,M,10,160,11,1015661,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,975110400,"{'value': 53000, 'currency': 'EUR'}",,,,10,True,28.0,25.0,4.0,2.0,0.0,,,45.0,40.0,7.1,7.0,"{'original': 7.1, 'alternative': None}",5.0,2.0,3.0,,,2.0,,2.0,1.0,2.0,,,,,,,3.0,2.0,,,,,Boyacá Chicó FC,home,,,,,,
Yael López,yael-lopez,Y. López,D,22,178,33,971249,"{'alpha2': 'CR', 'alpha3': 'CRI', 'name': 'Costa Rica', 'slug': 'costa-rica'}",EUR,913852800,"{'value': 205000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ي. لوبيز', 'hi': 'वाए. लोपेज़', 'bn': 'ওয়াই. লোপেজ'}}",22,True,11.0,10.0,1.0,1.0,0.0,,,22.0,16.0,6.3,2.0,"{'original': 6.3, 'alternative': None}",,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,Boyacá Chicó FC,home,,,,,,
Kevin Londoño,kevin-londono,K. Londoño,M,27,180,14,1100037,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963100800,"{'value': 440000, 'currency': 'EUR'}",Kevin Londoño,,,8,True,5.0,4.0,,,0.0,,,22.0,8.0,6.5,2.0,"{'original': 6.5, 'alternative': None}",1.0,,1.0,,,,,1.0,,,1.0,1.0,,,,,,,,,,,Boyacá Chicó FC,home,,,,,,
Sebastián Colón,sebastian-colon,S. Colón,F,29,177,28,1465840,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895881600,,Sebastián Colón,,,29,True,4.0,4.0,,,0.0,,,14.0,4.0,6.5,,"{'original': 6.5, 'alternative': None}",,2.0,,,,,,,,,,,,,2.0,,,,,,,,Boyacá Chicó FC,home,,,,,,
Darío Denis,dario-denis,D. Denis,G,23,186,13,820358,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,692841600,"{'value': 105000, 'currency': 'EUR'}",,,,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,home,,,,,,
Edgard Camargo,edgard-camargo,E. Camargo,M,28,181,29,1108692,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1010102400,"{'value': 140000, 'currency': 'EUR'}",Edgard Camargo,,,28,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,home,,,,,,
Cristopher Fiermarín,cristopher-fiermarin,C. Fiermarín,G,22,189,104,881111,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,883612800,"{'value': 1400000, 'currency': 'EUR'}",,,,22,False,30.0,12.0,24.0,6.0,0.0,,2.0,90.0,41.0,6.6,18.0,"{'original': 6.6, 'alternative': None}",,,,,2.0,,,,,,,,,,,,,,,,,,Deportes Tolima,away,2.0,2.0,,,,
Yhorman Hurtado,hurtado-yhorman,Y. Hurtado,D,26,170,31,1100500,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,850521600,"{'value': 535000, 'currency': 'EUR'}",,,,26,False,22.0,15.0,6.0,1.0,0.0,,,75.0,37.0,6.9,8.0,"{'original': 6.9, 'alternative': None}",,3.0,5.0,,4.0,3.0,,,1.0,1.0,,1.0,,,2.0,,,,,,,,Deportes Tolima,away,,,,,,
Marlon Torres,marlon-torres,M. Torres,D,17,180,44,869990,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,829699200,"{'value': 590000, 'currency': 'EUR'}",,,,17,False,19.0,18.0,3.0,3.0,0.0,,,90.0,28.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",,2.0,1.0,,3.0,1.0,,,,,1.0,,1.0,,1.0,,,,,,,,Deportes Tolima,away,,,1.0,,,
Anderson Angulo,anderson-angulo,A. Angulo,D,2,187,25,925127,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,828316800,"{'value': 570000, 'currency': 'EUR'}",,,,2,False,25.0,17.0,5.0,,0.0,,,90.0,40.0,6.6,8.0,"{'original': 6.6, 'alternative': None}",,3.0,1.0,,13.0,,2.0,,1.0,1.0,,,,,,,,,,,,,Deportes Tolima,away,,,1.0,,,
Samuel Velásquez,samuel-velasquez,S. Velásquez,D,33,174,130,1185987,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1054166400,"{'value': 770000, 'currency': 'EUR'}",Samuel Velásquez,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ص. فيلاسكيز', 'hi': 'एस. वेलास्केज़', 'bn': 'এস. ভেলাস্কেজ'}}",33,False,23.0,16.0,5.0,,0.0,,,90.0,44.0,6.9,11.0,"{'original': 6.9, 'alternative': None}",1.0,4.0,7.0,1.0,4.0,4.0,,1.0,,2.0,,2.0,1.0,1.0,1.0,,,,,,,,Deportes Tolima,away,,,1.0,,,
Juan Pablo Nieto,juan-pablo-nieto,J. P. Nieto,M,15,178,40,338861,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,730598400,"{'value': 470000, 'currency': 'EUR'}",,,,15,False,32.0,31.0,1.0,,1.0,,,85.0,36.0,7.2,1.0,"{'original': 7.2, 'alternative': None}",,1.0,3.0,,,,,,1.0,,,,2.0,2.0,1.0,1.0,1.0,,,,,True,Deportes Tolima,away,,,,,,
Cristian Trujillo,cristian-trujillo,C. Trujillo,M,6,174,23,931707,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,902620800,"{'value': 580000, 'currency': 'EUR'}",,,,6,False,30.0,24.0,5.0,2.0,0.0,,,90.0,36.0,6.4,9.0,"{'original': 6.4, 'alternative': None}",1.0,5.0,2.0,,1.0,1.0,,,,,,1.0,1.0,,4.0,,1.0,,,,,,Deportes Tolima,away,,,,,,
Kevin Pérez,kevin-perez,K. Pérez,M,18,170,40,991859,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869184000,"{'value': 605000, 'currency': 'EUR'}",,,,18,False,21.0,19.0,,,0.0,,,67.0,28.0,6.7,7.0,"{'original': 6.7, 'alternative': None}",1.0,4.0,,,,,,,,1.0,,,2.0,,1.0,1.0,,,,,,,Deportes Tolima,away,,,,,,
Andrés Arroyo,andres-arroyo,A. Arroyo,M,25,171,136,978706,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1011484800,"{'value': 370000, 'currency': 'EUR'}",,,,25,False,33.0,26.0,5.0,3.0,0.0,,,90.0,51.0,8.5,13.0,"{'original': 8.5, 'alternative': None}",,5.0,3.0,2.0,2.0,3.0,1.0,,,,1.0,,,,2.0,2.0,1.0,,,2.0,,,Deportes Tolima,away,,,,,,
Alex Castro,alex-castro,A. Castro,M,23,170,75,818930,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,763084800,"{'value': 535000, 'currency': 'EUR'}",,,,23,False,16.0,16.0,2.0,2.0,0.0,,,45.0,26.0,7.0,3.0,"{'original': 7, 'alternative': None}",2.0,,4.0,,,2.0,,,,,,,2.0,2.0,,,,1.0,,,,,Deportes Tolima,away,,,,,,
Gonzalo Lencina,gonzalo-lencina,G. Lencina,F,11,178,503,974691,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,877132800,"{'value': 825000, 'currency': 'EUR'}",,,,11,False,17.0,11.0,1.0,,0.0,,,67.0,24.0,6.8,8.0,"{'original': 6.8, 'alternative': None}",,1.0,4.0,,2.0,1.0,1.0,,1.0,,,2.0,,,,,1.0,,,,1.0,,Deportes Tolima,away,,,,,,
