name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,totalClearance,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,duelLost,dispossessed,shotOffTarget,totalTackle,wasFouled,fouls,interceptionWon,keyPass,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,accurateCross,bigChanceMissed,blockedScoringAttempt,bigChanceCreated,totalOffside,captain,team,teamType,outfielderBlock
Jorge Soto,jorge-soto,J. Soto,G,12,187,147,819127,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,744249600,"{'value': 410000, 'currency': 'EUR'}",,,,12,False,20.0,15.0,10.0,6.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,90.0,27.0,7.3,5.0,"{'original': 7.3, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,América de Cali,home,
Yerson Candelo,yerson-candelo,Y. Candelo,D,92,172,144,158593,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,698889600,"{'value': 525000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ي. كانديلو', 'hi': 'वाई. कैंडेलो', 'bn': 'ওয়াই. ক্যান্ডেলো'}}",,,92,False,34.0,25.0,6.0,3.0,0.0,,3.0,2.0,,,,90.0,52.0,7.0,13.0,"{'original': 7, 'alternative': None}",1.0,1.0,4.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,América de Cali,home,
Daniel Bocanegra,daniel-bocanegra,D. Bocanegra,D,2,182,143,123272,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,546134400,"{'value': 46000, 'currency': 'EUR'}",,,,2,False,29.0,26.0,6.0,3.0,0.0,1.0,1.0,5.0,,,,90.0,36.0,7.0,3.0,"{'original': 7, 'alternative': None}",,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,América de Cali,home,
Jean Carlos Pestaña,jean-carlos-pestana,J. C. Pestaña,D,24,186,73,882658,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,872467200,"{'value': 825000, 'currency': 'EUR'}",,,,24,False,29.0,28.0,,,0.0,1.0,2.0,3.0,,,,90.0,36.0,7.0,1.0,"{'original': 7, 'alternative': None}",,1.0,2.0,,,1.0,,,1.0,,1.0,,,,,,,,,,,América de Cali,home,
Esneyder Mena,esneyder-mena,E. Mena,M,26,177,57,875765,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,878515200,"{'value': 380000, 'currency': 'EUR'}",,,,26,False,24.0,22.0,2.0,2.0,0.0,,4.0,,,,,90.0,39.0,8.2,9.0,"{'original': 8.2, 'alternative': None}",1.0,1.0,1.0,,,1.0,1.0,1.0,,2.0,,2.0,2.0,2.0,1.0,,,,,,,América de Cali,home,
Cristian Barrios,cristian-barrios,C. Barrios,M,7,163,267,910158,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895536000,"{'value': 1200000, 'currency': 'EUR'}",,,,7,False,24.0,20.0,,,1.0,,1.0,,,,,89.0,33.0,7.1,9.0,"{'original': 7.1, 'alternative': None}",1.0,,1.0,,,,1.0,1.0,,4.0,,,,1.0,,1.0,1.0,,,,,América de Cali,home,
Éder Balanta,eder-balanta,É. Balanta,M,3,181,493,322529,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,730857600,"{'value': 760000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'إ. بالانتا', 'hi': 'ई. बलंता', 'bn': 'ই. বালান্টা'}}",,,3,False,25.0,21.0,4.0,1.0,0.0,,5.0,,,,,90.0,34.0,6.9,5.0,"{'original': 6.9, 'alternative': None}",,1.0,6.0,,,3.0,2.0,5.0,,2.0,,,,,,,,,,,,América de Cali,home,
Rafael Carrascal,rafael-carrascal,R. Carrascal,M,15,173,256,818936,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,722736000,"{'value': 325000, 'currency': 'EUR'}",,,,15,False,58.0,53.0,7.0,7.0,0.0,1.0,5.0,,,,,90.0,65.0,7.4,6.0,"{'original': 7.4, 'alternative': None}",,1.0,4.0,1.0,1.0,4.0,,2.0,,1.0,,,,,,,,,,,,América de Cali,home,
Joel Romero,joel-romero,J. Romero,M,33,174,27,2037820,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1149120000,,,Joel Romero,,33,False,20.0,15.0,,,0.0,1.0,3.0,,,,,74.0,27.0,7.0,7.0,"{'original': 7, 'alternative': None}",2.0,,5.0,1.0,1.0,1.0,,4.0,,2.0,,1.0,1.0,,,2.0,,,,,,América de Cali,home,
Juan Fernando Quintero,juan-quintero,J. F. Quintero,M,8,168,9629,221162,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,727315200,"{'value': 2600000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'خ. كوينتيرو', 'hi': 'जुआन क्विंटेरो', 'bn': 'জুয়ান কুইন্টেরো'}}",,,8,False,28.0,23.0,2.0,2.0,0.0,,5.0,,,,,90.0,53.0,7.5,16.0,"{'original': 7.5, 'alternative': None}",6.0,,3.0,,4.0,2.0,1.0,1.0,,,,4.0,2.0,2.0,,,,3.0,,,True,América de Cali,home,
