name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialWon,duelLost,duelWon,totalContest,wonContest,totalClearance,interceptionWon,totalTackle,fouls,keyPass,aerialLost,wasFouled,outfielderBlock,totalOffside,shotOffTarget,challengeLost,dispossessed,accurateCross,onTargetScoringAttempt,goals,blockedScoringAttempt,captain,team,teamType
Alejandro Rodríguez,Alejandro Rodríguez,,alejandro-rodriguez,A. Rodríguez,G,38,188.0,105,1098301,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,979257600,"{'value': 825000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. رودريغيز', 'hi': 'ए. रोड्रिग्ज', 'bn': 'এ. রদ্রিগেজ'}}",38,False,25.0,17.0,16.0,8.0,0.0,2.0,2.0,90.0,27.0,7.2,8.0,"{'original': 7.2, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,Deportivo Cali,home
Fabián Viáfara,,,fabian-viafara,F. Viáfara,D,27,167.0,35,588548,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,700704000,"{'value': 430000, 'currency': 'EUR'}",,27,False,30.0,20.0,6.0,1.0,0.0,,,90.0,48.0,7.2,15.0,"{'original': 7.2, 'alternative': None}",2.0,2.0,4.0,6.0,3.0,1.0,4.0,1.0,3.0,2.0,1.0,,,,,,,,,,,,,Deportivo Cali,home
Juan Quintero,,,juan-quintero,Juan Quintero,D,3,183.0,140,589394,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,795916800,"{'value': 670000, 'currency': 'EUR'}",,3,False,24.0,19.0,7.0,4.0,0.0,,,90.0,35.0,6.9,5.0,"{'original': 6.9, 'alternative': None}",,1.0,5.0,3.0,,,7.0,1.0,1.0,3.0,,2.0,1.0,,,,,,,,,,True,Deportivo Cali,home
Guzmán Corujo,,,guzman-corujo,G. Corujo,D,16,189.0,116,874970,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,838944000,"{'value': 390000, 'currency': 'EUR'}",,16,False,13.0,11.0,4.0,3.0,0.0,,,90.0,27.0,7.7,2.0,"{'original': 7.7, 'alternative': None}",,1.0,2.0,4.0,,,5.0,3.0,3.0,1.0,,1.0,,3.0,,,,,,,,,,Deportivo Cali,home
Yulián Gómez,,,yulian-gomez,Y. Gómez,D,26,170.0,30,891452,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,870652800,"{'value': 440000, 'currency': 'EUR'}",,26,False,19.0,13.0,5.0,,0.0,,,90.0,46.0,7.1,13.0,"{'original': 7.1, 'alternative': None}",1.0,1.0,4.0,6.0,2.0,,6.0,3.0,3.0,1.0,,1.0,2.0,,2.0,,,,,,,,,Deportivo Cali,home
Yeison Gordillo,,,yeison-gordillo,Y. Gordillo,M,30,176.0,75,285429,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,709430400,"{'value': 310000, 'currency': 'EUR'}",,30,False,21.0,18.0,3.0,,0.0,,,90.0,34.0,6.9,7.0,"{'original': 6.9, 'alternative': None}",,,4.0,6.0,3.0,1.0,,,3.0,2.0,,,2.0,1.0,1.0,1.0,,,,,,,,Deportivo Cali,home
Rafael Bustamante,,,rafael-bustamante,R. Bustamante,M,5,176.0,37,934421,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,938822400,"{'value': 420000, 'currency': 'EUR'}",,5,False,20.0,15.0,4.0,3.0,0.0,,,85.0,29.0,7.0,7.0,"{'original': 7, 'alternative': None}",,,2.0,6.0,,,1.0,,3.0,1.0,,,3.0,,,,1.0,,,,,,,Deportivo Cali,home
Jean Colorado,,,colorado-jean,J. Colorado,M,23,180.0,34,985106,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,968630400,"{'value': 485000, 'currency': 'EUR'}",,23,False,22.0,15.0,,,0.0,,,85.0,30.0,6.6,10.0,"{'original': 6.6, 'alternative': None}",,,4.0,3.0,,,,1.0,3.0,1.0,,1.0,,,,,1.0,1.0,,,,,,Deportivo Cali,home
Fabián Castillo,,,fabian-castillo,F. Castillo,F,8,172.0,107,151561,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,708739200,"{'value': 195000, 'currency': 'EUR'}",,8,False,16.0,11.0,,,0.0,,,54.0,25.0,6.5,11.0,"{'original': 6.5, 'alternative': None}",1.0,,6.0,2.0,1.0,,,,1.0,2.0,1.0,1.0,1.0,,,,,2.0,1.0,,,,,Deportivo Cali,home
Andrey Estupiñán,,,andrey-estupinan,A. Estupiñán,F,11,175.0,124,944462,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,773366400,"{'value': 320000, 'currency': 'EUR'}",,11,False,16.0,10.0,,,0.0,,,75.0,27.0,7.2,10.0,"{'original': 7.2, 'alternative': None}",,,5.0,3.0,2.0,,1.0,,1.0,1.0,,,2.0,,,1.0,,2.0,,1.0,1.0,,,Deportivo Cali,home
