name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialWon,duelLost,duelWon,challengeLost,totalTackle,wasFouled,fouls,aerialLost,bigChanceCreated,interceptionWon,keyPass,dispossessed,blockedScoringAttempt,shotOffTarget,totalContest,onTargetScoringAttempt,accurateCross,wonContest,goals,totalOffside,outfielderBlock,captain,team,teamType,savedShotsFromInsideTheBox
Salvador Ichazo,salvador-ichazo,S. Ichazo,G,1,185.0,63,158605,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,696384000.0,"{'value': 360000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'س. إشازو', 'hi': 'एस. इचाज़ो', 'bn': 'এস. ইচাজো'}}",,,1,False,28.0,14.0,19.0,5.0,0.0,1.0,3.0,90.0,33.0,7.0,14.0,"{'original': 7, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,home,
Walmer Pacheco,walmer-pacheco,W. Pacheco,D,21,172.0,52,819169,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,790214400.0,"{'value': 700000, 'currency': 'EUR'}",,,,21,False,30.0,24.0,4.0,2.0,0.0,2.0,,90.0,55.0,6.8,15.0,"{'original': 6.8, 'alternative': None}",1.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,Deportivo Pereira,home,
Santiago Aguilar,santiago-aguilar,S. Aguilar,D,15,188.0,12,1478346,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,901756800.0,"{'value': 215000, 'currency': 'EUR'}",,Santiago Aguilar,,15,False,28.0,20.0,15.0,8.0,1.0,2.0,,90.0,32.0,7.3,8.0,"{'original': 7.3, 'alternative': None}",,1.0,2.0,2.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,Deportivo Pereira,home,
José Moya,jose-moya,J. Moya,D,3,184.0,24,285501,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,713145600.0,"{'value': 410000, 'currency': 'EUR'}",,,,3,False,21.0,17.0,7.0,3.0,0.0,5.0,,90.0,37.0,7.0,5.0,"{'original': 7, 'alternative': None}",,2.0,3.0,4.0,,1.0,1.0,1.0,1.0,,2.0,,1.0,1.0,,,,,,,,,,Deportivo Pereira,home,
Jeison Suárez,jeison-suarez,J. Suárez,D,26,174.0,33,819096,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,868320000.0,"{'value': 500000, 'currency': 'EUR'}",,,,26,False,16.0,8.0,5.0,1.0,0.0,3.0,,90.0,37.0,7.1,14.0,"{'original': 7.1, 'alternative': None}",2.0,2.0,2.0,4.0,,2.0,,1.0,1.0,,1.0,,,,1.0,,,,,,,,,Deportivo Pereira,home,
Juan David Ríos,juan-david-rios,J. D. Ríos,M,14,173.0,30,829864,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,686793600.0,"{'value': 470000, 'currency': 'EUR'}",,,,14,False,23.0,23.0,4.0,4.0,0.0,,,79.0,35.0,7.1,7.0,"{'original': 7.1, 'alternative': None}",1.0,2.0,7.0,6.0,,2.0,2.0,4.0,1.0,,1.0,2.0,2.0,,,,,,,,,,,Deportivo Pereira,home,
Kelvin Osorio,kelvin-osorio,K. Osorio,M,33,181.0,29,818997,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,751852800.0,"{'value': 465000, 'currency': 'EUR'}",,,,33,False,39.0,27.0,7.0,3.0,0.0,1.0,,90.0,52.0,6.8,15.0,"{'original': 6.8, 'alternative': None}",,1.0,5.0,5.0,,3.0,1.0,2.0,,,2.0,1.0,1.0,,,2.0,1.0,,,,,,,Deportivo Pereira,home,
Jhon Largacha,jhon-largacha,J. Largacha,M,11,167.0,59,1478310,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1074729600.0,"{'value': 185000, 'currency': 'EUR'}",,Jhon Largacha,,11,False,10.0,6.0,1.0,,0.0,,,70.0,22.0,6.8,10.0,"{'original': 6.8, 'alternative': None}",5.0,1.0,4.0,2.0,,1.0,,3.0,,,,2.0,1.0,,1.0,,,2.0,,,,,,Deportivo Pereira,home,
Darwin Quintero,darwin-quintero,D. Quintero,F,7,166.0,706,787564,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,559008000.0,"{'value': 90000, 'currency': 'EUR'}",,,,7,False,14.0,10.0,1.0,1.0,0.0,,,80.0,25.0,7.6,8.0,"{'original': 7.6, 'alternative': None}",,1.0,5.0,3.0,,,1.0,1.0,2.0,,,1.0,,,1.0,3.0,3.0,,1.0,1.0,1.0,,True,Deportivo Pereira,home,
Yuber Quiñones,yuber-quinones,Y. Quiñones,M,13,173.0,96,1111115,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1034035200.0,"{'value': 385000, 'currency': 'EUR'}",,Yuber Quiñones,,13,False,19.0,15.0,3.0,1.0,0.0,,,87.0,33.0,7.0,11.0,"{'original': 7, 'alternative': None}",5.0,,2.0,3.0,,,3.0,,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,,Deportivo Pereira,home,
Samy Jr Merheg,merheg-samy-jr,S. J. Merheg,F,38,186.0,98,1653094,"{'alpha2': 'LB', 'alpha3': 'LBN', 'name': 'Lebanon', 'slug': 'lebanon'}",EUR,1170288000.0,,,,,38,False,10.0,8.0,1.0,,0.0,1.0,,86.0,21.0,7.4,5.0,"{'original': 7.4, 'alternative': None}",,2.0,7.0,5.0,,1.0,2.0,3.0,3.0,,,,1.0,1.0,,,2.0,,,1.0,1.0,,,Deportivo Pereira,home,
Jaime Diaz,diaz-jaime,J. Diaz,D,23,,14,1174610,{},EUR,,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'J. d. J. D. Montes'}}",,,23,True,4.0,2.0,1.0,,0.0,1.0,,20.0,7.0,6.7,2.0,"{'original': 6.7, 'alternative': None}",,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,Deportivo Pereira,home,
Jorge Bermúdez,jorge-bermudez,J. Bermúdez,M,5,166.0,12,1016202,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,981331200.0,"{'value': 360000, 'currency': 'EUR'}",,,,5,True,5.0,3.0,1.0,,0.0,,,11.0,6.0,6.6,2.0,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,1.0,,Deportivo Pereira,home,
Carlos Cruz,cruz-carlos,C. Cruz,M,2,,17,1886007,"{'alpha2': 'MX', 'alpha3': 'MEX', 'name': 'Mexico', 'slug': 'mexico'}",EUR,1073692800.0,,,,,2,True,4.0,3.0,1.0,1.0,0.0,1.0,,10.0,5.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,Deportivo Pereira,home,
Gianfranco Peña,gianfranco-pena,G. Peña,F,9,190.0,35,1174786,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963273600.0,"{'value': 195000, 'currency': 'EUR'}",,Gianfranco Peña,,9,True,1.0,1.0,,,0.0,,,10.0,1.0,6.5,,"{'original': 6.5, 'alternative': None}",,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,Deportivo Pereira,home,
Felipe Mosquera,felipe-mosquera,F. Mosquera,F,77,174.0,24,1173951,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1023235200.0,"{'value': 240000, 'currency': 'EUR'}",,Felipe Mosquera,,77,True,1.0,1.0,,,0.0,1.0,,9.0,3.0,6.5,,"{'original': 6.5, 'alternative': None}",,,1.0,,,,,2.0,,,,,,,,,,,,,,,,Deportivo Pereira,home,
Franklin Mosquera,franklin-mosquera,F. Mosquera,G,12,,3,1184666,{},EUR,,,,Franklin Mosquera,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,home,
Yesus Cabrera,yesus-cabrera,Yesus Cabrera,M,10,169.0,87,830016,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,653356800.0,"{'value': 380000, 'currency': 'EUR'}",,,,10,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,home,
Alejandro Rodríguez,alejandro-rodriguez,A. Rodríguez,G,38,188.0,105,1098301,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,979257600.0,"{'value': 825000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. رودريغيز', 'hi': 'ए. रोड्रिग्ज', 'bn': 'এ. রদ্রিগেজ'}}",Alejandro Rodríguez,,38,False,24.0,17.0,10.0,3.0,0.0,,4.0,90.0,30.0,6.7,7.0,"{'original': 6.7, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,Deportivo Cali,away,2.0
Juan Angulo,juan-angulo,J. Angulo,D,13,178.0,45,38170,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,591235200.0,"{'value': 46000, 'currency': 'EUR'}",,,,13,False,57.0,43.0,11.0,2.0,0.0,,,90.0,75.0,6.5,18.0,"{'original': 6.5, 'alternative': None}",3.0,1.0,,1.0,,,,,,,,1.0,,,1.0,,1.0,1.0,,,,,True,Deportivo Cali,away,
Juan Quintero,juan-quintero,Juan Quintero,D,3,183.0,140,589394,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,795916800.0,"{'value': 670000, 'currency': 'EUR'}",,,,3,False,52.0,47.0,5.0,3.0,0.0,4.0,,90.0,63.0,6.7,6.0,"{'original': 6.7, 'alternative': None}",,1.0,4.0,3.0,,1.0,1.0,1.0,2.0,,3.0,,1.0,,,,,,,,,,,Deportivo Cali,away,
Guzmán Corujo,guzman-corujo,G. Corujo,D,16,189.0,116,874970,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,838944000.0,"{'value': 390000, 'currency': 'EUR'}",,,,16,False,21.0,17.0,2.0,2.0,0.0,4.0,,45.0,28.0,6.8,4.0,"{'original': 6.8, 'alternative': None}",,3.0,2.0,4.0,,,1.0,1.0,1.0,,,,,,1.0,,,,,,,1.0,,Deportivo Cali,away,
Cristian Graciano,graciano-cristian,C. Graciano,D,44,176.0,28,1476923,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1052784000.0,"{'value': 325000, 'currency': 'EUR'}",,,,44,False,16.0,13.0,1.0,1.0,0.0,1.0,,55.0,28.0,6.8,8.0,"{'original': 6.8, 'alternative': None}",1.0,2.0,2.0,6.0,,2.0,1.0,,1.0,,1.0,,1.0,,,1.0,,,1.0,,,,,Deportivo Cali,away,
Jean Colorado,colorado-jean,J. Colorado,M,23,180.0,34,985106,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,968630400.0,"{'value': 485000, 'currency': 'EUR'}",,,,23,False,49.0,40.0,5.0,,0.0,2.0,,90.0,61.0,6.6,10.0,"{'original': 6.6, 'alternative': None}",1.0,,6.0,3.0,1.0,2.0,1.0,4.0,,,,,,,,1.0,,1.0,,,,1.0,,Deportivo Cali,away,
Victor Mejia,victor-mejia,V. Mejia,M,6,182.0,20,355878,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,728784000.0,"{'value': 390000, 'currency': 'EUR'}",,,,6,False,26.0,22.0,1.0,,0.0,2.0,,45.0,34.0,6.5,7.0,"{'original': 6.5, 'alternative': None}",,1.0,2.0,2.0,,1.0,,,,,,,,,,2.0,,,,,,,,Deportivo Cali,away,
Juan Arango,juan-arango,J. Arango,F,17,,25,1616364,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1181952000.0,,,Juan Arango,,17,False,20.0,13.0,1.0,,0.0,,,90.0,28.0,6.6,10.0,"{'original': 6.6, 'alternative': None}",,,3.0,3.0,,2.0,1.0,1.0,1.0,,,1.0,,,,1.0,,,,,,,,Deportivo Cali,away,
Javier Reina,javier-reina,J. Reina,M,10,173.0,58,590378,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,599875200.0,"{'value': 210000, 'currency': 'EUR'}",,,,10,False,34.0,30.0,3.0,2.0,0.0,,,67.0,46.0,6.8,8.0,"{'original': 6.8, 'alternative': None}",2.0,,3.0,4.0,,,4.0,1.0,2.0,,,,,,1.0,,,1.0,,,,,,Deportivo Cali,away,
Gian Cabezas,gian-cabezas,G. Cabezas,M,28,178.0,43,1099301,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1041379200.0,"{'value': 420000, 'currency': 'EUR'}",,Gian Cabezas,,28,False,17.0,16.0,4.0,3.0,0.0,,,45.0,25.0,6.5,6.0,"{'original': 6.5, 'alternative': None}",,,3.0,1.0,,1.0,,,,,,,2.0,,1.0,1.0,,,,,,,,Deportivo Cali,away,
Andrey Estupiñán,andrey-estupinan,A. Estupiñán,F,11,175.0,124,944462,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,773366400.0,"{'value': 320000, 'currency': 'EUR'}",,,,11,False,18.0,13.0,1.0,,0.0,,,90.0,30.0,6.7,10.0,"{'original': 6.7, 'alternative': None}",1.0,1.0,8.0,8.0,,,7.0,2.0,3.0,,,1.0,1.0,,,2.0,,,,,2.0,,,Deportivo Cali,away,
Yulián Gómez,yulian-gomez,Y. Gómez,D,26,170.0,30,891452,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,870652800.0,"{'value': 440000, 'currency': 'EUR'}",,,,26,True,18.0,15.0,2.0,,0.0,1.0,,45.0,32.0,6.8,7.0,"{'original': 6.8, 'alternative': None}",2.0,,1.0,2.0,,1.0,1.0,,1.0,,1.0,1.0,,,,,,,,,1.0,,,Deportivo Cali,away,
José Caldera,jose-caldera,J. Caldera,D,12,185.0,41,1127886,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1012780800.0,"{'value': 470000, 'currency': 'EUR'}",,José Caldera,,12,True,29.0,25.0,7.0,4.0,0.0,1.0,,45.0,33.0,6.7,4.0,"{'original': 6.7, 'alternative': None}",,2.0,3.0,2.0,,,,1.0,2.0,,,,,,1.0,,1.0,,,,,,,Deportivo Cali,away,
Rafael Bustamante,rafael-bustamante,R. Bustamante,M,5,176.0,37,934421,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,938822400.0,"{'value': 420000, 'currency': 'EUR'}",,,,5,True,25.0,21.0,1.0,,0.0,,,45.0,28.0,6.5,4.0,"{'original': 6.5, 'alternative': None}",,,1.0,2.0,,,2.0,1.0,,,,,,,,,,,,,,,,Deportivo Cali,away,
Fabián Castillo,fabian-castillo,F. Castillo,F,8,172.0,107,151561,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,708739200.0,"{'value': 195000, 'currency': 'EUR'}",,,,8,True,19.0,10.0,,,0.0,,,35.0,25.0,6.9,11.0,"{'original': 6.9, 'alternative': None}",1.0,,1.0,,,,,,1.0,,,2.0,,,1.0,,1.0,,,,,,,Deportivo Cali,away,
Juan Camilo Cantillo,juan-camilo-cantillo,J. C. Cantillo,F,18,175.0,17,1174880,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1041984000.0,"{'value': 105000, 'currency': 'EUR'}",,Juan Camilo Cantillo,,18,True,10.0,9.0,,,0.0,,,23.0,16.0,6.8,2.0,"{'original': 6.8, 'alternative': None}",,,1.0,3.0,,1.0,2.0,,1.0,,,,,1.0,,,,,,,,,,Deportivo Cali,away,
Gastón Guruceaga,gaston-guruceaga,G. Guruceaga,G,22,190.0,73,589614,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,795225600.0,"{'value': 380000, 'currency': 'EUR'}",,,,22,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Cali,away,
Kleiton Cuellar,kleiton-cuellar,K. Cuellar,F,36,184.0,16,1385943,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1077753600.0,,,Kleiton Cuellar,,36,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Cali,away,
