name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,totalClearance,goodHighClaim,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,duelLost,blockedScoringAttempt,outfielderBlock,totalTackle,wasFouled,accurateCross,onTargetScoringAttempt,interceptionWon,challengeLost,dispossessed,bigChanceCreated,goals,fouls,keyPass,totalContest,shotOffTarget,wonContest,captain,team,teamType,totalOffside
Cristopher Fiermarín,,,cristopher-fiermarin,C. Fiermarín,G,22,189.0,104,881111,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,883612800.0,"{'value': 1400000, 'currency': 'EUR'}",,22,False,31.0,19.0,16.0,5.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,90.0,37.0,6.5,12.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,Deportes Tolima,home,
Yhorman Hurtado,,,hurtado-yhorman,Y. Hurtado,D,26,170.0,31,1100500,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,850521600.0,"{'value': 535000, 'currency': 'EUR'}",,26,False,35.0,23.0,11.0,4.0,0.0,,1.0,7.0,,,,90.0,60.0,6.7,17.0,"{'original': 6.7, 'alternative': None}",2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,Deportes Tolima,home,
Marlon Torres,,,marlon-torres,M. Torres,D,17,180.0,44,869990,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,829699200.0,"{'value': 590000, 'currency': 'EUR'}",,17,False,30.0,28.0,4.0,2.0,0.0,4.0,6.0,10.0,,,,90.0,44.0,7.1,3.0,"{'original': 7.1, 'alternative': None}",,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,Deportes Tolima,home,
Jhon Quiñónes,Jhon Quiñónes,,jhon-quinones,J. Quiñónes,D,4,188.0,13,1494091,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1082073600.0,,,4,False,46.0,42.0,6.0,4.0,0.0,,,1.0,,,,90.0,50.0,6.5,4.0,"{'original': 6.5, 'alternative': None}",,1.0,1.0,,,,,,,,,,,,,,,,,,Deportes Tolima,home,
Samuel Velásquez,Samuel Velásquez,,samuel-velasquez,S. Velásquez,D,33,174.0,130,1185987,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1054166400.0,"{'value': 770000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ص. فيلاسكيز', 'hi': 'एस. वेलास्केज़', 'bn': 'এস. ভেলাস্কেজ'}}",33,False,40.0,32.0,5.0,3.0,0.0,,1.0,4.0,,,,90.0,62.0,6.9,14.0,"{'original': 6.9, 'alternative': None}",2.0,1.0,1.0,,,,1.0,1.0,1.0,2.0,,,,,,,,,,,Deportes Tolima,home,
Cristian Trujillo,,,cristian-trujillo,C. Trujillo,M,6,174.0,23,931707,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,902620800.0,"{'value': 580000, 'currency': 'EUR'}",,6,False,40.0,32.0,5.0,2.0,0.0,,2.0,1.0,,,,90.0,47.0,6.5,10.0,"{'original': 6.5, 'alternative': None}",,1.0,4.0,,,2.0,,,,1.0,2.0,1.0,,,,,,,,,Deportes Tolima,home,
Juan Pablo Nieto,,,juan-pablo-nieto,J. P. Nieto,M,15,178.0,40,338861,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,730598400.0,"{'value': 470000, 'currency': 'EUR'}",,15,False,39.0,33.0,6.0,4.0,1.0,,4.0,1.0,,,,76.0,48.0,8.5,7.0,"{'original': 8.5, 'alternative': None}",,,3.0,,,2.0,2.0,,2.0,,2.0,,1.0,1.0,1.0,1.0,,,,True,Deportes Tolima,home,
Jersson González,,,jersson-gonzalez,J. González,M,7,172.0,89,1014824,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1000512000.0,"{'value': 955000, 'currency': 'EUR'}",,7,False,11.0,5.0,1.0,,0.0,1.0,3.0,,,,,81.0,24.0,6.6,12.0,"{'original': 6.6, 'alternative': None}",,,4.0,,,2.0,,,,,1.0,1.0,,,,1.0,2.0,1.0,,,Deportes Tolima,home,
Andrés Arroyo,,,andres-arroyo,A. Arroyo,M,25,171.0,136,978706,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1011484800.0,"{'value': 370000, 'currency': 'EUR'}",,25,False,9.0,8.0,,,0.0,,2.0,,,,,48.0,18.0,6.6,5.0,"{'original': 6.6, 'alternative': None}",1.0,,2.0,,,1.0,1.0,1.0,2.0,,,1.0,,1.0,1.0,1.0,,,,,Deportes Tolima,home,
Kevin Pérez,,,kevin-perez,K. Pérez,M,18,170.0,40,991859,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869184000.0,"{'value': 605000, 'currency': 'EUR'}",,18,False,23.0,18.0,2.0,1.0,0.0,1.0,7.0,1.0,,,,76.0,45.0,7.0,13.0,"{'original': 7, 'alternative': None}",4.0,1.0,4.0,,,2.0,1.0,1.0,,,,,,,1.0,3.0,5.0,,3.0,,Deportes Tolima,home,
