name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalClearance,wasFouled,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialWon,duelLost,challengeLost,totalContest,totalTackle,aerialLost,shotOffTarget,onTargetScoringAttempt,blockedScoringAttempt,goals,outfielderBlock,interceptionWon,fouls,keyPass,dispossessed,bigChanceMissed,accurateCross,bigChanceCreated,totalOffside,wonContest,captain,team,teamType,punches
Alejandro Rodríguez,Alejandro Rodríguez,,alejandro-rodriguez,A. Rodríguez,G,38,188.0,105,1098301,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,979257600.0,"{'value': 825000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. رودريغيز', 'hi': 'ए. रोड्रिग्ज', 'bn': 'এ. রদ্রিগেজ'}}",38,False,16.0,10.0,8.0,2.0,0.0,1.0,1.0,1.0,1.0,3.0,90.0,25.0,6.7,6.0,"{'original': 6.7, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,Deportivo Cali,home,
Fabián Viáfara,,,fabian-viafara,F. Viáfara,D,27,167.0,35,588548,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,700704000.0,"{'value': 430000, 'currency': 'EUR'}",,27,False,37.0,31.0,4.0,1.0,0.0,3.0,3.0,1.0,,,90.0,59.0,6.3,12.0,"{'original': 6.3, 'alternative': None}",2.0,1.0,3.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,Deportivo Cali,home,
Juan Quintero,,,juan-quintero,Juan Quintero,D,3,183.0,140,589394,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,795916800.0,"{'value': 670000, 'currency': 'EUR'}",,3,False,43.0,41.0,,,0.0,7.0,4.0,1.0,,,90.0,56.0,7.9,2.0,"{'original': 7.9, 'alternative': None}",,5.0,4.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,,,,True,Deportivo Cali,home,
José Caldera,José Caldera,,jose-caldera,J. Caldera,D,12,185.0,41,1127886,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1012780800.0,"{'value': 470000, 'currency': 'EUR'}",,12,False,35.0,29.0,8.0,5.0,0.0,2.0,1.0,,,,90.0,43.0,6.7,7.0,"{'original': 6.7, 'alternative': None}",,1.0,3.0,1.0,,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,Deportivo Cali,home,
Yulián Gómez,,,yulian-gomez,Y. Gómez,D,26,170.0,30,891452,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,870652800.0,"{'value': 440000, 'currency': 'EUR'}",,26,False,20.0,18.0,1.0,,0.0,,2.0,,,,90.0,42.0,6.4,9.0,"{'original': 6.4, 'alternative': None}",2.0,,4.0,,1.0,,1.0,,1.0,,,,2.0,,,2.0,1.0,,,,,,Deportivo Cali,home,
Rafael Bustamante,,,rafael-bustamante,R. Bustamante,M,5,176.0,37,934421,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,938822400.0,"{'value': 420000, 'currency': 'EUR'}",,5,False,55.0,48.0,1.0,,0.0,5.0,,1.0,,,90.0,66.0,7.0,9.0,"{'original': 7, 'alternative': None}",,,5.0,,,4.0,,1.0,,,,,1.0,5.0,1.0,,,,,,,,Deportivo Cali,home,
Victor Mejia,,,victor-mejia,V. Mejia,M,6,182.0,20,355878,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,728784000.0,"{'value': 390000, 'currency': 'EUR'}",,6,False,33.0,29.0,,,0.0,1.0,,,,,45.0,40.0,6.3,8.0,"{'original': 6.3, 'alternative': None}",,,4.0,,2.0,1.0,,,,,,,,2.0,1.0,,,,,,,,Deportivo Cali,home,
Jarlan Barrera,,,jarlan-barrera,J. Barrera,M,7,171.0,286,796511,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,811209600.0,"{'value': 595000, 'currency': 'EUR'}",,7,False,52.0,40.0,11.0,8.0,1.0,5.0,,5.0,,,90.0,81.0,8.6,24.0,"{'original': 8.6, 'alternative': None}",5.0,,2.0,,1.0,,,2.0,,,,,,,6.0,1.0,,3.0,3.0,1.0,,,Deportivo Cali,home,
Jean Galindo,Jean Galindo,,jean-galindo,J. Galindo,,33,,19,1965572,{},EUR,,,,33,False,8.0,5.0,1.0,,0.0,1.0,,,,,45.0,11.0,6.3,5.0,"{'original': 6.3, 'alternative': None}",,,5.0,,,1.0,1.0,,,,,,,3.0,,1.0,,,,,,,Deportivo Cali,home,
Fabián Castillo,,,fabian-castillo,F. Castillo,F,8,172.0,107,151561,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,708739200.0,"{'value': 195000, 'currency': 'EUR'}",,8,False,26.0,18.0,2.0,,1.0,4.0,,2.0,,,71.0,45.0,7.2,18.0,"{'original': 7.2, 'alternative': None}",1.0,,5.0,,4.0,,1.0,,,1.0,,,,1.0,2.0,1.0,,,1.0,,2.0,,Deportivo Cali,home,
