name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalClearance,wasFouled,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,keyPass,ratingVersions,totalCross,accurateCross,duelLost,totalContest,wonContest,shotOffTarget,interceptionWon,fouls,aerialLost,aerialWon,totalTackle,challengeLost,dispossessed,onTargetScoringAttempt,outfielderBlock,totalOffside,captain,team,teamType,bigChanceCreated,bigChanceMissed,hitWoodwork,blockedScoringAttempt
Cristopher Varela,cristopher-varela,C. Varela,G,1,189.0,59,868776,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,943660800.0,"{'value': 400000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. فاريلّا', 'hi': 'सी. वेरेला', 'bn': 'সি. ভারেলা'}}",,,1,False,36.0,16.0,32.0,12.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,90.0,42.0,7.1,20.0,1.0,"{'original': 7.1, 'alternative': None}",,,,,,,,,,,,,,,,,,Deportivo La Equidad,home,,,,
Yair Joao Abonia Vasquez,yair-abonia,J. Abonia,D,13,170.0,9,1175080,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,949968000.0,"{'value': 310000, 'currency': 'EUR'}",,Yair Joao,Abonia Vásquez,13,False,12.0,11.0,2.0,1.0,0.0,1.0,1.0,,,,,,,90.0,33.0,7.0,7.0,1.0,"{'original': 7, 'alternative': None}",2.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,,,,,,,,,,Deportivo La Equidad,home,,,,
Guillermo Tegüe,guillermo-tegue,G. Tegüe,D,4,186.0,8,906007,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,949795200.0,"{'value': 315000, 'currency': 'EUR'}",,,,4,False,28.0,19.0,7.0,1.0,0.0,,4.0,,,,,,,90.0,34.0,6.6,9.0,,"{'original': 6.6, 'alternative': None}",,,3.0,,,,,1.0,2.0,,,,,,,,,Deportivo La Equidad,home,,,,
Daniel Polanco,daniel-polanco,D. Polanco,D,2,,5,1170892,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,911174400.0,,,Daniel Polanco,,22,False,13.0,10.0,3.0,1.0,0.0,3.0,9.0,,,,,,,90.0,28.0,7.1,3.0,,"{'original': 7.1, 'alternative': None}",,,4.0,1.0,1.0,,2.0,3.0,1.0,1.0,1.0,,,,,,,Deportivo La Equidad,home,,,,
Brayan Montaño,brayan-montano,B. Montaño,D,24,176.0,25,1003376,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1020297600.0,"{'value': 340000, 'currency': 'EUR'}",,,,24,False,18.0,14.0,3.0,,0.0,2.0,8.0,,,,,,,90.0,32.0,6.8,5.0,,"{'original': 6.8, 'alternative': None}",,,5.0,1.0,,1.0,1.0,1.0,2.0,2.0,,1.0,,,,,,Deportivo La Equidad,home,,,,
Andres Correa,andres-correa,A. Correa,D,3,174.0,10,329607,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,759801600.0,"{'value': 380000, 'currency': 'EUR'}",,,,3,False,14.0,9.0,2.0,1.0,0.0,4.0,4.0,,,,,,,90.0,31.0,6.9,11.0,,"{'original': 6.9, 'alternative': None}",,,3.0,,,,,1.0,2.0,2.0,2.0,,,,,,True,Deportivo La Equidad,home,,,,
Samir Mayo,mayo-samir,S. Mayo,M,16,,19,1476921,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1043884800.0,"{'value': 335000, 'currency': 'EUR'}",,,,18,False,14.0,7.0,1.0,,0.0,4.0,,1.0,,,,,,62.0,22.0,7.0,10.0,1.0,"{'original': 7, 'alternative': None}",,,3.0,,,,,,1.0,,3.0,1.0,1.0,1.0,,,,Deportivo La Equidad,home,,,,
Santiago Orozco,santiago-orozco,S. Orozco,M,6,172.0,8,1016205,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,826934400.0,"{'value': 270000, 'currency': 'EUR'}",,,,19,False,36.0,28.0,8.0,4.0,0.0,7.0,1.0,2.0,,,,,,90.0,51.0,7.5,11.0,3.0,"{'original': 7.5, 'alternative': None}",1.0,,4.0,,,,2.0,2.0,2.0,,5.0,,,,1.0,,,Deportivo La Equidad,home,,,,
Deyson Copete,deyson-david-copete-cuesta,D. Copete,M,33,187.0,7,1901819,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,998438400.0,"{'value': 145000, 'currency': 'EUR'}",,Deyson David,Copete Cuesta,5,False,,,,,0.0,1.0,,,,,,,,12.0,3.0,6.5,1.0,1.0,"{'original': 6.5, 'alternative': None}",,,3.0,,,,1.0,1.0,1.0,,1.0,,1.0,,,,,Deportivo La Equidad,home,,,,
Ayron Del Valle,ayron-del-valle,A. D. Valle,F,7,178.0,97,47735,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,601862400.0,"{'value': 160000, 'currency': 'EUR'}",,,,7,False,16.0,10.0,2.0,1.0,0.0,3.0,,,,,,,,88.0,26.0,6.7,11.0,,"{'original': 6.7, 'alternative': None}",1.0,,9.0,1.0,,2.0,,2.0,5.0,2.0,1.0,,1.0,1.0,,1.0,,Deportivo La Equidad,home,,,,
