name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,duelLost,duelWon,interceptionWon,totalTackle,fouls,aerialLost,aerialWon,accurateCross,totalContest,outfielderBlock,totalOffside,keyPass,dispossessed,wonContest,shotOffTarget,onTargetScoringAttempt,blockedScoringAttempt,goals,wasFouled,penaltyConceded,bigChanceMissed,challengeLost,captain,team,teamType,bigChanceCreated
Cristopher Varela,cristopher-varela,C. Varela,G,1,189.0,59,868776,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,943660800.0,"{'value': 400000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. فاريلّا', 'hi': 'सी. वेरेला', 'bn': 'সি. ভারেলা'}}",,,1,False,27.0,8.0,22.0,4.0,0.0,1.0,3.0,3.0,90.0,35.0,6.8,20.0,"{'original': 6.8, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,home,
Miguel Amaya,miguel-amaya,M. Amaya,,20,,5,2048968,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,,,,Miguel Amaya,,20,False,20.0,18.0,1.0,1.0,0.0,3.0,,,90.0,30.0,6.6,6.0,"{'original': 6.6, 'alternative': None}",1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,home,
Guillermo Tegüe,guillermo-tegue,G. Tegüe,D,4,186.0,8,906007,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,949795200.0,"{'value': 315000, 'currency': 'EUR'}",,,,4,False,10.0,9.0,1.0,,0.0,1.0,,,32.0,13.0,6.7,1.0,"{'original': 6.7, 'alternative': None}",,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,home,
Bleiner Agrón,bleiner-agron,B. Agrón,D,30,185.0,27,1066910,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,982972800.0,"{'value': 260000, 'currency': 'EUR'}",,Bleiner Agrón,,30,False,37.0,28.0,9.0,2.0,0.0,6.0,,,90.0,44.0,6.6,9.0,"{'original': 6.6, 'alternative': None}",,1.0,2.0,1.0,,,1.0,2.0,,,,,,,,,,,,,,,,,Deportivo La Equidad,home,
Amaury Torralvo,torralvo-amaury,A. Torralvo,F,36,169.0,11,821915,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,758332800.0,"{'value': 260000, 'currency': 'EUR'}",,,,26,False,29.0,20.0,6.0,1.0,1.0,4.0,,,90.0,50.0,6.9,15.0,"{'original': 6.9, 'alternative': None}",2.0,2.0,,,,,1.0,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,Deportivo La Equidad,home,
Samir Mayo,mayo-samir,S. Mayo,M,16,,19,1476921,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1043884800.0,"{'value': 335000, 'currency': 'EUR'}",,,,16,False,28.0,22.0,2.0,1.0,0.0,1.0,,,90.0,41.0,7.3,12.0,"{'original': 7.3, 'alternative': None}",1.0,4.0,2.0,,,2.0,,,,2.0,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,Deportivo La Equidad,home,
Santiago Orozco,santiago-orozco,S. Orozco,M,6,172.0,8,1016205,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,826934400.0,"{'value': 270000, 'currency': 'EUR'}",,,,6,False,28.0,23.0,4.0,3.0,0.0,,,,45.0,39.0,7.3,8.0,"{'original': 7.3, 'alternative': None}",3.0,1.0,2.0,1.0,,2.0,,,2.0,,,,3.0,,,1.0,1.0,1.0,1.0,2.0,1.0,,,,Deportivo La Equidad,home,
Felipe Acosta,felipe-acosta,F. Acosta,M,14,190.0,15,924302,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,769824000.0,"{'value': 580000, 'currency': 'EUR'}",,,,14,False,33.0,31.0,5.0,4.0,0.0,3.0,,,90.0,43.0,6.8,6.0,"{'original': 6.8, 'alternative': None}",3.0,5.0,4.0,,1.0,,4.0,3.0,,1.0,,,,,,,1.0,,,,,,,True,Deportivo La Equidad,home,
Yair Joao Abonia Vasquez,yair-abonia,J. Abonia,D,13,170.0,9,1175080,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,949968000.0,"{'value': 310000, 'currency': 'EUR'}",,Yair Joao,Abonia Vásquez,13,False,20.0,15.0,1.0,,1.0,,,,87.0,34.0,6.9,11.0,"{'original': 6.9, 'alternative': None}",3.0,5.0,2.0,,,2.0,2.0,,,1.0,,1.0,3.0,1.0,1.0,,,1.0,,1.0,,,,,Deportivo La Equidad,home,
Wilmar Cruz,wilmar-cruz,W. Cruz,F,10,171.0,31,925131,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,743731200.0,"{'value': 260000, 'currency': 'EUR'}",,,,10,False,11.0,10.0,,,0.0,1.0,,,90.0,25.0,6.8,4.0,"{'original': 6.8, 'alternative': None}",1.0,4.0,4.0,,,,3.0,2.0,,,,,,1.0,,2.0,1.0,,,2.0,,1.0,,,Deportivo La Equidad,home,
