name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,aerialLost,aerialWon,duelLost,duelWon,totalContest,wonContest,totalClearance,outfielderBlock,interceptionWon,totalTackle,fouls,totalCross,accurateCross,wasFouled,keyPass,dispossessed,shotOffTarget,onTargetScoringAttempt,challengeLost,blockedScoringAttempt,bigChanceMissed,hitWoodwork,totalOffside,bigChanceCreated,captain,team,teamType,ownGoals,goals
Santiago Silva,,,silva-santiago,S. Silva,G,27,190.0,101,1002740,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,926380800,"{'value': 570000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'S. I. S. Azambuja'}}",27,False,17.0,17.0,5.0,5.0,0.0,1.0,2.0,3.0,90.0,27.0,6.9,1.0,"{'original': 6.9, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,home,,
Mateo Castillo Márquez,Mateo,Castillo Márquez,mateo-castillo-marquez,M. C. Márquez,D,13,181.0,68,1904862,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1047686400,"{'value': 410000, 'currency': 'EUR'}",,13,False,38.0,35.0,3.0,1.0,0.0,,,,66.0,49.0,6.7,6.0,"{'original': 6.7, 'alternative': None}",3.0,1.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,América de Cali,home,,
Cristian Tovar,,,cristian-tovar,C. Tovar,D,6,182.0,68,873180,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,894412800,"{'value': 470000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. توفار', 'hi': 'सी. तोवर', 'bn': 'সি. টোভার'}}",6,False,55.0,50.0,4.0,1.0,0.0,,,,90.0,63.0,6.7,6.0,"{'original': 6.7, 'alternative': None}",3.0,2.0,4.0,3.0,,,4.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,América de Cali,home,,
Brayan Medina,,,medina-brayan,B. Medina,D,23,195.0,108,1187281,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1015200000,"{'value': 910000, 'currency': 'EUR'}",,23,False,63.0,55.0,5.0,2.0,0.0,,,,90.0,74.0,6.7,9.0,"{'original': 6.7, 'alternative': None}",2.0,6.0,5.0,6.0,1.0,,6.0,,1.0,,2.0,,,,,,,,,,,,,,,América de Cali,home,,
Marcos Mina,,,marcos-mina,M. Mina,D,14,163.0,80,1098198,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,923875200,"{'value': 580000, 'currency': 'EUR'}",,14,False,44.0,42.0,2.0,1.0,0.0,,,,90.0,64.0,7.4,6.0,"{'original': 7.4, 'alternative': None}",3.0,,3.0,5.0,,,1.0,,3.0,2.0,,4.0,2.0,3.0,1.0,,,,,,,,,,,América de Cali,home,,
Éder Balanta,,,eder-balanta,É. Balanta,M,3,181.0,491,322529,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,730857600,"{'value': 760000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'إ. بالانتا', 'hi': 'ई. बलंता', 'bn': 'ই. বালান্টা'}}",3,False,65.0,57.0,5.0,5.0,0.0,,,,90.0,84.0,7.6,12.0,"{'original': 7.6, 'alternative': None}",,4.0,4.0,7.0,1.0,,3.0,,1.0,3.0,2.0,1.0,,,,1.0,2.0,1.0,,,,,,,,América de Cali,home,,
José Cavadia,,,cavadia,J. Cavadia,M,29,177.0,70,2034583,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1127260800,"{'value': 310000, 'currency': 'EUR'}",,29,False,48.0,43.0,4.0,2.0,0.0,,,,56.0,55.0,7.0,7.0,"{'original': 7, 'alternative': None}",1.0,,5.0,1.0,,,,,2.0,,1.0,1.0,1.0,1.0,1.0,,,,3.0,1.0,,,,,,América de Cali,home,,
Cristian Barrios,,,cristian-barrios,C. Barrios,M,7,163.0,264,910158,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895536000,"{'value': 1200000, 'currency': 'EUR'}",,7,False,42.0,36.0,1.0,1.0,0.0,,,,90.0,56.0,6.9,11.0,"{'original': 6.9, 'alternative': None}",1.0,1.0,4.0,6.0,,,1.0,,,2.0,2.0,1.0,1.0,3.0,,1.0,,,,,,,,,,América de Cali,home,,
Sebastián Navarro,,,sebastian-navarro,S. Navarro,M,21,186.0,122,1018517,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963619200,"{'value': 840000, 'currency': 'EUR'}",,21,False,49.0,38.0,5.0,4.0,0.0,,,,90.0,62.0,7.0,14.0,"{'original': 7, 'alternative': None}",1.0,3.0,2.0,7.0,1.0,,2.0,,,,,1.0,1.0,4.0,,,2.0,1.0,,,1.0,,,,,América de Cali,home,,
Duván Vergara,,,duvan-vergara,D. Vergara,M,11,173.0,943,819149,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,842227200,"{'value': 2900000, 'currency': 'EUR'}",,11,False,27.0,19.0,1.0,,0.0,,,,66.0,43.0,6.6,21.0,"{'original': 6.6, 'alternative': None}",,1.0,3.0,1.0,1.0,,,,,,1.0,9.0,1.0,,,1.0,1.0,,,,,1.0,1.0,,True,América de Cali,home,,
Rodrigo Holgado,,,rodrigo-holgado,R. Holgado,F,22,179.0,1195,889043,"{'alpha2': 'MY', 'alpha3': 'MYS', 'name': 'Malaysia', 'slug': 'malaysia'}",EUR,804297600,"{'value': 775000, 'currency': 'EUR'}",,22,False,11.0,8.0,,,0.0,,,,66.0,22.0,6.7,7.0,"{'original': 6.7, 'alternative': None}",,1.0,2.0,3.0,1.0,1.0,,,,,,,,1.0,,2.0,1.0,,,,,,,,,América de Cali,home,,
Luis Gómez,,,luis-gomez,L. Gómez,F,16,173.0,73,958592,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,939600000,"{'value': 490000, 'currency': 'EUR'}",,16,True,12.0,11.0,1.0,1.0,0.0,,,,34.0,24.0,7.2,6.0,"{'original': 7.2, 'alternative': None}",,,2.0,5.0,3.0,1.0,,,,,,2.0,1.0,4.0,3.0,,1.0,,,,,,,,,América de Cali,home,,
Yerson Candelo,,,yerson-candelo,Y. Candelo,D,92,172.0,144,158593,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,698889600,"{'value': 525000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ي. كانديلو', 'hi': 'वाई. कैंडेलो', 'bn': 'ওয়াই. ক্যান্ডেলো'}}",92,True,19.0,14.0,3.0,1.0,0.0,,,,24.0,33.0,7.4,9.0,"{'original': 7.4, 'alternative': None}",,,,2.0,,,1.0,,2.0,2.0,,4.0,1.0,,2.0,,,,,1.0,,,,1.0,,América de Cali,home,,
Joider Micolta,Joider Micolta,,joider-micolta,J. Micolta,M,30,173.0,72,1173952,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1026518400,"{'value': 335000, 'currency': 'EUR'}",,30,True,8.0,5.0,,,0.0,,,,24.0,13.0,6.9,3.0,"{'original': 6.9, 'alternative': None}",1.0,2.0,1.0,4.0,,,2.0,,,1.0,,,,1.0,,,,,,1.0,,,,,,América de Cali,home,,
