name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelLost,challengeLost,totalClearance,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialWon,duelWon,bigChanceCreated,wasFouled,fouls,keyPass,totalContest,wonContest,totalTackle,interceptionWon,aerialLost,onTargetScoringAttempt,totalOffside,dispossessed,blockedScoringAttempt,shotOffTarget,bigChanceMissed,captain,team,teamType,goodHighClaim,punches,outfielderBlock,hitWoodwork
Rogerio Caicedo,rogerio-caicedo,R. Caicedo,G,1,187.0,3,942347,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,729993600.0,"{'value': 97000, 'currency': 'EUR'}",,,1,False,26.0,23.0,6.0,3.0,0.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,90.0,34.0,7.6,3.0,"{'original': 7.6, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,home,,,,
José Ampudia,jose-ampudia,J. Ampudia,D,17,175.0,1,1065364,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,954288000.0,"{'value': 52000, 'currency': 'EUR'}",José Ampudia,,17,False,53.0,49.0,4.0,3.0,0.0,1.0,,,,,,,90.0,65.0,7.4,9.0,"{'original': 7.4, 'alternative': None}",7.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,Boyacá Chicó FC,home,,,,
Kevin Riascos,kevin-riascos,K. Riascos,D,2,188.0,16,986979,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,803692800.0,"{'value': 140000, 'currency': 'EUR'}",,,3,False,53.0,46.0,5.0,4.0,0.0,3.0,,1.0,,,,,90.0,60.0,7.0,7.0,"{'original': 7, 'alternative': None}",1.0,1.0,,3.0,,,3.0,,1.0,1.0,2.0,,,,,,,,,,Boyacá Chicó FC,home,,,,
Juan Ojeda,juan-ojeda,J. Ojeda,D,30,188.0,9,822796,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,891648000.0,"{'value': 110000, 'currency': 'EUR'}",,,30,False,44.0,39.0,7.0,4.0,0.0,1.0,,3.0,,,,,90.0,48.0,6.9,5.0,"{'original': 6.9, 'alternative': None}",,,1.0,1.0,,,1.0,,,,,1.0,,,,,,,,,Boyacá Chicó FC,home,,,,
Jonathan Herrera,jonathan-herrera,J. Herrera,D,18,177.0,9,819185,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,825120000.0,"{'value': 220000, 'currency': 'EUR'}",,,18,False,40.0,34.0,4.0,2.0,0.0,2.0,,2.0,,,,,90.0,61.0,7.6,11.0,"{'original': 7.6, 'alternative': None}",6.0,1.0,1.0,6.0,,1.0,1.0,,,,4.0,1.0,1.0,1.0,,,,,,,Boyacá Chicó FC,home,,,,
Frank Lozano,frank-lozano,F. Lozano,M,19,175.0,19,1015686,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745977600.0,"{'value': 340000, 'currency': 'EUR'}",,,19,False,50.0,42.0,6.0,2.0,0.0,2.0,1.0,1.0,,,,,90.0,57.0,6.8,10.0,"{'original': 6.8, 'alternative': None}",1.0,,1.0,3.0,,1.0,1.0,1.0,,,1.0,1.0,,,1.0,,,,,True,Boyacá Chicó FC,home,,,,
Jhonier Negrete,jhonier-negrete,J. Negrete,M,7,,2,2037361,{},EUR,,,Jhonier Negrete,,7,False,37.0,37.0,,,0.0,1.0,,,,,,,66.0,48.0,6.9,2.0,"{'original': 6.9, 'alternative': None}",,,,3.0,,2.0,,1.0,,,1.0,1.0,,,,1.0,1.0,,,,Boyacá Chicó FC,home,,,,
Estefáno Arango,estefano-arango,E. Arango,M,24,170.0,35,819034,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,758851200.0,"{'value': 195000, 'currency': 'EUR'}",,,11,False,43.0,38.0,,,0.0,4.0,,,,,,,89.0,69.0,7.0,22.0,"{'original': 7, 'alternative': None}",12.0,,,4.0,,3.0,1.0,,2.0,1.0,,2.0,,,,2.0,1.0,1.0,,,Boyacá Chicó FC,home,,,,
Delio Ramírez,delio-ramirez,D. Ramírez,M,10,160.0,11,1015661,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,975110400.0,"{'value': 53000, 'currency': 'EUR'}",,,10,False,24.0,21.0,3.0,2.0,0.0,2.0,1.0,,,,,,45.0,28.0,6.7,5.0,"{'original': 6.7, 'alternative': None}",2.0,1.0,,1.0,,1.0,,,,,,,,,,1.0,,,,,Boyacá Chicó FC,home,,,,
Eduardo Banguero,eduardo-banguero,E. Banguero,D,22,177.0,14,963284,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,981244800.0,"{'value': 410000, 'currency': 'EUR'}",,,24,False,12.0,9.0,1.0,,0.0,5.0,1.0,,,,,,58.0,27.0,6.5,13.0,"{'original': 6.5, 'alternative': None}",5.0,,1.0,3.0,,2.0,1.0,1.0,2.0,,,,,2.0,,1.0,,,1.0,,Boyacá Chicó FC,home,,,,
