name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialWon,duelLost,duelWon,totalContest,wonContest,outfielderBlock,interceptionWon,wasFouled,fouls,onTargetScoringAttempt,goals,aerialLost,dispossessed,shotOffTarget,totalTackle,keyPass,accurateCross,blockedScoringAttempt,bigChanceCreated,bigChanceMissed,challengeLost,captain,team,teamType,savedShotsFromInsideTheBox,saves
Cristopher Fiermarín,,,cristopher-fiermarin,C. Fiermarín,G,22,189.0,105,881111,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,883612800,"{'value': 1400000, 'currency': 'EUR'}",,22,False,17.0,16.0,3.0,2.0,0.0,1.0,90.0,20.0,6.7,1.0,"{'original': 6.7, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,home,,
Cristian Arrieta,,,cristian-arrieta,C. Arrieta,M,71,170.0,27,819133,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,820627200,"{'value': 605000, 'currency': 'EUR'}",,71,False,52.0,47.0,4.0,3.0,0.0,1.0,90.0,72.0,7.9,6.0,"{'original': 7.9, 'alternative': None}",1.0,2.0,1.0,6.0,2.0,2.0,1.0,3.0,2.0,1.0,,,,,,,,,,,,,,Deportes Tolima,home,,
Julián Quiñones,,,julian-quinones,J. Quiñones,D,3,198.0,32,125910,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,626227200,"{'value': 160000, 'currency': 'EUR'}",,3,False,62.0,55.0,8.0,5.0,0.0,3.0,90.0,68.0,8.0,7.0,"{'original': 8, 'alternative': None}",,5.0,2.0,5.0,,,,1.0,,2.0,1.0,1.0,,,,,,,,,,,True,Deportes Tolima,home,,
Anderson Angulo,,,anderson-angulo,A. Angulo,D,2,187.0,24,925127,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,828316800,"{'value': 570000, 'currency': 'EUR'}",,2,False,60.0,51.0,9.0,5.0,0.0,,90.0,65.0,7.0,9.0,"{'original': 7, 'alternative': None}",,2.0,2.0,3.0,,,,2.0,1.0,1.0,,,1.0,,,,,,,,,,,Deportes Tolima,home,,
Yhorman Hurtado,,,hurtado-yhorman,Y. Hurtado,D,26,170.0,31,1100500,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,850521600,"{'value': 535000, 'currency': 'EUR'}",,26,False,48.0,38.0,7.0,5.0,0.0,2.0,90.0,71.0,7.5,16.0,"{'original': 7.5, 'alternative': None}",1.0,3.0,2.0,7.0,2.0,2.0,,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,Deportes Tolima,home,,
Ever Valencia,,,ever-valencia,E. Valencia,M,8,175.0,55,819152,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,853977600,"{'value': 410000, 'currency': 'EUR'}",,8,False,16.0,12.0,1.0,1.0,0.0,1.0,45.0,24.0,6.7,7.0,"{'original': 6.7, 'alternative': None}",4.0,,2.0,,1.0,,,1.0,,,,,1.0,,,,1.0,2.0,,,,,,Deportes Tolima,home,,
Juan Pablo Nieto,,,juan-pablo-nieto,J. P. Nieto,M,15,178.0,40,338861,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,730598400,"{'value': 470000, 'currency': 'EUR'}",,15,False,53.0,45.0,7.0,4.0,1.0,,81.0,64.0,7.5,9.0,"{'original': 7.5, 'alternative': None}",,1.0,2.0,6.0,,,,,1.0,,,,1.0,1.0,,4.0,1.0,,2.0,,,,,Deportes Tolima,home,,
Brayan Rovira,,,brayan-rovira,B. Rovira,M,80,177.0,90,818941,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,849484800,"{'value': 640000, 'currency': 'EUR'}",,80,False,67.0,62.0,7.0,4.0,1.0,3.0,87.0,85.0,8.1,6.0,"{'original': 8.1, 'alternative': None}",4.0,,2.0,6.0,,,1.0,2.0,1.0,2.0,1.0,,,,1.0,5.0,2.0,3.0,,,,,,Deportes Tolima,home,,
Luis Miranda,,,luis-miranda,L. Miranda,F,28,180.0,33,891115,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,872640000,"{'value': 290000, 'currency': 'EUR'}",,28,False,19.0,16.0,1.0,,0.0,1.0,81.0,31.0,6.8,10.0,"{'original': 6.8, 'alternative': None}",5.0,,3.0,2.0,,,,,1.0,2.0,,,,1.0,1.0,1.0,,,,,,,,Deportes Tolima,home,,
Gonzalo Lencina,,,gonzalo-lencina,G. Lencina,F,11,178.0,504,974691,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,877132800,"{'value': 825000, 'currency': 'EUR'}",,11,False,9.0,6.0,,,0.0,,90.0,23.0,8.0,8.0,"{'original': 8, 'alternative': None}",,1.0,3.0,5.0,,,,,4.0,1.0,2.0,1.0,,2.0,1.0,,2.0,,,1.0,,,,Deportes Tolima,home,,
