name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,keyPass,ratingVersions,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalClearance,totalTackle,fouls,totalCross,totalContest,outfielderBlock,onTargetScoringAttempt,goals,interceptionWon,accurateCross,bigChanceCreated,wasFouled,wonContest,dispossessed,bigChanceMissed,shotOffTarget,blockedScoringAttempt,hitWoodwork,captain,team,teamType
Salvador Ichazo,salvador-ichazo,S. Ichazo,G,1,185.0,63,158605,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,696384000.0,"{'value': 360000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'س. إشازو', 'hi': 'एस. इचाज़ो', 'bn': 'এস. ইচাজো'}}",,,1,False,19.0,12.0,15.0,8.0,0.0,1.0,1.0,2.0,90.0,24.0,7.3,8.0,1.0,"{'original': 7.3, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,home
Eber Moreno,eber-moreno,E. Moreno,D,16,179.0,34,1173350,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1010707200.0,"{'value': 290000, 'currency': 'EUR'}",,Eber Moreno,,16,False,28.0,21.0,3.0,2.0,1.0,,,,90.0,44.0,7.2,10.0,1.0,"{'original': 7.2, 'alternative': None}",1.0,1.0,4.0,2.0,1.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,Deportivo Pereira,home
Santiago Aguilar,santiago-aguilar,S. Aguilar,D,15,188.0,12,1478346,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,901756800.0,"{'value': 215000, 'currency': 'EUR'}",,Santiago Aguilar,,15,False,32.0,22.0,10.0,3.0,0.0,,,,90.0,47.0,7.2,13.0,,"{'original': 7.2, 'alternative': None}",1.0,2.0,2.0,4.0,,8.0,2.0,,1.0,1.0,1.0,,,,,,,,,,,,,,Deportivo Pereira,home
José Moya,jose-moya,J. Moya,D,3,184.0,24,285501,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,713145600.0,"{'value': 410000, 'currency': 'EUR'}",,,,3,False,32.0,26.0,4.0,1.0,0.0,,,,90.0,50.0,8.2,8.0,,"{'original': 8.2, 'alternative': None}",,4.0,2.0,6.0,1.0,9.0,2.0,2.0,,,,1.0,1.0,4.0,,,,,,,,,,,Deportivo Pereira,home
Jeison Suárez,jeison-suarez,J. Suárez,D,26,174.0,33,819096,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,868320000.0,"{'value': 500000, 'currency': 'EUR'}",,,,26,False,34.0,23.0,6.0,2.0,0.0,,,,90.0,48.0,7.2,12.0,1.0,"{'original': 7.2, 'alternative': None}",1.0,,3.0,,,1.0,,2.0,2.0,,,1.0,,,2.0,1.0,,,,,,,,,Deportivo Pereira,home
Juan David Ríos,juan-david-rios,J. D. Ríos,M,14,173.0,30,829864,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,686793600.0,"{'value': 470000, 'currency': 'EUR'}",,,,14,False,36.0,29.0,12.0,8.0,0.0,,,,90.0,46.0,6.9,9.0,,"{'original': 6.9, 'alternative': None}",1.0,,6.0,5.0,2.0,,3.0,3.0,,,,,,2.0,,,2.0,,,,,,,,Deportivo Pereira,home
Ederson Moreno,ederson-moreno,E. Moreno,M,29,174.0,10,941675,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,758851200.0,"{'value': 185000, 'currency': 'EUR'}",,,,29,False,31.0,25.0,3.0,,0.0,,,,79.0,41.0,6.6,8.0,,"{'original': 6.6, 'alternative': None}",,,5.0,2.0,,4.0,2.0,5.0,,,,,,1.0,,,,,,,,,,,Deportivo Pereira,home
Jhon Largacha,jhon-largacha,J. Largacha,M,11,167.0,59,1478310,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1074729600.0,"{'value': 185000, 'currency': 'EUR'}",,Jhon Largacha,,11,False,17.0,14.0,2.0,1.0,0.0,,,,89.0,23.0,6.8,4.0,1.0,"{'original': 6.8, 'alternative': None}",,,5.0,4.0,2.0,,1.0,2.0,1.0,2.0,,,,,1.0,,2.0,1.0,,,,,,,Deportivo Pereira,home
Darwin Quintero,darwin-quintero,D. Quintero,F,7,166.0,706,787564,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,559008000.0,"{'value': 90000, 'currency': 'EUR'}",,,,7,False,18.0,11.0,,,0.0,,,,79.0,38.0,6.4,19.0,,"{'original': 6.4, 'alternative': None}",,1.0,8.0,4.0,1.0,,,2.0,8.0,6.0,,,,1.0,1.0,,,3.0,2.0,1.0,1.0,2.0,1.0,True,Deportivo Pereira,home
Yuber Quiñones,yuber-quinones,Y. Quiñones,M,13,173.0,96,1111115,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1034035200.0,"{'value': 385000, 'currency': 'EUR'}",,Yuber Quiñones,,13,False,17.0,16.0,2.0,2.0,0.0,,,,59.0,25.0,6.7,5.0,1.0,"{'original': 6.7, 'alternative': None}",,,1.0,3.0,,,1.0,,1.0,1.0,,,,,1.0,,2.0,,,,,,,,Deportivo Pereira,home
