name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,hitWoodwork,totalClearance,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,aerialWon,duelLost,duelWon,totalContest,interceptionWon,fouls,accurateCross,outfielderBlock,totalTackle,blockedScoringAttempt,wonContest,wasFouled,onTargetScoringAttempt,challengeLost,shotOffTarget,keyPass,dispossessed,totalOffside,captain,team,teamType,fieldTranslations,totalKeeperSweeper,accurateKeeperSweeper
Ruben Escobar,,,ruben-escobar,R. Escobar,G,12,190.0,9,790107,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,665798400.0,"{'value': 55000, 'currency': 'EUR'}",12,False,20.0,14.0,12.0,6.0,0.0,1.0,3.0,1.0,2.0,6.0,90.0,33.0,8.2,6.0,"{'original': 8.2, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,Envigado FC,home,,,
Neymar Uribe,Neymar Uribe,,neymar-uribe,N. Uribe,D,27,172.0,32,1977622,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1073606400.0,"{'value': 280000, 'currency': 'EUR'}",27,False,14.0,9.0,6.0,1.0,0.0,1.0,4.0,,,,90.0,26.0,6.6,9.0,"{'original': 6.6, 'alternative': None}",1.0,2.0,1.0,5.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,Envigado FC,home,,,
Jhon Gamboa,,,jhon-gamboa,J. Gamboa,D,28,194.0,4,1414723,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,985046400.0,"{'value': 230000, 'currency': 'EUR'}",28,False,15.0,13.0,3.0,1.0,0.0,,8.0,,,,90.0,30.0,7.4,2.0,"{'original': 7.4, 'alternative': None}",1.0,2.0,,5.0,2.0,,,3.0,1.0,3.0,2.0,,,,,,,,,,,Envigado FC,home,,,
Carlos Ramirez,,,carlos-ramirez,C. Ramirez,D,29,182.0,68,1130277,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,578448000.0,"{'value': 54000, 'currency': 'EUR'}",29,False,23.0,16.0,10.0,4.0,0.0,,12.0,,,,90.0,41.0,7.4,7.0,"{'original': 7.4, 'alternative': None}",,,2.0,,3.0,,1.0,,,1.0,1.0,1.0,,,,,,,,,True,Envigado FC,home,,,
Juan Holguin,,,juan-holguin,J. Holguin,D,3,,10,1939490,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1104796800.0,,3,False,20.0,16.0,1.0,,0.0,,3.0,,,,90.0,35.0,7.1,7.0,"{'original': 7.1, 'alternative': None}",,,,1.0,3.0,1.0,,1.0,,,2.0,,1.0,,,,,,,,,Envigado FC,home,,,
Julián Palacios,Julián Palacio,,julian-palacios,J. Palacios,D,6,179.0,39,1113527,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1060214400.0,"{'value': 760000, 'currency': 'EUR'}",6,False,10.0,9.0,1.0,1.0,0.0,,1.0,,,,62.0,14.0,6.4,2.0,"{'original': 6.4, 'alternative': None}",,,,3.0,1.0,1.0,,2.0,,,,,,1.0,,,,,,,,Envigado FC,home,,,
Edison López,,,edison-lopez,E. López,M,21,178.0,8,941672,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,940377600.0,"{'value': 185000, 'currency': 'EUR'}",21,False,26.0,22.0,2.0,1.0,0.0,,3.0,,,,90.0,33.0,6.8,5.0,"{'original': 6.8, 'alternative': None}",,,1.0,2.0,1.0,,1.0,2.0,,,,,,,1.0,,,,,,,Envigado FC,home,,,
Geindry Cuervo,Geindry Cuervo,,geindry-cuervo,G. Cuervo,D,15,,19,1465455,{},EUR,998352000.0,,15,False,4.0,2.0,,,0.0,,,,,,62.0,8.0,6.3,5.0,"{'original': 6.3, 'alternative': None}",,1.0,,3.0,1.0,3.0,,,,,,,1.0,,,,,,,,,Envigado FC,home,,,
Daniel Arcila,Daniel Arcila,,daniel-arcila,D. Arcila,M,26,,37,1113526,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1021507200.0,,26,False,22.0,18.0,2.0,1.0,0.0,,2.0,,,,80.0,36.0,7.0,10.0,"{'original': 7, 'alternative': None}",2.0,,1.0,5.0,3.0,2.0,,2.0,1.0,,,,,2.0,,1.0,2.0,2.0,,,,Envigado FC,home,,,
Luis Díaz,Luis Díaz,,luis-diaz,L. Díaz,M,34,,83,1219046,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1080086400.0,,34,False,21.0,15.0,1.0,1.0,0.0,,4.0,,,,90.0,33.0,6.8,9.0,"{'original': 6.8, 'alternative': None}",,2.0,2.0,4.0,2.0,,2.0,,,,,1.0,,,1.0,,,,2.0,1.0,,Envigado FC,home,,,
