name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,saves,minutesPlayed,touches,rating,ratingVersions,totalCross,accurateCross,aerialWon,duelLost,duelWon,challengeLost,onTargetScoringAttempt,totalClearance,totalTackle,wasFouled,fouls,possessionLostCtrl,keyPass,aerialLost,totalContest,wonContest,shotOffTarget,outfielderBlock,interceptionWon,dispossessed,totalOffside,hitWoodwork,blockedScoringAttempt,goals,captain,team,teamType,goodHighClaim,savedShotsFromInsideTheBox
Alejandro Rodríguez,Alejandro Rodríguez,,alejandro-rodriguez,A. Rodríguez,G,38,188.0,105,1098301,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,979257600.0,"{'value': 825000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. رودريغيز', 'hi': 'ए. रोड्रिग्ज', 'bn': 'এ. রদ্রিগেজ'}}",38,False,20.0,20.0,2.0,2.0,0.0,2.0,90.0,23.0,7.0,"{'original': 7, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Cali,home,,
Fabián Viáfara,,,fabian-viafara,F. Viáfara,D,27,167.0,35,588548,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,700704000.0,"{'value': 430000, 'currency': 'EUR'}",,27,False,27.0,21.0,2.0,1.0,0.0,,72.0,49.0,7.6,"{'original': 7.6, 'alternative': None}",6.0,2.0,1.0,3.0,6.0,2.0,2.0,1.0,4.0,1.0,1.0,13.0,3.0,,,,,,,,,,,,,Deportivo Cali,home,,
Juan Quintero,,,juan-quintero,Juan Quintero,D,3,183.0,140,589394,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,795916800.0,"{'value': 670000, 'currency': 'EUR'}",,3,False,30.0,24.0,6.0,3.0,0.0,,45.0,33.0,6.6,"{'original': 6.6, 'alternative': None}",,,2.0,4.0,3.0,1.0,,1.0,1.0,,1.0,7.0,,2.0,,,,,,,,,,,,Deportivo Cali,home,,
Francisco Meza,,,francisco-meza,F. Meza,D,21,187.0,65,162493,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,683424000.0,"{'value': 260000, 'currency': 'EUR'}",,21,False,53.0,43.0,7.0,3.0,0.0,,90.0,56.0,6.9,"{'original': 6.9, 'alternative': None}",,,2.0,1.0,3.0,1.0,,1.0,,1.0,,10.0,1.0,,,,,,,,,,,,True,Deportivo Cali,home,,
Yulián Gómez,,,yulian-gomez,Y. Gómez,D,26,170.0,30,891452,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,870652800.0,"{'value': 440000, 'currency': 'EUR'}",,26,False,38.0,29.0,4.0,,0.0,,90.0,63.0,7.2,"{'original': 7.2, 'alternative': None}",6.0,1.0,1.0,3.0,3.0,,,1.0,1.0,,2.0,18.0,1.0,,2.0,1.0,1.0,1.0,2.0,,,,,,,Deportivo Cali,home,,
Victor Mejia,,,victor-mejia,V. Mejia,M,6,182.0,20,355878,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,728784000.0,"{'value': 390000, 'currency': 'EUR'}",,6,False,59.0,53.0,4.0,3.0,0.0,,90.0,64.0,6.7,"{'original': 6.7, 'alternative': None}",,,2.0,7.0,4.0,1.0,,,2.0,,3.0,8.0,,1.0,1.0,,,1.0,,1.0,,,,,,Deportivo Cali,home,,
Jarlan Barrera,,,jarlan-barrera,J. Barrera,M,7,171.0,286,796511,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,811209600.0,"{'value': 595000, 'currency': 'EUR'}",,7,False,21.0,14.0,3.0,3.0,0.0,,77.0,37.0,7.1,"{'original': 7.1, 'alternative': None}",6.0,1.0,,2.0,4.0,,,1.0,1.0,3.0,,17.0,2.0,1.0,1.0,,,,,,1.0,,,,,Deportivo Cali,home,,
Jean Colorado,,,colorado-jean,J. Colorado,M,23,180.0,34,985106,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,968630400.0,"{'value': 485000, 'currency': 'EUR'}",,23,False,21.0,15.0,2.0,2.0,0.0,,60.0,28.0,7.5,"{'original': 7.5, 'alternative': None}",,,,,3.0,,1.0,1.0,2.0,1.0,,6.0,,,,,1.0,,,,,1.0,,,,Deportivo Cali,home,,
Gian Cabezas,Gian Cabezas,,gian-cabezas,G. Cabezas,M,28,178.0,42,1099301,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1041379200.0,"{'value': 420000, 'currency': 'EUR'}",,28,False,33.0,31.0,5.0,4.0,0.0,,90.0,42.0,7.2,"{'original': 7.2, 'alternative': None}",1.0,1.0,,1.0,1.0,,1.0,1.0,,,,4.0,1.0,1.0,1.0,1.0,,,2.0,,,,1.0,,,Deportivo Cali,home,,
Andrey Estupiñán,,,andrey-estupinan,A. Estupiñán,F,11,175.0,125,944462,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,773366400.0,"{'value': 320000, 'currency': 'EUR'}",,11,False,16.0,13.0,3.0,3.0,0.0,,45.0,23.0,6.9,"{'original': 6.9, 'alternative': None}",,,,1.0,3.0,,,,,3.0,1.0,6.0,,,,,,,,,,,,,,Deportivo Cali,home,,
