name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,duelLost,duelWon,challengeLost,totalContest,shotOffTarget,blockedScoringAttempt,totalTackle,wasFouled,keyPass,wonContest,outfielderBlock,interceptionWon,fouls,aerialWon,dispossessed,accurateCross,captain,team,teamType,onTargetScoringAttempt,goals,bigChanceCreated,bigChanceMissed
Ruben Escobar,,,ruben-escobar,R. Escobar,G,12,190.0,9,790107,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,665798400.0,"{'value': 55000, 'currency': 'EUR'}",12,False,22.0,21.0,2.0,1.0,0.0,2.0,1.0,3.0,90.0,30.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,,,,,,,,,Envigado FC,home,,,,
Neymar Uribe,Neymar Uribe,,neymar-uribe,N. Uribe,D,27,172.0,32,1977622,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1073606400.0,"{'value': 280000, 'currency': 'EUR'}",27,False,44.0,35.0,6.0,1.0,0.0,3.0,,,86.0,65.0,6.8,13.0,"{'original': 6.8, 'alternative': None}",1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,,Envigado FC,home,,,,
Didier Palacios,Didier Palacios,,didier-palacios,D. Palacios,D,2,185.0,29,1647753,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1086220800.0,"{'value': 390000, 'currency': 'EUR'}",2,False,59.0,50.0,7.0,1.0,0.0,2.0,,,90.0,69.0,6.9,10.0,"{'original': 6.9, 'alternative': None}",1.0,1.0,3.0,4.0,1.0,1.0,,,1.0,2.0,,1.0,1.0,1.0,1.0,,,,,Envigado FC,home,,,,
Carlos Ramirez,,,carlos-ramirez,C. Ramirez,D,29,182.0,69,1130277,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,578448000.0,"{'value': 54000, 'currency': 'EUR'}",29,False,87.0,79.0,15.0,11.0,0.0,1.0,,,90.0,93.0,6.9,9.0,"{'original': 6.9, 'alternative': None}",,,2.0,3.0,1.0,,2.0,1.0,1.0,,,,,,1.0,2.0,,,True,Envigado FC,home,,,,
Brayan Murillo,Brayan Murillo,,brayan-murillo,B. Murillo,D,36,,6,1929964,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,,,36,False,40.0,37.0,,,0.0,,,,90.0,55.0,7.0,9.0,"{'original': 7, 'alternative': None}",3.0,1.0,3.0,7.0,1.0,2.0,,,3.0,1.0,,1.0,,,,2.0,,,,Envigado FC,home,,,,
Johan Hinestroza,Johan Hinestroza,,johan-hinestroza,J. Hinestroza,M,14,176.0,11,1106571,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1016064000.0,"{'value': 205000, 'currency': 'EUR'}",14,False,42.0,38.0,2.0,1.0,0.0,1.0,,,45.0,46.0,6.4,5.0,"{'original': 6.4, 'alternative': None}",,1.0,4.0,1.0,,1.0,,,,,,,,1.0,2.0,1.0,,,,Envigado FC,home,,,,
Julián Palacios,Julián Palacio,,julian-palacios,J. Palacios,D,6,179.0,39,1113527,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1060214400.0,"{'value': 760000, 'currency': 'EUR'}",6,False,65.0,60.0,2.0,2.0,0.0,,,,90.0,78.0,6.8,10.0,"{'original': 6.8, 'alternative': None}",1.0,2.0,6.0,4.0,,4.0,1.0,2.0,1.0,,,2.0,,,1.0,1.0,1.0,,,Envigado FC,home,,,,
Luis Díaz,Luis Díaz,,luis-diaz,L. Díaz,M,34,,83,1219046,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1080086400.0,,34,False,22.0,17.0,1.0,,0.0,1.0,,,90.0,34.0,6.7,12.0,"{'original': 6.7, 'alternative': None}",3.0,2.0,5.0,4.0,1.0,4.0,1.0,,,,1.0,3.0,,,1.0,1.0,,,,Envigado FC,home,,,,
Edison López,,,edison-lopez,E. López,M,21,178.0,8,941672,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,940377600.0,"{'value': 185000, 'currency': 'EUR'}",21,False,49.0,43.0,2.0,1.0,0.0,,,,74.0,60.0,6.8,13.0,"{'original': 6.8, 'alternative': None}",3.0,,3.0,2.0,1.0,2.0,,,,1.0,3.0,1.0,,,,,1.0,,,Envigado FC,home,,,,
Tomás Soto,Tomás Soto,,tomas-soto,T. Soto,M,13,,6,1388637,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1097539200.0,,13,False,21.0,18.0,2.0,1.0,0.0,,,,57.0,30.0,6.7,6.0,"{'original': 6.7, 'alternative': None}",2.0,,,2.0,,1.0,1.0,,,1.0,,1.0,,,,,,1.0,,Envigado FC,home,,,,
