name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialLost,duelLost,savedShotsFromInsideTheBox,penaltySave,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialWon,duelWon,challengeLost,dispossessed,totalContest,wonContest,totalClearance,keyPass,shotOffTarget,outfielderBlock,penaltyConceded,fouls,onTargetScoringAttempt,interceptionWon,totalTackle,accurateCross,goals,wasFouled,blockedScoringAttempt,totalOffside,captain,team,teamType,bigChanceCreated,bigChanceMissed,penaltyMiss
Santiago Silva,,,silva-santiago,S. Silva,G,27,190.0,101,1002740,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,926380800.0,"{'value': 570000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'S. I. S. Azambuja'}}",27,False,24.0,11.0,21.0,8.0,0.0,1.0,1.0,4.0,1.0,5.0,90.0,33.0,8.2,14.0,"{'original': 8.2, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,América de Cali,home,,,
Esneyder Mena,,,esneyder-mena,E. Mena,M,26,177.0,57,875765,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,878515200.0,"{'value': 380000, 'currency': 'EUR'}",,26,False,48.0,40.0,6.0,3.0,0.0,,3.0,,,,90.0,61.0,7.1,11.0,"{'original': 7.1, 'alternative': None}",2.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,América de Cali,home,,,
Andrés Mosquera,,,andres-mosquera,A. Mosquera,D,4,178.0,86,47724,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,635472000.0,"{'value': 470000, 'currency': 'EUR'}",,4,False,21.0,18.0,3.0,1.0,0.0,,1.0,,,,90.0,33.0,6.9,3.0,"{'original': 6.9, 'alternative': None}",,2.0,2.0,1.0,,,,10.0,,1.0,1.0,1.0,1.0,,,,,,,,,True,América de Cali,home,,,
Brayan Medina,,,medina-brayan,B. Medina,D,23,195.0,106,1187281,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1015200000.0,"{'value': 910000, 'currency': 'EUR'}",,23,False,32.0,24.0,5.0,2.0,0.0,1.0,3.0,,,,90.0,44.0,7.4,8.0,"{'original': 7.4, 'alternative': None}",,1.0,2.0,,,,,6.0,,,2.0,,2.0,1.0,2.0,1.0,,,,,,,América de Cali,home,,,
Omar Bertel,,,omar-bertel,O. Bertel,D,31,175.0,79,875914,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,842227200.0,"{'value': 565000, 'currency': 'EUR'}",,31,False,31.0,24.0,5.0,2.0,0.0,1.0,4.0,,,,90.0,44.0,6.9,9.0,"{'original': 6.9, 'alternative': None}",1.0,1.0,2.0,1.0,,2.0,,1.0,,,1.0,,,,2.0,1.0,1.0,,,,,,América de Cali,home,,,
José Cavadia,,,cavadia,J. Cavadia,M,29,177.0,70,2034583,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1127260800.0,"{'value': 310000, 'currency': 'EUR'}",,29,False,25.0,22.0,3.0,1.0,0.0,,4.0,,,,59.0,36.0,6.8,6.0,"{'original': 6.8, 'alternative': None}",3.0,,2.0,,2.0,1.0,1.0,,3.0,,,,2.0,,1.0,1.0,3.0,,,,,,América de Cali,home,,,
Franco Leys,,,franco-leys,F. Leys,M,32,180.0,53,333807,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,750902400.0,"{'value': 360000, 'currency': 'EUR'}",,32,False,48.0,42.0,4.0,3.0,0.0,1.0,4.0,,,,90.0,53.0,6.9,7.0,"{'original': 6.9, 'alternative': None}",,,2.0,1.0,,2.0,1.0,1.0,,,,,1.0,,1.0,1.0,,,,,,,América de Cali,home,,,
Luis Gómez,,,luis-gomez,L. Gómez,F,16,173.0,74,958592,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,939600000.0,"{'value': 490000, 'currency': 'EUR'}",,16,False,38.0,28.0,2.0,2.0,0.0,,4.0,,,,90.0,56.0,8.1,17.0,"{'original': 8.1, 'alternative': None}",3.0,,4.0,1.0,1.0,4.0,2.0,1.0,3.0,,,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,América de Cali,home,,,
Jan Lucumí,Jan Franc Lucumi,,jan-franc-lucumi,J. Lucumí,F,17,178.0,332,1175135,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1076457600.0,"{'value': 430000, 'currency': 'EUR'}",,17,False,19.0,11.0,4.0,2.0,1.0,1.0,5.0,,,,62.0,31.0,7.3,10.0,"{'original': 7.3, 'alternative': None}",,3.0,6.0,,,1.0,,,1.0,1.0,,,4.0,1.0,1.0,,,,3.0,1.0,1.0,,América de Cali,home,,,
Sebastián Navarro,,,sebastian-navarro,S. Navarro,M,21,186.0,123,1018517,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963619200.0,"{'value': 840000, 'currency': 'EUR'}",,21,False,13.0,10.0,2.0,1.0,0.0,1.0,3.0,,,,59.0,22.0,6.7,7.0,"{'original': 6.7, 'alternative': None}",1.0,,2.0,,1.0,,,,1.0,1.0,,,1.0,,,1.0,1.0,,1.0,1.0,1.0,,América de Cali,home,,,
