name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,duelLost,duelWon,totalContest,wonContest,shotOffTarget,totalClearance,outfielderBlock,fouls,keyPass,aerialLost,interceptionWon,totalTackle,wasFouled,dispossessed,penaltyConceded,blockedScoringAttempt,challengeLost,onTargetScoringAttempt,aerialWon,goals,totalOffside,captain,team,teamType,fieldTranslations,savedShotsFromInsideTheBox,bigChanceCreated,penaltyWon
Juan Castillo,Juan Castillo,,juan-castillo,J. Castillo,G,1,191.0,69,1175004,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1042416000.0,"{'value': 830000, 'currency': 'EUR'}",1,False,24.0,21.0,8.0,5.0,0.0,1.0,90.0,25.0,5.5,3.0,"{'original': 5.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,Fortaleza CEIF,home,,,,
Cristián Mosquera,Cristián Mosquera,,cristian-mosquera,C. Mosquera,D,27,172.0,5,1174901,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,976060800.0,"{'value': 260000, 'currency': 'EUR'}",27,False,25.0,19.0,1.0,1.0,0.0,,90.0,44.0,6.3,11.0,"{'original': 6.3, 'alternative': None}",3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,Fortaleza CEIF,home,,,,
Yesid Díaz,,,yesid-diaz,Y. Díaz,D,6,191.0,15,974309,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869702400.0,"{'value': 410000, 'currency': 'EUR'}",6,False,47.0,41.0,8.0,4.0,0.0,,90.0,56.0,6.4,6.0,"{'original': 6.4, 'alternative': None}",,,2.0,3.0,,,,2.0,2.0,,,2.0,1.0,1.0,2.0,,,,,,,,,,Fortaleza CEIF,home,,,,
Harold Balanta,Harold Balanta,,harold-balanta,H. Balanta,D,18,180.0,7,1129436,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,890006400.0,"{'value': 110000, 'currency': 'EUR'}",18,False,21.0,20.0,,,0.0,,45.0,27.0,6.1,1.0,"{'original': 6.1, 'alternative': None}",,,,1.0,,,,2.0,,,,,2.0,,1.0,,,,,,,,,,Fortaleza CEIF,home,,,,
Stalin Valencia,Stalin Valencia,,stalin-valencia,S. Valencia,D,4,180.0,55,1095708,"{'alpha2': 'EC', 'alpha3': 'ECU', 'name': 'Ecuador', 'slug': 'ecuador'}",EUR,1065744000.0,"{'value': 380000, 'currency': 'EUR'}",4,False,24.0,23.0,1.0,1.0,0.0,,90.0,30.0,5.3,3.0,"{'original': 5.3, 'alternative': None}",,,4.0,,,,,1.0,,2.0,,1.0,,,,1.0,1.0,,,,,,,,Fortaleza CEIF,home,,,,
Kelvin Florez,Kelvin Florez,,kelvin-florez,K. Florez,M,16,177.0,25,1388938,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1076112000.0,"{'value': 195000, 'currency': 'EUR'}",16,False,7.0,5.0,,,1.0,,45.0,15.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",,,,2.0,,,,1.0,,,2.0,,1.0,1.0,1.0,,,1.0,,,,,,,Fortaleza CEIF,home,,,,
Leonardo Pico,,,leonardo-pico,L. Pico,M,14,177.0,24,820043,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,686534400.0,"{'value': 205000, 'currency': 'EUR'}",14,False,41.0,38.0,3.0,2.0,0.0,,90.0,49.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",,,1.0,3.0,,,,1.0,,,1.0,,2.0,1.0,2.0,,,,1.0,,,,,,Fortaleza CEIF,home,,,,
Ronaldo Pájaro,Ronaldo Pájaro,,ronaldo-pajaro,R. Pájaro,M,13,172.0,36,1175016,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1013990400.0,"{'value': 855000, 'currency': 'EUR'}",13,False,45.0,37.0,6.0,2.0,0.0,,90.0,59.0,6.8,11.0,"{'original': 6.8, 'alternative': None}",,,5.0,2.0,,,2.0,1.0,1.0,2.0,,1.0,3.0,,2.0,1.0,,,1.0,2.0,,,,True,Fortaleza CEIF,home,,,,
Luis Sánchez,,,luis-sanchez,L. Sánchez,M,10,171.0,96,963525,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,969235200.0,"{'value': 425000, 'currency': 'EUR'}",10,False,30.0,20.0,1.0,,0.0,,77.0,51.0,5.8,23.0,"{'original': 5.8, 'alternative': None}",5.0,2.0,6.0,3.0,5.0,,,,,,,,,,2.0,1.0,,1.0,,,1.0,,,,Fortaleza CEIF,home,,,,
Andrés Ricaurte,,,andres-ricaurte,A. Ricaurte,M,8,182.0,115,285527,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,686448000.0,"{'value': 270000, 'currency': 'EUR'}",8,False,19.0,15.0,3.0,2.0,0.0,,45.0,26.0,6.6,5.0,"{'original': 6.6, 'alternative': None}",,,,2.0,,,,1.0,,,,,,,2.0,,,,,,,,,,Fortaleza CEIF,home,,,,
