name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,duelLost,duelWon,challengeLost,totalContest,wonContest,fouls,keyPass,aerialWon,shotOffTarget,onTargetScoringAttempt,goals,interceptionWon,totalTackle,blockedScoringAttempt,outfielderBlock,wasFouled,aerialLost,dispossessed,totalOffside,captain,team,teamType,punches,hitWoodwork
Victor Cabezas,victor-cabezas,V. Cabezas,G,12,191.0,3,829963,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,878428800.0,"{'value': 52000, 'currency': 'EUR'}",,,12,False,25.0,20.0,11.0,6.0,0.0,1.0,1.0,1.0,90.0,29.0,7.0,5.0,"{'original': 7, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,Deportivo Pasto,home,,
Israel Alba,israel-alba,I. Alba,D,22,175.0,19,822106,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,799718400.0,"{'value': 430000, 'currency': 'EUR'}",,,22,False,33.0,20.0,10.0,4.0,0.0,1.0,,,90.0,56.0,6.8,26.0,"{'original': 6.8, 'alternative': None}",8.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,True,Deportivo Pasto,home,,
Brayan Carabalí,brayan-carabali,B. Carabalí,D,2,188.0,19,974303,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,919900800.0,"{'value': 385000, 'currency': 'EUR'}",,,2,False,33.0,22.0,8.0,2.0,0.0,8.0,,,90.0,47.0,8.0,11.0,"{'original': 8, 'alternative': None}",,,2.0,6.0,2.0,,,,,5.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,Deportivo Pasto,home,,
Joyce Ossa,joyce-ossa,J. Ossa,D,23,184.0,17,1417831,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895104000.0,"{'value': 280000, 'currency': 'EUR'}",Joyce Ossa,,23,False,45.0,36.0,8.0,2.0,0.0,1.0,,,89.0,58.0,7.3,12.0,"{'original': 7.3, 'alternative': None}",1.0,,1.0,4.0,1.0,,,,1.0,1.0,,1.0,,2.0,1.0,1.0,1.0,2.0,,,,,Deportivo Pasto,home,,
Andrés Alarcón,andres-alarcon,A. Alarcón,D,24,192.0,43,1179168,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,990230400.0,,Andrés Alarcón,,24,False,45.0,35.0,14.0,8.0,0.0,7.0,,,90.0,61.0,7.8,10.0,"{'original': 7.8, 'alternative': None}",,,1.0,7.0,,1.0,1.0,1.0,,,,,,,5.0,1.0,1.0,1.0,,,,,Deportivo Pasto,home,,
Mauricio Castaño,mauricio-castano,M. Castaño,D,20,177.0,13,1098313,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,729129600.0,"{'value': 105000, 'currency': 'EUR'}",Mauricio Castaño,,20,False,31.0,25.0,6.0,1.0,0.0,1.0,,,90.0,52.0,7.2,17.0,"{'original': 7.2, 'alternative': None}",9.0,1.0,1.0,3.0,,,,,3.0,1.0,,,,,1.0,,,1.0,1.0,,,,Deportivo Pasto,home,,
Déinner Quiñones,deinner-quinones,D. Quiñones,M,70,172.0,95,846799,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,808531200.0,"{'value': 515000, 'currency': 'EUR'}",,,70,False,9.0,6.0,,,0.0,1.0,,,58.0,22.0,6.9,9.0,"{'original': 6.9, 'alternative': None}",3.0,1.0,1.0,4.0,,1.0,1.0,,1.0,1.0,1.0,,,,,,,2.0,1.0,,,,Deportivo Pasto,home,,
Felipe Jaramillo,felipe-jaramillo,F. Jaramillo,M,17,185.0,31,924429,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,829785600.0,"{'value': 310000, 'currency': 'EUR'}",,,17,False,24.0,22.0,3.0,3.0,0.0,,,,58.0,31.0,6.7,5.0,"{'original': 6.7, 'alternative': None}",1.0,,2.0,3.0,1.0,,,1.0,,,,,,,3.0,,,,,,,,Deportivo Pasto,home,,
Juan Castilla,juan-castilla,J. Castilla,M,13,172.0,177,1025325,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1090886400.0,"{'value': 440000, 'currency': 'EUR'}",,,13,False,39.0,30.0,2.0,1.0,0.0,,,,71.0,48.0,6.7,14.0,"{'original': 6.7, 'alternative': None}",2.0,,2.0,2.0,,1.0,,,,,,,,1.0,1.0,,,1.0,,1.0,,,Deportivo Pasto,home,,
Johan Caicedo,johan-caicedo,J. Caicedo,M,6,,53,1170681,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1079049600.0,"{'value': 455000, 'currency': 'EUR'}",Johan Caicedo,,6,False,30.0,24.0,5.0,3.0,0.0,,,,90.0,38.0,7.0,7.0,"{'original': 7, 'alternative': None}",,,4.0,4.0,1.0,1.0,,1.0,,,1.0,,,1.0,3.0,,,1.0,1.0,,,,Deportivo Pasto,home,,
