name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalContest,wonContest,goodHighClaim,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,duelLost,totalClearance,interceptionWon,totalTackle,fouls,aerialWon,shotOffTarget,wasFouled,keyPass,dispossessed,onTargetScoringAttempt,blockedScoringAttempt,goals,penaltyWon,challengeLost,bigChanceCreated,outfielderBlock,accurateCross,bigChanceMissed,totalOffside,captain,team,teamType,punches,totalKeeperSweeper,accurateKeeperSweeper,penaltyConceded
Juan Castillo,Juan Castillo,,juan-castillo,J. Castillo,G,1,191.0,68,1175004,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1042416000.0,"{'value': 830000, 'currency': 'EUR'}",1,False,28.0,19.0,11.0,5.0,0.0,1.0,1.0,1.0,1.0,1.0,90.0,36.0,6.6,9.0,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,Fortaleza CEIF,home,,,,
Cristián Mosquera,Cristián Mosquera,,cristian-mosquera,C. Mosquera,D,27,172.0,5,1174901,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,976060800.0,"{'value': 260000, 'currency': 'EUR'}",27,False,23.0,18.0,,,0.0,1.0,1.0,,,,90.0,34.0,6.4,9.0,"{'original': 6.4, 'alternative': None}",2.0,1.0,3.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,Fortaleza CEIF,home,,,,
Yesid Díaz,,,yesid-diaz,Y. Díaz,D,6,191.0,14,974309,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869702400.0,"{'value': 410000, 'currency': 'EUR'}",6,False,38.0,34.0,7.0,4.0,0.0,6.0,1.0,,,,90.0,54.0,7.0,5.0,"{'original': 7, 'alternative': None}",,,1.0,4.0,1.0,4.0,,2.0,1.0,,,,,,,,,,,,,,,Fortaleza CEIF,home,,,,
Harold Balanta,Harold Balanta,,harold-balanta,H. Balanta,D,18,180.0,7,1129436,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,890006400.0,"{'value': 110000, 'currency': 'EUR'}",18,False,34.0,30.0,1.0,,0.0,4.0,2.0,2.0,,,90.0,52.0,7.2,4.0,"{'original': 7.2, 'alternative': None}",,,2.0,10.0,2.0,1.0,2.0,,1.0,1.0,1.0,,,,,,,,,,,,,Fortaleza CEIF,home,,,,
Stalin Valencia,Stalin Valencia,,stalin-valencia,S. Valencia,D,4,180.0,55,1095708,"{'alpha2': 'EC', 'alpha3': 'ECU', 'name': 'Ecuador', 'slug': 'ecuador'}",EUR,1065744000.0,"{'value': 380000, 'currency': 'EUR'}",4,False,20.0,16.0,2.0,1.0,0.0,1.0,2.0,1.0,,,49.0,24.0,6.2,6.0,"{'original': 6.2, 'alternative': None}",,1.0,3.0,1.0,,,,,,,,1.0,,,,,,,,,,,,Fortaleza CEIF,home,,,,
Luis Sánchez,,,luis-sanchez,L. Sánchez,M,10,171.0,96,963525,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,969235200.0,"{'value': 425000, 'currency': 'EUR'}",10,False,18.0,14.0,1.0,,0.0,4.0,1.0,,,,79.0,35.0,7.8,9.0,"{'original': 7.8, 'alternative': None}",1.0,3.0,4.0,,,,,,1.0,4.0,,,2.0,1.0,1.0,1.0,,,,,,,,Fortaleza CEIF,home,,,,
Leonardo Pico,,,leonardo-pico,L. Pico,M,14,177.0,24,820043,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,686534400.0,"{'value': 205000, 'currency': 'EUR'}",14,False,39.0,37.0,2.0,1.0,0.0,1.0,,,,,79.0,44.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",,1.0,2.0,,2.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,Fortaleza CEIF,home,,,,
Ronaldo Pájaro,Ronaldo Pájaro,,ronaldo-pajaro,R. Pájaro,M,13,172.0,35,1175016,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1013990400.0,"{'value': 855000, 'currency': 'EUR'}",13,False,33.0,31.0,2.0,1.0,1.0,3.0,,,,,90.0,46.0,7.0,5.0,"{'original': 7, 'alternative': None}",,,4.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,2.0,,1.0,,,1.0,1.0,,,,,True,Fortaleza CEIF,home,,,,
Santiago Cuero,Santiago Cuero,,santiago-cuero,S. Cuero,D,15,179.0,36,1478347,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1091145600.0,"{'value': 340000, 'currency': 'EUR'}",15,False,33.0,23.0,1.0,,0.0,9.0,2.0,1.0,,,90.0,67.0,7.3,20.0,"{'original': 7.3, 'alternative': None}",2.0,1.0,3.0,8.0,2.0,4.0,1.0,4.0,,,,,,,,,,,1.0,,,,,Fortaleza CEIF,home,,,,
Emilio Aristizábal,Emilio Aristizábal,,aristizabal-emilio,E. Aristizábal,F,19,187.0,206,1517148,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1123200000.0,"{'value': 385000, 'currency': 'EUR'}",19,False,16.0,9.0,,,0.0,4.0,4.0,2.0,,,79.0,27.0,7.1,9.0,"{'original': 7.1, 'alternative': None}",,5.0,7.0,1.0,,,,1.0,,1.0,1.0,,1.0,,1.0,,,,,,,,,Fortaleza CEIF,home,,,,
Andrés Ricaurte,,,andres-ricaurte,A. Ricaurte,M,8,182.0,115,285527,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,686448000.0,"{'value': 270000, 'currency': 'EUR'}",8,False,40.0,34.0,3.0,2.0,0.0,6.0,1.0,,,,71.0,56.0,7.1,13.0,"{'original': 7.1, 'alternative': None}",4.0,2.0,4.0,,,1.0,2.0,,,5.0,2.0,,,,,,,,,1.0,,,,Fortaleza CEIF,home,,,,
David Camacho,,,david-camacho,D. Camacho,M,22,188.0,26,879886,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,866073600.0,"{'value': 390000, 'currency': 'EUR'}",80,True,8.0,6.0,,,0.0,1.0,,,,,41.0,11.0,6.5,3.0,"{'original': 6.5, 'alternative': None}",,,2.0,,,,2.0,,,1.0,,,,,,,1.0,,,,,,,Fortaleza CEIF,home,,,,
David Barrera,,,david-barrera,D. Barrera,M,25,,7,1489813,{},EUR,,,25,True,4.0,4.0,1.0,1.0,0.0,,,,,,19.0,5.0,6.5,,"{'original': 6.5, 'alternative': None}",,,2.0,1.0,,,2.0,,,,,,,,,,,,,,,,,Fortaleza CEIF,home,,,,
