name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalClearance,wasFouled,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,aerialWon,duelLost,challengeLost,totalContest,wonContest,shotOffTarget,outfielderBlock,interceptionWon,fouls,dispossessed,totalTackle,keyPass,accurateCross,hitWoodwork,bigChanceMissed,penaltyConceded,onTargetScoringAttempt,bigChanceCreated,totalOffside,blockedScoringAttempt,goals,captain,team,teamType,penaltyWon
Washington Aguerre,,,washington-aguerre,W. Aguerre,G,29,187.0,279,311402,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,735523200,"{'value': 870000, 'currency': 'EUR'}",,29,False,19.0,9.0,17.0,7.0,0.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,1.0,90.0,32.0,7.6,10.0,"{'original': 7.6, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,home,
Léyser Chaverra,,,leyser-chaverra-renteria,L. Chaverra,D,2,175.0,89,947332,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,859852800,"{'value': 875000, 'currency': 'EUR'}",,2,False,31.0,25.0,5.0,3.0,0.0,5.0,1.0,2.0,,,,,,90.0,44.0,6.8,9.0,"{'original': 6.8, 'alternative': None}",1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,True,Independiente Medellín,home,
José Ortiz,,,jose-ortiz,J. Ortiz,D,24,181.0,43,905614,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,911174400,"{'value': 700000, 'currency': 'EUR'}",,24,False,25.0,23.0,4.0,3.0,0.0,3.0,3.0,1.0,,,,,,90.0,36.0,7.1,3.0,"{'original': 7.1, 'alternative': None}",,2.0,,3.0,,,,,1.0,1.0,,1.0,2.0,1.0,,,,,,,,,,,Independiente Medellín,home,
Daniel Londoño,,,daniel-londono,D. Londoño,D,33,185.0,22,796506,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,788918400,"{'value': 545000, 'currency': 'EUR'}",,33,False,38.0,26.0,8.0,2.0,0.0,3.0,3.0,1.0,,,,,,90.0,54.0,6.7,14.0,"{'original': 6.7, 'alternative': None}",1.0,,1.0,2.0,1.0,,,1.0,,,1.0,,1.0,,1.0,,,,,,,,,,Independiente Medellín,home,
Francisco Chaverra,,,francisco-chaverra,F. Chaverra,M,13,172.0,246,977812,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,952905600,"{'value': 1500000, 'currency': 'EUR'}",,13,False,8.0,6.0,2.0,1.0,0.0,1.0,,1.0,,,,,,53.0,26.0,5.9,11.0,"{'original': 5.9, 'alternative': None}",7.0,,,2.0,,,,1.0,,1.0,,2.0,,2.0,3.0,1.0,,,,,,,,,Independiente Medellín,home,
Jherson Mosquera,,,jherson-mosquera,J. Mosquera,M,6,173.0,66,1015662,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,937612800,"{'value': 410000, 'currency': 'EUR'}",,6,False,13.0,10.0,1.0,,0.0,1.0,,,,,,,,62.0,20.0,6.5,7.0,"{'original': 6.5, 'alternative': None}",2.0,,1.0,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,Independiente Medellín,home,
Homer Martinez,,,homer-martinez,H. Martinez,M,18,186.0,58,846432,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,876096000,"{'value': 670000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ه. مارتينيز', 'hi': 'एच. मार्टिनेज', 'bn': 'এইচ. মার্টিনেজ'}}",18,False,26.0,20.0,2.0,1.0,0.0,2.0,1.0,,,,,,,62.0,31.0,6.1,7.0,"{'original': 6.1, 'alternative': None}",,,1.0,2.0,,,,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,,Independiente Medellín,home,
Alexis Serna,,,alexis-serna,A. Serna,M,80,170.0,13,972579,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,944524800,"{'value': 230000, 'currency': 'EUR'}",,80,False,25.0,25.0,1.0,1.0,0.0,4.0,,3.0,,,,,,70.0,31.0,6.8,2.0,"{'original': 6.8, 'alternative': None}",,,1.0,4.0,,1.0,,,,,2.0,1.0,,1.0,,,,,1.0,,,,,,Independiente Medellín,home,
Léider Berrío,Léider Berrío,,leider-berrio,L. Berrío,M,7,175.0,196,1170682,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,897177600,"{'value': 595000, 'currency': 'EUR'}",,7,False,21.0,18.0,2.0,1.0,0.0,3.0,,2.0,,,,,,75.0,31.0,7.1,7.0,"{'original': 7.1, 'alternative': None}",5.0,,,2.0,,1.0,1.0,,1.0,,3.0,,,3.0,2.0,,,,,1.0,1.0,,,,Independiente Medellín,home,
Brayan Léon Muñiz,Brayan Léon Muñiz,,brayan-leon-muniz,B. L. Muñiz,F,27,175.0,358,1102252,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,971913600,"{'value': 1300000, 'currency': 'EUR'}",,27,False,10.0,5.0,1.0,,0.0,2.0,1.0,,,,,,,90.0,29.0,7.1,12.0,"{'original': 7.1, 'alternative': None}",3.0,3.0,1.0,7.0,,1.0,1.0,3.0,,1.0,3.0,1.0,,1.0,1.0,,,,2.0,,1.0,,,,Independiente Medellín,home,
Francisco Fydriszewski,,,francisco-fydriszewski,F. Fydriszewski,F,19,186.0,567,594430,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,729561600,"{'value': 540000, 'currency': 'EUR'}",,19,False,5.0,4.0,,,0.0,3.0,2.0,2.0,,,,,,76.0,18.0,6.8,5.0,"{'original': 6.8, 'alternative': None}",,4.0,1.0,6.0,,,,1.0,,,,2.0,,1.0,,,,,1.0,,,,,,Independiente Medellín,home,
Yeferson Rodallega,,,yeferson-rodallega,Y. Rodallega,D,17,178.0,51,1017363,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,974937600,"{'value': 670000, 'currency': 'EUR'}",,17,True,9.0,8.0,1.0,1.0,0.0,2.0,,,,,,,,28.0,15.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",,1.0,1.0,1.0,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,Independiente Medellín,home,
Jaime Alvarado,,,alvarado-jaime,J. Alvarado,M,15,181.0,92,914202,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,932947200,"{'value': 1500000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'خ. الفارادو'}}",15,True,17.0,13.0,2.0,2.0,0.0,4.0,,2.0,,,,,,28.0,21.0,6.9,5.0,"{'original': 6.9, 'alternative': None}",,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,Independiente Medellín,home,
Mender García,,,mender-garcia,M. García,F,8,180.0,100,909606,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,909532800,"{'value': 830000, 'currency': 'EUR'}",,8,True,5.0,5.0,,,1.0,1.0,,,,,,,,20.0,8.0,7.2,1.0,"{'original': 7.2, 'alternative': None}",2.0,,,,,1.0,1.0,,,,,,,3.0,1.0,,,,,,,,,,Independiente Medellín,home,
Diego Moreno,,,diego-moreno,D. Moreno,M,31,181.0,78,819139,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,825379200,"{'value': 930000, 'currency': 'EUR'}",,31,True,3.0,3.0,,,0.0,1.0,,1.0,,,,,,15.0,6.0,6.6,2.0,"{'original': 6.6, 'alternative': None}",2.0,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,home,
Marcus Vinicius,Marcus Vinicius,,marcus-vinicius,M. Vinicius,F,10,188.0,193,1143795,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,856310400,"{'value': 540000, 'currency': 'EUR'}",,10,True,2.0,2.0,,,0.0,,,,,,,,,14.0,7.0,7.8,,"{'original': 7.8, 'alternative': None}",,1.0,,1.0,,,,,,,,,,1.0,,,,,3.0,,,1.0,1.0,,Independiente Medellín,home,
Eder Chaux,,,eder-chaux,E. Chaux,G,25,189.0,33,312338,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,693187200,"{'value': 335000, 'currency': 'EUR'}",,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,home,
Fainer Torijano,,,fainer-torijano,F. Torijano,D,23,182.0,17,351382,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,588988800,"{'value': 160000, 'currency': 'EUR'}",,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,home,
