name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,duelWon,totalContest,wonContest,shotOffTarget,interceptionWon,aerialWon,duelLost,wasFouled,fouls,aerialLost,outfielderBlock,totalTackle,totalCross,accurateCross,challengeLost,keyPass,blockedScoringAttempt,totalOffside,dispossessed,bigChanceCreated,onTargetScoringAttempt,goals,captain,team,teamType
Harlen Castillo,harlen-castillo,H. Castillo,G,15,188,130,924907,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745545600,"{'value': 330000, 'currency': 'EUR'}",,,,15,False,39.0,25.0,20.0,6.0,0.0,1.0,2.0,6.0,90.0,49.0,7.5,15.0,"{'original': 7.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,home
Andrés Román,andres-roman,A. Román,D,6,183,376,870013,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,812851200,"{'value': 1600000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. رومان', 'hi': 'ए. रोमान', 'bn': 'এ. রোমান'}}",6,False,12.0,10.0,,,0.0,2.0,,,77.0,26.0,6.6,5.0,"{'original': 6.6, 'alternative': None}",1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,Atlético Nacional,home
Juan Arias,arias-juan,J. Arias,D,23,184,73,1187272,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1073520000,,,,,23,False,14.0,12.0,1.0,1.0,0.0,3.0,,,44.0,26.0,5.8,5.0,"{'original': 5.8, 'alternative': None}",3.0,,,1.0,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,Atlético Nacional,home
William Tesillo,william-tesillo,W. Tesillo,D,16,184,317,794087,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,633916800,"{'value': 520000, 'currency': 'EUR'}",,,,16,False,32.0,29.0,4.0,2.0,0.0,5.0,,,90.0,45.0,6.9,4.0,"{'original': 6.9, 'alternative': None}",3.0,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,Atlético Nacional,home
Camilo Cándido,camilo-candido,C. Cándido,D,13,174,281,924073,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,802051200,"{'value': 1100000, 'currency': 'EUR'}",,,,13,False,21.0,16.0,7.0,4.0,0.0,4.0,,,90.0,36.0,6.8,8.0,"{'original': 6.8, 'alternative': None}",2.0,,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,Atlético Nacional,home
Jorman Campuzano,jorman-campuzano,J. Campuzano,M,21,175,706,924420,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,830822400,"{'value': 1500000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. كامبوزانو', 'hi': 'जे. कैम्पुज़ानो', 'bn': 'জে. ক্যাম্পুজানো'}}",21,False,35.0,27.0,7.0,3.0,0.0,,,,90.0,42.0,6.6,8.0,"{'original': 6.6, 'alternative': None}",3.0,,,,,,3.0,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,Atlético Nacional,home
Faber Andrés Gil,faber-andres-gil,F. A. Gil,M,7,178,148,831377,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,796003200,"{'value': 665000, 'currency': 'EUR'}",,,,7,False,7.0,5.0,,,0.0,,,,45.0,17.0,6.8,6.0,"{'original': 6.8, 'alternative': None}",3.0,2.0,,,,,2.0,2.0,,,,1.0,3.0,2.0,,2.0,1.0,2.0,,,,,,Atlético Nacional,home
Juan Zapata,juan-zapata,J. Zapata,M,80,178,218,983231,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,958694400,"{'value': 1500000, 'currency': 'EUR'}",,,,80,False,17.0,15.0,6.0,6.0,0.0,,,,77.0,25.0,6.7,5.0,"{'original': 6.7, 'alternative': None}",,1.0,,1.0,,,2.0,,,,,,1.0,,,,,,1.0,,,,,Atlético Nacional,home
Edwin Cardona,edwin-cardona,E. Cardona,M,10,183,2260,153793,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,723772800,"{'value': 960000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'إ. كاردونا', 'hi': 'ई. कार्डोना', 'bn': 'ই. কার্ডোনা'}}",10,False,27.0,17.0,2.0,1.0,1.0,,,,88.0,41.0,7.1,17.0,"{'original': 7.1, 'alternative': None}",1.0,1.0,,,,,5.0,,3.0,,,1.0,5.0,2.0,1.0,4.0,,,1.0,1.0,,,True,Atlético Nacional,home
Dairon Asprilla,dairon-asprilla,D. Asprilla,F,27,178,283,790161,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,706752000,"{'value': 720000, 'currency': 'EUR'}",,,,27,False,7.0,4.0,,,0.0,1.0,,,60.0,18.0,6.7,7.0,"{'original': 6.7, 'alternative': None}",3.0,2.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,,,Atlético Nacional,home
