name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,duelLost,duelWon,dispossessed,totalContest,wonContest,totalClearance,interceptionWon,totalTackle,fouls,keyPass,aerialLost,aerialWon,totalCross,bigChanceCreated,shotOffTarget,accurateCross,bigChanceMissed,onTargetScoringAttempt,blockedScoringAttempt,wasFouled,challengeLost,hitWoodwork,outfielderBlock,captain,team,teamType,goodHighClaim,savedShotsFromInsideTheBox,totalOffside,goals
Washington Aguerre,,,washington-aguerre,W. Aguerre,G,29,187.0,279,311402,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,735523200,"{'value': 870000, 'currency': 'EUR'}",,29,False,14.0,13.0,1.0,1.0,0.0,1.0,1.0,1.0,90.0,22.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,home,,,,
Jherson Mosquera,,,jherson-mosquera,J. Mosquera,M,6,173.0,66,1015662,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,937612800,"{'value': 410000, 'currency': 'EUR'}",,6,False,83.0,79.0,7.0,5.0,0.0,,,,90.0,98.0,7.3,7.0,"{'original': 7.3, 'alternative': None}",2.0,4.0,1.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,Independiente Medellín,home,,,,
José Ortiz,,,jose-ortiz,J. Ortiz,D,24,181.0,43,905614,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,911174400,"{'value': 700000, 'currency': 'EUR'}",,24,False,75.0,71.0,2.0,2.0,0.0,,,,90.0,79.0,6.7,5.0,"{'original': 6.7, 'alternative': None}",3.0,3.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,2.0,,,,,,,,,,,,,Independiente Medellín,home,,,,
Daniel Londoño,,,daniel-londono,D. Londoño,D,33,185.0,22,796506,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,788918400,"{'value': 545000, 'currency': 'EUR'}",,33,False,93.0,88.0,10.0,5.0,0.0,,,,90.0,106.0,7.3,9.0,"{'original': 7.3, 'alternative': None}",1.0,1.0,,1.0,,1.0,,1.0,,2.0,,,3.0,1.0,3.0,,,,,,,,,,Independiente Medellín,home,,,,
Mender García,,,mender-garcia,M. García,F,8,180.0,100,909606,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,909532800,"{'value': 830000, 'currency': 'EUR'}",,8,False,29.0,22.0,,,0.0,,,,90.0,47.0,7.0,13.0,"{'original': 7, 'alternative': None}",4.0,4.0,,,,,,3.0,1.0,2.0,3.0,1.0,7.0,,1.0,2.0,1.0,,,,,,,,Independiente Medellín,home,,,,
Diego Moreno,,,diego-moreno,D. Moreno,M,31,181.0,78,819139,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,825379200,"{'value': 930000, 'currency': 'EUR'}",,31,False,58.0,55.0,,,0.0,,,,83.0,66.0,7.4,3.0,"{'original': 7.4, 'alternative': None}",,2.0,,,,,,1.0,,3.0,,,,,3.0,,,1.0,1.0,1.0,,,,,Independiente Medellín,home,,,,
Léider Berrío,Léider Berrío,,leider-berrio,L. Berrío,M,7,175.0,196,1170682,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,897177600,"{'value': 595000, 'currency': 'EUR'}",,7,False,47.0,40.0,2.0,1.0,0.0,,,,67.0,59.0,7.2,10.0,"{'original': 7.2, 'alternative': None}",5.0,3.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,1.0,,,2.0,1.0,1.0,1.0,,,,Independiente Medellín,home,,,,
Juan Arizala,,,arizala-juan,J. Arizala,D,71,183.0,488,1476922,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1128902400,"{'value': 380000, 'currency': 'EUR'}",,71,False,40.0,34.0,1.0,,0.0,,,,67.0,57.0,7.0,15.0,"{'original': 7, 'alternative': None}",1.0,1.0,,1.0,,2.0,,,,4.0,,1.0,8.0,,1.0,,,,1.0,,,,,,Independiente Medellín,home,,,,
Homer Martinez,,,homer-martinez,H. Martinez,M,18,186.0,58,846432,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,876096000,"{'value': 670000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ه. مارتينيز', 'hi': 'एच. मार्टिनेज', 'bn': 'এইচ. মার্টিনেজ'}}",18,False,66.0,58.0,4.0,3.0,0.0,,,,86.0,86.0,7.6,11.0,"{'original': 7.6, 'alternative': None}",1.0,5.0,,1.0,1.0,,1.0,2.0,,,1.0,,3.0,,2.0,,1.0,2.0,1.0,2.0,,1.0,1.0,True,Independiente Medellín,home,,,,
Marcus Vinicius,Marcus Vinicius,,marcus-vinicius,M. Vinicius,F,10,188.0,193,1143795,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,856310400,"{'value': 540000, 'currency': 'EUR'}",,10,False,27.0,25.0,,,0.0,,,,67.0,38.0,7.3,5.0,"{'original': 7.3, 'alternative': None}",2.0,3.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,,3.0,,4.0,,,,,1.0,1.0,,,,Independiente Medellín,home,,,,
Luis Sandoval,,,luis-sandoval,L. Sandoval,F,9,183.0,288,848048,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,928195200,"{'value': 765000, 'currency': 'EUR'}",,9,False,36.0,28.0,1.0,,0.0,,,,90.0,51.0,6.7,17.0,"{'original': 6.7, 'alternative': None}",4.0,4.0,,4.0,1.0,,1.0,,,1.0,1.0,1.0,4.0,,,,,,1.0,2.0,,,,,Independiente Medellín,home,,,,
