name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,totalClearance,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialWon,duelWon,outfielderBlock,duelLost,totalContest,wasFouled,keyPass,dispossessed,fouls,aerialLost,challengeLost,onTargetScoringAttempt,blockedScoringAttempt,goals,interceptionWon,goalAssist,captain,team,teamType,saves,wonContest,shotOffTarget,totalTackle,bigChanceMissed,accurateCross,bigChanceCreated,totalOffside
Washington Aguerre,,,washington-aguerre,W. Aguerre,G,29,187,277,311402,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,735523200,"{'value': 870000, 'currency': 'EUR'}",,29,False,7.0,5.0,4.0,2.0,2.0,1.0,40.0,10.0,6.6,2.0,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,,,,,,,,Independiente Medellín,home,,,,,,,,
Jhon Palacios,Jhon Palacios,,jhon-palacios,J. Palacios,D,3,188,17,1130027,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,938822400,"{'value': 360000, 'currency': 'EUR'}",,3,False,6.0,4.0,2.0,1.0,3.0,,40.0,13.0,6.9,3.0,"{'original': 6.9, 'alternative': None}",1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,Independiente Medellín,home,,,,,,,,
José Ortiz,,,jose-ortiz,J. Ortiz,D,24,181,43,905614,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,911174400,"{'value': 700000, 'currency': 'EUR'}",,24,False,13.0,13.0,2.0,2.0,1.0,,40.0,14.0,6.7,,"{'original': 6.7, 'alternative': None}",,,,,,,,,,,,,,,,,,,Independiente Medellín,home,,,,,,,,
Daniel Londoño,,,daniel-londono,D. Londoño,D,33,185,22,796506,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,788918400,"{'value': 545000, 'currency': 'EUR'}",,33,False,11.0,8.0,3.0,,1.0,,40.0,13.0,6.5,4.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,Independiente Medellín,home,,,,,,,,
Francisco Chaverra,,,francisco-chaverra,F. Chaverra,M,13,172,265,977812,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,952905600,"{'value': 1500000, 'currency': 'EUR'}",,13,False,8.0,8.0,1.0,1.0,,,40.0,13.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",2.0,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,Independiente Medellín,home,,,,,,,,
Baldomero Perlaza,,,baldomero-perlaza,B. Perlaza,M,14,188,81,285611,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,707702400,"{'value': 420000, 'currency': 'EUR'}",,14,False,7.0,5.0,1.0,,1.0,,40.0,11.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",1.0,2.0,2.0,,,,,,,,,,,,,,,,Independiente Medellín,home,,,,,,,,
Homer Martinez,,,homer-martinez,H. Martinez,M,18,186,57,846432,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,876096000,"{'value': 670000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ه. مارتينيز', 'hi': 'एच. मार्टिनेज', 'bn': 'এইচ. মার্টিনেজ'}}",18,False,7.0,5.0,,,1.0,,40.0,9.0,6.4,3.0,"{'original': 6.4, 'alternative': None}",,,,,2.0,,,,1.0,1.0,,,,,,,,True,Independiente Medellín,home,,,,,,,,
Léider Berrío,Léider Berrío,,leider-berrio,L. Berrío,M,7,175,223,1170682,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,897177600,"{'value': 595000, 'currency': 'EUR'}",,7,False,5.0,4.0,1.0,,,,40.0,15.0,7.3,3.0,"{'original': 7.3, 'alternative': None}",1.0,,3.0,,5.0,,3.0,,,2.0,1.0,2.0,2.0,1.0,1.0,1.0,,,Independiente Medellín,home,,,,,,,,
Yeferson Rodallega,,,yeferson-rodallega,Y. Rodallega,D,17,178,51,1017363,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,974937600,"{'value': 670000, 'currency': 'EUR'}",,17,False,8.0,3.0,,,1.0,,40.0,14.0,6.6,6.0,"{'original': 6.6, 'alternative': None}",1.0,1.0,1.0,,1.0,,,,,1.0,,,,,,1.0,,,Independiente Medellín,home,,,,,,,,
Brayan Léon Muñiz,Brayan Léon Muñiz,,brayan-leon-muniz,B. L. Muñiz,F,27,175,368,1102252,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,971913600,"{'value': 1300000, 'currency': 'EUR'}",,27,False,4.0,4.0,,,,,40.0,8.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",,,,,3.0,,,1.0,2.0,1.0,,,,,,,1.0,,Independiente Medellín,home,,,,,,,,
