name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,totalContest,wonContest,bigChanceCreated,shotOffTarget,totalClearance,outfielderBlock,fouls,keyPass,dispossessed,interceptionWon,totalTackle,wasFouled,challengeLost,bigChanceMissed,hitWoodwork,onTargetScoringAttempt,blockedScoringAttempt,captain,team,teamType,goodHighClaim,totalOffside
Washington Aguerre,,,washington-aguerre,W. Aguerre,G,29,187,279,311402,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,735523200,"{'value': 870000, 'currency': 'EUR'}",,29,False,18.0,13.0,10.0,5.0,0.0,1.0,3.0,90.0,26.0,7.2,5.0,"{'original': 7.2, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,home,,
Léyser Chaverra,,,leyser-chaverra-renteria,L. Chaverra,D,2,175,89,947332,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,859852800,"{'value': 875000, 'currency': 'EUR'}",,2,False,57.0,49.0,6.0,5.0,0.0,,,90.0,84.0,8.0,13.0,"{'original': 8, 'alternative': None}",4.0,2.0,3.0,1.0,5.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,3.0,,,,,,,,,,,Independiente Medellín,home,,
Homer Martinez,,,homer-martinez,H. Martinez,M,18,186,58,846432,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,876096000,"{'value': 670000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ه. مارتينيز', 'hi': 'एच. मार्टिनेज', 'bn': 'এইচ. মার্টিনেজ'}}",18,False,41.0,34.0,16.0,12.0,0.0,,,90.0,53.0,7.7,10.0,"{'original': 7.7, 'alternative': None}",1.0,,,1.0,2.0,6.0,1.0,,,,,1.0,,,1.0,3.0,4.0,1.0,,,,,,,Independiente Medellín,home,,
Daniel Londoño,,,daniel-londono,D. Londoño,D,33,185,22,796506,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,788918400,"{'value': 545000, 'currency': 'EUR'}",,33,False,54.0,43.0,8.0,3.0,0.0,,,90.0,75.0,7.4,16.0,"{'original': 7.4, 'alternative': None}",1.0,,,4.0,3.0,7.0,,,,1.0,,1.0,1.0,1.0,1.0,,2.0,2.0,1.0,,,,,,Independiente Medellín,home,,
Mender García,,,mender-garcia,M. García,F,8,180,100,909606,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,909532800,"{'value': 830000, 'currency': 'EUR'}",,8,False,29.0,24.0,1.0,,0.0,,,90.0,45.0,7.1,7.0,"{'original': 7.1, 'alternative': None}",2.0,2.0,3.0,1.0,7.0,3.0,2.0,1.0,,2.0,,,2.0,4.0,1.0,,1.0,,,1.0,1.0,,,,Independiente Medellín,home,,
Baldomero Perlaza,,,baldomero-perlaza,B. Perlaza,M,14,188,82,285611,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,707702400,"{'value': 420000, 'currency': 'EUR'}",,14,False,18.0,16.0,3.0,2.0,0.0,,,69.0,23.0,6.5,5.0,"{'original': 6.5, 'alternative': None}",,,1.0,,1.0,,,,,1.0,,,,2.0,,,,,,1.0,,,,,Independiente Medellín,home,,
Jaime Alvarado,,,alvarado-jaime,J. Alvarado,M,15,181,92,914202,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,932947200,"{'value': 1500000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'خ. الفارادو'}}",15,False,42.0,36.0,3.0,1.0,0.0,,,90.0,49.0,7.3,8.0,"{'original': 7.3, 'alternative': None}",2.0,1.0,1.0,4.0,5.0,5.0,,,1.0,,,,3.0,4.0,,2.0,,1.0,1.0,,,,,True,Independiente Medellín,home,,
Francisco Chaverra,,,francisco-chaverra,F. Chaverra,M,13,172,246,977812,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,952905600,"{'value': 1500000, 'currency': 'EUR'}",,13,False,36.0,30.0,3.0,2.0,0.0,,,69.0,56.0,7.1,14.0,"{'original': 7.1, 'alternative': None}",4.0,,,1.0,2.0,3.0,1.0,,,,2.0,,1.0,2.0,1.0,,1.0,1.0,,,,1.0,1.0,,Independiente Medellín,home,,
Luis Sandoval,,,luis-sandoval,L. Sandoval,F,9,183,288,848048,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,928195200,"{'value': 765000, 'currency': 'EUR'}",,9,False,42.0,32.0,2.0,1.0,0.0,,,90.0,61.0,7.1,20.0,"{'original': 7.1, 'alternative': None}",5.0,,3.0,,7.0,2.0,2.0,,,2.0,,,,3.0,1.0,,,2.0,1.0,,,,4.0,,Independiente Medellín,home,,
Brayan Léon Muñiz,Brayan Léon Muñiz,,brayan-leon-muniz,B. L. Muñiz,F,27,175,358,1102252,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,971913600,"{'value': 1300000, 'currency': 'EUR'}",,27,False,20.0,15.0,3.0,3.0,0.0,,,77.0,36.0,7.1,12.0,"{'original': 7.1, 'alternative': None}",3.0,1.0,2.0,1.0,7.0,4.0,1.0,,,4.0,,,2.0,1.0,1.0,,3.0,,1.0,1.0,,1.0,,,Independiente Medellín,home,,
Diego Moreno,,,diego-moreno,D. Moreno,M,31,181,78,819139,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,825379200,"{'value': 930000, 'currency': 'EUR'}",,31,False,31.0,28.0,2.0,1.0,0.0,,,77.0,44.0,7.1,8.0,"{'original': 7.1, 'alternative': None}",3.0,,,,1.0,2.0,,,,1.0,,,,2.0,,,2.0,,1.0,1.0,,2.0,1.0,,Independiente Medellín,home,,
Yeferson Rodallega,,,yeferson-rodallega,Y. Rodallega,D,17,178,51,1017363,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,974937600,"{'value': 670000, 'currency': 'EUR'}",,17,True,8.0,6.0,,,0.0,,,8.0,13.0,7.0,4.0,"{'original': 7, 'alternative': None}",2.0,2.0,,,1.0,,1.0,,1.0,,,,,1.0,,1.0,,,,,,,,,Independiente Medellín,home,,
Léider Berrío,Léider Berrío,,leider-berrio,L. Berrío,M,7,175,196,1170682,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,897177600,"{'value': 595000, 'currency': 'EUR'}",,7,True,8.0,8.0,1.0,1.0,0.0,,,21.0,17.0,6.5,5.0,"{'original': 6.5, 'alternative': None}",2.0,,,,4.0,2.0,1.0,1.0,,1.0,,,1.0,,3.0,,,1.0,,,,,,,Independiente Medellín,home,,
Francisco Fydriszewski,,,francisco-fydriszewski,F. Fydriszewski,F,19,186,567,594430,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,729561600,"{'value': 540000, 'currency': 'EUR'}",,19,True,6.0,4.0,,,0.0,,,13.0,10.0,6.7,4.0,"{'original': 6.7, 'alternative': None}",1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,,Independiente Medellín,home,,
Marcus Vinicius,Marcus Vinicius,,marcus-vinicius,M. Vinicius,F,10,188,193,1143795,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,856310400,"{'value': 540000, 'currency': 'EUR'}",,10,True,7.0,3.0,,,0.0,,,13.0,11.0,6.6,6.0,"{'original': 6.6, 'alternative': None}",1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,Independiente Medellín,home,,
Eder Chaux,,,eder-chaux,E. Chaux,G,25,189,33,312338,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,693187200,"{'value': 335000, 'currency': 'EUR'}",,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,home,,
José Ortiz,,,jose-ortiz,J. Ortiz,D,24,181,43,905614,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,911174400,"{'value': 700000, 'currency': 'EUR'}",,24,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,home,,
Alexis Serna,,,alexis-serna,A. Serna,M,80,170,13,972579,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,944524800,"{'value': 230000, 'currency': 'EUR'}",,80,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,home,,
